# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_C10_076_2017_1 -               10    1233       4    1208       2    1213    1474    +           0 1392.2  23.2  -
Alteromonadales           -          LKAP-GUTHK2_C10_076_2017_1 -               11    1224       5    1208       2    1213    1468    +           0 1236.9  23.1  -
Shewanellaceae            -          LKAP-GUTHK2_C10_076_2017_1 -               11    1220       5    1201       2    1213    1483    +           0 1234.9  23.0  -
Ferrimonadaceae           -          LKAP-GUTHK2_C10_076_2017_1 -               10    1226       4    1199       2    1213    1475    +           0 1233.5  23.3  -
Enterobacteriaceae        -          LKAP-GUTHK2_C10_076_2017_1 -               11    1217       5    1201       2    1211    1465    +           0 1224.8  23.1  -
Erwiniaceae               -          LKAP-GUTHK2_C10_076_2017_1 -                7    1213       6    1202       2    1211    1483    +           0 1217.4  23.1  -
Pectobacteriaceae         -          LKAP-GUTHK2_C10_076_2017_1 -                8    1216       5    1202       2    1211    1477    +           0 1214.8  23.1  -
Yersiniaceae              -          LKAP-GUTHK2_C10_076_2017_1 -               10    1221       4    1206       2    1212    1473    +           0 1211.6  23.0  -
Hafniaceae                -          LKAP-GUTHK2_C10_076_2017_1 -                5    1210       5    1199       2    1211    1459    +           0 1211.5  23.0  -
Morganellaceae            -          LKAP-GUTHK2_C10_076_2017_1 -               13    1226       4    1208       2    1212    1487    +           0 1211.6  22.9  -
Gammaproteobacteria       -          LKAP-GUTHK2_C10_076_2017_1 -               12    1216       6    1200       3    1213    1481    +           0 1210.2  23.0  -
Aeromonadaceae            -          LKAP-GUTHK2_C10_076_2017_1 -               22    1233       4    1202       2    1213    1496    +           0 1206.7  23.2  -
Alteromonadaceae          -          LKAP-GUTHK2_C10_076_2017_1 -               10    1216       4    1201       2    1213    1468    +           0 1202.6  23.6  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_C10_076_2017_1 -               11    1215       5    1202       2    1213    1469    +           0 1201.7  22.4  -
Oceanospirillaceae        -          LKAP-GUTHK2_C10_076_2017_1 -               10    1224       4    1208       2    1214    1467    +           0 1186.4  23.1  -
Budviciaceae              -          LKAP-GUTHK2_C10_076_2017_1 -                2    1209       6    1202       5    1211    1483    +           0 1179.4  23.3  -
Colwelliaceae             -          LKAP-GUTHK2_C10_076_2017_1 -               10    1218       4    1200       2    1213    1467    +           0 1172.8  23.2  -
Psychromonadaceae         -          LKAP-GUTHK2_C10_076_2017_1 -               10    1222       4    1207       2    1213    1467    +           0 1171.8  23.2  -
Idiomarinaceae            -          LKAP-GUTHK2_C10_076_2017_1 -               10    1221       4    1203       2    1212    1466    +           0 1163.0  23.1  -
Moritellaceae             -          LKAP-GUTHK2_C10_076_2017_1 -               27    1236       6    1202       3    1213    1501    +           0 1163.1  23.4  -
Pasteurellaceae           -          LKAP-GUTHK2_C10_076_2017_1 -               10    1220       4    1202       2    1213    1422    +           0 1146.4  23.1  -
Chromatiaceae             -          LKAP-GUTHK2_C10_076_2017_1 -               26    1205      16    1199       3    1213    1455    +           0 1144.6  23.7  -
Thorselliaceae            -          LKAP-GUTHK2_C10_076_2017_1 -                6    1187      22    1202      18    1211    1419    +           0 1144.3  23.2  -
Oceanospirillales         -          LKAP-GUTHK2_C10_076_2017_1 -               16    1224       4    1202       2    1214    1489    +           0 1140.4  23.8  -
Cellvibrionaceae          -          LKAP-GUTHK2_C10_076_2017_1 -               10    1217       4    1201       2    1213    1472    +           0 1131.9  23.3  -
Orbaceae                  -          LKAP-GUTHK2_C10_076_2017_1 -               37    1241       4    1201       2    1214    1539    +           0 1124.3  23.3  -
Pseudomonadaceae          -          LKAP-GUTHK2_C10_076_2017_1 -               17    1221       4    1200       2    1213    1491    +           0 1122.1  23.1  -
Methylococcaceae          -          LKAP-GUTHK2_C10_076_2017_1 -               40    1232      16    1210       3    1213    1481    +           0 1121.6  23.5  -
Celerinatantimonadaceae   -          LKAP-GUTHK2_C10_076_2017_1 -                5    1232       4    1210       3    1213    1433    +           0 1119.7  23.1  -
Hahellaceae               -          LKAP-GUTHK2_C10_076_2017_1 -               10    1221       4    1206       2    1214    1473    +           0 1114.9  23.7  -
Piscirickettsiaceae       -          LKAP-GUTHK2_C10_076_2017_1 -               13    1219       5    1201       3    1213    1466    +           0 1108.7  23.3  -
Alcanivoracaceae          -          LKAP-GUTHK2_C10_076_2017_1 -               30    1235       4    1200       2    1213    1504    +           0 1108.4  23.0  -
Halomonadaceae            -          LKAP-GUTHK2_C10_076_2017_1 -               10    1214       4    1199       2    1213    1466    +           0 1101.8  23.3  -
Saccharospirillaceae      -          LKAP-GUTHK2_C10_076_2017_1 -               12    1219       5    1211       2    1214    1468    +           0 1098.1  22.8  -
Succinivibrionaceae       -          LKAP-GUTHK2_C10_076_2017_1 -               13    1196       4    1202       2    1213    1473    +           0 1097.7  23.3  -
Halieaceae                -          LKAP-GUTHK2_C10_076_2017_1 -               18    1216       4    1199       2    1211    1484    +           0 1093.4  23.6  -
Thioalkalispiraceae       -          LKAP-GUTHK2_C10_076_2017_1 -               34    1240      14    1208       2    1213    1479    +           0 1086.4  22.9  -
Moraxellaceae             -          LKAP-GUTHK2_C10_076_2017_1 -                8    1207       5    1199       2    1213    1468    +           0 1084.5  23.2  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_C10_076_2017_1 -               19    1228       6    1208       2    1213    1463    +           0 1080.9  23.5  -
Litoricolaceae            -          LKAP-GUTHK2_C10_076_2017_1 -               18    1231       4    1211       2    1214    1474    +           0 1078.7  23.2  -
Lysobacteraceae           -          LKAP-GUTHK2_C10_076_2017_1 -               12    1220       5    1201       2    1213    1484    +           0 1078.3  23.1  -
Spongiibacteraceae        -          LKAP-GUTHK2_C10_076_2017_1 -               13    1214       4    1200       2    1213    1462    +           0 1073.7  23.4  -
Kangiellaceae             -          LKAP-GUTHK2_C10_076_2017_1 -               36    1228      17    1201       3    1213    1479    +           0 1068.2  22.9  -
Microbulbiferaceae        -          LKAP-GUTHK2_C10_076_2017_1 -               10    1209       4    1199       2    1214    1480    +           0 1063.9  23.2  -
Halothiobacillaceae       -          LKAP-GUTHK2_C10_076_2017_1 -               28    1233       5    1199       2    1213    1500    +           0 1062.3  23.1  -
Thermoleophilaceae        -          LKAP-GUTHK2_C10_076_2017_1 -               20    1233      17    1208       3    1213    1494    +           0 1055.1  23.1  -
Thiotrichaceae            -          LKAP-GUTHK2_C10_076_2017_1 -               27    1173      17    1200       3    1213    1421    +           0 1048.5  21.8  -
Legionellaceae            -          LKAP-GUTHK2_C10_076_2017_1 -               23    1224      17    1211       2    1213    1446    +           0 1037.8  22.8  -
Coxiellaceae              -          LKAP-GUTHK2_C10_076_2017_1 -               12    1226       6    1202       2    1213    1475    +           0 1035.5  23.4  -
Cardiobacteriaceae        -          LKAP-GUTHK2_C10_076_2017_1 -               35    1227      17    1209       3    1214    1464    +           0 1032.7  23.0  -
Chromobacteriaceae        -          LKAP-GUTHK2_C10_076_2017_1 -               25    1208      16    1199       3    1213    1460    +           0 1023.2  22.9  -
Granulosicoccaceae        -          LKAP-GUTHK2_C10_076_2017_1 -               27    1224      17    1208       3    1213    1471    +    1.3e-307 1019.4  23.3  -
Nevskiaceae               -          LKAP-GUTHK2_C10_076_2017_1 -               36    1209      17    1200       3    1213    1470    +    3.2e-306 1015.0  23.1  -
