# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae          -          LKAP-TSAKG2_C09_075_2018_2 -               22     950      11     935       6     935    1491    +           0 1139.6  22.0  -
Oceanospirillaceae        -          LKAP-TSAKG2_C09_075_2018_2 -               15     947      11     935       6     935    1467    +           0 1053.7  22.3  -
Thermoleophilaceae        -          LKAP-TSAKG2_C09_075_2018_2 -                8     947      11     935       6     935    1494    +           0 1051.9  22.4  -
Cellvibrionaceae          -          LKAP-TSAKG2_C09_075_2018_2 -               15     945      11     935       5     935    1472    +           0 1040.3  22.2  -
Gammaproteobacteria       -          LKAP-TSAKG2_C09_075_2018_2 -               14     945      10     935       6     935    1481    +           0 1031.6  22.4  -
Alteromonadaceae          -          LKAP-TSAKG2_C09_075_2018_2 -               15     945      11     935       6     935    1468    +    4.6e-306 1013.7  22.3  -
Oceanospirillales         -          LKAP-TSAKG2_C09_075_2018_2 -               21     951      11     935       6     935    1489    +    7.5e-304 1006.3  22.3  -
Microbulbiferaceae        -          LKAP-TSAKG2_C09_075_2018_2 -               15     939      11     935       6     935    1480    +    2.9e-303 1004.7  21.9  -
Moraxellaceae             -          LKAP-TSAKG2_C09_075_2018_2 -               14     937      13     935       6     935    1468    +    1.1e-301  999.5  22.4  -
Spongiibacteraceae        -          LKAP-TSAKG2_C09_075_2018_2 -               18     943      11     935       5     935    1462    +    1.1e-301  999.2  22.3  -
Hahellaceae               -          LKAP-TSAKG2_C09_075_2018_2 -               15     944      11     935       5     935    1473    +    1.1e-300  996.1  22.2  -
Alcanivoracaceae          -          LKAP-TSAKG2_C09_075_2018_2 -               35     965      11     935       6     935    1504    +      3e-300  994.4  22.1  -
Methylococcaceae          -          LKAP-TSAKG2_C09_075_2018_2 -               29     953      11     935       7     935    1481    +    5.3e-300  993.7  22.4  -
Alteromonadales           -          LKAP-TSAKG2_C09_075_2018_2 -               15     947      11     935       5     935    1468    +    1.3e-297  985.5  22.3  -
Halomonadaceae            -          LKAP-TSAKG2_C09_075_2018_2 -               15     945      11     935       5     935    1466    +    1.3e-296  982.4  22.3  -
Thioalkalispiraceae       -          LKAP-TSAKG2_C09_075_2018_2 -               27     964      11     935       5     935    1479    +    2.4e-296  981.5  22.5  -
