# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP-GutHK_B04_030   -               27    1006      17     996       2     998    1466    +           0 1234.5  23.6  -
Vibrionaceae_Photobacterium                      -          LKAP-GutHK_B04_030   -               27    1006      17     996       2     998    1487    +           0 1173.6  23.6  -
Vibrionaceae_Aliivibrio                          -          LKAP-GutHK_B04_030   -               51    1019      17     995       2     998    1474    +           0 1133.8  22.5  -
Vibrionaceae_Enterovibrio                        -          LKAP-GutHK_B04_030   -               27     995      17     991       2     998    1499    +           0 1112.3  22.7  -
Vibrionaceae_Grimontia                           -          LKAP-GutHK_B04_030   -               27    1000      17     990       2     998    1493    +           0 1106.4  23.2  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GutHK_B04_030   -               22    1006      14     996       2     998    1475    +           0 1064.8  23.5  -
Shewanellaceae_Shewanella                        -          LKAP-GutHK_B04_030   -               27     998      17     996       2     998    1483    +           0 1045.0  22.9  -
Yersiniaceae_Serratia                            -          LKAP-GutHK_B04_030   -               31    1001      17     997       2     998    1491    +           0 1042.7  23.1  -
Vibrionaceae_Salinivibrio                        -          LKAP-GutHK_B04_030   -               46    1028      17     996       2     998    1502    +           0 1041.0  23.3  -
Erwiniaceae_Tatumella                            -          LKAP-GutHK_B04_030   -               67     997      65     997      45     998    1490    +           0 1038.5  22.4  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GutHK_B04_030   -               26     993      18     997       3     998    1476    +           0 1036.1  22.9  -
Erwiniaceae_Erwinia                              -          LKAP-GutHK_B04_030   -               67     995      65     995      44     998    1495    +           0 1031.3  22.2  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GutHK_B04_030   -               43    1011      18     996       2     998    1517    +           0 1029.2  22.6  -
Erwiniaceae_Pantoea                              -          LKAP-GutHK_B04_030   -                5     934      66     997      62     998    1416    +           0 1028.9  22.0  -
Enterobacteriaceae_Gibbsiella                    -          LKAP-GutHK_B04_030   -               28     959      64     997      47     999    1396    +           0 1028.4  22.5  -
Hafniaceae_Hafnia                                -          LKAP-GutHK_B04_030   -               14     995       2     995       1     998    1463    +           0 1024.9  23.5  -
Enterobacteriaceae_Pluralibacter                 -          LKAP-GutHK_B04_030   -               90    1020      68     997      44     999    1532    +           0 1024.4  22.0  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-GutHK_B04_030   -               35    1003      17     995       2     998    1499    +    3.3e-308 1023.7  22.8  -
Pectobacteriaceae_Brenneria                      -          LKAP-GutHK_B04_030   -                7     973      19     995      14     998    1457    +    4.3e-308 1023.2  22.8  -
Enterobacteriaceae_Klebsiella                    -          LKAP-GutHK_B04_030   -               40    1007      18     997       2     999    1436    +    1.6e-307 1021.4  23.0  -
Enterobacteriaceae_Salmonella                    -          LKAP-GutHK_B04_030   -               30     989      23     993       3     998    1457    +    1.9e-307 1021.2  22.4  -
Yersiniaceae_Rouxiella                           -          LKAP-GutHK_B04_030   -               57    1024      18     995       2     998    1551    +    5.7e-307 1019.5  23.0  -
Enterobacteriaceae_Escherichia                   -          LKAP-GutHK_B04_030   -               27     994      17     994       2     998    1480    +      7e-307 1019.3  22.8  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GutHK_B04_030   -                5     968      18     991      14     998    1422    +    1.2e-305 1015.2  22.6  -
Enterobacteriaceae_Kluyvera                      -          LKAP-GutHK_B04_030   -               53     983      65     997      45     999    1455    +    3.3e-305 1013.7  22.2  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-GutHK_B04_030   -               27     991      17     997       2     998    1461    +    5.8e-305 1012.7  22.0  -
Yersiniaceae_Yersinia                            -          LKAP-GutHK_B04_030   -               27     994      17     994       2     998    1461    +    3.7e-304 1010.2  22.7  -
Enterobacteriaceae_Buttiauxella                  -          LKAP-GutHK_B04_030   -               72     999      66     995      45     998    1503    +    1.6e-303 1008.2  22.0  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GutHK_B04_030   -               20     985      17     991       2     998    1471    +    5.3e-303 1006.5  23.4  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-GutHK_B04_030   -               47    1016      17     996       2     998    1506    +    7.7e-303 1005.8  22.8  -
Colwelliaceae_Thalassotalea                      -          LKAP-GutHK_B04_030   -               27     994      17     996       2     998    1463    +    1.4e-302 1005.1  22.9  -
Enterobacteriaceae_Kosakonia                     -          LKAP-GutHK_B04_030   -               45     974      65     996      45     998    1422    +    1.6e-302 1004.4  22.2  -
Pectobacteriaceae_Dickeya                        -          LKAP-GutHK_B04_030   -               24     988      17     991       2     998    1421    +    2.1e-302 1004.4  23.0  -
Enterobacteriaceae_Cedecea                       -          LKAP-GutHK_B04_030   -                1     919      77     997      77     998    1403    +    3.1e-302 1003.9  21.0  -
Enterobacteriaceae_Franconibacter                -          LKAP-GutHK_B04_030   -               74    1000      68     996      47     998    1325    +    5.6e-302 1003.2  22.1  -
Enterobacteriaceae_Lelliottia                    -          LKAP-GutHK_B04_030   -               22     989      17     996       2     998    1449    +    7.7e-302 1002.5  22.9  -
Idiomarinaceae_Idiomarina                        -          LKAP-GutHK_B04_030   -               31    1002      16     996       2     998    1471    +    4.6e-301  999.7  22.8  -
Enterobacteriaceae_Raoultella                    -          LKAP-GutHK_B04_030   -               31     993      22     997       2     999    1452    +    4.7e-301 1000.0  22.9  -
Enterobacteriaceae_Pseudocitrobacter             -          LKAP-GutHK_B04_030   -               67     994      68     997      47     999    1459    +    5.7e-301  999.6  22.0  -
Enterobacteriaceae_Mangrovibacter                -          LKAP-GutHK_B04_030   -               16     938      67     991      61     998    1368    +    1.2e-300  998.6  21.7  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-GutHK_B04_030   -               23     996      15     997       2     998    1464    +    3.1e-300  997.0  22.9  -
Alteromonadaceae_Agarivorans                     -          LKAP-GutHK_B04_030   -               34    1004      17     997       2     998    1454    +    5.5e-300  996.4  22.8  -
Enterobacteriaceae_Shigella                      -          LKAP-GutHK_B04_030   -               35     999      17     991       2     998    1488    +    6.2e-300  996.2  22.6  -
Chromatiaceae_Rheinheimera                       -          LKAP-GutHK_B04_030   -               34     982      17     993       2     998    1472    +    3.7e-299  993.7  22.4  -
Yersiniaceae_Rahnella                            -          LKAP-GutHK_B04_030   -                1     916      78     995      78     998    1345    +    1.5e-298  991.7  20.9  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-GutHK_B04_030   -               45    1013      17     997       3     999    1502    +      4e-298  990.2  23.1  -
Morganellaceae_Xenorhabdus                       -          LKAP-GutHK_B04_030   -               29     994      17     992       2     998    1493    +    4.9e-298  990.0  22.8  -
Enterobacteriaceae_Siccibacter                   -          LKAP-GutHK_B04_030   -               96    1021      67     994      44     998    1451    +    7.6e-298  989.4  21.9  -
Aeromonadaceae_Oceanimonas                       -          LKAP-GutHK_B04_030   -               28     996      21     997       2     998    1483    +    7.8e-298  989.1  22.9  -
Aeromonadaceae_Aeromonas                         -          LKAP-GutHK_B04_030   -               90    1012      67     991      44     998    1503    +    1.2e-297  988.4  21.8  -
Enterobacteriaceae_Shimwellia                    -          LKAP-GutHK_B04_030   -                6     975      18     997      14     998    1422    +      3e-297  987.4  22.8  -
Alteromonadaceae_Catenovulum                     -          LKAP-GutHK_B04_030   -               28     988      18     995       2     998    1451    +    3.9e-297  986.8  22.1  -
Morganellaceae_Morganella                        -          LKAP-GutHK_B04_030   -               17     944      68     997      61     999    1356    +    6.5e-297  986.4  22.0  -
Colwelliaceae_Colwellia                          -          LKAP-GutHK_B04_030   -               27     995      17     995       2     998    1485    +    4.5e-296  983.4  22.7  -
Pectobacteriaceae_Sodalis                        -          LKAP-GutHK_B04_030   -               65     992      67     996      44     998    1511    +    4.7e-296  983.3  22.1  -
Moritellaceae_Paramoritella                      -          LKAP-GutHK_B04_030   -               28     993      18     995       2     999    1512    +      3e-295  980.5  23.0  -
Budviciaceae_Budvicia                            -          LKAP-GutHK_B04_030   -               89    1012      66     991      43     998    1536    +    3.6e-295  980.3  22.0  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-GutHK_B04_030   -               34    1001      17     997       2     999    1502    +    4.3e-295  980.2  22.9  -
Aeromonadaceae_Zobellella                        -          LKAP-GutHK_B04_030   -               34    1004      17     997       2     998    1478    +    8.1e-295  979.0  22.9  -
Alteromonadaceae_Marinobacterium                 -          LKAP-GutHK_B04_030   -               27     997      17     997       2     998    1465    +    1.4e-294  978.4  23.1  -
Psychromonadaceae_Psychromonas                   -          LKAP-GutHK_B04_030   -               27     993      17     993       2     998    1467    +    2.6e-294  977.6  22.5  -
Colwelliaceae_Thalassomonas                      -          LKAP-GutHK_B04_030   -               27     993      17     995       2     998    1462    +      5e-294  976.6  22.7  -
Alteromonadaceae_Alishewanella                   -          LKAP-GutHK_B04_030   -               63     987      70     996      49     998    1426    +    6.1e-294  976.3  22.3  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-GutHK_B04_030   -               42    1008      17     995       2     998    1490    +    8.7e-294  975.7  22.5  -
Morganellaceae_Providencia                       -          LKAP-GutHK_B04_030   -               35    1001      17     995       2     998    1489    +      4e-292  970.3  23.2  -
Thorselliaceae_Thorsellia                        -          LKAP-GutHK_B04_030   -                9     967      18     990      11     998    1421    +    7.3e-292  969.3  22.8  -
Pectobacteriaceae_Lonsdalea                      -          LKAP-GutHK_B04_030   -                1     917      78     996      78     998    1345    +    4.2e-291  967.0  20.9  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-GutHK_B04_030   -                3     969      18     995      16     998    1410    +    7.5e-291  965.9  22.8  -
Morganellaceae_Proteus                           -          LKAP-GutHK_B04_030   -               38    1003      18     993       2     998    1494    +    1.3e-290  965.3  22.5  -
Morganellaceae_Photorhabdus                      -          LKAP-GutHK_B04_030   -               71     996      67     992      38     998    1478    +    1.5e-290  965.5  21.8  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-GutHK_B04_030   -               38     999      18     997       2     999    1495    +    3.4e-290  963.6  22.5  -
Hafniaceae_Edwardsiella                          -          LKAP-GutHK_B04_030   -               69     992      65     990      43     997    1466    +    7.3e-290  962.7  21.8  -
