# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       2     938    1466    +           0 1089.4  18.4  -
Vibrionaceae_Photobacterium                      -          A0516_LKAP-FHGF1_D07_057 -               23     963       5     938       2     938    1487    +           0 1061.2  18.4  -
Vibrionaceae_Aliivibrio                          -          A0516_LKAP-FHGF1_D07_057 -               48     977       6     938       2     938    1474    +           0 1051.6  18.5  -
Vibrionaceae_Enterovibrio                        -          A0516_LKAP-FHGF1_D07_057 -               24     957       6     938       3     938    1499    +    1.2e-307 1021.4  18.4  -
Vibrionaceae_Grimontia                           -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       3     938    1493    +    3.6e-293  973.6  18.3  -
Shewanellaceae_Shewanella                        -          A0516_LKAP-FHGF1_D07_057 -               23     955       5     938       2     938    1483    +    3.3e-290  963.8  18.1  -
Ferrimonadaceae_Ferrimonas                       -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       2     938    1475    +      2e-288  957.7  18.4  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          A0516_LKAP-FHGF1_D07_057 -               23     947       5     938       2     938    1461    +    1.6e-284  944.9  17.5  -
Yersiniaceae_Serratia                            -          A0516_LKAP-FHGF1_D07_057 -               28     957       6     938       3     938    1491    +      3e-284  944.1  18.5  -
Erwiniaceae_Erwinia                              -          A0516_LKAP-FHGF1_D07_057 -               24     953       6     938       3     938    1495    +    1.5e-283  941.9  18.5  -
Colwelliaceae_Thalassotalea                      -          A0516_LKAP-FHGF1_D07_057 -               24     951       6     938       3     938    1463    +    4.5e-282  937.0  18.5  -
Alteromonadaceae_Agarivorans                     -          A0516_LKAP-FHGF1_D07_057 -               31     960       6     938       3     938    1454    +    2.9e-281  934.3  18.4  -
Alteromonadaceae_Catenovulum                     -          A0516_LKAP-FHGF1_D07_057 -               24     945       6     938       2     938    1451    +    2.4e-280  931.0  18.1  -
Enterobacteriaceae_Enterobacter                  -          A0516_LKAP-FHGF1_D07_057 -               22     949       6     938       2     938    1476    +    3.6e-279  927.3  18.5  -
Pectobacteriaceae_Pectobacterium                 -          A0516_LKAP-FHGF1_D07_057 -               32     961       6     938       2     938    1499    +    4.6e-279  927.0  18.5  -
Enterobacteriaceae_Salmonella                    -          A0516_LKAP-FHGF1_D07_057 -               20     949       6     938       3     938    1457    +    1.2e-278  925.7  18.5  -
Idiomarinaceae_Idiomarina                        -          A0516_LKAP-FHGF1_D07_057 -               29     959       6     938       3     938    1471    +    1.5e-278  925.0  18.2  -
Colwelliaceae_Colwellia                          -          A0516_LKAP-FHGF1_D07_057 -               24     953       6     938       3     938    1485    +    4.3e-278  923.7  18.4  -
Enterobacteriaceae_Cronobacter                   -          A0516_LKAP-FHGF1_D07_057 -                1     930       6     938       6     938    1422    +    1.3e-277  922.1  18.6  -
Erwiniaceae_Tatumella                            -          A0516_LKAP-FHGF1_D07_057 -               24     953       6     938       3     938    1490    +    8.5e-277  919.5  18.6  -
