# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          B0929_LKAP-FHGF1_C08_060 -               21     824       6     808       1     809    1467    +    2.3e-259  857.6  18.8  -
Idiomarinaceae                   -          B0929_LKAP-FHGF1_C08_060 -               21     809       6     790       1     806    1466    +    4.4e-256  846.7  18.3  -
Aeromonadaceae                   -          B0929_LKAP-FHGF1_C08_060 -               31     839       4     809       1     809    1496    +      2e-255  844.5  18.9  -
Ferrimonadaceae                  -          B0929_LKAP-FHGF1_C08_060 -               25     835       8     809       1     809    1475    +    2.1e-255  844.5  19.0  -
Hafniaceae                       -          B0929_LKAP-FHGF1_C08_060 -               19     819       8     809       2     809    1459    +    2.8e-255  844.2  19.1  -
Budviciaceae                     -          B0929_LKAP-FHGF1_C08_060 -                9     815       4     809       1     809    1483    +    1.4e-248  822.1  19.0  -
Psychromonadaceae                -          B0929_LKAP-FHGF1_C08_060 -               21     825       6     809       1     809    1467    +    2.3e-244  808.2  19.0  -
Moritellaceae                    -          B0929_LKAP-FHGF1_C08_060 -               38     836       8     803       2     809    1501    +    3.5e-244  807.4  18.5  -
Colwelliaceae                    -          B0929_LKAP-FHGF1_C08_060 -               22     823       7     808       1     809    1465    +    3.5e-244  807.6  18.9  -
Thorselliaceae                   -          B0929_LKAP-FHGF1_C08_060 -                1     794      11     809      11     809    1419    +    3.1e-240  794.4  19.5  -
Unclassified_Oceanospirillales   -          B0929_LKAP-FHGF1_C08_060 -               24     800       4     784       1     804    1483    +    1.8e-239  791.7  18.2  -
Celerinatantimonadaceae          -          B0929_LKAP-FHGF1_C08_060 -               15     830       5     809       1     809    1433    +    3.2e-235  777.9  18.9  -
Alcanivoracaceae                 -          B0929_LKAP-FHGF1_C08_060 -               39     819       4     784       1     804    1504    +    7.4e-235  776.4  18.4  -
Halothiobacillaceae              -          B0929_LKAP-FHGF1_C08_060 -               39     821       7     787       2     807    1501    +    5.6e-231  763.7  18.3  -
