# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moritellaceae                    -          B2b_reverse          -              469    1430    1033      52    1055      34    1501    -           0 1032.7  10.4  -
Unclassified_Alteromonadales     -          B2b_reverse          -              452    1411    1033      54    1054      39    1467    -           0 1031.4  10.5  -
Ferrimonadaceae                  -          B2b_reverse          -              478    1422    1010      53    1053      32    1475    -           0 1028.1  10.7  -
Aeromonadaceae                   -          B2b_reverse          -              481    1425    1011      54    1045      34    1496    -    1.6e-303 1004.5  10.6  -
Colwelliaceae                    -          B2b_reverse          -              450    1409    1034      55    1055      35    1465    -    2.6e-303 1004.1  10.5  -
Alcanivoracaceae                 -          B2b_reverse          -              466    1429    1037      54    1060      34    1504    -    2.8e-298  987.2  10.4  -
Hafniaceae                       -          B2b_reverse          -              448    1405    1031      54    1053      34    1459    -      8e-298  985.7  10.4  -
Unclassified_Oceanospirillales   -          B2b_reverse          -              448    1409    1036      55    1058      41    1483    -    1.1e-297  985.2  10.5  -
Idiomarinaceae                   -          B2b_reverse          -              467    1412    1011      54    1051      34    1466    -    5.5e-296  979.5  10.6  -
Spongiibacteraceae               -          B2b_reverse          -              448    1408    1034      54    1056      34    1462    -      4e-292  966.8  10.5  -
Budviciaceae                     -          B2b_reverse          -              458    1401    1010      54    1052      34    1483    -    6.5e-292  966.2  10.6  -
Psychromonadaceae                -          B2b_reverse          -              448    1413    1037      52    1073      32    1467    -      2e-291  964.6  10.2  -
Kangiellaceae                    -          B2b_reverse          -              464    1421    1032      54    1055      34    1479    -    1.1e-287  952.2  10.5  -
Celerinatantimonadaceae          -          B2b_reverse          -              447    1418    1039      54    1071      44    1433    -    6.5e-287  949.7  10.4  -
Thioalkalispiraceae              -          B2b_reverse          -              466    1426    1034      55    1055      35    1478    -    7.8e-287  949.3  10.5  -
Halieaceae                       -          B2b_reverse          -              452    1410    1033      55    1054      35    1484    -      2e-285  944.7  10.5  -
Litoricolaceae                   -          B2b_reverse          -              458    1416    1033      54    1055      42    1474    -    6.9e-282  933.1  10.6  -
Saccharospirillaceae             -          B2b_reverse          -              451    1403    1025      55    1052      35    1468    -    9.2e-282  932.6  10.6  -
Orbaceae                         -          B2b_reverse          -              481    1433    1025      54    1045      34    1538    -    3.1e-280  927.4  10.7  -
Halothiobacillaceae              -          B2b_reverse          -              470    1429    1032      54    1055      36    1501    -    1.4e-279  925.3  10.5  -
Succinivibrionaceae              -          B2b_reverse          -              398    1389    1064      53    1080      35    1474    -    1.4e-276  915.4  10.4  -
Granulosicoccaceae               -          B2b_reverse          -              452    1412    1033      55    1055      43    1471    -    3.8e-276  914.1  10.6  -
Thermoleophilaceae               -          B2b_reverse          -              445    1417    1036      55    1056      34    1486    -    1.1e-274  909.1  10.7  -
Microbulbiferaceae               -          B2b_reverse          -              447    1401    1031      57    1052      46    1478    -    6.4e-274  906.8  10.6  -
Coxiellaceae                     -          B2b_reverse          -              460    1414    1032      57    1052      36    1473    -    2.7e-273  904.6  10.9  -
Arenicellaceae                   -          B2b_reverse          -              447    1403    1033      55    1055      46    1488    -    1.4e-271  898.9  10.7  -
Thorselliaceae                   -          B2b_reverse          -              433    1384    1014      50    1035      30    1419    -    9.6e-270  892.7  10.6  -
Wenzhouxiangellaceae             -          B2b_reverse          -              456    1414    1032      56    1052      41    1472    -    2.7e-266  881.2  11.1  -
Nevskiaceae                      -          B2b_reverse          -              423    1404    1061      55    1081      35    1470    -    4.1e-266  881.0  10.4  -
Acidiferrobacteraceae            -          B2b_reverse          -              437    1399    1038      57    1059      37    1456    -    4.6e-266  880.6  10.6  -
Desulfohalobiaceae               -          B2b_reverse          -              473    1435    1039      59    1067      36    1510    -    1.3e-265  879.1  10.5  -
Cardiobacteriaceae               -          B2b_reverse          -              449    1412    1039      54    1060      34    1462    -    3.3e-265  878.0  10.3  -
Hydrogenophilaceae               -          B2b_reverse          -              447    1406    1032      55    1052      35    1462    -    6.1e-265  877.1  10.9  -
Desulfobulbaceae                 -          B2b_reverse          -              448    1429    1053      52    1074      31    1482    -    4.2e-263  870.7  10.4  -
Sulfuricellaceae                 -          B2b_reverse          -              449    1408    1032      54    1052      34    1462    -    1.8e-262  868.7  10.8  -
Salinisphaeraceae                -          B2b_reverse          -              440    1395    1032      57    1052      41    1432    -    3.1e-259  858.0  11.0  -
Unclassified_Thiotrichales       -          B2b_reverse          -              478    1425    1014      55    1035      34    1517    -    2.8e-258  854.7  11.4  -
Unclassified_Deltaproteobacteria -          B2b_reverse          -              483    1450    1033      50    1054      29    1518    -    6.3e-258  853.7  10.7  -
Geobacteraceae                   -          B2b_reverse          -              467    1424    1038      62    1059      38    1485    -    1.5e-257  852.3  10.4  -
Syntrophaceae                    -          B2b_reverse          -              477    1445    1038      51    1058      29    1556    -    1.6e-256  849.0  10.5  -
Nitrosomonadaceae                -          B2b_reverse          -              447    1407    1035      56    1056      35    1463    -    4.3e-256  847.7  10.9  -
Acidithiobacillaceae             -          B2b_reverse          -              436    1400    1040      57    1061      37    1457    -    4.7e-256  847.3  10.7  -
Desulfuromonadaceae              -          B2b_reverse          -              478    1440    1038      58    1059      38    1519    -    4.3e-254  840.9  10.4  -
Azonexaceae                      -          B2b_reverse          -              459    1408    1018      56    1039      40    1474    -    1.8e-252  835.7  11.1  -
Zoogloeaceae                     -          B2b_reverse          -              466    1413    1013      54    1053      34    1474    -    3.6e-252  834.5  11.0  -
Methylothermaceae                -          B2b_reverse          -              487    1432    1011      57    1031      40    1491    -    1.8e-250  828.9  11.3  -
Francisellaceae                  -          B2b_reverse          -              456    1410    1025      54    1045      34    1509    -    5.5e-250  827.3  10.8  -
Thiobacilliaceae                 -          B2b_reverse          -              456    1420    1042      54    1063      34    1517    -    8.2e-249  823.5  10.7  -
Methylophilaceae                 -          B2b_reverse          -              470    1394     984      53    1026      33    1430    -    3.6e-248  821.2  10.8  -
Sutterellaceae                   -          B2b_reverse          -              430    1400    1057      57    1078      36    1487    -    2.8e-247  818.1  10.8  -
Desulfomicrobiaceae              -          B2b_reverse          -              468    1417    1034      65    1055      42    1495    -    3.6e-246  814.7  10.8  -
Sporolactobacillaceae            -          B2b_reverse          -              456    1405    1035      67    1057      47    1503    -      1e-244  809.8  10.8  -
Deferribacteraceae               -          B2b_reverse          -              461    1420    1033      63    1054      55    1514    -    7.5e-244  806.9  11.3  -
Desulfarculaceae                 -          B2b_reverse          -              476    1435    1035      55    1055      34    1516    -    1.5e-243  806.0  10.5  -
Unclassified_Acidobacteria       -          B2b_reverse          -              483    1437    1032      57    1052      36    1505    -    5.3e-243  804.6  11.4  -
Thermithiobacillaceae            -          B2b_reverse          -              453    1389    1004      57    1030      47    1419    -    1.2e-242  803.1  11.0  -
Nautiliaceae                     -          B2b_reverse          -              418    1370    1035      64    1061      43    1428    -    1.5e-241  799.6  10.9  -
Spirillaceae                     -          B2b_reverse          -              459    1425    1036      52    1060      41    1447    -    1.4e-240  796.4  10.7  -
Unclassified_Alphaproteobacteria -          B2b_reverse          -              405    1344    1023      65    1053      44    1412    -    2.9e-240  795.4  11.1  -
Aerococcaceae                    -          B2b_reverse          -              461    1407    1036      68    1058      47    1474    -    5.2e-240  794.3  10.5  -
Hyphomonadaceae                  -          B2b_reverse          -              371    1323    1062      66    1075      46    1399    -    6.3e-240  794.2   9.5  -
Heliobacteriaceae                -          B2b_reverse          -              450    1401    1032      63    1052      41    1502    -    3.6e-238  788.2  11.2  -
Leptospiraceae                   -          B2b_reverse          -              432    1374    1007      58    1028      38    1433    -    2.4e-236  782.1  11.0  -
Bdellovibrionaceae               -          B2b_reverse          -              446    1375    1000      57    1021      37    1430    -    9.5e-236  780.1  11.0  -
Sneathiellaceae                  -          B2b_reverse          -              411    1359    1032      65    1054      44    1427    -    1.1e-234  776.6  11.0  -
Unclassified_Rhizobiales         -          B2b_reverse          -              406    1353    1032      65    1055      45    1437    -    4.9e-234  774.6  11.2  -
Desulfonatronaceae               -          B2b_reverse          -              454    1411    1046      66    1062      48    1495    -    4.4e-233  771.2  10.7  -
Listeriaceae                     -          B2b_reverse          -              447    1388    1033      70    1047      48    1448    -      8e-233  770.6  10.8  -
Myxococcaceae                    -          B2b_reverse          -              489    1449    1013      36    1052      27    1517    -    1.2e-232  769.8  11.4  -
Erythrobacteraceae               -          B2b_reverse          -              410    1348    1011      61    1034      38    1433    -    2.1e-232  769.1  11.3  -
Unclassified_Calditrichaeota     -          B2b_reverse          -              467    1418    1032      63    1047      42    1483    -    1.8e-230  762.8  11.2  -
Caldicoprobacteraceae            -          B2b_reverse          -              480    1425    1006      63    1026      49    1531    -    2.8e-230  762.0  11.2  -
Cystobacteraceae                 -          B2b_reverse          -              474    1431    1011      38    1039      27    1491    -    6.6e-230  760.7  11.5  -
Holophagaceae                    -          B2b_reverse          -              467    1417    1033      63    1054      45    1502    -    1.1e-229  760.3  11.1  -
Natranaerobiaceae                -          B2b_reverse          -              427    1371    1030      66    1045      43    1426    -    5.4e-229  757.7  10.8  -
Aurantimonadaceae                -          B2b_reverse          -              425    1355    1012      66    1053      45    1444    -    3.6e-228  755.3  11.1  -
Puniceicoccaceae                 -          B2b_reverse          -              487    1408    1004      68    1025      53    1485    -    4.5e-228  754.6  10.7  -
Beijerinckiaceae                 -          B2b_reverse          -              408    1357    1033      65    1057      49    1421    -      1e-227  753.6  11.3  -
Caulobacteraceae                 -          B2b_reverse          -              395    1318    1033      65    1059      44    1418    -    3.4e-227  751.9   9.8  -
Nitrospiraceae                   -          B2b_reverse          -              452    1405    1012      57    1033      36    1480    -    4.7e-227  751.4  11.3  -
Nannocystaceae                   -          B2b_reverse          -              458    1415    1034      55    1054      35    1487    -    6.3e-226  747.7  11.0  -
Gemmatimonadaceae                -          B2b_reverse          -              473    1396    1005      71    1032      51    1525    -    9.5e-226  747.1  11.1  -
Bacteriovoracaceae               -          B2b_reverse          -              460    1410    1032      63    1052      42    1473    -    1.5e-225  746.3  10.7  -
Anaeroplasmataceae               -          B2b_reverse          -              469    1387    1011      68    1032      48    1453    -    4.2e-225  744.9  10.7  -
Halanaerobiaceae                 -          B2b_reverse          -              481    1448    1037      52    1059      32    1506    -    3.1e-224  741.8  11.1  -
Rubrobacteraceae                 -          B2b_reverse          -              455    1399    1032      67    1043      47    1494    -    4.8e-224  741.4  11.4  -
Haliangiaceae                    -          B2b_reverse          -              482    1437    1032      57    1052      38    1507    -    4.9e-223  738.1  11.1  -
Polyangiaceae                    -          B2b_reverse          -              481    1440    1032      56    1052      35    1550    -    2.7e-222  735.6  10.9  -
Brucellaceae                     -          B2b_reverse          -              413    1346    1011      66    1036      48    1412    -      3e-222  735.7  11.4  -
Acidobacteriaceae                -          B2b_reverse          -              403    1386    1064      56    1084      35    1463    -      3e-222  735.3  10.8  -
Thermodesulfobacteriaceae        -          B2b_reverse          -              464    1429    1033      63    1054      43    1498    -    3.4e-222  735.4  10.8  -
Eggerthellaceae                  -          B2b_reverse          -              399    1376    1070      60    1090      39    1449    -    6.6e-222  734.4  11.7  -
Rickettsiaceae                   -          B2b_reverse          -              400    1358    1042      65    1066      49    1430    -    6.7e-222  734.3  10.6  -
Symbiobacteriaceae               -          B2b_reverse          -              475    1410    1006      63    1027      42    1487    -    1.1e-221  733.8  11.3  -
Acidimicrobiaceae                -          B2b_reverse          -              416    1399    1069      62    1089      41    1463    -      2e-221  732.8  11.0  -
