# target name                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP.g-Gut1_D06_042.seq -               25    1112       3    1091       1    1091    1475    +           0 1193.5  22.9  -
Unclassified_Alteromonadales     -          LKAP.g-Gut1_D06_042.seq -               24    1102       2    1091       1    1091    1467    +           0 1185.8  22.1  -
Aeromonadaceae                   -          LKAP.g-Gut1_D06_042.seq -               36    1116       2    1091       1    1091    1496    +           0 1146.7  22.4  -
Hafniaceae                       -          LKAP.g-Gut1_D06_042.seq -               20    1096       4    1091       1    1091    1459    +           0 1144.1  22.5  -
Budviciaceae                     -          LKAP.g-Gut1_D06_042.seq -               14    1092       2    1091       1    1091    1483    +           0 1129.6  22.2  -
Idiomarinaceae                   -          LKAP.g-Gut1_D06_042.seq -               24    1103       2    1091       1    1091    1466    +           0 1127.8  22.2  -
Colwelliaceae                    -          LKAP.g-Gut1_D06_042.seq -               24    1101       2    1091       1    1091    1465    +           0 1124.3  22.2  -
Moritellaceae                    -          LKAP.g-Gut1_D06_042.seq -               39    1119       2    1091       1    1091    1501    +           0 1117.9  22.1  -
Unclassified_Oceanospirillales   -          LKAP.g-Gut1_D06_042.seq -               29    1100       2    1090       1    1091    1483    +           0 1102.5  22.4  -
Psychromonadaceae                -          LKAP.g-Gut1_D06_042.seq -               24    1102       2    1091       1    1091    1467    +           0 1099.4  22.0  -
Thorselliaceae                   -          LKAP.g-Gut1_D06_042.seq -               38    1069      55    1089      31    1091    1419    +           0 1090.3  21.9  -
Alcanivoracaceae                 -          LKAP.g-Gut1_D06_042.seq -               44    1121       2    1091       1    1091    1504    +           0 1082.5  22.4  -
Orbaceae                         -          LKAP.g-Gut1_D06_042.seq -               51    1125       2    1091       1    1091    1538    +           0 1059.6  22.2  -
Halieaceae                       -          LKAP.g-Gut1_D06_042.seq -               32    1101       2    1090       1    1091    1484    +           0 1059.2  22.7  -
Thioalkalispiraceae              -          LKAP.g-Gut1_D06_042.seq -               37    1118       2    1090       1    1091    1478    +           0 1057.3  22.2  -
Microbulbiferaceae               -          LKAP.g-Gut1_D06_042.seq -               24    1094       2    1090       1    1091    1478    +           0 1042.1  22.4  -
Saccharospirillaceae             -          LKAP.g-Gut1_D06_042.seq -               65    1095      52    1091      31    1091    1468    +           0 1041.3  22.1  -
Halothiobacillaceae              -          LKAP.g-Gut1_D06_042.seq -               41    1119       2    1090       1    1091    1501    +           0 1039.0  22.5  -
Celerinatantimonadaceae          -          LKAP.g-Gut1_D06_042.seq -               19    1109       2    1091       1    1091    1433    +           0 1037.6  22.1  -
Spongiibacteraceae               -          LKAP.g-Gut1_D06_042.seq -               28    1099       3    1091       1    1091    1462    +           0 1036.1  22.1  -
Kangiellaceae                    -          LKAP.g-Gut1_D06_042.seq -               33    1113       2    1090       1    1091    1479    +           0 1035.2  22.2  -
Litoricolaceae                   -          LKAP.g-Gut1_D06_042.seq -               32    1108       2    1091       1    1091    1474    +           0 1034.8  22.2  -
Succinivibrionaceae              -          LKAP.g-Gut1_D06_042.seq -               28    1078       3    1090       1    1091    1474    +           0 1025.1  22.1  -
Cardiobacteriaceae               -          LKAP.g-Gut1_D06_042.seq -               32    1104       2    1091       1    1091    1462    +    1.1e-305 1012.0  22.3  -
Thermoleophilaceae               -          LKAP.g-Gut1_D06_042.seq -               17    1092       2    1083       1    1091    1486    +    5.3e-305 1009.4  22.6  -
Nevskiaceae                      -          LKAP.g-Gut1_D06_042.seq -               33    1095       2    1090       1    1091    1470    +    5.9e-299  989.8  22.3  -
Coxiellaceae                     -          LKAP.g-Gut1_D06_042.seq -               24    1108       2    1091       1    1091    1473    +    4.8e-297  983.2  22.6  -
Granulosicoccaceae               -          LKAP.g-Gut1_D06_042.seq -               24    1102       2    1090       1    1091    1471    +    6.9e-294  972.8  22.3  -
Unclassified_Thiotrichales       -          LKAP.g-Gut1_D06_042.seq -               93    1118      59    1090      38    1091    1517    +      1e-292  968.7  21.4  -
Arenicellaceae                   -          LKAP.g-Gut1_D06_042.seq -               25    1094       3    1090       1    1091    1488    +    3.3e-290  960.6  22.5  -
Francisellaceae                  -          LKAP.g-Gut1_D06_042.seq -               34    1095       2    1083       1    1091    1509    +    1.1e-285  945.5  22.2  -
Acidiferrobacteraceae            -          LKAP.g-Gut1_D06_042.seq -               59    1094      54    1090      32    1091    1456    +    1.7e-285  945.0  22.1  -
Sulfuricellaceae                 -          LKAP.g-Gut1_D06_042.seq -               23    1101       1    1091       1    1091    1462    +    5.7e-285  943.2  22.5  -
Salinisphaeraceae                -          LKAP.g-Gut1_D06_042.seq -               14    1089       4    1091       1    1091    1432    +    6.1e-285  943.1  22.7  -
Hydrogenophilaceae               -          LKAP.g-Gut1_D06_042.seq -               23    1099       1    1090       1    1091    1462    +    2.3e-282  934.8  22.6  -
Unclassified_Deltaproteobacteria -          LKAP.g-Gut1_D06_042.seq -               40    1137       2    1090       1    1091    1518    +    4.6e-279  923.7  22.5  -
Geobacteraceae                   -          LKAP.g-Gut1_D06_042.seq -               32    1125       2    1091       1    1091    1485    +    4.2e-278  920.4  22.1  -
Methylophilaceae                 -          LKAP.g-Gut1_D06_042.seq -               46    1085      52    1090      30    1091    1430    +    7.8e-277  916.1  22.0  -
Syntrophaceae                    -          LKAP.g-Gut1_D06_042.seq -               41    1135       2    1091       1    1091    1556    +    5.4e-275  910.1  22.2  -
Desulfobulbaceae                 -          LKAP.g-Gut1_D06_042.seq -               24    1118       2    1090       1    1091    1482    +    1.3e-274  908.8  22.2  -
Azonexaceae                      -          LKAP.g-Gut1_D06_042.seq -               24    1103       1    1091       1    1091    1474    +    1.1e-271  899.3  22.5  -
Desulfohalobiaceae               -          LKAP.g-Gut1_D06_042.seq -               28    1130       2    1090       1    1091    1510    +    2.5e-271  897.9  22.7  -
Sutterellaceae                   -          LKAP.g-Gut1_D06_042.seq -               64    1097      52    1087      31    1091    1487    +    5.6e-271  896.6  22.1  -
Nitrosomonadaceae                -          LKAP.g-Gut1_D06_042.seq -               23    1101       1    1090       1    1091    1463    +    1.4e-270  895.7  22.5  -
Thermithiobacillaceae            -          LKAP.g-Gut1_D06_042.seq -                9    1081       2    1089       1    1091    1419    +    2.2e-270  894.8  22.2  -
Wenzhouxiangellaceae             -          LKAP.g-Gut1_D06_042.seq -               70    1107      56    1091      36    1091    1472    +    2.9e-270  894.3  21.3  -
Acidithiobacillaceae             -          LKAP.g-Gut1_D06_042.seq -               23    1094       2    1090       1    1091    1457    +    2.2e-269  891.4  22.5  -
Desulfuromonadaceae              -          LKAP.g-Gut1_D06_042.seq -               42    1136       2    1090       1    1091    1519    +      3e-269  891.0  22.3  -
Zoogloeaceae                     -          LKAP.g-Gut1_D06_042.seq -               30    1106       1    1091       1    1091    1474    +    4.3e-269  890.5  22.2  -
Methylothermaceae                -          LKAP.g-Gut1_D06_042.seq -               45    1124       2    1090       1    1091    1491    +    5.7e-268  886.8  22.6  -
Thiobacilliaceae                 -          LKAP.g-Gut1_D06_042.seq -               42    1116       1    1089       1    1091    1517    +    5.9e-268  886.9  22.2  -
Unclassified_Alphaproteobacteria -          LKAP.g-Gut1_D06_042.seq -               25    1048       3    1090       1    1091    1412    +    1.3e-267  886.0  21.4  -
Bdellovibrionaceae               -          LKAP.g-Gut1_D06_042.seq -               20    1068       2    1088       1    1091    1430    +      4e-265  877.4  22.1  -
Hyphomonadaceae                  -          LKAP.g-Gut1_D06_042.seq -               24    1048       2    1091       1    1091    1399    +    1.3e-264  875.9  20.8  -
Unclassified_Rhizobiales         -          LKAP.g-Gut1_D06_042.seq -               62    1044      56    1079      33    1091    1437    +    4.2e-260  860.9  21.1  -
Sneathiellaceae                  -          LKAP.g-Gut1_D06_042.seq -               29    1059       2    1087       1    1091    1427    +    1.4e-259  859.1  21.3  -
Erythrobacteraceae               -          LKAP.g-Gut1_D06_042.seq -               52    1048      56    1090      14    1091    1433    +    4.5e-258  854.1  20.7  -
Nautiliaceae                     -          LKAP.g-Gut1_D06_042.seq -               24    1067       2    1085       1    1091    1428    +    1.2e-257  852.8  22.9  -
Deferribacteraceae               -          LKAP.g-Gut1_D06_042.seq -               31    1117       2    1089       1    1091    1514    +    2.2e-256  848.3  22.4  -
Aurantimonadaceae                -          LKAP.g-Gut1_D06_042.seq -               68    1047      56    1079      35    1091    1444    +    2.5e-254  841.9  20.9  -
Unclassified_Acidobacteria       -          LKAP.g-Gut1_D06_042.seq -               44    1123       2    1083       1    1091    1505    +    1.5e-253  839.5  22.6  -
Anaplasmataceae                  -          LKAP.g-Gut1_D06_042.seq -               35    1075       2    1090       1    1091    1438    +    2.8e-253  838.4  21.4  -
Desulfomicrobiaceae              -          LKAP.g-Gut1_D06_042.seq -               34    1117       2    1089       1    1091    1495    +    3.7e-252  834.4  22.1  -
Brucellaceae                     -          LKAP.g-Gut1_D06_042.seq -               29    1041       2    1081       1    1091    1412    +    7.2e-251  830.4  21.4  -
Caulobacteraceae                 -          LKAP.g-Gut1_D06_042.seq -               24    1038       2    1085       1    1091    1418    +    4.1e-250  827.7  20.9  -
Beijerinckiaceae                 -          LKAP.g-Gut1_D06_042.seq -               66    1047      57    1078      35    1091    1421    +    1.5e-249  825.8  21.0  -
Kordiimonadaceae                 -          LKAP.g-Gut1_D06_042.seq -               24    1048       2    1081       1    1091    1423    +    4.5e-249  824.4  21.5  -
Kiloniellaceae                   -          LKAP.g-Gut1_D06_042.seq -               43    1076       2    1090       1    1091    1450    +    1.2e-248  822.6  21.5  -
Heliobacteriaceae                -          LKAP.g-Gut1_D06_042.seq -               41    1101       2    1090       1    1091    1502    +      8e-248  820.1  22.1  -
Desulfarculaceae                 -          LKAP.g-Gut1_D06_042.seq -               76    1129      56    1091      14    1091    1516    +      1e-247  819.7  21.5  -
Holophagaceae                    -          LKAP.g-Gut1_D06_042.seq -               77    1116      63    1090      51    1091    1502    +    2.2e-247  818.8  20.9  -
Aerococcaceae                    -          LKAP.g-Gut1_D06_042.seq -               25    1114       3    1091       1    1091    1474    +    4.1e-245  811.1  22.3  -
Halobacteriovoracaceae           -          LKAP.g-Gut1_D06_042.seq -               24    1117       2    1091       1    1091    1480    +    1.8e-243  805.5  22.0  -
Spirillaceae                     -          LKAP.g-Gut1_D06_042.seq -               39    1120       1    1090       1    1091    1447    +    2.2e-243  805.6  21.8  -
Haliangiaceae                    -          LKAP.g-Gut1_D06_042.seq -               40    1131       2    1090       1    1091    1507    +    2.3e-243  805.4  22.9  -
Cystobacteraceae                 -          LKAP.g-Gut1_D06_042.seq -               24    1101       2    1081       1    1091    1491    +    1.5e-241  799.2  22.0  -
Desulfonatronaceae               -          LKAP.g-Gut1_D06_042.seq -               24    1114       2    1091       1    1091    1495    +    1.8e-241  799.0  22.1  -
Parvularculaceae                 -          LKAP.g-Gut1_D06_042.seq -               44    1055       2    1079       1    1091    1429    +    6.4e-241  797.6  21.0  -
Bacteriovoracaceae               -          LKAP.g-Gut1_D06_042.seq -               62    1112      57    1091      35    1091    1473    +    4.3e-240  794.4  21.3  -
Oscillatoriales                  -          LKAP.g-Gut1_D06_042.seq -               55    1041      59    1084      37    1091    1445    +    6.4e-240  794.1  21.2  -
Myxococcaceae                    -          LKAP.g-Gut1_D06_042.seq -               38    1118       2    1082       1    1091    1517    +    8.5e-240  793.4  22.3  -
Leptospiraceae                   -          LKAP.g-Gut1_D06_042.seq -               53    1070      55    1090      33    1091    1433    +    9.2e-240  793.3  21.2  -
Chelatococcaceae                 -          LKAP.g-Gut1_D06_042.seq -               36    1045       3    1078       1    1090    1439    +      6e-238  787.6  21.8  -
Halanaerobiaceae                 -          LKAP.g-Gut1_D06_042.seq -               35    1135       2    1088       1    1091    1506    +    1.9e-237  785.6  22.7  -
Polyangiaceae                    -          LKAP.g-Gut1_D06_042.seq -               43    1133       2    1091       1    1091    1550    +    4.5e-237  784.4  22.5  -
Rubrobacteraceae                 -          LKAP.g-Gut1_D06_042.seq -               27    1098       5    1086       1    1091    1494    +    2.1e-236  782.2  22.9  -
