# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_A11_095_2018_2 -                9     914       7     912       2     912    1468    +           0 1071.8  21.6  -
Oceanospirillaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               12     924       7     912       3     912    1467    +    7.6e-296  979.8  21.1  -
Gammaproteobacteria       -          LKAP-TSAKG2_A11_095_2018_2 -               17     922      12     912       3     912    1481    +    3.3e-292  967.7  20.9  -
Alteromonadaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               14     922       9     912       3     912    1468    +    1.1e-291  966.1  21.0  -
Oceanospirillales         -          LKAP-TSAKG2_A11_095_2018_2 -               21     928      10     912       3     912    1489    +    2.2e-290  961.6  21.0  -
Hahellaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               12     921       7     912       2     912    1473    +    2.9e-289  958.1  21.1  -
Halomonadaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               15     922      10     912       3     912    1466    +      3e-288  954.6  20.9  -
Cellvibrionaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               16     922      11     912       3     912    1472    +    7.5e-284  940.1  20.9  -
Methylococcaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               29     930      10     912       3     912    1481    +    1.1e-282  936.2  21.1  -
Kangiellaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               24     935      10     912       3     912    1479    +    2.5e-282  935.1  20.9  -
Alcanivoracaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               35     942      10     912       3     912    1504    +    2.2e-281  931.8  21.0  -
Pseudomonadaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               24     927      12     912       3     912    1491    +    7.5e-281  930.1  20.4  -
Piscirickettsiaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               17     926      10     912       3     912    1466    +    4.5e-280  927.5  20.9  -
Chromatiaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               18     912      13     912       3     912    1455    +    1.9e-277  919.0  21.1  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_A11_095_2018_2 -               27     929      15     912       4     912    1463    +    2.2e-277  918.8  21.0  -
Spongiibacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               17     920       9     912       3     912    1462    +    1.1e-276  916.3  20.9  -
Saccharospirillaceae      -          LKAP-TSAKG2_A11_095_2018_2 -               15     916       9     912       2     912    1468    +    1.3e-276  916.2  21.1  -
Thioalkalispiraceae       -          LKAP-TSAKG2_A11_095_2018_2 -               39     941      20     912       4     912    1479    +    2.9e-275  911.6  20.5  -
Thiotrichaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               15     879      10     912       2     912    1421    +      2e-274  908.8  22.1  -
Litoricolaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               22     929       9     912       3     912    1474    +    1.5e-272  902.8  21.0  -
Halieaceae                -          LKAP-TSAKG2_A11_095_2018_2 -               23     923      10     912       3     912    1484    +    2.8e-272  901.8  20.9  -
Microbulbiferaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               15     916      10     912       3     912    1480    +    2.4e-271  898.9  21.1  -
Granulosicoccaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               17     924      12     912       4     912    1471    +      2e-270  895.8  20.8  -
Alteromonadales           -          LKAP-TSAKG2_A11_095_2018_2 -               14     924       9     912       3     912    1468    +    7.3e-267  883.5  21.0  -
Halothiobacillaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               32     941      10     912       3     912    1500    +    3.4e-265  878.4  21.0  -
Wenzhouxiangellaceae      -          LKAP-TSAKG2_A11_095_2018_2 -               27     928      20     912       3     912    1472    +    4.9e-264  874.4  20.6  -
Cardiobacteriaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               27     927      14     912       4     912    1464    +    4.3e-263  871.7  20.7  -
Idiomarinaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               15     924      10     912       3     912    1466    +    1.3e-261  866.2  20.9  -
Shewanellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               18     925      13     912       3     912    1483    +    1.7e-261  866.1  20.8  -
Chromobacteriaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               18     914      14     911       3     912    1460    +    2.7e-261  865.5  21.0  -
Pseudoalteromonadaceae    -          LKAP-TSAKG2_A11_095_2018_2 -               17     919      12     912       3     912    1469    +      4e-260  861.4  20.8  -
Ferrimonadaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               15     933      10     912       3     912    1475    +      2e-258  855.7  21.0  -
Lysobacteraceae           -          LKAP-TSAKG2_A11_095_2018_2 -               16     925      10     912       3     912    1484    +    5.3e-258  854.5  20.9  -
Nevskiaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               36     917      20     912       5     912    1470    +    6.7e-258  854.4  20.5  -
Coxiellaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               21     930      16     912       4     912    1475    +    1.3e-257  853.2  20.7  -
Colwelliaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               13     924       8     912       3     912    1467    +    2.9e-257  852.1  21.1  -
Moritellaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               27     940       7     912       3     912    1501    +    7.8e-257  850.5  21.1  -
Arenicellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               17     917      12     912       3     912    1488    +    9.1e-257  850.5  20.7  -
Legionellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               13     921      12     912       3     912    1446    +      1e-256  850.4  20.8  -
Thermoleophilaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               20     924      20     912       5     912    1494    +    9.1e-256  847.0  20.6  -
Aeromonadaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               27     937      10     912       3     912    1496    +    5.1e-255  844.4  20.9  -
Alcaligenaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               21     915      15     908       4     912    1467    +    1.2e-254  843.5  20.6  -
Burkholderiaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               21     912      15     908       4     912    1482    +    4.4e-254  841.6  20.3  -
Thiotrichales             -          LKAP-TSAKG2_A11_095_2018_2 -               36     942      11     912       4     912    1519    +    1.5e-253  839.5  21.4  -
Vibrionaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               16     933      11     912       3     912    1474    +    1.5e-253  839.6  20.9  -
Acidiferrobacteraceae     -          LKAP-TSAKG2_A11_095_2018_2 -               64     914      64     912      41     912    1454    +    1.6e-252  836.4  19.7  -
Neisseriaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               37     933      17     908       4     912    1477    +    1.5e-251  833.2  20.5  -
Succinivibrionaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               17     900       9     912       3     912    1473    +    1.3e-249  826.6  21.5  -
Rhodocyclaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               22     916      16     908       4     912    1484    +    5.3e-248  821.3  20.6  -
Salinisphaeraceae         -          LKAP-TSAKG2_A11_095_2018_2 -               15     908      20     912       8     912    1429    +    1.6e-247  819.8  20.5  -
Burkholderiales           -          LKAP-TSAKG2_A11_095_2018_2 -               22     913      16     908       4     912    1463    +    3.9e-246  815.2  20.4  -
Oxalobacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               22     914      16     908       4     912    1459    +    7.2e-245  811.1  20.7  -
Enterobacteriaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               17     923      12     912       3     912    1465    +    1.8e-244  809.7  20.8  -
Methylophilaceae          -          LKAP-TSAKG2_A11_095_2018_2 -                9     904      19     909      13     912    1431    +    3.7e-244  808.7  20.3  -
Rhodanobacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               19     925      13     912       3     912    1473    +    6.7e-244  807.8  20.8  -
Sulfuricellaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               24     918      17     909       4     912    1463    +    1.9e-243  806.3  20.7  -
Rhodospirillaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               18     871      11     912       3     912    1429    +    6.9e-243  804.6  21.0  -
Erwiniaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               11     918      11     912       3     912    1483    +    1.7e-241  799.8  20.8  -
Pasteurellaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               13     924       8     912       3     912    1422    +    5.1e-241  798.2  20.9  -
Pectobacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               13     920      11     912       3     912    1477    +      9e-241  797.3  20.8  -
Celerinatantimonadaceae   -          LKAP-TSAKG2_A11_095_2018_2 -                9     930       9     912       3     912    1433    +    4.6e-240  795.1  21.1  -
Psychromonadaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               13     923       8     912       3     912    1467    +    7.1e-240  794.4  21.0  -
Yersiniaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               15     923      10     912       3     912    1473    +    1.6e-239  793.2  20.9  -
Francisellaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               26     924      11     912       3     912    1508    +    5.3e-239  791.6  21.1  -
Hafniaceae                -          LKAP-TSAKG2_A11_095_2018_2 -                9     917      10     912       3     912    1459    +    5.2e-238  788.1  20.8  -
Sutterellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               20     916      15     908       3     912    1487    +    1.8e-237  786.3  20.7  -
Zoogloeaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               30     921      17     908       5     912    1474    +    5.6e-237  784.8  21.3  -
Hydrogenophilaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               21     914      15     908       5     912    1461    +    2.2e-236  783.0  20.3  -
Morganellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               18     926      10     912       3     912    1487    +    3.3e-236  782.4  20.9  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               14     867       9     912       3     912    1427    +    9.3e-236  780.9  21.2  -
Thermithiobacillaceae     -          LKAP-TSAKG2_A11_095_2018_2 -               12     902      20     912      12     912    1419    +    8.9e-235  777.6  20.3  -
Acetobacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               24     873      14     912       4     912    1438    +    1.3e-234  777.3  21.7  -
Rhodobiaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               22     875       7     912       3     912    1440    +    1.3e-234  777.2  20.9  -
Budviciaceae              -          LKAP-TSAKG2_A11_095_2018_2 -                7     913      12     912       6     912    1483    +    2.6e-234  775.9  20.8  -
Thiobacilliaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               43     933      18     908       4     912    1517    +    2.4e-233  772.9  21.1  -
Comamonadaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               22     912      16     908       4     912    1466    +    1.6e-231  766.5  20.8  -
Nitrosomonadaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               22     916      16     909       4     912    1461    +      1e-230  764.2  20.7  -
Alphaproteobacteria       -          LKAP-TSAKG2_A11_095_2018_2 -               16     865      11     912       3     912    1409    +      2e-230  763.4  20.8  -
Acidithiobacillaceae      -          LKAP-TSAKG2_A11_095_2018_2 -               26     914      20     912       4     912    1457    +    1.1e-229  760.5  20.8  -
Clostridiaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               41     912      20     912       5     912    1485    +    3.5e-228  755.5  21.1  -
Eubacteriaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               41     923      20     912       5     912    1485    +    1.2e-226  750.6  21.6  -
