# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_D06_042.seq -               27    1104       7    1082       3    1087    1402    +           0 1277.0  16.6  -
Hyphomonadaceae           -          LKAP-Gut2_D06_042.seq -               27    1100       7    1080       3    1087    1400    +           0 1150.5  16.4  -
Rhizobiaceae              -          LKAP-Gut2_D06_042.seq -               27    1098       7    1083       3    1087    1422    +           0 1122.9  16.4  -
Rhodobiaceae              -          LKAP-Gut2_D06_042.seq -               37    1108       7    1080       3    1087    1440    +           0 1122.4  16.5  -
Hyphomicrobiaceae         -          LKAP-Gut2_D06_042.seq -               27    1098       7    1080       3    1087    1427    +           0 1119.0  16.2  -
Phyllobacteriaceae        -          LKAP-Gut2_D06_042.seq -               27    1099       7    1082       3    1087    1424    +           0 1116.9  16.5  -
Methylocystaceae          -          LKAP-Gut2_D06_042.seq -               38    1108       7    1082       4    1087    1424    +           0 1115.0  16.4  -
Alphaproteobacteria       -          LKAP-Gut2_D06_042.seq -               27    1098       7    1080       3    1087    1409    +           0 1105.2  16.3  -
Rhodospirillaceae         -          LKAP-Gut2_D06_042.seq -               29    1105       7    1080       3    1087    1429    +           0 1098.3  16.2  -
Rhizobiales               -          LKAP-Gut2_D06_042.seq -               37    1110       7    1083       3    1087    1438    +           0 1097.0  16.4  -
Aurantimonadaceae         -          LKAP-Gut2_D06_042.seq -               44    1113       7    1082       4    1087    1442    +           0 1089.9  16.5  -
Brucellaceae              -          LKAP-Gut2_D06_042.seq -               33    1102       8    1082       4    1087    1411    +           0 1077.2  16.6  -
Xanthobacteraceae         -          LKAP-Gut2_D06_042.seq -               27    1098       7    1083       4    1087    1415    +           0 1073.2  16.7  -
Caulobacteraceae          -          LKAP-Gut2_D06_042.seq -               27    1095       7    1081       3    1087    1415    +           0 1068.7  16.3  -
Beijerinckiaceae          -          LKAP-Gut2_D06_042.seq -               40    1114       7    1083       3    1087    1421    +           0 1066.2  16.4  -
Sneathiellaceae           -          LKAP-Gut2_D06_042.seq -               33    1114       8    1080       4    1087    1427    +           0 1055.3  16.6  -
Bradyrhizobiaceae         -          LKAP-Gut2_D06_042.seq -               33    1101      12    1083       4    1087    1428    +           0 1052.9  16.2  -
Methylobacteriaceae       -          LKAP-Gut2_D06_042.seq -               27    1099       7    1083       3    1087    1426    +           0 1044.2  16.4  -
Sphingomonadaceae         -          LKAP-Gut2_D06_042.seq -               34    1106       7    1080       3    1087    1434    +           0 1035.5  16.1  -
Kordiimonadaceae          -          LKAP-Gut2_D06_042.seq -               28    1110       8    1081       3    1087    1421    +           0 1030.2  16.1  -
Parvularculaceae          -          LKAP-Gut2_D06_042.seq -               47    1117       7    1080       4    1087    1428    +           0 1030.3  16.2  -
Bartonellaceae            -          LKAP-Gut2_D06_042.seq -               27    1102       7    1083       3    1087    1410    +           0 1026.7  16.1  -
Erythrobacteraceae        -          LKAP-Gut2_D06_042.seq -               28    1100       7    1080       3    1087    1433    +           0 1022.2  16.2  -
Cohaesibacteraceae        -          LKAP-Gut2_D06_042.seq -               43    1118       3    1081       1    1087    1425    +    1.6e-307 1019.0  16.0  -
Chelatococcaceae          -          LKAP-Gut2_D06_042.seq -               38    1111       7    1082       3    1087    1439    +    5.9e-302 1000.7  16.3  -
Acetobacteraceae          -          LKAP-Gut2_D06_042.seq -               32    1107       7    1080       4    1087    1438    +    4.4e-296  981.2  16.5  -
Clostridiales             -          LKAP-Gut2_D06_042.seq -               87    1150      31    1080      10    1086    1470    +    1.7e-293  972.4  16.4  -
Eubacteriaceae            -          LKAP-Gut2_D06_042.seq -               73    1155      25    1080       5    1086    1485    +    6.3e-293  970.5  16.6  -
