# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_D06_042_2018_2 -               33     880      24     870      13     871    1491    +           0 1080.9  16.8  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_D06_042_2018_2 -               25     866      24     870      13     871    1446    +    2.4e-287  954.4  16.8  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_D06_042_2018_2 -               33     884      24     870      11     871    1465    +      5e-261  867.0  16.8  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_D06_042_2018_2 -               32     882      23     870      12     871    1478    +    2.8e-259  861.2  16.8  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_D06_042_2018_2 -               33     883      24     870      12     871    1463    +    3.9e-259  860.7  16.8  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_D06_042_2018_2 -               40     888      24     870      16     871    1502    +    2.3e-255  848.3  16.9  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_D06_042_2018_2 -               29     876      24     870      11     871    1463    +    2.3e-255  848.4  16.7  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_D06_042_2018_2 -               33     882      24     870      17     871    1480    +      6e-254  843.6  16.9  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_D06_042_2018_2 -               32     884      23     870      12     871    1467    +    4.2e-252  837.2  17.1  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_D06_042_2018_2 -               28     881      20     869       9     871    1461    +    3.9e-251  834.3  16.9  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_D06_042_2018_2 -               33     882      24     870      15     871    1463    +    4.5e-249  827.4  16.8  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_D06_042_2018_2 -               41     894      21     870       8     871    1516    +    5.8e-249  827.0  16.7  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_D06_042_2018_2 -               30     882      22     870      14     871    1471    +    2.2e-248  825.1  16.7  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_D06_042_2018_2 -               47     904      19     870       6     871    1504    +    2.7e-248  824.8  16.8  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_D06_042_2018_2 -               33     876      24     870      18     871    1451    +    2.2e-247  821.9  17.1  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_D06_042_2018_2 -               33     877      24     870      16     871    1480    +    2.2e-247  822.0  17.0  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_D06_042_2018_2 -               45     889      24     870      13     871    1482    +    4.1e-247  820.9  17.0  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_D06_042_2018_2 -               36     886      23     870      14     871    1461    +    5.6e-247  820.3  16.7  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_D06_042_2018_2 -               33     883      24     869      16     871    1484    +      3e-246  818.0  16.9  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_D06_042_2018_2 -               43     886      24     870      14     871    1512    +    1.3e-245  815.8  17.0  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_D06_042_2018_2 -               31     877      21     870       9     871    1459    +    2.1e-245  815.4  17.0  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_D06_042_2018_2 -               52     903      23     870      17     871    1505    +    3.5e-245  814.4  17.0  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_D06_042_2018_2 -               22     875      20     870      11     871    1445    +    4.2e-245  814.0  16.9  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_D06_042_2018_2 -               60     908      24     870      14     871    1539    +    6.3e-245  813.7  16.9  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_D06_042_2018_2 -               53     905      24     870      17     871    1524    +    1.1e-244  812.9  16.9  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_D06_042_2018_2 -               54     903      24     870      13     871    1495    +      3e-244  811.4  16.9  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_D06_042_2018_2 -               33     881      24     869      16     871    1463    +    5.3e-244  810.6  17.0  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_D06_042_2018_2 -               41     895      24     870      13     871    1478    +    1.2e-243  809.4  16.8  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_D06_042_2018_2 -               26     876      24     867      15     871    1483    +    3.9e-243  807.5  16.8  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_D06_042_2018_2 -               33     882      24     869      17     871    1462    +    5.7e-243  807.3  17.1  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_D06_042_2018_2 -               43     887      24     869       7     871    1477    +    1.4e-242  805.8  17.0  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_D06_042_2018_2 -               33     882      24     864      10     871    1472    +    1.6e-242  805.6  16.8  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_D06_042_2018_2 -               53     896      24     870      13     871    1467    +    1.3e-241  802.6  16.9  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_D06_042_2018_2 -               52     894      24     870      14     871    1475    +    1.3e-241  802.6  16.8  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_D06_042_2018_2 -               53     896      24     870      14     871    1500    +    2.4e-240  798.3  16.8  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-TSAKG2_D06_042_2018_2 -               33     885      24     870      13     871    1471    +    7.7e-240  796.9  16.7  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-TSAKG2_D06_042_2018_2 -                2     845      31     870      30     871    1318    +    9.6e-240  796.6  16.6  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-TSAKG2_D06_042_2018_2 -               60     909      24     870      10     871    1541    +    4.5e-239  794.0  16.9  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_D06_042_2018_2 -               53     898      24     870      18     871    1500    +    9.1e-239  793.3  17.3  -
