# target name                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP.g-Gut1_C01_011.seq -               24    1172       5    1155       2    1158    1475    +           0 1242.9  23.2  -
Unclassified_Alteromonadales     -          LKAP.g-Gut1_C01_011.seq -               24    1162       5    1155       2    1158    1467    +           0 1231.8  22.6  -
Aeromonadaceae                   -          LKAP.g-Gut1_C01_011.seq -               36    1176       5    1155       2    1158    1496    +           0 1195.7  22.7  -
Hafniaceae                       -          LKAP.g-Gut1_C01_011.seq -               19    1156       6    1155       2    1158    1459    +           0 1192.3  22.8  -
Budviciaceae                     -          LKAP.g-Gut1_C01_011.seq -               14    1152       5    1155       2    1158    1483    +           0 1178.1  22.5  -
Idiomarinaceae                   -          LKAP.g-Gut1_C01_011.seq -               24    1163       5    1155       2    1158    1466    +           0 1174.3  22.6  -
Colwelliaceae                    -          LKAP.g-Gut1_C01_011.seq -               24    1161       5    1155       2    1158    1465    +           0 1171.5  22.7  -
Moritellaceae                    -          LKAP.g-Gut1_C01_011.seq -               39    1179       5    1155       2    1158    1501    +           0 1164.1  22.5  -
Psychromonadaceae                -          LKAP.g-Gut1_C01_011.seq -               24    1162       5    1155       2    1158    1467    +           0 1148.9  22.4  -
Unclassified_Oceanospirillales   -          LKAP.g-Gut1_C01_011.seq -               29    1161       5    1155       2    1158    1483    +           0 1148.1  22.8  -
Thorselliaceae                   -          LKAP.g-Gut1_C01_011.seq -               38    1130      58    1155      34    1158    1419    +           0 1125.1  22.3  -
Alcanivoracaceae                 -          LKAP.g-Gut1_C01_011.seq -               44    1180       5    1155       2    1158    1504    +           0 1124.4  22.7  -
Orbaceae                         -          LKAP.g-Gut1_C01_011.seq -               51    1184       5    1155       2    1158    1538    +           0 1102.4  22.8  -
Halieaceae                       -          LKAP.g-Gut1_C01_011.seq -               32    1162       5    1155       2    1158    1484    +           0 1102.4  23.1  -
Thioalkalispiraceae              -          LKAP.g-Gut1_C01_011.seq -               37    1178       5    1155       2    1158    1478    +           0 1097.3  22.7  -
Microbulbiferaceae               -          LKAP.g-Gut1_C01_011.seq -               24    1155       5    1155       2    1158    1478    +           0 1085.6  22.8  -
Celerinatantimonadaceae          -          LKAP.g-Gut1_C01_011.seq -               19    1169       5    1155       2    1158    1433    +           0 1084.1  22.6  -
Saccharospirillaceae             -          LKAP.g-Gut1_C01_011.seq -               65    1155      55    1155      34    1158    1468    +           0 1083.0  22.7  -
Spongiibacteraceae               -          LKAP.g-Gut1_C01_011.seq -               27    1159       5    1155       2    1158    1462    +           0 1079.9  22.5  -
Halothiobacillaceae              -          LKAP.g-Gut1_C01_011.seq -               40    1179       4    1155       2    1158    1501    +           0 1078.5  22.7  -
Litoricolaceae                   -          LKAP.g-Gut1_C01_011.seq -               31    1167       4    1155       2    1158    1474    +           0 1074.6  22.6  -
Kangiellaceae                    -          LKAP.g-Gut1_C01_011.seq -               33    1172       5    1155       2    1158    1479    +           0 1071.4  22.4  -
Succinivibrionaceae              -          LKAP.g-Gut1_C01_011.seq -               28    1133       6    1145       3    1157    1474    +           0 1069.2  21.9  -
Thermoleophilaceae               -          LKAP.g-Gut1_C01_011.seq -               17    1168       5    1155       3    1158    1486    +           0 1053.1  22.6  -
Cardiobacteriaceae               -          LKAP.g-Gut1_C01_011.seq -               32    1163       5    1155       2    1158    1462    +           0 1047.8  22.7  -
Coxiellaceae                     -          LKAP.g-Gut1_C01_011.seq -               24    1168       5    1155       2    1158    1473    +           0 1029.4  22.9  -
Nevskiaceae                      -          LKAP.g-Gut1_C01_011.seq -               33    1154       5    1155       2    1158    1470    +           0 1025.2  22.4  -
Granulosicoccaceae               -          LKAP.g-Gut1_C01_011.seq -               24    1163       5    1155       2    1158    1471    +    6.9e-307 1015.9  22.7  -
Unclassified_Thiotrichales       -          LKAP.g-Gut1_C01_011.seq -               93    1177      62    1155      40    1158    1517    +    5.4e-303 1002.9  22.0  -
Arenicellaceae                   -          LKAP.g-Gut1_C01_011.seq -               24    1155       5    1155       2    1158    1488    +    2.6e-302 1000.8  23.0  -
Salinisphaeraceae                -          LKAP.g-Gut1_C01_011.seq -               13    1147       6    1155       2    1158    1432    +    5.3e-297  983.2  22.9  -
Acidiferrobacteraceae            -          LKAP.g-Gut1_C01_011.seq -               59    1153      57    1155      35    1158    1456    +    1.8e-296  981.4  22.4  -
Sulfuricellaceae                 -          LKAP.g-Gut1_C01_011.seq -               23    1159       4    1155       2    1158    1462    +    3.1e-295  977.3  22.6  -
Hydrogenophilaceae               -          LKAP.g-Gut1_C01_011.seq -               23    1158       4    1155       2    1158    1462    +    1.4e-292  968.7  23.0  -
Francisellaceae                  -          LKAP.g-Gut1_C01_011.seq -               34    1093       5    1082       2    1135    1509    +    4.8e-292  966.7  20.9  -
Unclassified_Deltaproteobacteria -          LKAP.g-Gut1_C01_011.seq -               40    1197       5    1155       2    1158    1518    +    5.8e-291  963.2  22.6  -
Geobacteraceae                   -          LKAP.g-Gut1_C01_011.seq -               32    1183       5    1155       2    1158    1485    +    3.4e-289  957.2  22.3  -
Methylophilaceae                 -          LKAP.g-Gut1_C01_011.seq -               46    1144      55    1155      33    1158    1430    +    1.1e-287  952.2  22.2  -
Desulfobulbaceae                 -          LKAP.g-Gut1_C01_011.seq -               24    1178       5    1155       2    1158    1482    +    3.7e-285  943.8  22.3  -
Syntrophaceae                    -          LKAP.g-Gut1_C01_011.seq -               41    1193       5    1155       2    1158    1556    +    5.2e-285  943.4  22.3  -
Desulfohalobiaceae               -          LKAP.g-Gut1_C01_011.seq -               28    1191       5    1155       2    1158    1510    +    6.4e-285  943.0  23.0  -
Thermithiobacillaceae            -          LKAP.g-Gut1_C01_011.seq -                9    1143       5    1155       2    1158    1419    +    6.1e-283  936.6  22.6  -
Wenzhouxiangellaceae             -          LKAP.g-Gut1_C01_011.seq -               70    1166      59    1155      39    1158    1472    +    6.8e-282  932.9  21.9  -
Azonexaceae                      -          LKAP.g-Gut1_C01_011.seq -               24    1161       4    1155       2    1158    1474    +    3.5e-281  930.9  22.7  -
Sutterellaceae                   -          LKAP.g-Gut1_C01_011.seq -               23    1154       4    1155       2    1158    1487    +      4e-281  930.3  22.9  -
Nitrosomonadaceae                -          LKAP.g-Gut1_C01_011.seq -               23    1160       4    1155       2    1158    1463    +    4.9e-281  930.4  22.9  -
Desulfuromonadaceae              -          LKAP.g-Gut1_C01_011.seq -               42    1195       5    1155       2    1158    1519    +    4.9e-281  930.2  22.4  -
Acidithiobacillaceae             -          LKAP.g-Gut1_C01_011.seq -               23    1154       5    1155       2    1158    1457    +    9.1e-281  929.2  23.0  -
Zoogloeaceae                     -          LKAP.g-Gut1_C01_011.seq -               30    1164       4    1155       2    1158    1474    +    1.1e-279  925.7  22.5  -
Unclassified_Alphaproteobacteria -          LKAP.g-Gut1_C01_011.seq -               24    1107       5    1155       2    1158    1412    +    3.4e-279  924.4  21.7  -
Thiobacilliaceae                 -          LKAP.g-Gut1_C01_011.seq -               42    1171       4    1155       2    1158    1517    +    8.3e-278  919.6  22.9  -
Methylothermaceae                -          LKAP.g-Gut1_C01_011.seq -               45    1183       5    1154       2    1158    1491    +    1.1e-277  919.1  23.0  -
Hyphomonadaceae                  -          LKAP.g-Gut1_C01_011.seq -               24    1108       5    1155       2    1158    1399    +    2.2e-276  915.0  21.4  -
Bdellovibrionaceae               -          LKAP.g-Gut1_C01_011.seq -               20    1129       5    1155       3    1158    1430    +      1e-274  909.2  22.4  -
Unclassified_Rhizobiales         -          LKAP.g-Gut1_C01_011.seq -               62    1116      59    1155      35    1158    1437    +    6.1e-272  900.2  21.3  -
Sneathiellaceae                  -          LKAP.g-Gut1_C01_011.seq -               29    1122       5    1155       2    1158    1427    +    7.8e-271  896.5  21.5  -
Erythrobacteraceae               -          LKAP.g-Gut1_C01_011.seq -               52    1107      59    1155      17    1158    1433    +    7.3e-270  893.3  20.9  -
Nautiliaceae                     -          LKAP.g-Gut1_C01_011.seq -               24    1131       5    1155       2    1158    1428    +    6.7e-268  886.9  23.2  -
Deferribacteraceae               -          LKAP.g-Gut1_C01_011.seq -               31    1179       5    1155       2    1158    1514    +    1.9e-267  885.1  22.8  -
Unclassified_Acidobacteria       -          LKAP.g-Gut1_C01_011.seq -               44    1191       5    1155       3    1158    1505    +    2.8e-267  885.1  22.7  -
Anaplasmataceae                  -          LKAP.g-Gut1_C01_011.seq -               35    1136       5    1155       2    1157    1438    +    6.2e-267  883.7  21.4  -
Aurantimonadaceae                -          LKAP.g-Gut1_C01_011.seq -               68    1119      59    1155      38    1158    1444    +    6.5e-266  880.3  21.3  -
Desulfomicrobiaceae              -          LKAP.g-Gut1_C01_011.seq -               34    1179       5    1155       3    1158    1495    +    3.9e-264  874.2  22.4  -
Beijerinckiaceae                 -          LKAP.g-Gut1_C01_011.seq -               66    1120      60    1155      38    1158    1421    +    5.9e-262  867.0  21.3  -
Brucellaceae                     -          LKAP.g-Gut1_C01_011.seq -               29    1110       5    1155       2    1158    1412    +    1.6e-261  865.8  21.5  -
Holophagaceae                    -          LKAP.g-Gut1_C01_011.seq -               77    1177      66    1155      54    1157    1502    +    8.4e-261  863.4  21.6  -
Kordiimonadaceae                 -          LKAP.g-Gut1_C01_011.seq -               24    1117       5    1155       2    1158    1423    +    6.5e-260  860.4  21.6  -
Caulobacteraceae                 -          LKAP.g-Gut1_C01_011.seq -               24    1102       5    1155       2    1158    1418    +    1.9e-259  858.8  21.1  -
Kiloniellaceae                   -          LKAP.g-Gut1_C01_011.seq -               43    1134       5    1154       2    1158    1450    +    3.9e-259  857.5  21.5  -
Heliobacteriaceae                -          LKAP.g-Gut1_C01_011.seq -               41    1161       5    1155       2    1158    1502    +    7.8e-259  856.7  22.6  -
Desulfarculaceae                 -          LKAP.g-Gut1_C01_011.seq -               34    1187       6    1155       2    1158    1516    +    1.9e-257  852.1  22.1  -
Aerococcaceae                    -          LKAP.g-Gut1_C01_011.seq -               25    1172       6    1155       3    1158    1474    +    2.1e-255  845.3  22.4  -
Halobacteriovoracaceae           -          LKAP.g-Gut1_C01_011.seq -               24    1175       5    1155       3    1158    1480    +    1.1e-254  842.8  22.2  -
Oscillatoriales                  -          LKAP.g-Gut1_C01_011.seq -               55    1106      62    1155      40    1158    1445    +    3.1e-252  834.9  21.4  -
Desulfonatronaceae               -          LKAP.g-Gut1_C01_011.seq -               24    1174       5    1155       2    1158    1495    +    3.9e-252  834.4  22.5  -
Spirillaceae                     -          LKAP.g-Gut1_C01_011.seq -               39    1174       4    1155       2    1158    1447    +    5.8e-252  834.1  22.9  -
Cystobacteraceae                 -          LKAP.g-Gut1_C01_011.seq -               24    1166       5    1155       2    1158    1491    +    5.7e-251  830.5  22.2  -
Halanaerobiaceae                 -          LKAP.g-Gut1_C01_011.seq -               35    1197       5    1155       2    1158    1506    +    6.1e-251  830.4  23.2  -
Leptospiraceae                   -          LKAP.g-Gut1_C01_011.seq -               53    1128      58    1154      36    1158    1433    +    7.2e-251  830.2  21.4  -
Parvularculaceae                 -          LKAP.g-Gut1_C01_011.seq -               44    1126       5    1155       2    1158    1429    +    3.4e-250  828.4  21.2  -
Bacteriovoracaceae               -          LKAP.g-Gut1_C01_011.seq -               62    1170      60    1155      37    1158    1473    +    4.6e-250  827.5  21.7  -
Haliangiaceae                    -          LKAP.g-Gut1_C01_011.seq -               40    1187       5    1151       2    1158    1507    +    7.1e-250  827.0  23.2  -
Chelatococcaceae                 -          LKAP.g-Gut1_C01_011.seq -               35    1118       5    1155       2    1158    1439    +    2.1e-249  825.6  21.7  -
Myxococcaceae                    -          LKAP.g-Gut1_C01_011.seq -               38    1182       5    1155       3    1158    1517    +    4.6e-249  824.2  22.6  -
Acidimicrobiaceae                -          LKAP.g-Gut1_C01_011.seq -               44    1158       5    1155       2    1158    1463    +    4.1e-248  821.3  22.2  -
Chroococcales                    -          LKAP.g-Gut1_C01_011.seq -               66    1122      60    1155      38    1158    1444    +      1e-247  819.6  21.8  -
Unclassified_Calditrichaeota     -          LKAP.g-Gut1_C01_011.seq -               31    1178       5    1155       2    1158    1483    +    1.9e-247  819.1  22.3  -
Cohaesibacteraceae               -          LKAP.g-Gut1_C01_011.seq -               75    1126      62    1155      41    1158    1416    +    2.2e-247  818.8  20.6  -
Bartonellaceae                   -          LKAP.g-Gut1_C01_011.seq -               55    1108      61    1155      41    1158    1410    +    5.5e-247  817.4  21.4  -
Rubrobacteraceae                 -          LKAP.g-Gut1_C01_011.seq -               26    1162       7    1155       3    1158    1494    +    1.4e-246  816.1  23.0  -
Rickettsiaceae                   -          LKAP.g-Gut1_C01_011.seq -               24    1121       5    1155       2    1158    1430    +      2e-246  815.6  21.2  -
Nitrospiraceae                   -          LKAP.g-Gut1_C01_011.seq -               30    1157       5    1154       3    1158    1480    +    3.2e-246  814.9  23.1  -
Polyangiaceae                    -          LKAP.g-Gut1_C01_011.seq -               43    1193       5    1155       2    1158    1550    +    4.7e-246  814.3  22.9  -
Nakamurellaceae                  -          LKAP.g-Gut1_C01_011.seq -               24    1135       5    1155       2    1157    1462    +    1.4e-245  812.7  23.0  -
Sporolactobacillaceae            -          LKAP.g-Gut1_C01_011.seq -               25    1169       6    1155       3    1158    1503    +    1.5e-245  812.6  22.4  -
Acidaminococcaceae               -          LKAP.g-Gut1_C01_011.seq -               75    1181      63    1153      42    1158    1506    +    1.6e-243  805.8  21.7  -
Patulibacteraceae                -          LKAP.g-Gut1_C01_011.seq -               44    1169       5    1155       3    1158    1494    +    1.7e-242  802.3  22.5  -
Rhodothermaceae                  -          LKAP.g-Gut1_C01_011.seq -               24    1150       5    1154       2    1158    1457    +    2.5e-242  801.9  22.5  -
Frankiaceae                      -          LKAP.g-Gut1_C01_011.seq -               45    1148       5    1155       2    1158    1499    +    2.9e-242  801.9  22.7  -
Thermolithobacteraceae           -          LKAP.g-Gut1_C01_011.seq -               44    1216       5    1155       2    1158    1546    +    1.2e-241  799.4  23.6  -
Salinibacteraceae                -          LKAP.g-Gut1_C01_011.seq -               49    1154       5    1124       2    1146    1497    +    6.9e-241  797.2  21.7  -
Kineosporiaceae                  -          LKAP.g-Gut1_C01_011.seq -               32    1143       5    1155       2    1158    1463    +    3.5e-240  795.0  23.0  -
Unclassified_Corynebacterineae   -          LKAP.g-Gut1_C01_011.seq -               24    1137       5    1155       2    1158    1475    +    3.1e-239  791.8  22.8  -
Symbiobacteriaceae               -          LKAP.g-Gut1_C01_011.seq -               20    1171      10    1155       3    1158    1487    +    6.4e-239  790.9  23.2  -
Listeriaceae                     -          LKAP.g-Gut1_C01_011.seq -               13    1155       7    1155       3    1158    1448    +    6.6e-239  790.8  21.9  -
Chrysiogenaceae                  -          LKAP.g-Gut1_C01_011.seq -               77    1159      65    1155      43    1158    1513    +      1e-238  789.9  21.6  -
Tsukamurellaceae                 -          LKAP.g-Gut1_C01_011.seq -               43    1155       5    1155       2    1158    1495    +    2.4e-238  788.8  23.3  -
Glycomycetaceae                  -          LKAP.g-Gut1_C01_011.seq -               31    1157       5    1155       2    1157    1497    +    3.6e-238  788.3  22.7  -
Puniceicoccaceae                 -          LKAP.g-Gut1_C01_011.seq -               36    1138       7    1117       3    1142    1485    +    5.1e-238  787.6  20.3  -
Nannocystaceae                   -          LKAP.g-Gut1_C01_011.seq -               38    1167       5    1155       2    1158    1487    +    5.8e-238  787.6  22.5  -
Jiangellaceae                    -          LKAP.g-Gut1_C01_011.seq -               29    1146       4    1155       2    1158    1501    +    6.6e-238  787.3  22.8  -
Cellulomonadaceae                -          LKAP.g-Gut1_C01_011.seq -               28    1142       5    1155       2    1158    1461    +    7.8e-238  787.1  22.8  -
Dermacoccaceae                   -          LKAP.g-Gut1_C01_011.seq -               64    1135      62    1155      41    1158    1454    +    1.5e-237  786.0  22.3  -
Nostocales                       -          LKAP.g-Gut1_C01_011.seq -               24    1106       5    1155       2    1158    1457    +    1.2e-236  783.2  20.5  -
Bogoriellaceae                   -          LKAP.g-Gut1_C01_011.seq -               24    1146       5    1155       2    1158    1472    +    2.3e-236  782.1  22.5  -
Caldicoprobacteraceae            -          LKAP.g-Gut1_C01_011.seq -               40    1184       5    1155       2    1158    1531    +    7.4e-236  780.4  23.3  -
Demequinaceae                    -          LKAP.g-Gut1_C01_011.seq -               24    1140       5    1155       2    1158    1480    +    1.6e-235  779.4  22.6  -
Solirubrobacteraceae             -          LKAP.g-Gut1_C01_011.seq -                9    1147       6    1155       2    1158    1443    +    2.3e-235  778.7  22.4  -
Stigonematales                   -          LKAP.g-Gut1_C01_011.seq -               44    1129       5    1155       2    1158    1450    +    5.3e-235  777.8  21.6  -
Parviterribacteraceae            -          LKAP.g-Gut1_C01_011.seq -               24    1148       5    1154       2    1158    1456    +    6.6e-235  777.3  22.0  -
Natranaerobiaceae                -          LKAP.g-Gut1_C01_011.seq -                6    1134       8    1155       4    1158    1426    +    7.2e-235  777.1  23.1  -
Thermodesulfobacteriaceae        -          LKAP.g-Gut1_C01_011.seq -               24    1188       5    1154       3    1158    1498    +    7.6e-235  777.3  22.6  -
Balneolaceae                     -          LKAP.g-Gut1_C01_011.seq -               24    1118       5    1116       2    1143    1463    +    2.1e-233  772.3  20.9  -
Segniliparaceae                  -          LKAP.g-Gut1_C01_011.seq -               28    1137       5    1155       2    1158    1462    +    1.6e-232  769.6  22.7  -
Sanguibacteraceae                -          LKAP.g-Gut1_C01_011.seq -               87    1156      63    1155      41    1158    1483    +    5.1e-232  767.8  21.9  -
Caldilineaceae                   -          LKAP.g-Gut1_C01_011.seq -               31    1129       5    1155       2    1158    1434    +    6.2e-232  767.5  23.7  -
Unclassified_Actinomycetales     -          LKAP.g-Gut1_C01_011.seq -               44    1172       5    1155       2    1158    1533    +    7.6e-232  767.2  22.9  -
Desulfurellaceae                 -          LKAP.g-Gut1_C01_011.seq -               30    1192       5    1155       3    1158    1537    +      9e-232  767.0  22.5  -
Cryptosporangiaceae              -          LKAP.g-Gut1_C01_011.seq -               24    1131       5    1155       2    1158    1470    +    2.5e-231  765.5  22.9  -
Dermatophilaceae                 -          LKAP.g-Gut1_C01_011.seq -               29    1143       5    1155       2    1158    1481    +    3.5e-231  764.9  22.7  -
Beutenbergiaceae                 -          LKAP.g-Gut1_C01_011.seq -               23    1142       4    1155       2    1158    1473    +    3.5e-231  765.0  22.7  -
Dietziaceae                      -          LKAP.g-Gut1_C01_011.seq -               15    1126       5    1155       2    1158    1453    +    3.8e-231  764.9  23.3  -
Prochlorococcaceae               -          LKAP.g-Gut1_C01_011.seq -               31    1110       5    1155       2    1158    1465    +    8.7e-231  763.8  21.0  -
Conexibacteraceae                -          LKAP.g-Gut1_C01_011.seq -               88    1184      63    1155      41    1158    1536    +    2.8e-230  761.8  22.0  -
Gemmatimonadaceae                -          LKAP.g-Gut1_C01_011.seq -               80    1164      64    1155      43    1158    1525    +    5.5e-230  761.1  21.7  -
Jonesiaceae                      -          LKAP.g-Gut1_C01_011.seq -               92    1175      63    1155      43    1158    1513    +    1.2e-229  760.0  21.6  -
Dermabacteraceae                 -          LKAP.g-Gut1_C01_011.seq -               76    1146      63    1155      42    1158    1470    +    1.6e-229  759.4  22.3  -
Catenulisporaceae                -          LKAP.g-Gut1_C01_011.seq -               24    1134       5    1155       2    1158    1460    +    4.4e-229  758.1  22.9  -
Opitutaceae                      -          LKAP.g-Gut1_C01_011.seq -               26    1141       7    1117       3    1137    1481    +    4.4e-229  758.0  20.6  -
Bernardetiaceae                  -          LKAP.g-Gut1_C01_011.seq -               24    1127       5    1124       2    1146    1484    +      5e-229  757.8  20.2  -
Ruaniaceae                       -          LKAP.g-Gut1_C01_011.seq -               48    1173       5    1155       2    1158    1531    +    5.3e-229  757.6  22.0  -
Iamiaceae                        -          LKAP.g-Gut1_C01_011.seq -               24    1143       5    1155       3    1158    1480    +    6.9e-229  757.7  22.4  -
Anaerolineaceae                  -          LKAP.g-Gut1_C01_011.seq -               25    1123       6    1155       3    1158    1428    +    9.8e-229  757.4  23.5  -
Thermodesulfobiaceae             -          LKAP.g-Gut1_C01_011.seq -               40    1175       5    1154       3    1158    1524    +    2.9e-228  755.3  22.4  -
Acidobacteriaceae                -          LKAP.g-Gut1_C01_011.seq -               44    1138       5    1154       3    1158    1463    +      3e-228  755.2  21.8  -
Phormidiaceae                    -          LKAP.g-Gut1_C01_011.seq -               44    1128       5    1155       2    1158    1483    +    5.8e-228  754.7  21.9  -
Rubricoccaceae                   -          LKAP.g-Gut1_C01_011.seq -               29    1118       5    1113       2    1136    1451    +    2.7e-227  752.1  20.2  -
Defluviitaleaceae                -          LKAP.g-Gut1_C01_011.seq -               65    1130      63    1154      30    1158    1413    +    3.9e-227  751.7  21.6  -
Anaeroplasmataceae               -          LKAP.g-Gut1_C01_011.seq -               80    1152      59    1155      37    1158    1453    +    7.8e-227  750.7  22.3  -
Unclassified_Frankiales          -          LKAP.g-Gut1_C01_011.seq -               31    1141       5    1155       2    1158    1425    +      1e-226  750.4  23.0  -
Unclassified_Micrococcales       -          LKAP.g-Gut1_C01_011.seq -               24    1137       5    1155       2    1158    1475    +    3.2e-226  748.6  22.5  -
Sporichthyaceae                  -          LKAP.g-Gut1_C01_011.seq -               23    1134       4    1155       2    1158    1472    +    1.8e-225  746.2  22.8  -
Parachlamydiaceae                -          LKAP.g-Gut1_C01_011.seq -               68    1176      58    1155      38    1158    1529    +    1.3e-224  743.4  22.0  -
Chlorobiaceae                    -          LKAP.g-Gut1_C01_011.seq -               87    1134      66    1124      45    1145    1457    +    1.8e-224  742.7  20.5  -
Bryobacteraceae                  -          LKAP.g-Gut1_C01_011.seq -               43    1138       5    1155       2    1158    1416    +    3.1e-224  742.1  23.2  -
