# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          B1a2_forward         -                6    1015      18    1038      13    1058    1483    +           0 1143.8  25.2  -
Aeromonadaceae            -          B1a2_forward         -               18    1025      18    1036       9    1056    1496    +           0 1054.8  25.6  -
Ferrimonadaceae           -          B1a2_forward         -                6    1023      18    1038      14    1058    1475    +           0 1027.4  25.4  -
Gammaproteobacteria       -          B1a2_forward         -                6    1012      18    1038      14    1058    1481    +    3.4e-305 1011.1  25.3  -
Alteromonadales           -          B1a2_forward         -                6    1014      18    1038      14    1058    1468    +    5.3e-303 1003.7  25.2  -
Alteromonadaceae          -          B1a2_forward         -                6    1010      18    1036      14    1056    1468    +    1.2e-302 1002.8  25.5  -
Moritellaceae             -          B1a2_forward         -               21    1030      18    1038       9    1058    1501    +    2.2e-302 1001.8  25.1  -
Vibrionaceae              -          B1a2_forward         -                6    1021      18    1036      14    1056    1474    +      1e-299  993.0  25.5  -
Oceanospirillaceae        -          B1a2_forward         -                6    1013      18    1037      14    1057    1467    +    2.4e-295  978.5  25.5  -
Pseudoalteromonadaceae    -          B1a2_forward         -                6    1006      18    1035      14    1055    1469    +    3.2e-294  974.8  24.6  -
Pectobacteriaceae         -          B1a2_forward         -                3    1010      18    1038      16    1058    1477    +    3.7e-291  964.7  25.6  -
Cellvibrionaceae          -          B1a2_forward         -                6    1009      18    1035      13    1055    1472    +    4.3e-289  957.9  25.2  -
Colwelliaceae             -          B1a2_forward         -                6    1013      18    1037      14    1057    1467    +    7.4e-289  957.2  25.4  -
Yersiniaceae              -          B1a2_forward         -                6    1013      18    1038      14    1058    1473    +    8.9e-289  956.8  25.3  -
Morganellaceae            -          B1a2_forward         -                9    1015      18    1037      13    1058    1487    +    1.3e-288  956.5  25.3  -
Oceanospirillales         -          B1a2_forward         -               10    1013      16    1033      10    1053    1489    +    3.6e-288  954.7  25.5  -
Erwiniaceae               -          B1a2_forward         -                1    1008      18    1038      18    1058    1483    +    1.5e-287  952.8  25.6  -
Pseudomonadaceae          -          B1a2_forward         -               13    1015      18    1036      11    1056    1491    +    2.7e-287  951.9  24.9  -
Enterobacteriaceae        -          B1a2_forward         -                6    1013      18    1038      14    1058    1465    +    1.5e-286  949.5  25.4  -
Idiomarinaceae            -          B1a2_forward         -                6    1014      18    1038      13    1058    1466    +    7.1e-285  943.7  25.2  -
Spongiibacteraceae        -          B1a2_forward         -                9    1007      18    1035      13    1055    1462    +    1.7e-284  942.6  24.7  -
Hahellaceae               -          B1a2_forward         -                6     990      18    1011      14    1034    1473    +    1.1e-283  940.1  25.6  -
Methylococcaceae          -          B1a2_forward         -               20    1017      18    1035      11    1055    1481    +    8.9e-283  936.9  24.7  -
Chromatiaceae             -          B1a2_forward         -                6    1001      18    1037      14    1057    1455    +    1.1e-282  936.8  25.1  -
Piscirickettsiaceae       -          B1a2_forward         -                8    1016      18    1038      14    1057    1466    +    2.4e-282  935.4  25.3  -
