# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          B2b_reverse          -              449    1413    1038      54    1060      34    1483    -           0 1147.2  10.3  -
Vibrionaceae              -          B2b_reverse          -              448    1421    1051      54    1072      34    1474    -           0 1042.1  10.2  -
Gammaproteobacteria       -          B2b_reverse          -              447    1410    1037      54    1059      34    1481    -           0 1034.2  10.2  -
Moritellaceae             -          B2b_reverse          -              469    1430    1033      52    1055      34    1501    -           0 1030.9  10.4  -
Alteromonadales           -          B2b_reverse          -              452    1412    1033      54    1054      39    1468    -           0 1027.2  10.5  -
Alteromonadaceae          -          B2b_reverse          -              449    1409    1035      54    1056      38    1468    -           0 1025.1  10.5  -
Ferrimonadaceae           -          B2b_reverse          -              477    1421    1011      54    1053      34    1475    -           0 1023.1  10.6  -
Pseudoalteromonadaceae    -          B2b_reverse          -              447    1407    1034      54    1056      34    1469    -    1.8e-306 1015.4  10.4  -
Oceanospirillaceae        -          B2b_reverse          -              449    1412    1037      54    1059      34    1467    -    3.7e-304 1007.7  10.2  -
Colwelliaceae             -          B2b_reverse          -              452    1411    1034      55    1055      39    1467    -    3.6e-302 1001.3  10.5  -
Pectobacteriaceae         -          B2b_reverse          -              455    1408    1025      54    1051      34    1477    -    2.9e-301  998.2  10.6  -
Aeromonadaceae            -          B2b_reverse          -              466    1425    1033      54    1054      34    1496    -    8.1e-301  996.5  10.4  -
Morganellaceae            -          B2b_reverse          -              451    1413    1037      55    1060      34    1487    -    1.4e-300  996.1  10.3  -
Yersiniaceae              -          B2b_reverse          -              468    1411    1010      54    1052      34    1473    -    3.7e-300  994.5  10.5  -
Chromatiaceae             -          B2b_reverse          -              437    1400    1036      54    1058      36    1455    -      4e-298  987.9  10.4  -
Cellvibrionaceae          -          B2b_reverse          -              434    1410    1053      54    1074      39    1472    -    9.3e-298  986.6  10.2  -
Erwiniaceae               -          B2b_reverse          -              453    1405    1025      54    1052      34    1483    -    3.1e-297  984.9  10.6  -
Oceanospirillales         -          B2b_reverse          -              453    1415    1036      55    1058      41    1489    -    6.9e-297  983.5  10.5  -
Hahellaceae               -          B2b_reverse          -              445    1408    1038      55    1060      39    1473    -    1.5e-296  982.7  10.3  -
Methylococcaceae          -          B2b_reverse          -              459    1417    1032      55    1053      34    1481    -    2.7e-296  981.7  10.5  -
Hafniaceae                -          B2b_reverse          -              448    1405    1031      54    1053      35    1459    -    2.8e-296  981.6  10.4  -
Alcanivoracaceae          -          B2b_reverse          -              469    1429    1034      54    1056      35    1504    -    2.8e-296  981.5  10.5  -
Enterobacteriaceae        -          B2b_reverse          -              458    1410    1025      54    1052      34    1465    -    1.5e-295  979.3  10.7  -
Idiomarinaceae            -          B2b_reverse          -              459    1412    1024      54    1051      34    1466    -    6.4e-295  977.0  10.6  -
Thiotrichaceae            -          B2b_reverse          -              375    1367    1070      54    1090      33    1421    -    3.6e-294  974.6  10.4  -
Pseudomonadaceae          -          B2b_reverse          -              449    1415    1040      54    1072      34    1491    -    3.4e-293  971.4  10.3  -
Halomonadaceae            -          B2b_reverse          -              458    1408    1023      55    1045      35    1466    -    1.3e-292  969.4  11.0  -
Budviciaceae              -          B2b_reverse          -              458    1401    1010      54    1052      34    1483    -    8.1e-292  966.9  10.6  -
Spongiibacteraceae        -          B2b_reverse          -              447    1408    1035      54    1056      34    1462    -    2.8e-291  965.0  10.4  -
Psychromonadaceae         -          B2b_reverse          -              448    1413    1037      52    1073      32    1467    -    9.4e-291  963.4  10.2  -
Piscirickettsiaceae       -          B2b_reverse          -              452    1412    1035      54    1058      38    1466    -    4.6e-290  961.0  10.5  -
Ectothiorhodospiraceae    -          B2b_reverse          -              454    1416    1035      55    1056      34    1463    -    2.1e-287  952.4  10.6  -
Celerinatantimonadaceae   -          B2b_reverse          -              447    1418    1039      54    1071      44    1433    -    3.2e-287  951.8  10.5  -
Kangiellaceae             -          B2b_reverse          -              463    1421    1033      54    1056      34    1479    -    9.7e-287  950.0  10.5  -
Moraxellaceae             -          B2b_reverse          -              406    1402    1071      54    1085      34    1468    -    2.3e-286  949.0  10.3  -
Pasteurellaceae           -          B2b_reverse          -              456    1412    1032      54    1055      45    1422    -    5.5e-286  947.6  10.5  -
Thioalkalispiraceae       -          B2b_reverse          -              467    1427    1034      55    1055      35    1479    -    8.1e-286  946.9  10.5  -
Halieaceae                -          B2b_reverse          -              452    1410    1033      55    1054      35    1484    -    2.1e-285  945.6  10.5  -
Litoricolaceae            -          B2b_reverse          -              458    1416    1033      54    1055      42    1474    -    1.5e-281  933.0  10.6  -
Saccharospirillaceae      -          B2b_reverse          -              451    1403    1025      55    1052      35    1468    -    2.8e-281  932.0  10.6  -
Lysobacteraceae           -          B2b_reverse          -              451    1413    1035      55    1057      35    1484    -    1.1e-279  926.7  10.8  -
Orbaceae                  -          B2b_reverse          -              482    1434    1025      54    1051      34    1539    -    1.3e-279  926.4  10.6  -
Halothiobacillaceae       -          B2b_reverse          -              470    1429    1032      54    1055      35    1500    -    2.3e-278  922.3  10.5  -
Chromobacteriaceae        -          B2b_reverse          -              457    1402    1015      55    1039      34    1460    -    3.9e-277  918.4  11.0  -
Granulosicoccaceae        -          B2b_reverse          -              452    1412    1033      55    1055      42    1471    -    7.7e-276  914.0  10.6  -
Succinivibrionaceae       -          B2b_reverse          -              398    1389    1064      53    1081      37    1473    -    2.5e-275  912.2  10.4  -
Thermoleophilaceae        -          B2b_reverse          -              448    1421    1036      55    1056      34    1494    -    5.6e-275  911.0  10.7  -
Microbulbiferaceae        -          B2b_reverse          -              447    1401    1031      57    1052      46    1480    -    7.9e-273  904.1  10.6  -
Coxiellaceae              -          B2b_reverse          -              461    1416    1032      57    1052      35    1475    -    8.1e-272  900.6  10.9  -
Arenicellaceae            -          B2b_reverse          -              447    1403    1033      55    1055      46    1488    -    3.2e-271  898.8  10.7  -
Thorselliaceae            -          B2b_reverse          -              433    1384    1014      50    1035      30    1419    -    4.9e-269  891.3  10.6  -
Legionellaceae            -          B2b_reverse          -              455    1409    1025      54    1045      34    1446    -    9.9e-268  887.2  10.8  -
Hydrogenophilaceae        -          B2b_reverse          -              447    1405    1032      55    1052      35    1461    -      1e-267  887.2  10.9  -
Rhodocyclaceae            -          B2b_reverse          -              441    1408    1040      54    1073      34    1484    -    4.3e-267  885.0  10.6  -
Desulfobacteraceae        -          B2b_reverse          -              463    1450    1057      47    1077      26    1516    -    3.2e-266  882.1  10.3  -
Neisseriaceae             -          B2b_reverse          -              462    1423    1037      54    1059      33    1477    -    5.1e-266  881.5  10.6  -
Acidiferrobacteraceae     -          B2b_reverse          -              437    1397    1038      57    1059      37    1454    -    9.9e-266  880.5  10.6  -
Wenzhouxiangellaceae      -          B2b_reverse          -              456    1414    1032      56    1052      40    1472    -    1.3e-265  879.9  11.0  -
Nevskiaceae               -          B2b_reverse          -              423    1404    1061      55    1081      35    1470    -      5e-265  878.4  10.4  -
