# target name                            accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                    ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae_Nereida                 -          LKAP-Gut2_H09        -               51     573      13     510       4     530    1455    +     9.2e-09   31.2   1.2  -
Rhodobacteraceae_Litorimicrobium         -          LKAP-Gut2_H09        -               31     561      13     519       4     533    1386    +     1.9e-08   30.2   1.4  -
Rhodobacteraceae_Pseudohalocynthiibacter -          LKAP-Gut2_H09        -               33     559      15     514       4     532    1393    +     2.8e-08   29.7   1.4  -
Rhodobacteraceae_Pseudooctadecabacter    -          LKAP-Gut2_H09        -               31     345      13     312       4     495    1384    +     4.8e-08   28.9   0.5  -
Rhodobacteraceae_Thalassobacter          -          LKAP-Gut2_H09        -               53     577      15     512       4     531    1465    +     1.9e-07   26.8   1.2  -
Rhodobacteraceae_Pelagibaca              -          LKAP-Gut2_H09        -               56     551      17     501       4     522    1460    +     7.3e-07   24.8   0.8  -
Rhodobacteraceae_Marivivens              -          LKAP-Gut2_H09        -               63     556      41     514      18     531    1385    +     1.5e-06   23.9   0.9  -
Rhodobacteraceae_Frigidibacter           -          LKAP-Gut2_H09        -               55     581      17     519       4     532    1428    +     2.7e-06   23.1   1.1  -
Rhodobacteraceae_Aquimixticola           -          LKAP-Gut2_H09        -               63     531      41     502      17     522    1388    +     3.5e-06   22.7   0.6  -
Rhodobacteraceae_Boseongicola            -          LKAP-Gut2_H09        -               33     542      15     502       4     523    1391    +     3.7e-06   22.7   0.9  -
Rhodobacteraceae_Salinovum               -          LKAP-Gut2_H09        -               32     495      38     495      17     516    1334    +     5.1e-06   22.4   0.5  -
Rhodobacteraceae_Epibacterium            -          LKAP-Gut2_H09        -                4     526      16     513      13     532    1326    +     5.3e-06   22.3   1.2  -
Rhodobacteraceae_Pontibaca               -          LKAP-Gut2_H09        -               79     552      35     501      13     521    1434    +     7.6e-06   21.6   0.6  -
Rhodobacteraceae_Salipiger               -          LKAP-Gut2_H09        -               22     499      17     486       5     520    1364    +       1e-05   21.3   0.8  -
Rhodobacteraceae_Vadicella               -          LKAP-Gut2_H09        -               39     547      15     499       4     521    1439    +     1.1e-05   21.0   0.8  -
Rhodobacteraceae_Profundibacterium       -          LKAP-Gut2_H09        -               39     527      14     492       4     513    1436    +     1.3e-05   21.0   0.6  -
Rhodobacteraceae_Silicimonas             -          LKAP-Gut2_H09        -               39     557      15     510       4     530    1395    +     1.3e-05   20.8   0.9  -
Rhodobacteraceae_Roseibacterium          -          LKAP-Gut2_H09        -               35     553      17     511       5     531    1389    +     1.4e-05   20.8   1.0  -
Hyphomonadaceae_Marinicauda              -          LKAP-Gut2_H09        -               53     574      15     511       3     530    1428    +     2.3e-05   20.0   0.9  -
Rhodobacteraceae_Roseisalinus            -          LKAP-Gut2_H09        -               26     482      17     465       4     522    1421    +     2.8e-05   19.7   0.7  -
Rhodobacteraceae_Hwanghaeicola           -          LKAP-Gut2_H09        -               40     355      35     339      12     485    1350    +       4e-05   19.5   0.4  -
Rhodobacteraceae_Paenirhodobacter        -          LKAP-Gut2_H09        -               55     512      17     466       5     499    1428    +       7e-05   18.4   0.4  -
Rhodobacteraceae_Roseicyclus             -          LKAP-Gut2_H09        -               69     503      37     467      14     509    1435    +      0.0001   17.9   0.6  -
Xanthobacteraceae_Variibacter            -          LKAP-Gut2_H09        -               35     532      17     505       4     526    1407    +     0.00012   17.8   0.7  -
Rhodobacteraceae_Rubricella              -          LKAP-Gut2_H09        -               51     564      13     502       4     523    1416    +     0.00016   17.3   0.8  -
Rhodobacteraceae_Thiobacimonas           -          LKAP-Gut2_H09        -               55     527      17     481       5     505    1425    +     0.00022   16.7   0.6  -
Rhodobacteraceae_Dinoroseobacter         -          LKAP-Gut2_H09        -                8     483      43     498      36     522    1262    +     0.00025   16.8   0.5  -
Rhodobacteraceae_Pseudoroseicyclus       -          LKAP-Gut2_H09        -               60     521      38     493      15     514    1418    +      0.0004   16.0   0.5  -
Rhodobacteraceae_Roseibaca               -          LKAP-Gut2_H09        -               26     335      17     312       4     497    1425    +     0.00042   15.9   0.3  -
Rhodobacteraceae_Cereibacter             -          LKAP-Gut2_H09        -               55     551      43     519      19     531    1380    +     0.00047   15.8   0.8  -
Rhodobacteraceae_Tranquillimonas         -          LKAP-Gut2_H09        -               23     369      32     367      14     486    1364    +      0.0006   15.5   0.5  -
Rhodobacteraceae_Tabrizicola             -          LKAP-Gut2_H09        -               64     555      43     513      21     532    1388    +     0.00067   15.2   0.5  -
Rhodobiaceae_Roseospirillum              -          LKAP-Gut2_H09        -               17     477      39     495      28     516    1310    +      0.0012   14.5   0.2  -
Rhodobacteraceae_Rhodobaculum            -          LKAP-Gut2_H09        -               55     355      14     302       4     387    1436    +      0.0012   14.4   0.2  -
Rhodobacteraceae_Roseicitreum            -          LKAP-Gut2_H09        -               81     526      39     479      17     505    1429    +      0.0013   14.1   0.5  -
Rhodobacteraceae_Albirhodobacter         -          LKAP-Gut2_H09        -              152     554     126     511     100     530    1405    +        0.02   10.3   0.2  -
Erythrobacteraceae_Qipengyuania          -          LKAP-Gut2_H09        -              185     541     167     496      96     517    1452    +        0.02   10.1   0.4  -
Rhodobacteraceae_Donghicola              -          LKAP-Gut2_H09        -              132     329     107     294      23     314    1423    +       0.045    8.2   0.0  -
Pseudomonadaceae_Thiopseudomonas         -          LKAP-Gut2_H09        -              248     636     168     517     127     527    1505    +       0.058    8.5   0.5  -
Stigonematales_Iphinoe                   -          LKAP-Gut2_H09        -              158     366     116     314      15     362    1446    +        0.19    7.1   0.2  -
Burkholderiaceae_Hydromonas              -          LKAP-Gut2_H09        -              206     385     174     350     153     372    1418    +        0.25    6.7   0.3  -
Rhodobacteraceae_Maribius                -          LKAP-Gut2_H09        -              209     327     173     294     145     314    1407    +         0.4    5.3   1.3  -
Neisseriaceae_Eikenella                  -          LKAP-Gut2_H09        -              258     423     174     339     149     358    1503    +        0.43    5.7   0.4  -
Desulfobacteraceae_Desulfosalsimonas     -          LKAP-Gut2_H09        -              254     431     174     350     154     372    1469    +        0.47    5.7   0.1  -
Rhodothalassiaceae_Rhodothalassium       -          LKAP-Gut2_H09        -              199     378     174     353     152     481    1318    +        0.49    5.9   0.4  -
Rhodobacteraceae_Celeribacter            -          LKAP-Gut2_H09        -              163     338     120     294      86     320    1428    +        0.57    4.7   0.3  -
Alteromonadaceae_Planctobacterium        -          LKAP-Gut2_H09        -              245     376     172     304     147     332    1497    +           1    4.3   1.0  -
Burkholderiaceae_Paucimonas              -          LKAP-Gut2_H09        -              232     365     173     307     153     332    1488    +         1.1    4.4   0.9  -
Oceanospirillaceae_Pseudospirillum       -          LKAP-Gut2_H09        -              233     361     175     304     154     332    1459    +         1.9    3.8   0.9  -
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      /home/ubuntu/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-Gut2_H09.fa
# Target file:     /home/ubuntu/Github/Database/Genera_DB
# Option settings: nhmmscan --tblout /home/ubuntu/Github/Project_Mendel/Data/Genera_Search_Data/MSA_Scans_From_nhmmerscan/LKAP-Gut2_H09.txt --noali /home/ubuntu/Github/Database/Genera_DB /home/ubuntu/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-Gut2_H09.fa 
# Current dir:     /home/ubuntu/Github/Project_Mendel/source_code/Genera_Search
# Date:            Thu Jul 16 20:44:31 2020
# [ok]
