# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudoalteromonadaceae    -          LKAP.g-Gut1_E03_023.seq -               27    1051       5    1038       2    1040    1469    +           0 1237.4  16.8  -
Ferrimonadaceae           -          LKAP.g-Gut1_E03_023.seq -               27    1063       5    1036       1    1041    1475    +           0 1137.0  17.7  -
Shewanellaceae            -          LKAP.g-Gut1_E03_023.seq -               27    1055       5    1036       2    1041    1483    +           0 1116.4  17.4  -
Alteromonadales           -          LKAP.g-Gut1_E03_023.seq -               33    1055      10    1037       3    1040    1468    +           0 1105.8  17.1  -
Vibrionaceae              -          LKAP.g-Gut1_E03_023.seq -               27    1063       5    1036       2    1041    1474    +           0 1101.6  17.9  -
Alteromonadaceae          -          LKAP.g-Gut1_E03_023.seq -               27    1054       5    1038       2    1040    1468    +           0 1092.1  17.5  -
Gammaproteobacteria       -          LKAP.g-Gut1_E03_023.seq -               28    1054       6    1038       3    1040    1481    +           0 1090.0  17.6  -
Colwelliaceae             -          LKAP.g-Gut1_E03_023.seq -               27    1054       5    1036       3    1041    1467    +           0 1085.9  17.4  -
Moritellaceae             -          LKAP.g-Gut1_E03_023.seq -               42    1070       5    1036       3    1041    1501    +           0 1069.9  17.6  -
Idiomarinaceae            -          LKAP.g-Gut1_E03_023.seq -               27    1056       5    1038       2    1040    1466    +           0 1061.2  17.3  -
Aeromonadaceae            -          LKAP.g-Gut1_E03_023.seq -               39    1069       5    1038       2    1040    1496    +           0 1057.2  17.6  -
Yersiniaceae              -          LKAP.g-Gut1_E03_023.seq -               27    1053       5    1036       2    1041    1473    +           0 1051.8  17.5  -
Psychromonadaceae         -          LKAP.g-Gut1_E03_023.seq -               28    1053       6    1036       3    1041    1467    +           0 1042.3  17.2  -
Enterobacteriaceae        -          LKAP.g-Gut1_E03_023.seq -               27    1052       5    1035       2    1041    1465    +           0 1039.3  17.4  -
Hafniaceae                -          LKAP.g-Gut1_E03_023.seq -               21    1047       5    1036       2    1041    1459    +           0 1036.4  17.4  -
Oceanospirillaceae        -          LKAP.g-Gut1_E03_023.seq -               28    1054       6    1036       2    1041    1467    +           0 1035.4  17.4  -
Cellvibrionaceae          -          LKAP.g-Gut1_E03_023.seq -               27    1054       5    1038       2    1040    1472    +           0 1033.2  17.7  -
Pectobacteriaceae         -          LKAP.g-Gut1_E03_023.seq -               24    1050       5    1036       2    1041    1477    +           0 1031.2  17.4  -
Oceanospirillales         -          LKAP.g-Gut1_E03_023.seq -               33    1059       5    1037       3    1040    1489    +           0 1029.6  17.7  -
Erwiniaceae               -          LKAP.g-Gut1_E03_023.seq -               28    1048      10    1036       3    1041    1483    +           0 1028.5  17.4  -
Budviciaceae              -          LKAP.g-Gut1_E03_023.seq -               17    1043       5    1036       2    1041    1483    +           0 1024.8  17.4  -
Chromatiaceae             -          LKAP.g-Gut1_E03_023.seq -               29    1044       7    1038       2    1040    1455    +           0 1023.9  18.0  -
Piscirickettsiaceae       -          LKAP.g-Gut1_E03_023.seq -               30    1058       6    1038       3    1040    1466    +           0 1023.5  17.7  -
Pseudomonadaceae          -          LKAP.g-Gut1_E03_023.seq -               34    1059       5    1038       2    1040    1491    +    3.9e-307 1017.5  17.6  -
Morganellaceae            -          LKAP.g-Gut1_E03_023.seq -               30    1056       5    1036       2    1041    1487    +    5.5e-307 1017.2  17.6  -
Methylococcaceae          -          LKAP.g-Gut1_E03_023.seq -               41    1062       5    1038       3    1040    1481    +    4.7e-305 1010.6  17.8  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_E03_023.seq -               22    1062       5    1038       2    1040    1433    +    5.1e-304 1007.3  17.3  -
Hahellaceae               -          LKAP.g-Gut1_E03_023.seq -               27    1053       5    1038       1    1040    1473    +    5.5e-303 1003.8  17.5  -
Halieaceae                -          LKAP.g-Gut1_E03_023.seq -               36    1055       6    1038       3    1040    1484    +    1.8e-302 1002.0  17.5  -
Pasteurellaceae           -          LKAP.g-Gut1_E03_023.seq -               28    1054       6    1036       3    1041    1422    +    1.2e-301  999.3  17.4  -
Halothiobacillaceae       -          LKAP.g-Gut1_E03_023.seq -               45    1073       6    1038       3    1040    1500    +    1.7e-301  998.9  18.2  -
Moraxellaceae             -          LKAP.g-Gut1_E03_023.seq -               25    1045       6    1037       2    1040    1468    +    1.1e-300  996.3  17.6  -
Litoricolaceae            -          LKAP.g-Gut1_E03_023.seq -               35    1060       5    1037       2    1040    1474    +    5.7e-300  993.9  17.6  -
Alcanivoracaceae          -          LKAP.g-Gut1_E03_023.seq -               47    1074       5    1038       2    1040    1504    +    3.2e-299  991.1  17.7  -
Spongiibacteraceae        -          LKAP.g-Gut1_E03_023.seq -               30    1052       5    1038       2    1040    1462    +    4.9e-299  990.5  17.5  -
Microbulbiferaceae        -          LKAP.g-Gut1_E03_023.seq -               27    1048       5    1038       2    1040    1480    +    2.3e-296  982.0  17.1  -
Halomonadaceae            -          LKAP.g-Gut1_E03_023.seq -               27    1052       5    1036       2    1041    1466    +    6.1e-296  980.3  17.6  -
Lysobacteraceae           -          LKAP.g-Gut1_E03_023.seq -               28    1057       5    1038       2    1040    1484    +      1e-295  979.7  17.9  -
Ectothiorhodospiraceae    -          LKAP.g-Gut1_E03_023.seq -               34    1061       5    1038       2    1040    1463    +    2.5e-295  978.5  17.9  -
Cardiobacteriaceae        -          LKAP.g-Gut1_E03_023.seq -               37    1059       7    1038       3    1040    1464    +    7.1e-295  977.2  17.5  -
Thioalkalispiraceae       -          LKAP.g-Gut1_E03_023.seq -               45    1073      10    1038       2    1040    1479    +    1.9e-293  972.1  17.5  -
Succinivibrionaceae       -          LKAP.g-Gut1_E03_023.seq -               30    1032       5    1038       3    1040    1473    +      2e-290  962.1  18.0  -
Chromobacteriaceae        -          LKAP.g-Gut1_E03_023.seq -               32    1049      10    1038       2    1040    1460    +    8.6e-290  960.2  18.1  -
Saccharospirillaceae      -          LKAP.g-Gut1_E03_023.seq -               31    1046       7    1036       2    1041    1468    +    2.6e-288  955.1  17.2  -
Kangiellaceae             -          LKAP.g-Gut1_E03_023.seq -               36    1067       5    1038       2    1040    1479    +    2.8e-288  955.0  17.4  -
Orbaceae                  -          LKAP.g-Gut1_E03_023.seq -               61    1077      11    1036       3    1041    1539    +    2.1e-284  942.1  17.2  -
Thiotrichaceae            -          LKAP.g-Gut1_E03_023.seq -               27    1011       5    1038       2    1040    1421    +    2.9e-283  938.3  17.8  -
Thermoleophilaceae        -          LKAP.g-Gut1_E03_023.seq -               20    1057       5    1038       2    1040    1494    +    3.8e-283  938.0  17.4  -
Neisseriaceae             -          LKAP.g-Gut1_E03_023.seq -               41    1069       5    1038       2    1040    1477    +    1.1e-281  933.3  17.7  -
Rhodocyclaceae            -          LKAP.g-Gut1_E03_023.seq -               27    1054       5    1038       2    1040    1484    +    4.5e-281  931.1  18.5  -
Legionellaceae            -          LKAP.g-Gut1_E03_023.seq -               23    1053       5    1038       2    1040    1446    +    1.4e-280  929.7  17.6  -
Thorselliaceae            -          LKAP.g-Gut1_E03_023.seq -               39    1022      57    1036      34    1041    1419    +    2.1e-280  928.8  17.3  -
Coxiellaceae              -          LKAP.g-Gut1_E03_023.seq -               27    1062       5    1038       2    1040    1475    +    1.3e-278  923.1  18.0  -
Granulosicoccaceae        -          LKAP.g-Gut1_E03_023.seq -               27    1056       5    1038       3    1040    1471    +    2.5e-278  922.1  17.5  -
Rhodanobacteraceae        -          LKAP.g-Gut1_E03_023.seq -               28    1057       5    1038       2    1040    1473    +    6.1e-278  920.8  18.0  -
Nevskiaceae               -          LKAP.g-Gut1_E03_023.seq -               67    1049      59    1038      38    1040    1470    +    7.6e-277  917.4  16.9  -
Alcaligenaceae            -          LKAP.g-Gut1_E03_023.seq -               27    1053       5    1038       2    1040    1467    +    1.3e-275  913.1  17.6  -
Burkholderiaceae          -          LKAP.g-Gut1_E03_023.seq -               27    1050       5    1038       2    1040    1482    +    2.6e-274  908.8  18.3  -
Sulfuricellaceae          -          LKAP.g-Gut1_E03_023.seq -               28    1055       5    1038       2    1040    1463    +    1.2e-273  906.6  18.4  -
Thiotrichales             -          LKAP.g-Gut1_E03_023.seq -               47    1073       5    1037       3    1040    1519    +    1.2e-272  903.0  17.2  -
Salinisphaeraceae         -          LKAP.g-Gut1_E03_023.seq -               15    1040       5    1038       2    1040    1429    +    8.9e-272  900.4  17.9  -
Hydrogenophilaceae        -          LKAP.g-Gut1_E03_023.seq -               27    1052       5    1038       2    1040    1461    +    9.8e-271  897.1  18.2  -
Acidiferrobacteraceae     -          LKAP.g-Gut1_E03_023.seq -               64    1046      60    1038      42    1040    1454    +    1.1e-268  890.2  16.9  -
Oxalobacteraceae          -          LKAP.g-Gut1_E03_023.seq -               27    1052       5    1038       2    1040    1459    +      2e-268  889.4  18.5  -
Rhodospirillaceae         -          LKAP.g-Gut1_E03_023.seq -               53    1007      54    1038      30    1040    1429    +    1.7e-267  886.3  17.1  -
Sutterellaceae            -          LKAP.g-Gut1_E03_023.seq -               27    1054       5    1038       2    1040    1487    +    1.8e-267  886.0  18.2  -
Burkholderiales           -          LKAP.g-Gut1_E03_023.seq -               28    1051       6    1038       2    1040    1463    +      3e-266  882.0  18.1  -
Methylophilaceae          -          LKAP.g-Gut1_E03_023.seq -               10    1042       5    1038       2    1040    1431    +    1.4e-265  880.0  17.7  -
Thiobacilliaceae          -          LKAP.g-Gut1_E03_023.seq -               47    1071       6    1038       2    1040    1517    +    1.6e-265  879.7  18.8  -
Arenicellaceae            -          LKAP.g-Gut1_E03_023.seq -               47    1048      33    1038      12    1040    1488    +    4.1e-264  875.1  17.2  -
Francisellaceae           -          LKAP.g-Gut1_E03_023.seq -               69    1054      54    1036      27    1041    1508    +    4.5e-263  871.5  16.8  -
Zoogloeaceae              -          LKAP.g-Gut1_E03_023.seq -               35    1059       6    1038       2    1040    1474    +      1e-262  870.3  18.3  -
Comamonadaceae            -          LKAP.g-Gut1_E03_023.seq -               27    1050       5    1038       2    1040    1466    +    3.5e-260  861.7  18.1  -
Nitrosomonadaceae         -          LKAP.g-Gut1_E03_023.seq -               27    1053       5    1038       2    1040    1461    +    9.3e-260  860.7  18.6  -
Azonexaceae               -          LKAP.g-Gut1_E03_023.seq -               28    1056       5    1038       2    1040    1474    +    8.9e-259  857.4  18.3  -
