# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               16     946      13     947       6     947    1468    +           0 1102.4  19.5  -
Oceanospirillaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               29     956      20     947       7     947    1467    +    3.1e-303 1004.4  19.3  -
Gammaproteobacteria       -          LKAP-TSAKG2_B11_093_2018_2 -               31     954      23     947       8     947    1481    +    1.4e-301  998.8  19.2  -
Alteromonadaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               30     954      21     947       7     947    1468    +    7.6e-300  993.1  19.1  -
Oceanospirillales         -          LKAP-TSAKG2_B11_093_2018_2 -               36     960      22     947       8     947    1489    +    2.8e-296  981.2  19.1  -
Hahellaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               20     953      14     947       7     947    1473    +    7.1e-295  976.8  19.2  -
Halomonadaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               30     954      22     947       7     947    1466    +    7.7e-295  976.5  19.1  -
Cellvibrionaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               29     954      21     947       8     947    1472    +    2.6e-292  968.3  19.0  -
Methylococcaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               44     962      22     947       9     947    1481    +    9.2e-292  966.4  19.3  -
Pseudomonadaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               35     959      20     947       7     947    1491    +    1.1e-291  966.2  19.1  -
Kangiellaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               38     967      21     947       9     947    1479    +    4.7e-290  960.7  19.0  -
Alcanivoracaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               50     974      21     947       7     947    1504    +      5e-288  953.9  19.2  -
Spongiibacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               32     952      21     947       7     947    1462    +      9e-288  953.1  19.2  -
Chromatiaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               31     944      23     947       8     947    1455    +    1.5e-287  952.5  19.4  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_B11_093_2018_2 -               39     961      23     947       9     947    1463    +    3.1e-287  951.5  19.2  -
Piscirickettsiaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               34     958      23     947       8     947    1466    +    4.7e-287  950.7  19.2  -
Thioalkalispiraceae       -          LKAP-TSAKG2_B11_093_2018_2 -               43     973      23     947       9     947    1479    +    5.2e-286  947.3  18.9  -
Thiotrichaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               29     911      21     947       7     947    1421    +    5.3e-284  940.6  20.1  -
Halieaceae                -          LKAP-TSAKG2_B11_093_2018_2 -               73     955      67     947      45     947    1484    +    1.1e-281  933.0  19.7  -
Saccharospirillaceae      -          LKAP-TSAKG2_B11_093_2018_2 -               27     948      17     947       6     947    1468    +    3.1e-281  931.5  19.1  -
Microbulbiferaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               33     948      24     947       9     947    1480    +    5.4e-280  927.6  19.3  -
Granulosicoccaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               31     956      23     947      10     947    1471    +    1.2e-279  926.4  19.1  -
Litoricolaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               37     961      21     947       8     947    1474    +    2.2e-277  918.9  19.0  -
Alteromonadales           -          LKAP-TSAKG2_B11_093_2018_2 -               32     956      23     947       7     947    1468    +    4.3e-277  917.5  19.4  -
Halothiobacillaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               47     973      22     947       9     947    1500    +    6.5e-275  910.6  19.0  -
Wenzhouxiangellaceae      -          LKAP-TSAKG2_B11_093_2018_2 -               31     960      22     947       7     947    1472    +    3.4e-272  901.5  18.9  -
Cardiobacteriaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               38     959      22     947       9     947    1464    +    5.5e-272  901.2  19.2  -
Shewanellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               30     957      22     947       7     947    1483    +    1.5e-271  899.4  19.0  -
Chromobacteriaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               28     947      21     947       6     947    1460    +    2.3e-270  895.7  19.3  -
Idiomarinaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               29     956      21     947       7     947    1466    +    5.4e-270  894.1  19.1  -
Ferrimonadaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               29     965      21     947       7     947    1475    +    1.1e-269  893.0  18.9  -
Pseudoalteromonadaceae    -          LKAP-TSAKG2_B11_093_2018_2 -               29     951      21     947       8     947    1469    +    9.1e-269  890.1  18.9  -
Nevskiaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               67     949      66     947      45     947    1470    +    2.6e-268  889.0  19.6  -
Lysobacteraceae           -          LKAP-TSAKG2_B11_093_2018_2 -               30     957      21     947       7     947    1484    +    4.1e-268  888.1  19.2  -
Thermoleophilaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               21     956      20     947       8     947    1494    +    1.4e-267  886.2  19.3  -
Coxiellaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               31     962      23     947      12     947    1475    +    6.6e-267  884.1  19.1  -
Arenicellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               66     949      67     947      46     947    1488    +    1.2e-265  880.0  19.5  -
Colwelliaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               20     956      14     947       7     947    1467    +    1.9e-265  879.3  19.1  -
