# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-GutHK_G09_067   -               10     990       5     972       2     977    1475    +           0 1067.2  21.2  -
Unclassified_Alteromonadales     -          LKAP-GutHK_G09_067   -               10     978       5     970       2     976    1467    +           0 1066.2  21.2  -
Hafniaceae                       -          LKAP-GutHK_G09_067   -                8     975       9     973       2     976    1459    +           0 1049.7  21.1  -
Aeromonadaceae                   -          LKAP-GutHK_G09_067   -               22     996       5     974       2     977    1496    +           0 1047.7  21.2  -
Idiomarinaceae                   -          LKAP-GutHK_G09_067   -               10     980       5     971       2     975    1466    +    1.2e-306 1014.6  21.2  -
Budviciaceae                     -          LKAP-GutHK_G09_067   -                2     973       7     975       6     977    1483    +    2.1e-305 1010.7  21.5  -
Colwelliaceae                    -          LKAP-GutHK_G09_067   -               10     979       5     972       2     976    1465    +    4.1e-305 1009.8  21.1  -
Psychromonadaceae                -          LKAP-GutHK_G09_067   -               10     980       5     972       2     975    1467    +    7.4e-303 1002.3  21.2  -
Moritellaceae                    -          LKAP-GutHK_G09_067   -               26     996       6     971       2     976    1501    +      5e-302  999.4  21.1  -
Thorselliaceae                   -          LKAP-GutHK_G09_067   -                6     950      23     973      19     976    1419    +    2.9e-300  993.6  21.0  -
Unclassified_Oceanospirillales   -          LKAP-GutHK_G09_067   -               15     978       5     971       2     976    1483    +    1.2e-297  984.8  21.6  -
Orbaceae                         -          LKAP-GutHK_G09_067   -               37    1003       5     972       2     976    1538    +    5.7e-294  972.7  21.2  -
Alcanivoracaceae                 -          LKAP-GutHK_G09_067   -               30     997       5     970       2     975    1504    +    5.2e-292  966.2  21.3  -
Succinivibrionaceae              -          LKAP-GutHK_G09_067   -               13     956       5     971       2     976    1474    +    1.3e-289  958.3  20.9  -
Celerinatantimonadaceae          -          LKAP-GutHK_G09_067   -                5     987       5     972       2     977    1433    +    2.4e-289  957.6  21.4  -
Thioalkalispiraceae              -          LKAP-GutHK_G09_067   -               40     997      18     972       3     976    1478    +    7.7e-286  945.7  20.9  -
Halieaceae                       -          LKAP-GutHK_G09_067   -               18     979       5     971       2     976    1484    +    1.9e-283  937.9  21.8  -
Litoricolaceae                   -          LKAP-GutHK_G09_067   -               18     984       5     970       2     976    1474    +    3.2e-281  930.7  21.3  -
Saccharospirillaceae             -          LKAP-GutHK_G09_067   -               12     971       6     970       2     976    1468    +    3.4e-281  930.4  21.6  -
Kangiellaceae                    -          LKAP-GutHK_G09_067   -               36     990      18     970       3     976    1479    +    1.3e-280  928.5  20.9  -
Halothiobacillaceae              -          LKAP-GutHK_G09_067   -               44     997      18     971       3     976    1501    +    2.1e-280  927.8  20.9  -
Spongiibacteraceae               -          LKAP-GutHK_G09_067   -               13     976       5     971       2     976    1462    +    5.5e-280  926.3  21.3  -
Microbulbiferaceae               -          LKAP-GutHK_G09_067   -               10     972       5     971       2     976    1478    +    9.4e-280  925.9  21.6  -
Thermoleophilaceae               -          LKAP-GutHK_G09_067   -               20     975      18     969       4     975    1486    +    2.7e-277  917.5  21.2  -
Coxiellaceae                     -          LKAP-GutHK_G09_067   -               11     987       6     973       2     977    1473    +      1e-268  889.1  21.3  -
