# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP-GutHK_C10_076   -               27     964      19     955       3     955    1466    +           0 1193.4  27.0  -
Vibrionaceae_Photobacterium                      -          LKAP-GutHK_C10_076   -               27     964      19     955       3     955    1487    +           0 1145.8  27.1  -
Vibrionaceae_Aliivibrio                          -          LKAP-GutHK_C10_076   -               51     978      19     955       3     955    1474    +           0 1100.0  26.3  -
Vibrionaceae_Grimontia                           -          LKAP-GutHK_C10_076   -               27     964      19     955       3     955    1493    +           0 1095.6  27.1  -
Vibrionaceae_Enterovibrio                        -          LKAP-GutHK_C10_076   -               27     958      19     955       3     955    1499    +           0 1084.9  27.1  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GutHK_C10_076   -               11     964       7     955       3     955    1475    +           0 1049.3  27.3  -
Erwiniaceae_Erwinia                              -          LKAP-GutHK_C10_076   -               27     954      19     955       3     955    1495    +    2.4e-308 1024.1  26.7  -
Vibrionaceae_Salinivibrio                        -          LKAP-GutHK_C10_076   -               46     986      19     955       3     955    1502    +    5.8e-305 1012.3  26.7  -
Yersiniaceae_Serratia                            -          LKAP-GutHK_C10_076   -               31     958      19     955       3     955    1491    +    5.2e-304 1009.6  27.2  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GutHK_C10_076   -               42     969      19     955       3     955    1517    +    5.5e-304 1009.5  26.6  -
Erwiniaceae_Tatumella                            -          LKAP-GutHK_C10_076   -               27     954      19     955       3     955    1490    +    2.8e-303 1007.2  27.1  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GutHK_C10_076   -               25     950      19     955       3     955    1476    +      5e-303 1006.4  26.9  -
Pectobacteriaceae_Brenneria                      -          LKAP-GutHK_C10_076   -                5     932      19     955      16     955    1457    +    2.4e-302 1004.1  26.3  -
Enterobacteriaceae_Escherichia                   -          LKAP-GutHK_C10_076   -               27     954      19     955       3     955    1480    +    2.5e-302 1004.2  26.6  -
Enterobacteriaceae_Salmonella                    -          LKAP-GutHK_C10_076   -               63     950      68     955      43     955    1457    +    2.9e-302 1004.0  25.5  -
Erwiniaceae_Pantoea                              -          LKAP-GutHK_C10_076   -                3     891      67     955      65     955    1416    +    3.5e-302 1003.6  25.9  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-GutHK_C10_076   -               35     962      19     955       3     955    1499    +    4.8e-302 1003.2  26.9  -
Enterobacteriaceae_Pluralibacter                 -          LKAP-GutHK_C10_076   -               47     977      19     955       3     955    1532    +    6.7e-302 1002.6  26.4  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GutHK_C10_076   -                6     931      21     955      17     955    1422    +    1.9e-301 1001.2  26.2  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GutHK_C10_076   -               20     948      19     955       5     955    1471    +    3.1e-300  997.3  27.8  -
Hafniaceae_Hafnia                                -          LKAP-GutHK_C10_076   -               26     954      18     955       3     955    1463    +    7.6e-300  995.8  26.9  -
