# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_E11_087   -               27     945      18     936       4     936    1474    +           0 1113.5  26.2  -
Ferrimonadaceae           -          LKAP-GutHK_E11_087   -               21     945      14     936       2     936    1475    +           0 1022.7  26.5  -
Enterobacteriaceae        -          LKAP-GutHK_E11_087   -               27     935      18     936       4     936    1465    +    9.2e-306 1012.9  25.7  -
Pectobacteriaceae         -          LKAP-GutHK_E11_087   -               24     932      18     936       4     936    1477    +    3.3e-305 1010.9  25.7  -
Erwiniaceae               -          LKAP-GutHK_E11_087   -               28     930      23     936       5     936    1483    +    2.9e-303 1004.6  25.6  -
Aeromonadaceae            -          LKAP-GutHK_E11_087   -               39     949      18     936       4     936    1496    +      6e-303 1003.3  25.5  -
Yersiniaceae              -          LKAP-GutHK_E11_087   -               27     935      18     936       5     936    1473    +    6.6e-303 1003.3  25.8  -
Alteromonadales           -          LKAP-GutHK_E11_087   -               72     936      72     936      50     936    1468    +    1.4e-298  988.7  24.2  -
Shewanellaceae            -          LKAP-GutHK_E11_087   -               27     937      18     936       4     936    1483    +    6.5e-298  986.8  25.5  -
Hafniaceae                -          LKAP-GutHK_E11_087   -               21     929      18     936       5     936    1459    +    2.1e-297  985.0  25.6  -
Budviciaceae              -          LKAP-GutHK_E11_087   -               17     925      18     936       7     936    1483    +    4.8e-296  980.6  25.4  -
Pseudoalteromonadaceae    -          LKAP-GutHK_E11_087   -               27     931      18     936       4     936    1469    +    1.2e-295  979.2  25.0  -
Morganellaceae            -          LKAP-GutHK_E11_087   -               30     938      18     936       4     936    1487    +    2.2e-295  978.6  26.0  -
Alteromonadaceae          -          LKAP-GutHK_E11_087   -               27     934      18     936       5     936    1468    +    9.8e-293  969.5  25.6  -
Gammaproteobacteria       -          LKAP-GutHK_E11_087   -               27     934      18     936       5     936    1481    +    2.6e-292  968.0  25.5  -
Colwelliaceae             -          LKAP-GutHK_E11_087   -               27     936      18     936       7     936    1467    +    8.3e-288  953.4  25.3  -
Idiomarinaceae            -          LKAP-GutHK_E11_087   -               26     936      17     936       4     936    1466    +    8.7e-285  943.1  25.4  -
Moritellaceae             -          LKAP-GutHK_E11_087   -               42     952      18     936       6     936    1501    +    7.2e-283  936.8  25.2  -
Psychromonadaceae         -          LKAP-GutHK_E11_087   -               70     935      70     936      47     936    1467    +    8.4e-279  923.5  24.3  -
Cellvibrionaceae          -          LKAP-GutHK_E11_087   -               27     934      18     936       5     936    1472    +    2.1e-278  922.1  25.7  -
Chromatiaceae             -          LKAP-GutHK_E11_087   -               27     924      18     936       5     936    1455    +    1.8e-277  919.1  25.7  -
Thorselliaceae            -          LKAP-GutHK_E11_087   -               39     904      70     936      50     936    1419    +    2.6e-276  915.1  24.4  -
Oceanospirillales         -          LKAP-GutHK_E11_087   -               33     940      18     936       5     936    1489    +    7.9e-276  913.4  25.8  -
Oceanospirillaceae        -          LKAP-GutHK_E11_087   -               27     936      18     936       4     936    1467    +    1.1e-275  913.0  25.4  -
Piscirickettsiaceae       -          LKAP-GutHK_E11_087   -               30     938      19     936       6     936    1466    +    3.7e-274  908.0  25.4  -
Pseudomonadaceae          -          LKAP-GutHK_E11_087   -               34     939      18     936       4     936    1491    +    2.7e-270  895.2  25.4  -
Orbaceae                  -          LKAP-GutHK_E11_087   -               93     959      70     936      49     936    1539    +    3.9e-269  891.4  24.3  -
Alcanivoracaceae          -          LKAP-GutHK_E11_087   -               47     954      18     936       4     936    1504    +    2.6e-267  885.2  25.5  -
Methylococcaceae          -          LKAP-GutHK_E11_087   -               41     942      18     936       7     936    1481    +    7.6e-267  883.8  25.8  -
Celerinatantimonadaceae   -          LKAP-GutHK_E11_087   -               66     942      70     936      46     936    1433    +      4e-266  881.5  24.6  -
Succinivibrionaceae       -          LKAP-GutHK_E11_087   -               31     912      19     936      10     936    1473    +    2.6e-265  878.7  25.2  -
Pasteurellaceae           -          LKAP-GutHK_E11_087   -               28     936      19     936       7     936    1422    +    4.2e-265  878.1  25.2  -
Hahellaceae               -          LKAP-GutHK_E11_087   -               22     933      15     936       3     936    1473    +    4.1e-264  874.8  25.7  -
Halothiobacillaceae       -          LKAP-GutHK_E11_087   -               44     953      18     936       5     936    1500    +    8.4e-262  867.1  25.9  -
Ectothiorhodospiraceae    -          LKAP-GutHK_E11_087   -               34     941      18     936       6     936    1463    +    1.5e-260  863.1  25.9  -
Moraxellaceae             -          LKAP-GutHK_E11_087   -               24     926      18     936       5     936    1468    +    4.5e-259  858.2  25.5  -
Litoricolaceae            -          LKAP-GutHK_E11_087   -               35     941      18     936       6     936    1474    +    6.3e-259  857.7  25.5  -
Halomonadaceae            -          LKAP-GutHK_E11_087   -               27     934      18     936       4     936    1466    +    1.7e-258  856.1  25.7  -
Halieaceae                -          LKAP-GutHK_E11_087   -               36     935      19     936       7     936    1484    +      2e-258  855.9  25.2  -
Lysobacteraceae           -          LKAP-GutHK_E11_087   -               28     937      18     936       3     936    1484    +    9.1e-258  853.8  26.1  -
Microbulbiferaceae        -          LKAP-GutHK_E11_087   -               27     928      18     936       5     936    1480    +      3e-257  852.2  25.2  -
Spongiibacteraceae        -          LKAP-GutHK_E11_087   -               30     932      18     936       4     936    1462    +    2.2e-256  849.0  25.2  -
Saccharospirillaceae      -          LKAP-GutHK_E11_087   -               30     928      19     936       4     936    1468    +    9.7e-256  847.0  25.2  -
Thioalkalispiraceae       -          LKAP-GutHK_E11_087   -               82     953      68     936      44     936    1479    +    1.3e-254  843.2  24.5  -
Thermoleophilaceae        -          LKAP-GutHK_E11_087   -               20     936      18     936       5     936    1494    +    8.5e-254  840.5  25.1  -
Chromobacteriaceae        -          LKAP-GutHK_E11_087   -               27     927      19     936       3     936    1460    +    3.3e-251  832.1  25.8  -
Kangiellaceae             -          LKAP-GutHK_E11_087   -               36     947      18     936       7     936    1479    +      4e-249  825.1  25.2  -
Thiotrichaceae            -          LKAP-GutHK_E11_087   -               27     891      18     936       5     936    1421    +    6.6e-247  817.7  25.2  -
