# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Oceanospirillales   -          A1d2_forward         -                7     903       2     900       1     900    1483    +    4.1e-285  943.1  18.3  -
Alcanivoracaceae                 -          A1d2_forward         -               22     923       2     900       1     900    1504    +    8.4e-277  915.6  18.1  -
Kangiellaceae                    -          A1d2_forward         -               11     916       2     900       1     900    1479    +    2.5e-276  914.1  18.0  -
Saccharospirillaceae             -          A1d2_forward         -                4     897       3     900       1     900    1468    +    1.4e-270  895.1  18.3  -
Spongiibacteraceae               -          A1d2_forward         -                5     901       2     900       1     900    1462    +    4.7e-270  893.3  18.0  -
Halieaceae                       -          A1d2_forward         -               10     904       2     900       1     900    1484    +    1.2e-269  892.1  18.0  -
Thioalkalispiraceae              -          A1d2_forward         -               14     921       2     900       1     900    1478    +    2.3e-269  891.0  17.9  -
Litoricolaceae                   -          A1d2_forward         -               10     910       2     900       1     900    1474    +    1.5e-268  888.6  18.1  -
Microbulbiferaceae               -          A1d2_forward         -                3     897       3     900       1     900    1478    +    7.6e-267  883.0  18.2  -
Granulosicoccaceae               -          A1d2_forward         -                3     905       3     900       1     900    1471    +    7.4e-266  879.6  18.1  -
Unclassified_Alteromonadales     -          A1d2_forward         -                3     904       3     900       1     900    1467    +    1.8e-263  871.4  18.1  -
Halothiobacillaceae              -          A1d2_forward         -               19     922       2     900       1     900    1501    +    1.1e-259  859.0  18.0  -
Wenzhouxiangellaceae             -          A1d2_forward         -                3     909       3     900       1     900    1472    +      2e-258  854.8  18.0  -
Cardiobacteriaceae               -          A1d2_forward         -               10     905       2     899       1     900    1462    +    3.8e-257  850.9  18.0  -
Idiomarinaceae                   -          A1d2_forward         -                3     905       3     900       1     900    1466    +    5.5e-257  849.9  18.0  -
Nevskiaceae                      -          A1d2_forward         -               11     898       2     900       1     900    1470    +      2e-256  848.6  18.3  -
Coxiellaceae                     -          A1d2_forward         -                3     910       3     900       1     900    1473    +    1.2e-255  845.6  18.2  -
Colwelliaceae                    -          A1d2_forward         -                3     903       3     900       1     900    1465    +    5.2e-253  837.0  18.1  -
Ferrimonadaceae                  -          A1d2_forward         -                2     914       2     900       1     900    1475    +    1.4e-252  835.3  18.1  -
Moritellaceae                    -          A1d2_forward         -               17     921       2     900       1     900    1501    +    3.3e-252  834.2  18.1  -
Arenicellaceae                   -          A1d2_forward         -                3     898       3     900       1     900    1488    +    5.9e-251  830.2  18.0  -
Acidiferrobacteraceae            -          A1d2_forward         -                2     895       2     900       1     900    1456    +    3.8e-250  827.5  18.1  -
Aeromonadaceae                   -          A1d2_forward         -               14     918       2     900       1     900    1496    +    1.3e-248  822.1  18.0  -
Thermoleophilaceae               -          A1d2_forward         -                1     902       8     900       8     900    1486    +    4.5e-248  820.5  18.3  -
Unclassified_Thiotrichales       -          A1d2_forward         -               24     921       3     900       1     900    1517    +    1.9e-247  818.4  18.3  -
Succinivibrionaceae              -          A1d2_forward         -                5     881       2     900       1     900    1474    +    1.2e-245  812.5  18.5  -
Salinisphaeraceae                -          A1d2_forward         -                1     891      13     900      13     900    1432    +    1.7e-241  798.8  17.8  -
Sulfuricellaceae                 -          A1d2_forward         -                2     901       2     900       1     900    1462    +    6.4e-241  796.9  18.1  -
Psychromonadaceae                -          A1d2_forward         -                3     904       3     900       1     900    1467    +    5.7e-237  783.8  18.0  -
Francisellaceae                  -          A1d2_forward         -               12     904       2     899       1     900    1509    +    9.9e-236  779.7  18.3  -
Zoogloeaceae                     -          A1d2_forward         -                9     905       2     899       1     900    1474    +    1.4e-235  779.2  18.7  -
Celerinatantimonadaceae          -          A1d2_forward         -                1     911       6     900       6     900    1433    +    5.1e-234  774.1  18.1  -
Sutterellaceae                   -          A1d2_forward         -                3     900       3     899       1     900    1487    +    8.6e-233  769.8  18.0  -
Methylophilaceae                 -          A1d2_forward         -                3     885      23     900      21     900    1430    +    8.9e-233  769.9  17.9  -
Hydrogenophilaceae               -          A1d2_forward         -                2     899       2     900       1     900    1462    +    7.1e-232  767.1  18.0  -
Hafniaceae                       -          A1d2_forward         -                1     898       7     900       7     900    1459    +      3e-231  764.7  17.9  -
Thiobacilliaceae                 -          A1d2_forward         -               21     918       2     900       1     900    1517    +    1.4e-230  762.7  18.6  -
Unclassified_Alphaproteobacteria -          A1d2_forward         -                3     848       3     900       2     900    1412    +    1.9e-229  759.2  18.0  -
