# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Burkholderiaceae          -          LKAP-GUTHK2_A04_032_2017_1 -               14     924      11     926       2     926    1482    +           0 1057.4  23.2  -
Oxalobacteraceae          -          LKAP-GUTHK2_A04_032_2017_1 -               13     926       9     926       2     926    1459    +           0 1031.0  23.1  -
Chromobacteriaceae        -          LKAP-GUTHK2_A04_032_2017_1 -               11     923       8     926       2     926    1460    +    2.3e-306 1014.9  23.1  -
Alcaligenaceae            -          LKAP-GUTHK2_A04_032_2017_1 -               13     927       9     926       3     926    1467    +    4.9e-304 1007.2  22.8  -
Neisseriaceae             -          LKAP-GUTHK2_A04_032_2017_1 -               28     945      11     926       2     926    1477    +      8e-303 1003.1  22.7  -
Sutterellaceae            -          LKAP-GUTHK2_A04_032_2017_1 -               14     928      10     926       2     926    1487    +    2.1e-299  991.6  23.0  -
Burkholderiales           -          LKAP-GUTHK2_A04_032_2017_1 -               14     924      10     925       2     926    1463    +    9.5e-299  989.6  23.1  -
Rhodocyclaceae            -          LKAP-GUTHK2_A04_032_2017_1 -               11     928       7     926       2     926    1484    +    3.3e-298  987.8  23.1  -
Comamonadaceae            -          LKAP-GUTHK2_A04_032_2017_1 -               14     920      10     922       2     926    1466    +    1.9e-294  975.1  23.1  -
Methylophilaceae          -          LKAP-GUTHK2_A04_032_2017_1 -                8     915      20     926      15     926    1431    +    1.4e-286  949.3  21.9  -
Sulfuricellaceae          -          LKAP-GUTHK2_A04_032_2017_1 -               19     929      14     926       3     926    1463    +      2e-284  942.1  22.8  -
Nitrosomonadaceae         -          LKAP-GUTHK2_A04_032_2017_1 -               15     927      12     926       3     926    1461    +    2.4e-284  942.0  23.1  -
Thiobacilliaceae          -          LKAP-GUTHK2_A04_032_2017_1 -               37     945      14     926       3     926    1517    +      1e-283  939.8  22.9  -
Zoogloeaceae              -          LKAP-GUTHK2_A04_032_2017_1 -               21     933      11     926       3     926    1474    +    9.3e-283  936.6  23.8  -
Azonexaceae               -          LKAP-GUTHK2_A04_032_2017_1 -               15     930      10     926       2     926    1474    +    8.9e-278  920.3  23.2  -
Hydrogenophilaceae        -          LKAP-GUTHK2_A04_032_2017_1 -               14     926      11     926       3     926    1461    +    1.7e-276  916.0  22.8  -
