# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          C0510_LKAP-FHGF1_B08_062 -               24     743       6     728       2     728    1467    +    5.4e-232  766.8  17.0  -
Ferrimonadaceae                  -          C0510_LKAP-FHGF1_B08_062 -               24     753       6     728       2     728    1475    +    2.5e-226  748.0  16.9  -
Idiomarinaceae                   -          C0510_LKAP-FHGF1_B08_062 -               24     743       6     728       2     728    1466    +    2.5e-226  747.9  16.9  -
Aeromonadaceae                   -          C0510_LKAP-FHGF1_B08_062 -               36     757       6     728       3     728    1496    +    6.3e-223  736.7  16.8  -
Colwelliaceae                    -          C0510_LKAP-FHGF1_B08_062 -               24     742       6     728       3     728    1465    +      1e-221  733.0  16.8  -
Hafniaceae                       -          C0510_LKAP-FHGF1_B08_062 -               18     737       6     728       2     728    1459    +    4.3e-220  727.4  17.0  -
Psychromonadaceae                -          C0510_LKAP-FHGF1_B08_062 -               24     742       6     727       2     728    1467    +    6.2e-220  727.0  16.9  -
Moritellaceae                    -          C0510_LKAP-FHGF1_B08_062 -               39     760       6     728       3     728    1501    +    3.2e-217  717.9  16.9  -
Unclassified_Oceanospirillales   -          C0510_LKAP-FHGF1_B08_062 -               29     742       6     728       2     728    1483    +    7.3e-215  710.0  17.2  -
Celerinatantimonadaceae          -          C0510_LKAP-FHGF1_B08_062 -               19     748       6     728       3     728    1433    +    2.3e-211  698.7  17.0  -
Alcanivoracaceae                 -          C0510_LKAP-FHGF1_B08_062 -               44     761       6     728       3     728    1504    +    3.7e-211  697.7  17.0  -
Thorselliaceae                   -          C0510_LKAP-FHGF1_B08_062 -                6     712      14     728      10     728    1419    +      3e-209  691.5  17.4  -
Budviciaceae                     -          C0510_LKAP-FHGF1_B08_062 -               14     733       6     728       3     728    1483    +    1.3e-208  689.4  16.9  -
Succinivibrionaceae              -          C0510_LKAP-FHGF1_B08_062 -               27     723       6     728       3     728    1474    +    2.1e-208  688.7  16.8  -
Litoricolaceae                   -          C0510_LKAP-FHGF1_B08_062 -               31     749       5     728       3     728    1474    +    6.3e-206  680.7  17.0  -
Thioalkalispiraceae              -          C0510_LKAP-FHGF1_B08_062 -               37     758       6     728       2     728    1478    +    2.2e-205  678.6  16.7  -
Orbaceae                         -          C0510_LKAP-FHGF1_B08_062 -               51     766       6     728       3     728    1538    +    3.6e-205  677.9  16.9  -
Halieaceae                       -          C0510_LKAP-FHGF1_B08_062 -               32     743       6     728       3     728    1484    +    2.1e-203  672.2  17.4  -
Spongiibacteraceae               -          C0510_LKAP-FHGF1_B08_062 -               26     740       5     728       2     728    1462    +    1.7e-202  669.0  17.0  -
Kangiellaceae                    -          C0510_LKAP-FHGF1_B08_062 -               33     754       6     728       3     728    1479    +    7.7e-202  667.0  16.6  -
Halothiobacillaceae              -          C0510_LKAP-FHGF1_B08_062 -               40     760       5     728       3     728    1501    +    1.1e-201  666.4  16.8  -
Microbulbiferaceae               -          C0510_LKAP-FHGF1_B08_062 -               24     736       6     728       3     728    1478    +    3.6e-201  665.0  17.2  -
Cardiobacteriaceae               -          C0510_LKAP-FHGF1_B08_062 -               32     746       6     728       3     728    1462    +    9.8e-199  657.0  16.9  -
Thermoleophilaceae               -          C0510_LKAP-FHGF1_B08_062 -               17     739       6     728       3     728    1486    +    6.9e-198  653.8  17.1  -
Saccharospirillaceae             -          C0510_LKAP-FHGF1_B08_062 -               25     736       6     728       2     728    1468    +    8.6e-197  650.2  17.4  -
Granulosicoccaceae               -          C0510_LKAP-FHGF1_B08_062 -               24     743       6     728       3     728    1471    +    4.2e-196  648.1  16.9  -
Nevskiaceae                      -          C0510_LKAP-FHGF1_B08_062 -               33     737       6     728       3     728    1470    +    5.2e-193  638.1  17.3  -
Coxiellaceae                     -          C0510_LKAP-FHGF1_B08_062 -               24     750       6     728       3     728    1473    +    4.4e-188  621.5  16.8  -
Unclassified_Thiotrichales       -          C0510_LKAP-FHGF1_B08_062 -               47     757       8     728       4     728    1517    +    1.1e-184  610.1  16.7  -
Arenicellaceae                   -          C0510_LKAP-FHGF1_B08_062 -               24     738       6     728       3     728    1488    +      7e-184  607.6  16.8  -
Methylophilaceae                 -          C0510_LKAP-FHGF1_B08_062 -                4     723       6     728       4     728    1430    +      1e-183  606.9  16.8  -
Sulfuricellaceae                 -          C0510_LKAP-FHGF1_B08_062 -               23     739       5     728       3     728    1462    +    1.7e-182  603.0  16.9  -
Francisellaceae                  -          C0510_LKAP-FHGF1_B08_062 -               34     741       6     728       3     728    1509    +    8.1e-181  597.4  16.8  -
Acidiferrobacteraceae            -          C0510_LKAP-FHGF1_B08_062 -               64     733      56     728      36     728    1456    +    8.8e-181  597.3  17.7  -
Salinisphaeraceae                -          C0510_LKAP-FHGF1_B08_062 -               13     730       7     728       3     728    1432    +    4.6e-180  595.0  16.9  -
Hydrogenophilaceae               -          C0510_LKAP-FHGF1_B08_062 -               23     737       5     728       2     728    1462    +    2.6e-179  592.6  17.1  -
Sutterellaceae                   -          C0510_LKAP-FHGF1_B08_062 -               23     741       5     728       3     728    1487    +    3.5e-178  588.5  16.6  -
Zoogloeaceae                     -          C0510_LKAP-FHGF1_B08_062 -               30     744       5     728       3     728    1474    +    1.4e-176  583.4  17.1  -
Thiobacilliaceae                 -          C0510_LKAP-FHGF1_B08_062 -               42     756       5     728       3     728    1517    +    2.8e-175  579.1  16.9  -
Azonexaceae                      -          C0510_LKAP-FHGF1_B08_062 -               24     741       5     728       3     728    1474    +    1.1e-174  577.2  17.1  -
Thermithiobacillaceae            -          C0510_LKAP-FHGF1_B08_062 -                9     722       6     728       3     728    1419    +    2.7e-174  575.8  17.1  -
Acidithiobacillaceae             -          C0510_LKAP-FHGF1_B08_062 -               23     734       6     728       3     728    1457    +    4.1e-174  575.0  17.2  -
Geobacteraceae                   -          C0510_LKAP-FHGF1_B08_062 -               32     763       6     728       3     728    1485    +    6.5e-173  571.1  17.0  -
Nitrosomonadaceae                -          C0510_LKAP-FHGF1_B08_062 -               23     740       5     728       2     728    1463    +    3.1e-172  569.1  16.7  -
Unclassified_Alphaproteobacteria -          C0510_LKAP-FHGF1_B08_062 -               24     688       6     728       3     728    1412    +    5.5e-172  568.4  16.8  -
Wenzhouxiangellaceae             -          C0510_LKAP-FHGF1_B08_062 -               24     746       6     728       3     728    1472    +    1.3e-171  566.8  16.8  -
Methylothermaceae                -          C0510_LKAP-FHGF1_B08_062 -               45     763       6     728       3     728    1491    +      5e-170  561.6  17.1  -
Syntrophaceae                    -          C0510_LKAP-FHGF1_B08_062 -               41     773       6     728       3     728    1556    +      6e-170  561.3  17.1  -
Desulfuromonadaceae              -          C0510_LKAP-FHGF1_B08_062 -               42     774       6     728       3     728    1519    +    1.1e-169  560.5  17.2  -
Unclassified_Deltaproteobacteria -          C0510_LKAP-FHGF1_B08_062 -               40     774       6     728       3     728    1518    +    9.2e-169  557.5  17.1  -
Sneathiellaceae                  -          C0510_LKAP-FHGF1_B08_062 -               29     701       6     728       3     728    1427    +    1.4e-167  553.6  16.1  -
Anaplasmataceae                  -          C0510_LKAP-FHGF1_B08_062 -               35     718       6     728       2     728    1438    +    1.5e-167  553.7  15.8  -
Hyphomonadaceae                  -          C0510_LKAP-FHGF1_B08_062 -               24     685       6     727       3     728    1399    +    1.6e-166  550.3  16.4  -
Unclassified_Rhizobiales         -          C0510_LKAP-FHGF1_B08_062 -               34     696       6     728       2     728    1437    +    1.3e-165  547.2  16.0  -
Desulfohalobiaceae               -          C0510_LKAP-FHGF1_B08_062 -               28     770       6     728       3     728    1510    +    1.5e-164  543.4  17.3  -
Desulfobulbaceae                 -          C0510_LKAP-FHGF1_B08_062 -               24     755       6     728       3     728    1482    +    1.2e-163  540.4  16.9  -
Erythrobacteraceae               -          C0510_LKAP-FHGF1_B08_062 -               54     686      55     728      33     728    1433    +    3.9e-162  535.6  16.0  -
Unclassified_Acidobacteria       -          C0510_LKAP-FHGF1_B08_062 -               44     773       6     728       3     728    1505    +    7.8e-162  534.9  17.2  -
Bdellovibrionaceae               -          C0510_LKAP-FHGF1_B08_062 -               20     711       6     728       3     728    1430    +      2e-160  529.8  16.8  -
Brucellaceae                     -          C0510_LKAP-FHGF1_B08_062 -               29     689       6     728       3     728    1412    +    1.1e-159  527.7  16.4  -
Aurantimonadaceae                -          C0510_LKAP-FHGF1_B08_062 -               68     702      53     728      31     728    1444    +      8e-159  524.7  16.3  -
Beijerinckiaceae                 -          C0510_LKAP-FHGF1_B08_062 -               37     699       6     728       3     728    1421    +      7e-158  521.4  16.2  -
Kordiimonadaceae                 -          C0510_LKAP-FHGF1_B08_062 -               24     697       6     728       3     728    1423    +    1.5e-157  520.5  15.7  -
Kiloniellaceae                   -          C0510_LKAP-FHGF1_B08_062 -               43     715       6     728       3     728    1450    +    4.5e-156  515.2  16.1  -
Deferribacteraceae               -          C0510_LKAP-FHGF1_B08_062 -               31     752       6     728       3     728    1514    +    6.7e-155  511.4  17.2  -
Haliangiaceae                    -          C0510_LKAP-FHGF1_B08_062 -               40     772       6     728       3     728    1507    +    1.9e-154  510.1  17.3  -
Nautiliaceae                     -          C0510_LKAP-FHGF1_B08_062 -               24     711       6     728       3     728    1428    +    5.8e-154  508.7  16.2  -
Caulobacteraceae                 -          C0510_LKAP-FHGF1_B08_062 -               24     686       6     728       3     728    1418    +    2.1e-152  503.3  15.7  -
Desulfarculaceae                 -          C0510_LKAP-FHGF1_B08_062 -               34     769       7     728       3     728    1516    +    3.2e-152  502.7  16.7  -
Spirillaceae                     -          C0510_LKAP-FHGF1_B08_062 -               39     762       5     728       3     728    1447    +    7.1e-151  498.4  17.0  -
Leptospiraceae                   -          C0510_LKAP-FHGF1_B08_062 -               24     716       6     728       3     728    1433    +    9.5e-151  497.7  17.1  -
Patulibacteraceae                -          C0510_LKAP-FHGF1_B08_062 -               45     752       7     728       4     728    1494    +      1e-150  497.4  16.6  -
