# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-Gut2_E09_071.seq -               27    1091       7    1080       3    1081    1474    +           0 1281.7  23.5  -
Ferrimonadaceae           -          LKAP-Gut2_E09_071.seq -               27    1091       7    1080       2    1081    1475    +           0 1135.6  23.8  -
Enterobacteriaceae        -          LKAP-Gut2_E09_071.seq -               29    1081       9    1080       3    1081    1465    +           0 1126.6  23.1  -
Erwiniaceae               -          LKAP-Gut2_E09_071.seq -               61    1076      54    1080      34    1081    1483    +           0 1120.0  23.0  -
Alteromonadales           -          LKAP-Gut2_E09_071.seq -               71    1082      59    1080      38    1081    1468    +           0 1113.9  22.8  -
Yersiniaceae              -          LKAP-Gut2_E09_071.seq -               28    1081       8    1080       3    1081    1473    +           0 1107.1  23.1  -
Shewanellaceae            -          LKAP-Gut2_E09_071.seq -               27    1083       7    1080       3    1081    1483    +           0 1106.1  23.2  -
Gammaproteobacteria       -          LKAP-Gut2_E09_071.seq -               27    1080       7    1080       4    1081    1481    +           0 1101.5  23.3  -
Alteromonadaceae          -          LKAP-Gut2_E09_071.seq -               27    1080       7    1080       3    1081    1468    +           0 1101.3  23.2  -
Morganellaceae            -          LKAP-Gut2_E09_071.seq -               31    1084       8    1080       3    1081    1487    +           0 1100.3  23.4  -
Pectobacteriaceae         -          LKAP-Gut2_E09_071.seq -               24    1078       7    1080       3    1081    1477    +           0 1099.7  23.2  -
Hafniaceae                -          LKAP-Gut2_E09_071.seq -               23    1075       9    1080       3    1081    1459    +           0 1095.5  23.1  -
Pseudoalteromonadaceae    -          LKAP-Gut2_E09_071.seq -               27    1077       7    1080       3    1081    1469    +           0 1091.7  22.4  -
Aeromonadaceae            -          LKAP-Gut2_E09_071.seq -               41    1095       9    1080       3    1081    1496    +           0 1089.9  23.0  -
Budviciaceae              -          LKAP-Gut2_E09_071.seq -               59    1071      57    1080      35    1081    1483    +           0 1071.0  22.8  -
Oceanospirillaceae        -          LKAP-Gut2_E09_071.seq -               28    1082       8    1080       3    1081    1467    +           0 1068.4  23.0  -
Colwelliaceae             -          LKAP-Gut2_E09_071.seq -               27    1082       7    1080       4    1081    1467    +           0 1064.2  23.2  -
Idiomarinaceae            -          LKAP-Gut2_E09_071.seq -               27    1082       7    1080       3    1081    1466    +           0 1063.7  22.9  -
Moritellaceae             -          LKAP-Gut2_E09_071.seq -               42    1098       7    1080       4    1081    1501    +           0 1060.8  23.2  -
Psychromonadaceae         -          LKAP-Gut2_E09_071.seq -               28    1081       8    1080       4    1081    1467    +           0 1048.1  23.4  -
Cellvibrionaceae          -          LKAP-Gut2_E09_071.seq -               27    1080       7    1080       3    1081    1472    +           0 1045.3  23.2  -
Oceanospirillales         -          LKAP-Gut2_E09_071.seq -               33    1086       7    1080       3    1081    1489    +           0 1042.6  23.4  -
Thorselliaceae            -          LKAP-Gut2_E09_071.seq -               38    1050      57    1080      33    1081    1419    +           0 1041.4  22.8  -
Chromatiaceae             -          LKAP-Gut2_E09_071.seq -               27    1070       7    1080       3    1081    1455    +           0 1038.4  23.5  -
Pseudomonadaceae          -          LKAP-Gut2_E09_071.seq -               34    1085       7    1080       3    1081    1491    +           0 1033.4  23.1  -
Pasteurellaceae           -          LKAP-Gut2_E09_071.seq -               69    1082      55    1080      33    1081    1422    +           0 1025.8  22.7  -
Orbaceae                  -          LKAP-Gut2_E09_071.seq -               93    1105      58    1080      37    1081    1539    +      1e-307 1019.5  22.8  -
Alcanivoracaceae          -          LKAP-Gut2_E09_071.seq -               47    1100       7    1080       3    1081    1504    +    1.3e-307 1019.0  23.2  -
Piscirickettsiaceae       -          LKAP-Gut2_E09_071.seq -               67    1084      55    1080      30    1081    1466    +    1.3e-306 1015.8  22.7  -
Methylococcaceae          -          LKAP-Gut2_E09_071.seq -               41    1088       7    1080       4    1081    1481    +    2.9e-304 1008.0  23.6  -
Hahellaceae               -          LKAP-Gut2_E09_071.seq -               27    1079       7    1080       2    1081    1473    +    3.1e-302 1001.4  23.2  -
Celerinatantimonadaceae   -          LKAP-Gut2_E09_071.seq -               66    1088      58    1080      34    1081    1433    +      1e-300  996.4  23.0  -
Halieaceae                -          LKAP-Gut2_E09_071.seq -               36    1081       8    1080       4    1081    1484    +    2.8e-300  994.8  23.4  -
Halomonadaceae            -          LKAP-Gut2_E09_071.seq -               27    1080       7    1080       3    1081    1466    +    8.3e-299  989.9  23.2  -
Lysobacteraceae           -          LKAP-Gut2_E09_071.seq -               28    1083       7    1080       3    1081    1484    +    3.7e-298  987.9  23.3  -
Halothiobacillaceae       -          LKAP-Gut2_E09_071.seq -               45    1099       8    1080       4    1081    1500    +      3e-297  984.8  23.3  -
Microbulbiferaceae        -          LKAP-Gut2_E09_071.seq -               27    1074       7    1080       3    1081    1480    +    3.1e-297  984.9  23.1  -
Ectothiorhodospiraceae    -          LKAP-Gut2_E09_071.seq -               34    1087       7    1080       3    1081    1463    +    3.8e-297  984.6  23.4  -
Saccharospirillaceae      -          LKAP-Gut2_E09_071.seq -               31    1074       9    1080       3    1081    1468    +    7.3e-297  983.5  22.8  -
Moraxellaceae             -          LKAP-Gut2_E09_071.seq -               24    1072       7    1080       3    1081    1468    +    7.7e-297  983.6  23.2  -
Thermoleophilaceae        -          LKAP-Gut2_E09_071.seq -               20    1083       7    1080       3    1081    1494    +    1.6e-295  979.0  23.2  -
Spongiibacteraceae        -          LKAP-Gut2_E09_071.seq -               30    1078       7    1080       3    1081    1462    +    2.8e-295  978.1  22.9  -
Succinivibrionaceae       -          LKAP-Gut2_E09_071.seq -               75    1058      58    1080      37    1081    1473    +    3.2e-295  978.0  23.0  -
Thioalkalispiraceae       -          LKAP-Gut2_E09_071.seq -               80    1099      54    1080      32    1081    1479    +    2.2e-294  975.2  22.8  -
Litoricolaceae            -          LKAP-Gut2_E09_071.seq -               35    1087       7    1080       4    1081    1474    +    2.8e-293  971.8  23.3  -
Kangiellaceae             -          LKAP-Gut2_E09_071.seq -               37    1093       8    1080       4    1081    1479    +      9e-293  969.9  22.9  -
Thiotrichaceae            -          LKAP-Gut2_E09_071.seq -               27    1037       7    1080       3    1081    1421    +    5.7e-287  950.7  22.4  -
Chromobacteriaceae        -          LKAP-Gut2_E09_071.seq -               59    1075      54    1080      30    1081    1460    +    3.4e-285  945.0  22.7  -
Cardiobacteriaceae        -          LKAP-Gut2_E09_071.seq -               37    1085       9    1080       4    1081    1464    +    2.9e-284  942.1  23.1  -
