# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          LKAP-GUTHK2_D07_057_2017_1 -               27    1212      18    1198       3    1223    1467    +           0 1243.5  24.4  -
Ferrimonadaceae                  -          LKAP-GUTHK2_D07_057_2017_1 -               25    1273      15    1245       2    1255    1475    +           0 1241.5  25.1  -
Hafniaceae                       -          LKAP-GUTHK2_D07_057_2017_1 -               18    1210      14    1202       2    1224    1459    +           0 1223.2  24.6  -
Aeromonadaceae                   -          LKAP-GUTHK2_D07_057_2017_1 -               39    1281      18    1250       3    1257    1496    +           0 1218.3  25.1  -
Budviciaceae                     -          LKAP-GUTHK2_D07_057_2017_1 -               17    1211      18    1205       5    1230    1483    +           0 1191.8  24.7  -
Idiomarinaceae                   -          LKAP-GUTHK2_D07_057_2017_1 -               26    1269      17    1251       3    1258    1466    +           0 1179.5  25.3  -
Colwelliaceae                    -          LKAP-GUTHK2_D07_057_2017_1 -               27    1214      18    1200       4    1223    1465    +           0 1177.4  24.0  -
Moritellaceae                    -          LKAP-GUTHK2_D07_057_2017_1 -               42    1285      18    1251       5    1259    1501    +           0 1177.0  24.8  -
Psychromonadaceae                -          LKAP-GUTHK2_D07_057_2017_1 -               27    1212      18    1198       3    1221    1467    +           0 1174.9  24.3  -
Thorselliaceae                   -          LKAP-GUTHK2_D07_057_2017_1 -                6    1180      23    1198      19    1218    1419    +           0 1148.2  24.4  -
Unclassified_Oceanospirillales   -          LKAP-GUTHK2_D07_057_2017_1 -               32    1263      18    1246       3    1258    1483    +           0 1143.1  25.3  -
Orbaceae                         -          LKAP-GUTHK2_D07_057_2017_1 -               54    1234      18    1198       4    1220    1538    +           0 1140.7  24.6  -
Celerinatantimonadaceae          -          LKAP-GUTHK2_D07_057_2017_1 -               22    1219      18    1198       3    1222    1433    +           0 1124.7  24.5  -
Alcanivoracaceae                 -          LKAP-GUTHK2_D07_057_2017_1 -               40    1228      13    1196       2    1217    1504    +           0 1112.9  24.8  -
Succinivibrionaceae              -          LKAP-GUTHK2_D07_057_2017_1 -               30    1188      18    1197       5    1218    1474    +           0 1105.7  24.2  -
Saccharospirillaceae             -          LKAP-GUTHK2_D07_057_2017_1 -               29    1256      19    1245       3    1254    1468    +           0 1101.2  25.4  -
Halieaceae                       -          LKAP-GUTHK2_D07_057_2017_1 -               35    1205      18    1192       3    1220    1484    +           0 1101.1  25.1  -
Thioalkalispiraceae              -          LKAP-GUTHK2_D07_057_2017_1 -               40    1227      18    1197       3    1223    1478    +           0 1098.8  24.4  -
Litoricolaceae                   -          LKAP-GUTHK2_D07_057_2017_1 -               35    1268      18    1245       4    1256    1474    +           0 1086.3  24.9  -
Spongiibacteraceae               -          LKAP-GUTHK2_D07_057_2017_1 -               31    1264      19    1249       3    1259    1462    +           0 1080.0  25.1  -
Halothiobacillaceae              -          LKAP-GUTHK2_D07_057_2017_1 -               44    1281      18    1246       2    1257    1501    +           0 1079.0  25.1  -
Microbulbiferaceae               -          LKAP-GUTHK2_D07_057_2017_1 -               27    1257      18    1246       3    1254    1478    +           0 1076.9  25.5  -
Kangiellaceae                    -          LKAP-GUTHK2_D07_057_2017_1 -               36    1224      18    1199       5    1227    1479    +           0 1073.4  24.1  -
Thermoleophilaceae               -          LKAP-GUTHK2_D07_057_2017_1 -               20    1267      18    1243       3    1256    1486    +           0 1056.6  25.2  -
