# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Aeromonadaceae                   -          B2b_forward          -               26    1052      20    1061       7    1081    1496    +           0 1079.4  23.3  -
Ferrimonadaceae                  -          B2b_forward          -               14    1048      20    1061       7    1081    1475    +           0 1065.4  23.5  -
Unclassified_Alteromonadales     -          B2b_forward          -               14    1038      20    1061       7    1081    1467    +           0 1040.9  23.4  -
Moritellaceae                    -          B2b_forward          -               42    1055      33    1061      13    1087    1501    +           0 1037.8  22.3  -
Idiomarinaceae                   -          B2b_forward          -               14    1039      20    1061       7    1086    1466    +    1.8e-296  981.1  23.5  -
Colwelliaceae                    -          B2b_forward          -               15    1037      21    1061       8    1087    1465    +    5.1e-296  979.9  23.0  -
Unclassified_Oceanospirillales   -          B2b_forward          -               19    1037      20    1061       7    1081    1483    +    4.4e-294  973.2  22.7  -
Hafniaceae                       -          B2b_forward          -                8    1032      20    1061      10    1087    1459    +    8.3e-294  972.4  23.0  -
Spongiibacteraceae               -          B2b_forward          -               17    1035      20    1061       7    1081    1462    +    5.6e-293  969.6  23.1  -
Psychromonadaceae                -          B2b_forward          -               15    1038      21    1061       8    1087    1467    +    2.6e-291  964.3  23.2  -
Budviciaceae                     -          B2b_forward          -                4    1028      20    1061      12    1087    1483    +    2.1e-290  961.2  22.9  -
Thioalkalispiraceae              -          B2b_forward          -               39    1054      32    1060      12    1080    1478    +    2.8e-290  960.7  22.9  -
Alcanivoracaceae                 -          B2b_forward          -               34    1056      20    1060       7    1081    1504    +    5.5e-288  953.1  23.2  -
Halieaceae                       -          B2b_forward          -               22    1038      20    1061       7    1081    1484    +    5.6e-287  949.8  23.0  -
Succinivibrionaceae              -          B2b_forward          -               17    1015      20    1061       8    1081    1474    +    5.5e-282  933.3  23.0  -
Celerinatantimonadaceae          -          B2b_forward          -                9    1045      20    1061       9    1081    1433    +    2.5e-280  927.9  23.0  -
Litoricolaceae                   -          B2b_forward          -               22    1044      20    1061       8    1081    1474    +    2.7e-278  921.2  23.1  -
Orbaceae                         -          B2b_forward          -               43    1061      22    1061       8    1087    1538    +    1.1e-277  918.9  22.5  -
Microbulbiferaceae               -          B2b_forward          -               14    1031      20    1061       7    1081    1478    +    2.1e-277  918.3  22.9  -
Thorselliaceae                   -          B2b_forward          -                2    1007      35    1061      34    1087    1419    +    2.3e-272  901.3  21.1  -
Halothiobacillaceae              -          B2b_forward          -               44    1056      33    1061      13    1081    1501    +      3e-272  901.0  22.3  -
Kangiellaceae                    -          B2b_forward          -               36    1050      33    1061      13    1081    1479    +    1.5e-269  892.0  22.1  -
Granulosicoccaceae               -          B2b_forward          -               27    1039      33    1061      13    1081    1471    +    1.8e-269  892.0  22.5  -
Thermoleophilaceae               -          B2b_forward          -               41    1036      58    1061      35    1081    1486    +    3.3e-267  884.3  20.7  -
Saccharospirillaceae             -          B2b_forward          -               15    1031      20    1061       7    1081    1468    +    3.8e-266  880.8  23.3  -
Cardiobacteriaceae               -          B2b_forward          -               35    1040      33    1061      13    1081    1462    +      5e-260  860.8  22.0  -
Sulfuricellaceae                 -          B2b_forward          -               28    1037      34    1061      16    1081    1462    +    5.5e-259  857.1  21.3  -
Coxiellaceae                     -          B2b_forward          -               27    1044      33    1061      13    1081    1473    +    1.2e-258  856.0  22.2  -
Acidiferrobacteraceae            -          B2b_forward          -               63    1031      78    1061      44    1081    1456    +    8.4e-258  853.3  19.8  -
Hydrogenophilaceae               -          B2b_forward          -               26    1036      32    1061      12    1081    1462    +    1.6e-255  845.9  22.3  -
Nevskiaceae                      -          B2b_forward          -               36    1032      33    1061      13    1081    1470    +      7e-251  830.6  21.9  -
Salinisphaeraceae                -          B2b_forward          -                2    1025      20    1061      19    1081    1432    +      3e-250  828.2  22.2  -
Arenicellaceae                   -          B2b_forward          -               29    1031      35    1061      15    1081    1488    +    3.5e-249  824.7  20.9  -
Unclassified_Thiotrichales       -          B2b_forward          -               88    1055      74    1061      46    1081    1517    +    2.7e-248  821.6  20.0  -
Methylophilaceae                 -          B2b_forward          -                7    1022      33    1061      29    1081    1430    +    1.3e-247  819.4  21.2  -
Sutterellaceae                   -          B2b_forward          -               27    1037      33    1061      13    1081    1487    +      4e-247  817.6  22.1  -
Zoogloeaceae                     -          B2b_forward          -               34    1042      33    1061      13    1081    1474    +    2.6e-246  815.1  21.9  -
Thiobacilliaceae                 -          B2b_forward          -               46    1054      33    1061      13    1081    1517    +    4.8e-246  814.3  21.2  -
Wenzhouxiangellaceae             -          B2b_forward          -               16    1043      22    1061       7    1081    1472    +    2.2e-245  811.9  22.8  -
Azonexaceae                      -          B2b_forward          -               25    1039      30    1061       9    1081    1474    +    4.4e-245  811.2  22.6  -
Francisellaceae                  -          B2b_forward          -               37    1039      33    1061      13    1081    1509    +    1.1e-244  809.8  21.6  -
Acidithiobacillaceae             -          B2b_forward          -               24    1031      31    1061       8    1081    1457    +    8.8e-244  806.6  22.7  -
Nitrosomonadaceae                -          B2b_forward          -               27    1038      33    1061      13    1081    1463    +    3.9e-242  801.4  22.0  -
Geobacteraceae                   -          B2b_forward          -               35    1061      33    1061      13    1081    1485    +    3.1e-240  794.9  21.8  -
