# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_A07_063   -               27     997      19     988       3     988    1474    +           0 1211.8  22.5  -
Ferrimonadaceae           -          LKAP-GutHK_A07_063   -               18     997      13     988       3     988    1475    +           0 1071.4  22.6  -
Enterobacteriaceae        -          LKAP-GutHK_A07_063   -               27     987      19     988       3     988    1465    +           0 1052.7  22.1  -
Alteromonadales           -          LKAP-GutHK_A07_063   -               71     988      71     988      49     988    1468    +           0 1050.4  21.2  -
Gammaproteobacteria       -          LKAP-GutHK_A07_063   -               27     986      19     988       3     988    1481    +           0 1047.1  22.1  -
Yersiniaceae              -          LKAP-GutHK_A07_063   -               17     987      12     988       3     988    1473    +           0 1044.4  22.2  -
Erwiniaceae               -          LKAP-GutHK_A07_063   -               62     982      67     988      45     988    1483    +           0 1043.4  21.5  -
Alteromonadaceae          -          LKAP-GutHK_A07_063   -               16     986      11     988       3     988    1468    +           0 1043.0  22.2  -
Shewanellaceae            -          LKAP-GutHK_A07_063   -               26     989      18     988       3     988    1483    +           0 1041.9  22.1  -
Aeromonadaceae            -          LKAP-GutHK_A07_063   -               39    1001      19     988       3     988    1496    +           0 1040.2  22.0  -
Pectobacteriaceae         -          LKAP-GutHK_A07_063   -               24     984      19     988       3     988    1477    +           0 1038.9  22.2  -
Pseudoalteromonadaceae    -          LKAP-GutHK_A07_063   -               26     983      18     988       3     988    1469    +           0 1029.0  21.4  -
Hafniaceae                -          LKAP-GutHK_A07_063   -               20     981      18     988       2     988    1459    +           0 1023.3  22.3  -
Morganellaceae            -          LKAP-GutHK_A07_063   -               30     990      19     988       3     988    1487    +    2.3e-308 1021.7  22.4  -
Budviciaceae              -          LKAP-GutHK_A07_063   -               18     976      20     987       7     988    1483    +    5.7e-305 1010.2  21.9  -
Oceanospirillaceae        -          LKAP-GutHK_A07_063   -               16     988      11     988       3     988    1467    +    2.7e-304 1007.9  22.2  -
Colwelliaceae             -          LKAP-GutHK_A07_063   -               15     988      10     988       3     988    1467    +    7.3e-303 1003.3  22.2  -
Idiomarinaceae            -          LKAP-GutHK_A07_063   -               16     988      11     988       3     988    1466    +    2.3e-302 1001.4  22.1  -
Moritellaceae             -          LKAP-GutHK_A07_063   -               31    1004      11     988       3     988    1501    +    5.8e-299  990.2  22.1  -
Oceanospirillales         -          LKAP-GutHK_A07_063   -               22     992      11     988       3     988    1489    +      4e-298  987.4  22.4  -
Cellvibrionaceae          -          LKAP-GutHK_A07_063   -               16     986      11     988       3     988    1472    +    1.2e-297  986.0  22.3  -
Chromatiaceae             -          LKAP-GutHK_A07_063   -               27     976      19     988       3     988    1455    +      7e-296  980.2  22.5  -
Thorselliaceae            -          LKAP-GutHK_A07_063   -               38     954      69     986      45     988    1419    +    1.1e-295  979.3  21.6  -
Pseudomonadaceae          -          LKAP-GutHK_A07_063   -               33     991      18     988       3     988    1491    +    1.5e-295  978.9  22.2  -
Psychromonadaceae         -          LKAP-GutHK_A07_063   -               16     986      11     987       3     988    1467    +    3.6e-295  977.8  22.2  -
Alcanivoracaceae          -          LKAP-GutHK_A07_063   -               46    1006      18     988       3     988    1504    +      2e-292  968.5  22.2  -
Piscirickettsiaceae       -          LKAP-GutHK_A07_063   -               29     990      19     988       4     988    1466    +    1.1e-291  966.2  22.0  -
Methylococcaceae          -          LKAP-GutHK_A07_063   -               41     993      19     987       5     988    1481    +    1.6e-287  952.4  22.3  -
Pasteurellaceae           -          LKAP-GutHK_A07_063   -               16     988      11     988       3     988    1422    +    4.4e-286  947.7  22.1  -
Halieaceae                -          LKAP-GutHK_A07_063   -               24     987      11     988       3     988    1484    +    4.7e-286  947.5  22.5  -
Hahellaceae               -          LKAP-GutHK_A07_063   -               16     985      11     988       3     988    1473    +    2.7e-285  945.1  22.3  -
Orbaceae                  -          LKAP-GutHK_A07_063   -               54    1011      19     988       3     988    1539    +    3.4e-284  941.3  22.0  -
Moraxellaceae             -          LKAP-GutHK_A07_063   -               12     978      10     988       3     988    1468    +    3.3e-283  938.3  22.3  -
