# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae_Shewanella                        -          B2b_forward          -               14    1040      20    1061       7    1087    1483    +           0 1187.8  23.3  -
Ferrimonadaceae_Ferrimonas                       -          B2b_forward          -               14    1048      20    1061       7    1086    1475    +           0 1044.6  23.5  -
Aeromonadaceae_Oceanisphaera                     -          B2b_forward          -               14    1037      20    1061       7    1081    1464    +           0 1040.2  23.3  -
Aeromonadaceae_Aeromonas                         -          B2b_forward          -               33    1059      20    1061       7    1081    1503    +           0 1030.3  23.3  -
Aeromonadaceae_Pseudaeromonas                    -          B2b_forward          -               10    1021      33    1061      24    1081    1491    +    7.5e-307 1019.2  21.7  -
Aeromonadaceae_Tolumonas                         -          B2b_forward          -               24    1049      20    1061       6    1081    1514    +    3.3e-306 1017.3  23.4  -
Aeromonadaceae_Oceanimonas                       -          B2b_forward          -               11    1037      20    1061       8    1081    1483    +    1.2e-305 1015.2  23.1  -
Aeromonadaceae_Zobellella                        -          B2b_forward          -               21    1045      20    1061       8    1081    1478    +    2.9e-305 1013.9  23.2  -
Vibrionaceae_Photobacterium                      -          B2b_forward          -               14    1048      20    1061       7    1087    1487    +    2.4e-304 1010.9  23.3  -
Moritellaceae_Paramoritella                      -          B2b_forward          -               14    1036      20    1061       7    1095    1512    +    7.9e-302 1002.5  22.7  -
Vibrionaceae_Enterovibrio                        -          B2b_forward          -               14    1042      20    1061       8    1087    1499    +    2.5e-301 1000.8  23.1  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          B2b_forward          -               14    1032      20    1061       7    1095    1461    +    1.4e-299  995.1  22.3  -
Moritellaceae_Moritella                          -          B2b_forward          -               47    1060      33    1061      13    1094    1506    +    1.5e-298  991.7  21.8  -
Vibrionaceae_Vibrio                              -          B2b_forward          -               14    1048      20    1061       7    1086    1466    +    4.1e-298  990.3  23.3  -
Erwiniaceae_Erwinia                              -          B2b_forward          -               14    1038      20    1061       7    1087    1495    +    6.6e-297  986.5  23.6  -
Yersiniaceae_Serratia                            -          B2b_forward          -               18    1042      20    1061       7    1087    1491    +    1.2e-295  982.2  23.4  -
Pectobacteriaceae_Brenneria                      -          B2b_forward          -                6    1016      34    1061      30    1086    1457    +    4.4e-295  980.3  21.5  -
Colwelliaceae_Colwellia                          -          B2b_forward          -               15    1038      21    1061       8    1088    1485    +    1.4e-293  975.4  22.9  -
Idiomarinaceae_Idiomarina                        -          B2b_forward          -               19    1044      20    1061       7    1087    1471    +    1.6e-292  971.6  23.5  -
Gammaproteobacteria_Gallaecimonas                -          B2b_forward          -               34    1058      20    1061       4    1087    1506    +    8.7e-292  969.3  23.6  -
Oceanospirillaceae_Thalassolituus                -          B2b_forward          -               34    1043      33    1061      13    1086    1476    +    1.8e-291  968.3  22.3  -
Colwelliaceae_Thalassotalea                      -          B2b_forward          -               15    1036      21    1061       8    1095    1463    +    2.2e-291  968.2  22.6  -
Pseudomonadaceae_Pseudomonas                     -          B2b_forward          -               21    1042      20    1061       7    1081    1502    +    2.3e-290  964.7  23.3  -
Alteromonadaceae_Agarivorans                     -          B2b_forward          -               32    1045      31    1061      11    1081    1454    +    3.7e-290  964.1  22.0  -
Psychromonadaceae_Psychromonas                   -          B2b_forward          -               15    1038      21    1061       8    1087    1467    +    4.2e-290  963.9  23.2  -
Pectobacteriaceae_Dickeya                        -          B2b_forward          -               11    1035      20    1061       8    1094    1421    +    1.1e-289  962.4  22.9  -
Yersiniaceae_Yersinia                            -          B2b_forward          -               14    1038      20    1061       7    1093    1461    +    1.2e-289  962.4  23.5  -
Pectobacteriaceae_Pectobacterium                 -          B2b_forward          -               22    1046      20    1061       7    1087    1499    +    7.2e-289  959.8  23.2  -
Morganellaceae_Xenorhabdus                       -          B2b_forward          -               16    1040      20    1061       7    1087    1493    +    8.5e-288  956.3  23.4  -
Hafniaceae_Hafnia                                -          B2b_forward          -               14    1038      20    1061       7    1088    1463    +    3.7e-287  954.0  23.3  -
Erwiniaceae_Tatumella                            -          B2b_forward          -               14    1038      20    1061       7    1095    1490    +    4.2e-287  953.9  23.2  -
Alteromonadaceae_Marinobacterium                 -          B2b_forward          -               14    1038      20    1061       7    1081    1465    +    3.5e-286  950.8  23.5  -
Pseudoalteromonadaceae_Algicola                  -          B2b_forward          -               29    1051      20    1061       7    1095    1490    +    5.7e-286  950.0  23.0  -
Vibrionaceae_Grimontia                           -          B2b_forward          -               14    1048      20    1061       7    1088    1493    +    9.3e-286  949.3  23.2  -
Pectobacteriaceae_Sodalis                        -          B2b_forward          -               10    1034      20    1061       9    1089    1511    +    6.5e-284  943.2  22.6  -
Enterobacteriaceae_Siccibacter                   -          B2b_forward          -               41    1065      20    1061       5    1094    1451    +    8.2e-284  943.1  23.2  -
Vibrionaceae_Aliivibrio                          -          B2b_forward          -               38    1062      20    1061       5    1087    1474    +    9.6e-284  943.0  23.5  -
Yersiniaceae_Rouxiella                           -          B2b_forward          -               43    1067      20    1061       6    1093    1551    +    1.3e-283  942.2  22.8  -
Enterobacteriaceae_Citrobacter                   -          B2b_forward          -               29    1053      20    1061       7    1087    1517    +    1.5e-283  942.1  23.2  -
Alteromonadaceae_Bowmanella                      -          B2b_forward          -               32    1050      20    1061       7    1081    1496    +    1.6e-283  942.0  22.4  -
Enterobacteriaceae_Buttiauxella                  -          B2b_forward          -               20    1042      20    1061       7    1094    1503    +    1.8e-283  941.9  22.8  -
Enterobacteriaceae_Enterobacter                  -          B2b_forward          -               12    1038      20    1067       7    1096    1476    +    3.5e-283  940.9  22.6  -
Colwelliaceae_Thalassomonas                      -          B2b_forward          -               15    1036      21    1061       8    1095    1462    +    3.8e-283  940.7  22.5  -
Alteromonadaceae_Marinobacter                    -          B2b_forward          -               14    1029      20    1053       8    1073    1478    +    4.9e-283  940.4  23.8  -
Erwiniaceae_Pantoea                              -          B2b_forward          -                4     975      73    1061      70    1087    1416    +    9.5e-283  939.5  20.3  -
Chromatiaceae_Rheinheimera                       -          B2b_forward          -               21    1027      20    1061       6    1095    1472    +    3.1e-282  937.8  22.5  -
Enterobacteriaceae_Klebsiella                    -          B2b_forward          -               26    1048      20    1061       7    1088    1436    +    5.3e-282  937.0  23.0  -
Morganellaceae_Providencia                       -          B2b_forward          -               22    1044      20    1061       7    1087    1489    +    9.6e-282  936.1  23.4  -
Enterobacteriaceae_Cronobacter                   -          B2b_forward          -                5    1015      34    1061      31    1087    1422    +      2e-281  935.1  21.7  -
Morganellaceae_Proteus                           -          B2b_forward          -               24    1048      20    1061       7    1093    1494    +    2.2e-281  934.9  23.3  -
Oceanospirillaceae_Marinospirillum               -          B2b_forward          -               14    1030      20    1061       7    1086    1451    +    7.4e-281  933.2  22.8  -
Enterobacteriaceae_Escherichia                   -          B2b_forward          -               14    1038      20    1061       7    1087    1480    +    1.3e-280  932.5  23.3  -
Celerinatantimonadaceae_Celerinatantimonas       -          B2b_forward          -                9    1045      20    1061       9    1081    1433    +    1.8e-280  931.9  23.0  -
Oceanospirillaceae_Marinomonas                   -          B2b_forward          -               15    1038      21    1061       7    1081    1467    +    4.2e-280  930.4  23.3  -
Halomonadaceae_Halomonas                         -          B2b_forward          -               14    1037      20    1061       7    1081    1463    +      9e-280  929.5  23.4  -
Idiomarinaceae_Aliidiomarina                     -          B2b_forward          -                3    1012      34    1061      32    1095    1410    +    1.3e-279  928.8  21.0  -
