# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae_Shewanella                        -          B1a2_forward         -                6    1015      18    1038      13    1058    1483    +           0 1145.9  25.2  -
Aeromonadaceae_Oceanisphaera                     -          B1a2_forward         -                6    1009      18    1035      14    1055    1464    +    7.9e-304 1009.2  25.5  -
Ferrimonadaceae_Ferrimonas                       -          B1a2_forward         -                6    1023      18    1038      14    1058    1475    +    4.1e-303 1006.7  25.4  -
Aeromonadaceae_Aeromonas                         -          B1a2_forward         -               25     992      18     986       9    1029    1503    +    4.2e-303 1006.7  25.7  -
Aeromonadaceae_Zobellella                        -          B1a2_forward         -               13    1017      18    1035      12    1055    1478    +    3.2e-299  993.9  25.4  -
Aeromonadaceae_Oceanimonas                       -          B1a2_forward         -                3    1009      18    1035      17    1055    1483    +    5.3e-299  993.2  25.7  -
Aeromonadaceae_Tolumonas                         -          B1a2_forward         -               16    1021      18    1035       8    1055    1514    +    1.1e-298  992.4  25.2  -
Vibrionaceae_Photobacterium                      -          B1a2_forward         -                6    1021      18    1036      14    1056    1487    +    9.8e-296  982.4  25.5  -
Aeromonadaceae_Pseudaeromonas                    -          B1a2_forward         -                7     954      35     986      30    1032    1491    +    4.1e-294  977.0  25.0  -
Moritellaceae_Paramoritella                      -          B1a2_forward         -                6    1008      18    1035      13    1055    1512    +    2.7e-293  974.3  24.8  -
Vibrionaceae_Enterovibrio                        -          B1a2_forward         -                6    1003      18    1018      14    1039    1499    +    3.1e-293  974.0  25.3  -
Vibrionaceae_Vibrio                              -          B1a2_forward         -                6    1020      18    1035      14    1055    1466    +    4.2e-290  963.8  25.4  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          B1a2_forward         -                6    1004      18    1035      14    1055    1461    +    1.6e-288  958.4  24.7  -
Moritellaceae_Moritella                          -          B1a2_forward         -               26    1035      18    1038      10    1058    1506    +    7.5e-288  956.3  24.8  -
Erwiniaceae_Erwinia                              -          B1a2_forward         -                6    1014      18    1039      14    1059    1495    +    9.5e-288  956.2  25.6  -
Colwelliaceae_Colwellia                          -          B1a2_forward         -                6    1012      18    1037      14    1057    1485    +      6e-286  950.1  25.4  -
Yersiniaceae_Serratia                            -          B1a2_forward         -               10    1017      18    1038      13    1058    1491    +    1.4e-285  948.8  25.2  -
Alteromonadaceae_Agarivorans                     -          B1a2_forward         -               13    1003      18    1015      13    1037    1454    +    2.4e-285  948.1  25.3  -
Colwelliaceae_Thalassotalea                      -          B1a2_forward         -                6    1010      18    1037      14    1057    1463    +    1.9e-284  945.2  25.4  -
Pseudomonadaceae_Pseudomonas                     -          B1a2_forward         -               13    1015      18    1036      11    1056    1502    +      3e-284  944.5  25.1  -
Pectobacteriaceae_Brenneria                      -          B1a2_forward         -                4     991      37    1038      34    1058    1457    +    3.6e-283  940.8  24.2  -
Idiomarinaceae_Idiomarina                        -          B1a2_forward         -               10    1018      17    1037      12    1057    1471    +    2.1e-282  938.1  25.3  -
Pectobacteriaceae_Dickeya                        -          B1a2_forward         -                3     995      18    1017      16    1039    1421    +    6.3e-282  936.8  25.7  -
Oceanospirillaceae_Thalassolituus                -          B1a2_forward         -               12    1014      17    1034       9    1055    1476    +    8.6e-282  936.2  25.5  -
Pectobacteriaceae_Pectobacterium                 -          B1a2_forward         -               14    1021      18    1038      10    1058    1499    +    4.7e-281  933.9  25.2  -
