# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Sporolactobacillaceae            -          LKAP-TSA1KG_D12_090_2018_1 -               21     256      12     258       2     259    1503    +     2.2e-38  123.8   7.0  -
Unclassified_Calditrichaeota     -          LKAP-TSA1KG_D12_090_2018_1 -               79     264      76     258      54     259    1483    +     1.2e-34  111.6   4.7  -
Aerococcaceae                    -          LKAP-TSA1KG_D12_090_2018_1 -               22     262      13     258       2     259    1474    +     2.1e-33  107.3   6.4  -
Listeriaceae                     -          LKAP-TSA1KG_D12_090_2018_1 -               57     245      72     258      51     259    1448    +     8.7e-33  105.5   4.6  -
Rhodothermaceae                  -          LKAP-TSA1KG_D12_090_2018_1 -               63     248      70     258      27     259    1457    +     1.3e-31  101.4   5.5  -
Kineosporiaceae                  -          LKAP-TSA1KG_D12_090_2018_1 -               63     251      65     258      23     259    1463    +     1.3e-31  101.5   6.4  -
Halanaerobiaceae                 -          LKAP-TSA1KG_D12_090_2018_1 -               41     284      20     259       3     259    1506    +     3.2e-31   99.9   7.9  -
Rubricoccaceae                   -          LKAP-TSA1KG_D12_090_2018_1 -               69     256      66     258      42     259    1451    +     1.3e-30   98.1   4.9  -
Sporichthyaceae                  -          LKAP-TSA1KG_D12_090_2018_1 -               33     243      22     258       3     259    1472    +     2.2e-30   97.5   6.6  -
Salinibacteraceae                -          LKAP-TSA1KG_D12_090_2018_1 -               97     278      74     258      54     259    1497    +     5.8e-30   96.0   4.1  -
Dermabacteraceae                 -          LKAP-TSA1KG_D12_090_2018_1 -               68     254      66     258      43     259    1470    +     7.5e-30   95.4   5.9  -
Iamiaceae                        -          LKAP-TSA1KG_D12_090_2018_1 -               71     256      70     259      48     259    1480    +     1.5e-29   94.9   5.4  -
Sanguibacteraceae                -          LKAP-TSA1KG_D12_090_2018_1 -               84     265      71     258      50     259    1483    +     1.6e-29   94.5   5.1  -
Actinopolysporaceae              -          LKAP-TSA1KG_D12_090_2018_1 -               24     269      12     258       2     259    1486    +     2.1e-29   94.1   7.5  -
Unclassified_Frankiales          -          LKAP-TSA1KG_D12_090_2018_1 -               37     251      20     258       3     259    1425    +     3.9e-29   93.4   6.6  -
