# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_G08_052.seq -               27    1053       5    1024       2    1025    1402    +           0 1232.0  13.6  -
Hyphomonadaceae           -          LKAP-Gut2_G08_052.seq -               27    1050       5    1024       2    1025    1400    +           0 1110.0  13.6  -
Rhizobiaceae              -          LKAP-Gut2_G08_052.seq -               27    1047       5    1024       2    1025    1422    +           0 1090.2  13.8  -
Rhodobiaceae              -          LKAP-Gut2_G08_052.seq -               38    1059       6    1023       2    1025    1440    +           0 1089.1  13.8  -
Hyphomicrobiaceae         -          LKAP-Gut2_G08_052.seq -               27    1046       5    1020       2    1025    1427    +           0 1088.7  13.6  -
Phyllobacteriaceae        -          LKAP-Gut2_G08_052.seq -               27    1047       5    1022       2    1025    1424    +           0 1086.7  13.7  -
Methylocystaceae          -          LKAP-Gut2_G08_052.seq -               38    1057       5    1023       3    1025    1424    +           0 1082.2  13.7  -
Alphaproteobacteria       -          LKAP-Gut2_G08_052.seq -               27    1049       5    1023       2    1025    1409    +           0 1069.3  13.6  -
Rhizobiales               -          LKAP-Gut2_G08_052.seq -               37    1058       5    1023       2    1025    1438    +           0 1068.1  13.7  -
Rhodospirillaceae         -          LKAP-Gut2_G08_052.seq -               29    1055       5    1023       2    1025    1429    +           0 1057.7  13.6  -
Aurantimonadaceae         -          LKAP-Gut2_G08_052.seq -               44    1063       5    1024       2    1025    1442    +           0 1057.1  13.7  -
Xanthobacteraceae         -          LKAP-Gut2_G08_052.seq -               27    1046       5    1023       3    1025    1415    +           0 1044.9  14.0  -
Brucellaceae              -          LKAP-Gut2_G08_052.seq -               33    1052       6    1024       3    1025    1411    +           0 1042.1  13.9  -
Beijerinckiaceae          -          LKAP-Gut2_G08_052.seq -               40    1061       5    1022       2    1025    1421    +           0 1035.9  13.7  -
Caulobacteraceae          -          LKAP-Gut2_G08_052.seq -               27    1042       5    1020       2    1025    1415    +           0 1033.7  13.7  -
Bradyrhizobiaceae         -          LKAP-Gut2_G08_052.seq -               33    1045      10    1019       3    1025    1428    +    6.6e-308 1020.1  13.5  -
Sneathiellaceae           -          LKAP-Gut2_G08_052.seq -               33    1064       6    1023       3    1025    1427    +    5.2e-307 1017.2  13.8  -
Methylobacteriaceae       -          LKAP-Gut2_G08_052.seq -               27    1045       5    1021       2    1025    1426    +      9e-305 1009.8  13.6  -
Parvularculaceae          -          LKAP-Gut2_G08_052.seq -               47    1067       5    1022       3    1025    1428    +    1.1e-302 1003.2  14.0  -
Sphingomonadaceae         -          LKAP-Gut2_G08_052.seq -               34    1057       5    1023       2    1025    1434    +    1.6e-302 1002.6  13.5  -
Kordiimonadaceae          -          LKAP-Gut2_G08_052.seq -               28    1057       6    1020       2    1025    1421    +    1.9e-302 1002.2  13.5  -
Bartonellaceae            -          LKAP-Gut2_G08_052.seq -               28    1051       6    1024       2    1025    1410    +    1.4e-301  999.2  13.5  -
Cohaesibacteraceae        -          LKAP-Gut2_G08_052.seq -               44    1068       2    1023       1    1025    1425    +    2.1e-298  988.7  13.4  -
Erythrobacteraceae        -          LKAP-Gut2_G08_052.seq -               28    1048       5    1020       2    1025    1433    +    5.1e-298  987.6  13.6  -
Chelatococcaceae          -          LKAP-Gut2_G08_052.seq -               38    1056       5    1019       2    1025    1439    +      7e-295  977.1  13.8  -
Acetobacteraceae          -          LKAP-Gut2_G08_052.seq -               32    1057       5    1024       2    1025    1438    +    1.1e-283  940.0  13.6  -
Kiloniellaceae            -          LKAP-Gut2_G08_052.seq -               53    1078      11    1023       3    1025    1450    +    3.3e-283  938.1  13.5  -
Eubacteriaceae            -          LKAP-Gut2_G08_052.seq -               73    1104      23    1022       4    1025    1485    +    5.1e-283  937.6  13.8  -
Clostridiales             -          LKAP-Gut2_G08_052.seq -               87    1100      29    1024       8    1025    1470    +      2e-282  935.6  13.7  -
Clostridiaceae            -          LKAP-Gut2_G08_052.seq -               41    1095       5    1022       2    1025    1485    +    1.9e-280  928.9  13.7  -
Anaplasmataceae           -          LKAP-Gut2_G08_052.seq -               91    1081      33    1024      13    1025    1441    +    4.7e-280  928.0  13.4  -
Gammaproteobacteria       -          LKAP-Gut2_G08_052.seq -               29    1103       7    1024       3    1025    1481    +    2.6e-276  915.2  13.8  -
Thiotrichaceae            -          LKAP-Gut2_G08_052.seq -               27    1060       5    1024       2    1025    1421    +    6.1e-275  910.7  13.7  -
Ectothiorhodospiraceae    -          LKAP-Gut2_G08_052.seq -               34    1110       5    1024       2    1025    1463    +    2.5e-272  902.3  13.7  -
Peptostreptococcaceae     -          LKAP-Gut2_G08_052.seq -               28    1081       6    1024       3    1025    1441    +    2.5e-272  902.0  13.7  -
Thiotrichales             -          LKAP-Gut2_G08_052.seq -               81    1119      24    1020       4    1025    1519    +      6e-271  897.3  13.6  -
Chromatiaceae             -          LKAP-Gut2_G08_052.seq -               27    1093       5    1024       2    1025    1455    +    1.6e-270  896.2  13.7  -
Oceanospirillaceae        -          LKAP-Gut2_G08_052.seq -               40    1105      17    1024       3    1025    1467    +    3.6e-270  894.9  13.7  -
Ruminococcaceae           -          LKAP-Gut2_G08_052.seq -               83    1092      30    1019      10    1025    1457    +    1.3e-269  893.0  13.6  -
Oceanospirillales         -          LKAP-Gut2_G08_052.seq -               34    1109       6    1024       3    1025    1489    +    2.2e-269  892.2  13.7  -
Peptococcaceae            -          LKAP-Gut2_G08_052.seq -               40    1093      10    1021       3    1025    1479    +    3.6e-269  891.5  13.7  -
Cellvibrionaceae          -          LKAP-Gut2_G08_052.seq -               27    1103       5    1024       2    1025    1472    +      8e-268  887.2  13.8  -
Alteromonadaceae          -          LKAP-Gut2_G08_052.seq -               33    1103      10    1024       2    1025    1468    +      1e-267  886.8  13.7  -
Piscirickettsiaceae       -          LKAP-Gut2_G08_052.seq -               66    1102      25    1019       5    1025    1466    +    8.1e-267  883.8  13.7  -
Hahellaceae               -          LKAP-Gut2_G08_052.seq -               27    1103       5    1025       1    1025    1473    +    6.5e-266  880.9  13.7  -
Rickettsiaceae            -          LKAP-Gut2_G08_052.seq -               70    1062      33    1023      13    1025    1430    +    1.8e-265  879.6  13.2  -
Methylococcaceae          -          LKAP-Gut2_G08_052.seq -               41    1111       5    1024       3    1025    1481    +    2.4e-265  879.0  13.7  -
Lachnospiraceae           -          LKAP-Gut2_G08_052.seq -               80    1090      29    1019       8    1025    1469    +    3.6e-264  875.1  13.8  -
Pseudomonadaceae          -          LKAP-Gut2_G08_052.seq -               36    1108       7    1024       3    1025    1491    +    9.5e-264  873.6  13.8  -
Spongiibacteraceae        -          LKAP-Gut2_G08_052.seq -               30    1101       5    1024       2    1025    1462    +    1.4e-263  873.0  13.8  -
Kangiellaceae             -          LKAP-Gut2_G08_052.seq -               67    1112      17    1020       2    1025    1479    +    1.9e-263  872.6  13.6  -
Litoricolaceae            -          LKAP-Gut2_G08_052.seq -               75    1110      28    1024       7    1025    1474    +    1.1e-259  860.4  13.9  -
Desulfobacteraceae        -          LKAP-Gut2_G08_052.seq -               79    1137      27    1024       7    1025    1516    +      3e-259  858.8  13.8  -
Chromobacteriaceae        -          LKAP-Gut2_G08_052.seq -               36    1093      14    1019       3    1025    1460    +    4.2e-259  858.4  13.7  -
