# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales                -          LKAP-TSA1KG_G01_003_2018_1 -               32     941      17     928      10     928    1503    +           0 1062.6  31.2  -
Planococcaceae            -          LKAP-TSA1KG_G01_003_2018_1 -               25     928      17     928       7     928    1491    +    4.8e-290  960.7  30.8  -
Bacillaceae               -          LKAP-TSA1KG_G01_003_2018_1 -               20     934      14     928       3     928    1493    +    4.9e-289  957.5  31.1  -
Sporolactobacillaceae     -          LKAP-TSA1KG_G01_003_2018_1 -               27     925      19     928       8     928    1503    +    2.6e-282  935.1  31.1  -
Staphylococcaceae         -          LKAP-TSA1KG_G01_003_2018_1 -               26     928      16     928       6     928    1479    +      1e-281  933.2  30.6  -
Carnobacteriaceae         -          LKAP-TSA1KG_G01_003_2018_1 -               25     931      17     928       5     928    1496    +    3.2e-280  928.2  31.2  -
Enterococcaceae           -          LKAP-TSA1KG_G01_003_2018_1 -               29     936      20     928       6     928    1498    +    5.7e-277  917.5  31.5  -
Aerococcaceae             -          LKAP-TSA1KG_G01_003_2018_1 -               27     931      19     928       8     928    1473    +    2.3e-274  908.9  30.8  -
Listeriaceae              -          LKAP-TSA1KG_G01_003_2018_1 -               57     914      73     928      51     928    1448    +    1.8e-272  902.7  29.6  -
Paenibacillaceae          -          LKAP-TSA1KG_G01_003_2018_1 -               25     933      16     928       5     928    1493    +    1.8e-271  899.3  30.8  -
Lactobacillaceae          -          LKAP-TSA1KG_G01_003_2018_1 -               32     959      20     928       9     928    1522    +    3.3e-269  891.8  32.3  -
Thermoactinomycetaceae    -          LKAP-TSA1KG_G01_003_2018_1 -               33     930      17     928      10     928    1495    +    1.2e-266  883.5  31.1  -
Peptococcaceae            -          LKAP-TSA1KG_G01_003_2018_1 -               36     904      20     928       9     928    1479    +      3e-262  868.5  30.0  -
Clostridiaceae            -          LKAP-TSA1KG_G01_003_2018_1 -               43     907      20     928      10     928    1485    +    1.7e-256  849.4  29.7  -
Eubacteriaceae            -          LKAP-TSA1KG_G01_003_2018_1 -               43     918      20     928      11     928    1485    +    6.5e-256  847.6  31.2  -
Erysipelotrichaceae       -          LKAP-TSA1KG_G01_003_2018_1 -               31     912      18     928      10     928    1466    +    1.7e-255  846.3  31.1  -
Alicyclobacillaceae       -          LKAP-TSA1KG_G01_003_2018_1 -               49     934      20     928      10     928    1512    +    4.9e-254  841.7  30.8  -
Clostridiales             -          LKAP-TSA1KG_G01_003_2018_1 -               36     911      20     928      11     928    1470    +    8.9e-254  840.5  30.4  -
Leuconostocaceae          -          LKAP-TSA1KG_G01_003_2018_1 -               22     932      18     928       9     928    1479    +    1.7e-252  836.5  32.1  -
Streptococcaceae          -          LKAP-TSA1KG_G01_003_2018_1 -               32     937      18     928       8     928    1497    +    2.6e-247  819.2  31.3  -
Thermoanaerobacteraceae   -          LKAP-TSA1KG_G01_003_2018_1 -               35     915      20     928      12     928    1492    +    7.8e-247  817.3  29.7  -
Peptostreptococcaceae     -          LKAP-TSA1KG_G01_003_2018_1 -               29     891      20     927      10     928    1441    +    2.9e-244  808.9  29.9  -
Syntrophomonadaceae       -          LKAP-TSA1KG_G01_003_2018_1 -               46     944      20     928      11     928    1515    +    3.9e-242  801.8  31.5  -
Thermoanaerobacterales    -          LKAP-TSA1KG_G01_003_2018_1 -               37     917      20     928       8     928    1472    +    5.5e-241  798.2  30.7  -
Ruminococcaceae           -          LKAP-TSA1KG_G01_003_2018_1 -               29     909      20     928       8     928    1457    +    3.5e-238  788.8  30.1  -
Mycoplasmataceae          -          LKAP-TSA1KG_G01_003_2018_1 -               22     900      19     928      12     928    1467    +    1.6e-234  777.0  31.0  -
Selenomonadaceae          -          LKAP-TSA1KG_G01_003_2018_1 -               48     956      20     928       8     928    1531    +    1.4e-231  766.9  30.8  -
Veillonellaceae           -          LKAP-TSA1KG_G01_003_2018_1 -               49     917      72     928      51     928    1450    +    6.6e-231  764.6  29.6  -
Geobacteraceae            -          LKAP-TSA1KG_G01_003_2018_1 -               37     939      20     928      10     928    1487    +    2.3e-230  762.9  30.8  -
Halanaerobiaceae          -          LKAP-TSA1KG_G01_003_2018_1 -               37     948      20     928       9     928    1503    +      3e-230  762.4  32.3  -
Heliobacteriaceae         -          LKAP-TSA1KG_G01_003_2018_1 -               46     914      20     928      12     928    1500    +    3.5e-230  762.4  29.8  -
Brevibacteriaceae         -          LKAP-TSA1KG_G01_003_2018_1 -               39     914      20     928       7     928    1487    +    1.9e-229  759.7  29.6  -
Deltaproteobacteria       -          LKAP-TSA1KG_G01_003_2018_1 -               45     950      20     928      12     928    1514    +    3.6e-229  759.1  31.5  -
Sporomusaceae             -          LKAP-TSA1KG_G01_003_2018_1 -               48     948      20     928      11     928    1535    +    4.8e-229  758.3  30.8  -
Spirochaetaceae           -          LKAP-TSA1KG_G01_003_2018_1 -               35     924      20     928      11     928    1486    +    1.3e-228  757.3  30.6  -
Deferribacteraceae        -          LKAP-TSA1KG_G01_003_2018_1 -               72     928      74     928      29     928    1513    +    2.4e-228  756.1  30.5  -
Desulfuromonadaceae       -          LKAP-TSA1KG_G01_003_2018_1 -               46     949      20     928       8     928    1518    +    9.3e-228  754.3  30.9  -
Lachnospiraceae           -          LKAP-TSA1KG_G01_003_2018_1 -               29     908      20     928       9     928    1469    +    1.8e-226  749.9  31.0  -
Natranaerobiaceae         -          LKAP-TSA1KG_G01_003_2018_1 -               62     892      72     928      47     928    1429    +    1.7e-225  746.7  28.1  -
Desulfovibrionaceae       -          LKAP-TSA1KG_G01_003_2018_1 -               44     940      20     928      11     928    1527    +    6.6e-225  744.9  31.4  -
Desulfobacteraceae        -          LKAP-TSA1KG_G01_003_2018_1 -               42     950      20     928       9     928    1516    +    5.2e-224  741.9  31.0  -
Peptoniphilaceae          -          LKAP-TSA1KG_G01_003_2018_1 -                5     877      20     926      17     928    1437    +    7.8e-224  741.5  31.2  -
Bacteroidaceae            -          LKAP-TSA1KG_G01_003_2018_1 -               38     929      20     928       9     928    1480    +    6.1e-223  738.3  31.2  -
Halobacteroidaceae        -          LKAP-TSA1KG_G01_003_2018_1 -               37     919      20     928      12     928    1478    +    1.3e-222  737.1  30.6  -
Rhodospirillaceae         -          LKAP-TSA1KG_G01_003_2018_1 -               31     866      20     928      10     928    1429    +    1.3e-222  737.4  28.4  -
Spiroplasmataceae         -          LKAP-TSA1KG_G01_003_2018_1 -               79     925      75     928      54     928    1516    +    1.4e-222  737.6  30.0  -
Gammaproteobacteria       -          LKAP-TSA1KG_G01_003_2018_1 -               29     917      20     928       5     928    1481    +    1.1e-221  734.0  30.7  -
Micrococcaceae            -          LKAP-TSA1KG_G01_003_2018_1 -               38     910      20     928       5     928    1476    +    1.3e-220  730.6  29.8  -
Acidaminococcaceae        -          LKAP-TSA1KG_G01_003_2018_1 -               36     937      20     928       9     928    1504    +    3.3e-220  728.9  30.0  -
Acetobacteraceae          -          LKAP-TSA1KG_G01_003_2018_1 -               54     868      68     928      48     928    1438    +    5.7e-220  728.7  28.4  -
Symbiobacteriaceae        -          LKAP-TSA1KG_G01_003_2018_1 -               16     922      14     926       3     928    1468    +      7e-219  725.2  31.1  -
Rubrobacteraceae          -          LKAP-TSA1KG_G01_003_2018_1 -               28     920      19     926       4     928    1495    +    2.2e-218  723.3  31.2  -
Bdellovibrionaceae        -          LKAP-TSA1KG_G01_003_2018_1 -               25     887      20     928      10     928    1430    +    2.7e-218  722.9  29.2  -
Desulfobulbaceae          -          LKAP-TSA1KG_G01_003_2018_1 -               30     933      20     928       6     928    1483    +    4.1e-218  722.3  30.8  -
Streptomycetaceae         -          LKAP-TSA1KG_G01_003_2018_1 -               29     894      20     927       7     928    1479    +    2.8e-217  719.7  29.8  -
Desulfohalobiaceae        -          LKAP-TSA1KG_G01_003_2018_1 -               35     944      20     928      13     928    1509    +    4.3e-217  719.0  31.4  -
Thermoleophilaceae        -          LKAP-TSA1KG_G01_003_2018_1 -               22     919      20     928      12     928    1494    +    4.1e-216  715.6  30.7  -
