# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Microbulbiferaceae               -          B1i_forward          -                4     928       4     941       2     984    1478    +    5.9e-244  807.5  10.0  -
Thermoleophilaceae               -          B1i_forward          -                1     970       8     984       8    1005    1486    +    5.7e-239  790.7   9.6  -
Unclassified_Oceanospirillales   -          B1i_forward          -                9     961       4     973       1    1001    1483    +    2.1e-237  785.4   9.9  -
Alcanivoracaceae                 -          B1i_forward          -               24     991       4     984       2    1004    1504    +    2.4e-235  778.6  10.0  -
Spongiibacteraceae               -          B1i_forward          -                7     903       4     910       2     961    1462    +    1.3e-231  766.2  11.3  -
Litoricolaceae                   -          B1i_forward          -               12     942       4     942       2     984    1474    +      2e-231  766.0  10.3  -
Unclassified_Alteromonadales     -          B1i_forward          -                4     935       4     941       2     984    1467    +    1.8e-227  752.5  10.2  -
Halieaceae                       -          B1i_forward          -               12     907       4     911       2     961    1484    +      4e-227  751.5  11.1  -
Thioalkalispiraceae              -          B1i_forward          -               16     918       4     903       2     961    1478    +    6.1e-227  750.8  11.1  -
Aeromonadaceae                   -          B1i_forward          -               16     986       4     984       2    1006    1496    +    1.3e-221  733.1  10.2  -
Saccharospirillaceae             -          B1i_forward          -                5     903       4     914       2     961    1468    +    4.6e-219  724.8  11.5  -
Granulosicoccaceae               -          B1i_forward          -                4     963       4     968       2     989    1471    +    4.3e-216  715.1  10.0  -
Idiomarinaceae                   -          B1i_forward          -                5     907       5     910       2     962    1466    +    1.3e-215  713.2  11.0  -
Colwelliaceae                    -          B1i_forward          -                4     900       4     903       2     954    1465    +    1.2e-214  710.3  11.4  -
Halothiobacillaceae              -          B1i_forward          -               21     990       4     984       2    1005    1501    +    6.6e-214  707.7   9.9  -
Ferrimonadaceae                  -          B1i_forward          -                4     911       4     903       2     953    1475    +    8.2e-214  707.2  11.5  -
Nevskiaceae                      -          B1i_forward          -               13     905       4     915       2    1003    1470    +      1e-213  707.4  10.7  -
Acidiferrobacteraceae            -          B1i_forward          -                4     967       4     988       2    1032    1456    +    1.1e-213  707.1  10.2  -
Coxiellaceae                     -          B1i_forward          -                4     962       4     965       2     990    1473    +    1.6e-211  699.9  10.4  -
Moritellaceae                    -          B1i_forward          -               19     918       4     903       2     935    1501    +    1.5e-210  696.5  12.1  -
Cardiobacteriaceae               -          B1i_forward          -               12     903       4     903       2     961    1462    +    7.6e-209  691.2  11.3  -
Kangiellaceae                    -          B1i_forward          -               13     913       4     903       2     954    1479    +    1.6e-208  689.9  11.2  -
Hafniaceae                       -          B1i_forward          -                1     895       7     903       7     952    1459    +      1e-203  673.9  11.7  -
Arenicellaceae                   -          B1i_forward          -                4     966       4     978       2     997    1488    +    2.8e-203  672.6   9.8  -
Psychromonadaceae                -          B1i_forward          -                4     907       4     911       2     954    1467    +    6.1e-203  671.4  11.6  -
Budviciaceae                     -          B1i_forward          -                1     891      11     903      11     936    1483    +    2.3e-201  666.1  12.0  -
Sulfuricellaceae                 -          B1i_forward          -                4     898       4     903       1     935    1462    +    1.9e-199  659.9  11.8  -
Succinivibrionaceae              -          B1i_forward          -                7     947       4     982       2    1007    1474    +      1e-197  654.0  10.5  -
Zoogloeaceae                     -          B1i_forward          -               11     903       4     903       2     948    1474    +    3.6e-197  652.3  12.0  -
Celerinatantimonadaceae          -          B1i_forward          -                2     977       7     982       6    1004    1433    +    3.5e-196  649.1  10.0  -
Unclassified_Thiotrichales       -          B1i_forward          -               24     988       3     983       1    1004    1517    +    2.3e-193  639.6  10.1  -
Sutterellaceae                   -          B1i_forward          -                4     898       4     903       2     923    1487    +      1e-192  637.3  12.1  -
Nitrosomonadaceae                -          B1i_forward          -                4     972       4     986       2    1007    1463    +    2.5e-192  636.4   9.7  -
Hydrogenophilaceae               -          B1i_forward          -                4     897       4     904       2     929    1462    +    3.5e-192  636.0  12.3  -
Salinisphaeraceae                -          B1i_forward          -                2     959      14     984      13    1004    1432    +    5.3e-189  625.3   9.8  -
Geobacteraceae                   -          B1i_forward          -               10     949       2     933       1    1006    1485    +    3.6e-188  622.4  10.5  -
Methylothermaceae                -          B1i_forward          -               25     993       4     984       2    1004    1491    +    3.9e-188  622.3   9.9  -
Thiobacilliaceae                 -          B1i_forward          -               23     915       4     903       2     923    1517    +    4.4e-188  622.3  12.5  -
Unclassified_Alphaproteobacteria -          B1i_forward          -                2     846       2     904       1     973    1412    +    6.3e-188  622.0  10.7  -
Thermithiobacillaceae            -          B1i_forward          -                2     951      17     984      16    1010    1419    +    1.5e-187  620.5   9.1  -
Azonexaceae                      -          B1i_forward          -                5     900       4     903       2     931    1474    +      2e-186  616.9  12.1  -
Methylophilaceae                 -          B1i_forward          -                4     953      24     984      21    1004    1430    +    1.6e-185  613.7   8.7  -
Sneathiellaceae                  -          B1i_forward          -                7     930       2     985       1    1007    1427    +    5.5e-185  612.0   9.3  -
Wenzhouxiangellaceae             -          B1i_forward          -                4     975       4     982       2    1002    1472    +    2.5e-184  609.6  10.0  -
Orbaceae                         -          B1i_forward          -               31     992       4     981       2    1002    1538    +    2.7e-184  609.5  10.0  -
Unclassified_Rhizobiales         -          B1i_forward          -               12     929       2     989       1    1012    1437    +    4.6e-184  609.0   9.8  -
Anaplasmataceae                  -          B1i_forward          -               13     758       2     779       1    1005    1438    +    6.9e-183  605.2  11.1  -
Desulfohalobiaceae               -          B1i_forward          -                8     928       4     903       1     935    1510    +    4.4e-182  602.2  11.9  -
Desulfuromonadaceae              -          B1i_forward          -               20     933       2     903       1     934    1519    +    4.5e-182  602.2  11.9  -
Unclassified_Acidobacteria       -          B1i_forward          -               25     928       5     899       2     923    1505    +    5.6e-181  599.1  12.8  -
Acidithiobacillaceae             -          B1i_forward          -                3     962       4     983       2    1003    1457    +      2e-179  593.4  10.2  -
Francisellaceae                  -          B1i_forward          -               14     971       4     982       2    1002    1509    +    2.3e-179  593.3   9.9  -
Thorselliaceae                   -          B1i_forward          -                1     871      28     904      28     954    1419    +    8.5e-179  591.3  11.0  -
Unclassified_Deltaproteobacteria -          B1i_forward          -               18     933       2     903       1     935    1518    +    2.5e-178  590.0  11.9  -
Hyphomonadaceae                  -          B1i_forward          -                2     914       2     984       1    1006    1399    +    2.8e-178  590.0   9.7  -
Beijerinckiaceae                 -          B1i_forward          -               15     927       2     984       1    1007    1421    +    4.9e-177  585.6   9.6  -
Syntrophaceae                    -          B1i_forward          -               19     932       2     903       1     954    1556    +    5.8e-177  585.3  11.3  -
Haliangiaceae                    -          B1i_forward          -               19     931       3     903       2     935    1507    +    1.8e-176  583.8  12.4  -
Parvularculaceae                 -          B1i_forward          -               22     931       2     981       1     999    1429    +    2.3e-173  573.8   9.8  -
Kiloniellaceae                   -          B1i_forward          -               29     942      10     983       2    1003    1450    +    3.2e-173  572.8   9.3  -
Nautiliaceae                     -          B1i_forward          -                4     939       4     984       2    1006    1428    +    4.7e-173  572.7  10.3  -
Deferribacteraceae               -          B1i_forward          -                9     980       2     982       1    1004    1514    +    5.2e-173  572.1  10.1  -
Holophagaceae                    -          B1i_forward          -               23     798       4     779       1     799    1502    +    8.4e-173  571.7  16.1  -
Aurantimonadaceae                -          B1i_forward          -               19     932       2     986       1    1007    1444    +    1.7e-172  570.8   9.4  -
Desulfobulbaceae                 -          B1i_forward          -                2     914       2     903       1     935    1482    +    2.9e-172  569.7  11.6  -
Rickettsiaceae                   -          B1i_forward          -                2     919       2     970       1     993    1430    +    3.7e-171  566.2   9.9  -
Heliobacteriaceae                -          B1i_forward          -               19     809       2     809       1     954    1502    +    4.7e-171  565.8  13.1  -
Kordiimonadaceae                 -          B1i_forward          -                2     923       2     982       1    1000    1423    +    6.7e-171  565.5   9.7  -
Spirillaceae                     -          B1i_forward          -               20     920       4     903       2     923    1447    +    7.4e-171  565.4  12.3  -
Brucellaceae                     -          B1i_forward          -                7     917       2     984       1    1004    1412    +    5.8e-169  559.1   9.7  -
Caulobacteraceae                 -          B1i_forward          -                3     917       3     987       2    1010    1418    +    1.2e-168  557.9  10.1  -
Chelatococcaceae                 -          B1i_forward          -               14     924       3     983       1    1003    1439    +    1.4e-168  557.8   9.6  -
Desulfarculaceae                 -          B1i_forward          -               11     928       2     903       1     931    1516    +    4.7e-168  555.9  12.1  -
Erythrobacteraceae               -          B1i_forward          -                2     843       2     902       1     923    1433    +    5.8e-168  555.6  11.6  -
Leptospiraceae                   -          B1i_forward          -                2     945       2     985       1    1010    1433    +    5.7e-167  552.2  10.1  -
Bartonellaceae                   -          B1i_forward          -                2     913       2     982       1     990    1410    +    8.5e-166  548.4   9.5  -
Bacteriovoracaceae               -          B1i_forward          -                2     908       2     902       1     919    1473    +    1.2e-165  547.7  12.6  -
Myxococcaceae                    -          B1i_forward          -               16     992       2     980       1    1001    1517    +    2.6e-163  540.0  10.4  -
Bdellovibrionaceae               -          B1i_forward          -                3     751       7     779       5     799    1430    +    2.9e-163  540.0  15.9  -
Polyangiaceae                    -          B1i_forward          -               21     928       2     901       1     935    1550    +    4.5e-163  539.3  12.8  -
Cystobacteraceae                 -          B1i_forward          -                2     971       2     974       1     994    1491    +    7.3e-163  538.5  10.5  -
Halobacteriovoracaceae           -          B1i_forward          -                2     912       2     901       1     922    1480    +    1.1e-161  534.7  12.6  -
Patulibacteraceae                -          B1i_forward          -               22     995       2     995       1    1015    1494    +    9.7e-161  531.4   9.7  -
Desulfurellaceae                 -          B1i_forward          -                8    1013       2    1009       1    1031    1537    +    7.2e-160  528.7  10.2  -
Nitrospiraceae                   -          B1i_forward          -                9     980       3    1010       1    1031    1480    +    3.8e-158  523.0  11.0  -
Desulfomicrobiaceae              -          B1i_forward          -               13     800       3     779       1     799    1495    +    3.1e-157  519.9  16.2  -
Parviterribacteraceae            -          B1i_forward          -                2     988       2    1014       1    1028    1456    +    1.3e-156  517.9   9.7  -
Unclassified_Calditrichaeota     -          B1i_forward          -                9     918       2     903       1     936    1483    +    7.9e-156  515.5  11.8  -
Rhodothermaceae                  -          B1i_forward          -                3     895       3     907       1     929    1457    +    8.5e-156  515.2  11.8  -
Aerococcaceae                    -          B1i_forward          -                2     795       2     779       1     826    1474    +    8.5e-156  515.2  16.1  -
Acidimicrobiaceae                -          B1i_forward          -               22     906       2     912       1     949    1463    +    2.2e-155  514.0  12.3  -
Sporolactobacillaceae            -          B1i_forward          -                2     975       2     980       1    1002    1503    +    1.6e-154  511.0   9.9  -
Anaerolineaceae                  -          B1i_forward          -                4     988       4    1021       2    1034    1428    +    2.7e-154  510.7  11.3  -
Thermodesulfobiaceae             -          B1i_forward          -               18     780       2     776       1     796    1524    +    7.3e-154  508.7  17.2  -
Cohaesibacteraceae               -          B1i_forward          -               21     932       2     982       1    1003    1416    +    7.6e-154  508.9   9.6  -
Nannocystaceae                   -          B1i_forward          -               17     790       3     779       2     799    1487    +    1.4e-153  507.9  16.2  -
Desulfonatronaceae               -          B1i_forward          -                3     910       3     902       1     923    1495    +    2.4e-152  503.7  13.1  -
Thermolithobacteraceae           -          B1i_forward          -               22     946       2     903       1     935    1546    +    8.3e-152  501.7  12.3  -
Caldilineaceae                   -          B1i_forward          -               10     953       3     984       1    1004    1434    +    2.6e-151  500.4  11.0  -
Rubrobacteraceae                 -          B1i_forward          -                2    1012       2    1020       1    1040    1494    +    2.6e-150  497.0  10.1  -
Caldicoprobacteraceae            -          B1i_forward          -               18     981       2     984       1    1005    1531    +    2.7e-150  496.9  11.3  -
Thermodesulfobacteriaceae        -          B1i_forward          -                3    1028       3    1025       2    1046    1498    +    4.1e-150  496.5  10.5  -
Acidobacteriaceae                -          B1i_forward          -               26     760       6     779       2     799    1463    +    2.2e-149  493.9  16.2  -
Halanaerobiaceae                 -          B1i_forward          -               13     813       2     776       1     799    1506    +    2.5e-149  493.6  16.5  -
Anaeroplasmataceae               -          B1i_forward          -               33     966       6     982       2     998    1453    +    1.2e-148  491.5   9.9  -
Opitutaceae                      -          B1i_forward          -                2     992       2     987       1    1010    1481    +    1.7e-148  491.0  10.2  -
Dehalococcoidaceae               -          B1i_forward          -                4     942       4     988       2    1009    1437    +    1.8e-148  491.4  10.2  -
Listeriaceae                     -          B1i_forward          -                3     778      16     779      14     962    1448    +    2.7e-148  490.5  11.8  -
Acidaminococcaceae               -          B1i_forward          -                9     800       2     776       1     795    1506    +    3.3e-148  490.0  16.3  -
Oscillatoriales                  -          B1i_forward          -                3     725       3     776       1     832    1445    +    4.7e-148  489.7  15.3  -
Bryobacteraceae                  -          B1i_forward          -               25     761       6     780       2     800    1416    +    8.1e-148  488.9  16.2  -
Conexibacteraceae                -          B1i_forward          -               22     998       2     985       1    1005    1536    +    3.3e-147  486.5   9.9  -
Frankiaceae                      -          B1i_forward          -               23     961       2     984       1    1005    1499    +    5.2e-147  486.2  10.6  -
Iamiaceae                        -          B1i_forward          -                2     895       2     915       1     950    1480    +    5.5e-147  486.3  11.8  -
Salinibacteraceae                -          B1i_forward          -               27     921       2     903       1     923    1497    +    1.2e-146  484.9  12.7  -
Demequinaceae                    -          B1i_forward          -                2     882       2     903       1     936    1480    +    1.7e-146  484.4  12.6  -
Bernardetiaceae                  -          B1i_forward          -                4     779       4     779       2     799    1484    +    3.4e-146  483.3  16.2  -
Solirubrobacteraceae             -          B1i_forward          -                3     973      19     995      17    1016    1443    +    8.3e-146  482.0   9.4  -
Kineosporiaceae                  -          B1i_forward          -               10     885       2     904       1     936    1463    +    8.3e-144  475.6  12.7  -
Nakamurellaceae                  -          B1i_forward          -                2     877       2     903       1     931    1462    +    3.4e-143  473.4  12.9  -
Cellulomonadaceae                -          B1i_forward          -                6     884       2     903       1     923    1461    +    5.4e-143  472.8  13.0  -
Entomoplasmataceae               -          B1i_forward          -               10     897       3     903       1     930    1498    +    6.2e-143  472.8  12.1  -
Catenulisporaceae                -          B1i_forward          -                2     947       2     984       1    1016    1460    +    6.7e-143  472.5  10.4  -
Acholeplasmataceae               -          B1i_forward          -                1     944       9     974       9     994    1440    +    9.4e-142  468.6   9.8  -
Sanguibacteraceae                -          B1i_forward          -               19     898       2     903       1     923    1483    +    2.5e-141  467.2  12.9  -
Pyrinomonadaceae                 -          B1i_forward          -               26     817       6     778       2     798    1526    +      2e-140  464.1  16.5  -
Puniceicoccaceae                 -          B1i_forward          -               14     914       4     902       2     923    1485    +    2.4e-140  463.9  12.2  -
Unclassified_Frankiales          -          B1i_forward          -                9     893       2     914       1     951    1425    +    2.8e-140  463.9  12.3  -
Cryptosporangiaceae              -          B1i_forward          -                2     874       2     903       1     923    1470    +    4.2e-140  463.2  12.9  -
Symbiobacteriaceae               -          B1i_forward          -                2     933      11     934      10     962    1487    +    6.9e-140  462.8  12.3  -
Segniliparaceae                  -          B1i_forward          -                6     887       2     914       1     952    1462    +    1.2e-139  461.8  12.6  -
Chrysiogenaceae                  -          B1i_forward          -               22     978       2     992       1    1010    1513    +    1.3e-139  461.6   9.9  -
Natranaerobiaceae                -          B1i_forward          -                4     910      26     942      23     984    1426    +    1.6e-138  457.8  10.6  -
Chroococcales                    -          B1i_forward          -               15     732       3     768       1     795    1444    +    1.9e-138  457.6  16.0  -
Balneolaceae                     -          B1i_forward          -                3     780       3     779       1     799    1463    +    2.4e-138  457.3  16.9  -
Beutenbergiaceae                 -          B1i_forward          -                2     882       2     903       1     931    1473    +    4.6e-138  456.4  13.2  -
Chlorobiaceae                    -          B1i_forward          -               22     904       2     904       1     930    1457    +    4.6e-138  456.4  11.9  -
Tsukamurellaceae                 -          B1i_forward          -               21     896       2     903       1     935    1495    +    5.1e-138  456.3  12.7  -
Desulfurobacteriaceae            -          B1i_forward          -                3    1037       3    1028       1    1049    1498    +    6.3e-138  456.3  10.6  -
Microscillaceae                  -          B1i_forward          -                4     876       4     902       2     924    1461    +    6.4e-138  455.9  12.4  -
Dermatophilaceae                 -          B1i_forward          -                8     891       3     911       1     937    1481    +    1.4e-137  454.8  12.8  -
Sporichthyaceae                  -          B1i_forward          -                2     881       2     910       1     935    1472    +    1.9e-137  454.5  12.5  -
Unclassified_Corynebacterineae   -          B1i_forward          -                2     884       2     911       1     951    1475    +    2.7e-137  454.0  12.3  -
Unclassified_Micrococcales       -          B1i_forward          -                2     879       2     903       1     935    1475    +    3.4e-136  450.3  12.7  -
Bogoriellaceae                   -          B1i_forward          -                2     888       2     903       1     923    1472    +    3.5e-136  450.2  12.9  -
Unclassified_Actinomycetales     -          B1i_forward          -               22     940       2     933       1    1008    1533    +    5.4e-136  449.5  11.4  -
Lewinellaceae                    -          B1i_forward          -                5     774       5     780       2     800    1446    +    2.3e-135  447.6  16.5  -
Defluviitaleaceae                -          B1i_forward          -                5     754      16     779      12     799    1413    +    3.8e-135  446.9  16.8  -
Stigonematales                   -          B1i_forward          -               23     870       3     903       1     931    1450    +    4.4e-135  446.7  11.8  -
Persicobacteraceae               -          B1i_forward          -                3     803       3     807       1     820    1448    +    6.6e-135  446.1  15.5  -
Rubricoccaceae                   -          B1i_forward          -                7     899       2     903       1     923    1451    +    7.3e-135  445.8  12.0  -
Glycomycetaceae                  -          B1i_forward          -                9     899       2     903       1     923    1497    +    1.2e-134  445.3  12.5  -
Thermotogaceae                   -          B1i_forward          -               22     919       4     903       2     934    1544    +    1.2e-134  445.1  12.7  -
Dietziaceae                      -          B1i_forward          -                2     867      11     903      10     923    1453    +    1.5e-134  444.7  13.6  -
Gemmatimonadaceae                -          B1i_forward          -               25     978       2     989       1    1009    1525    +    4.5e-134  443.3  10.7  -
Dermabacteraceae                 -          B1i_forward          -                8     888       2     903       1     923    1470    +    5.6e-134  442.7  12.8  -
Eggerthellaceae                  -          B1i_forward          -               11     953       4     988       1    1009    1449    +    5.8e-134  443.0  10.6  -
Rubritaleaceae                   -          B1i_forward          -                2     772       2     775       1     786    1452    +    6.8e-134  442.5  16.2  -
Oscillospiraceae                 -          B1i_forward          -                2     774       2     779       1     799    1453    +    1.4e-133  441.3  17.5  -
Unclassified_Cytophagales        -          B1i_forward          -                3     801       3     806       1     820    1444    +    3.9e-133  440.1  16.0  -
Jiangellaceae                    -          B1i_forward          -                8     887       2     903       1     923    1501    +      8e-133  439.0  13.3  -
Aquificaceae                     -          B1i_forward          -                3    1003       3     999       1    1026    1491    +    8.5e-133  439.2  10.4  -
