# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D03_025   -               27    1001      16     992       2     996    1474    +           0 1179.9  24.4  -
Ferrimonadaceae           -          LKAP-GutHK_D03_025   -               22     999      13     988       2     995    1475    +           0 1086.0  24.7  -
Enterobacteriaceae        -          LKAP-GutHK_D03_025   -               27     990      16     991       2     996    1465    +           0 1072.3  23.9  -
Pectobacteriaceae         -          LKAP-GutHK_D03_025   -               24     989      16     993       2     996    1477    +           0 1071.9  24.0  -
Yersiniaceae              -          LKAP-GutHK_D03_025   -               27     991      16     992       2     996    1473    +           0 1064.9  24.0  -
Erwiniaceae               -          LKAP-GutHK_D03_025   -               22     986      16     992       2     996    1483    +           0 1062.2  24.0  -
Aeromonadaceae            -          LKAP-GutHK_D03_025   -               39    1005      16     992       2     995    1496    +           0 1058.4  24.0  -
Shewanellaceae            -          LKAP-GutHK_D03_025   -               26     993      15     992       2     996    1483    +           0 1055.6  23.7  -
Alteromonadales           -          LKAP-GutHK_D03_025   -               27     992      16     992       2     996    1468    +           0 1051.4  23.4  -
Hafniaceae                -          LKAP-GutHK_D03_025   -               20     986      15     993       1     996    1459    +           0 1047.5  24.1  -
Pseudoalteromonadaceae    -          LKAP-GutHK_D03_025   -               27     986      16     991       2     996    1469    +           0 1043.8  23.2  -
Morganellaceae            -          LKAP-GutHK_D03_025   -               30     992      16     990       2     995    1487    +           0 1042.1  24.5  -
Budviciaceae              -          LKAP-GutHK_D03_025   -               17     971      16     980       2     995    1483    +           0 1040.7  23.9  -
Gammaproteobacteria       -          LKAP-GutHK_D03_025   -               27     991      16     993       2     996    1481    +           0 1032.4  23.7  -
Alteromonadaceae          -          LKAP-GutHK_D03_025   -               27     991      16     993       2     996    1468    +           0 1030.3  23.7  -
Colwelliaceae             -          LKAP-GutHK_D03_025   -               27     991      16     991       4     996    1467    +    1.2e-305 1012.6  23.6  -
Moritellaceae             -          LKAP-GutHK_D03_025   -               42    1011      16     995       5     996    1501    +    1.3e-302 1002.3  23.4  -
Idiomarinaceae            -          LKAP-GutHK_D03_025   -               26     985      15     983       2     995    1466    +    2.9e-302 1001.1  23.8  -
Psychromonadaceae         -          LKAP-GutHK_D03_025   -               27     988      16     989       4     993    1467    +    2.1e-296  982.0  23.7  -
Chromatiaceae             -          LKAP-GutHK_D03_025   -               26     980      15     992       1     996    1455    +    3.1e-296  981.4  24.3  -
Oceanospirillaceae        -          LKAP-GutHK_D03_025   -               27     995      16     995       4     996    1467    +    1.3e-295  979.2  23.5  -
Oceanospirillales         -          LKAP-GutHK_D03_025   -               33     998      16     994       3     996    1489    +      2e-295  978.5  23.8  -
Cellvibrionaceae          -          LKAP-GutHK_D03_025   -               27     990      16     992       3     996    1472    +    2.1e-295  978.6  23.7  -
Thorselliaceae            -          LKAP-GutHK_D03_025   -                1     959      17     991      17     993    1419    +    3.8e-293  971.0  24.7  -
Piscirickettsiaceae       -          LKAP-GutHK_D03_025   -               29     995      16     993       2     996    1466    +      6e-292  967.0  23.8  -
Methylococcaceae          -          LKAP-GutHK_D03_025   -               41     998      16     992       2     995    1481    +    2.9e-286  948.3  24.3  -
Pseudomonadaceae          -          LKAP-GutHK_D03_025   -               34     994      16     991       2     996    1491    +    9.6e-286  946.5  23.3  -
