# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_B12_094   -               11     934       4     922       1     922    1474    +           0 1128.6  27.0  -
Ferrimonadaceae           -          LKAP-GutHK_B12_094   -                9     934       2     922       1     922    1475    +    9.2e-300  992.7  27.3  -
Enterobacteriaceae        -          LKAP-GutHK_B12_094   -               12     924       5     922       1     922    1465    +    5.5e-293  970.5  26.4  -
Aeromonadaceae            -          LKAP-GutHK_B12_094   -               23     938       4     922       1     922    1496    +    5.8e-293  970.1  26.3  -
Alteromonadales           -          LKAP-GutHK_B12_094   -               27     925      16     922       1     922    1468    +    1.7e-292  968.5  26.1  -
Gammaproteobacteria       -          LKAP-GutHK_B12_094   -               26     923      15     922       1     922    1481    +    4.2e-291  964.0  26.3  -
Erwiniaceae               -          LKAP-GutHK_B12_094   -               62     919      64     922      41     922    1483    +    2.5e-290  961.7  25.0  -
Yersiniaceae              -          LKAP-GutHK_B12_094   -               11     924       4     922       1     922    1473    +    4.8e-290  960.7  26.4  -
Alteromonadaceae          -          LKAP-GutHK_B12_094   -               11     923       4     922       1     922    1468    +    2.3e-289  958.4  26.5  -
Shewanellaceae            -          LKAP-GutHK_B12_094   -               26     926      15     922       1     922    1483    +    1.3e-288  955.9  26.2  -
Pectobacteriaceae         -          LKAP-GutHK_B12_094   -                9     921       5     922       1     922    1477    +    1.5e-288  955.7  26.4  -
Pseudoalteromonadaceae    -          LKAP-GutHK_B12_094   -               11     920       4     922       1     922    1469    +    1.7e-285  945.6  25.5  -
Hafniaceae                -          LKAP-GutHK_B12_094   -                7     918       6     922       1     922    1459    +    2.1e-284  941.9  26.4  -
Morganellaceae            -          LKAP-GutHK_B12_094   -               14     927       4     922       1     922    1487    +    1.6e-283  939.2  26.7  -
Colwelliaceae             -          LKAP-GutHK_B12_094   -               11     925       4     922       1     922    1467    +    5.1e-280  927.5  26.3  -
Budviciaceae              -          LKAP-GutHK_B12_094   -               17     914      16     922       4     922    1483    +    1.1e-279  926.4  25.7  -
Idiomarinaceae            -          LKAP-GutHK_B12_094   -               11     925       4     922       1     922    1466    +    2.4e-279  925.0  26.3  -
Oceanospirillaceae        -          LKAP-GutHK_B12_094   -               11     925       4     922       1     922    1467    +    1.3e-278  922.7  26.2  -
