# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_E10_072_2017_1 -               10    1270       6    1254       3    1260    1474    +           0 1417.9  22.8  -
Alteromonadales           -          LKAP-GUTHK2_E10_072_2017_1 -               10    1248       6    1238       3    1259    1468    +           0 1267.8  22.7  -
Ferrimonadaceae           -          LKAP-GUTHK2_E10_072_2017_1 -               10    1256       6    1237       3    1257    1475    +           0 1258.8  22.6  -
Shewanellaceae            -          LKAP-GUTHK2_E10_072_2017_1 -               11    1215       7    1207       3    1228    1483    +           0 1257.5  22.2  -
Enterobacteriaceae        -          LKAP-GUTHK2_E10_072_2017_1 -               10    1255       6    1250       3    1260    1465    +           0 1255.1  22.8  -
Erwiniaceae               -          LKAP-GUTHK2_E10_072_2017_1 -                6    1250       7    1250       4    1260    1483    +           0 1251.3  22.8  -
Aeromonadaceae            -          LKAP-GUTHK2_E10_072_2017_1 -               22    1277       6    1257       3    1261    1496    +           0 1243.6  22.7  -
Pectobacteriaceae         -          LKAP-GUTHK2_E10_072_2017_1 -                8    1253       7    1250       3    1260    1477    +           0 1242.5  22.9  -
Gammaproteobacteria       -          LKAP-GUTHK2_E10_072_2017_1 -               11    1259       7    1254       4    1261    1481    +           0 1240.4  22.5  -
Morganellaceae            -          LKAP-GUTHK2_E10_072_2017_1 -               13    1259       6    1250       3    1260    1487    +           0 1238.6  22.9  -
Yersiniaceae              -          LKAP-GUTHK2_E10_072_2017_1 -               10    1254       6    1248       3    1259    1473    +           0 1238.4  22.8  -
Hafniaceae                -          LKAP-GUTHK2_E10_072_2017_1 -                5    1248       7    1248       4    1259    1459    +           0 1236.8  22.8  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_E10_072_2017_1 -               10    1254       6    1252       3    1260    1469    +           0 1232.0  21.9  -
Alteromonadaceae          -          LKAP-GUTHK2_E10_072_2017_1 -               10    1258       6    1254       4    1261    1468    +           0 1228.4  23.1  -
Budviciaceae              -          LKAP-GUTHK2_E10_072_2017_1 -                2    1245       8    1249       7    1260    1483    +           0 1208.4  23.0  -
Oceanospirillaceae        -          LKAP-GUTHK2_E10_072_2017_1 -               10    1247       6    1237       3    1258    1467    +           0 1207.7  22.6  -
Colwelliaceae             -          LKAP-GUTHK2_E10_072_2017_1 -               10    1214       6    1207       3    1236    1467    +           0 1206.3  22.4  -
Psychromonadaceae         -          LKAP-GUTHK2_E10_072_2017_1 -               10    1214       6    1208       3    1231    1467    +           0 1200.8  22.3  -
Idiomarinaceae            -          LKAP-GUTHK2_E10_072_2017_1 -               10    1261       6    1254       3    1261    1466    +           0 1198.1  22.8  -
Moritellaceae             -          LKAP-GUTHK2_E10_072_2017_1 -               26    1240       7    1216       3    1238    1501    +           0 1187.1  22.5  -
Chromatiaceae             -          LKAP-GUTHK2_E10_072_2017_1 -               13    1232       9    1234       4    1256    1455    +           0 1167.1  23.2  -
Pasteurellaceae           -          LKAP-GUTHK2_E10_072_2017_1 -               10    1224       6    1216       4    1254    1422    +           0 1165.1  22.3  -
Cellvibrionaceae          -          LKAP-GUTHK2_E10_072_2017_1 -               10    1249       6    1243       3    1260    1472    +           0 1163.6  23.0  -
Oceanospirillales         -          LKAP-GUTHK2_E10_072_2017_1 -               16    1227       6    1215       3    1236    1489    +           0 1163.2  22.6  -
Thorselliaceae            -          LKAP-GUTHK2_E10_072_2017_1 -                1    1212      20    1235      20    1256    1419    +           0 1157.8  22.5  -
Celerinatantimonadaceae   -          LKAP-GUTHK2_E10_072_2017_1 -                5    1265       6    1252       4    1260    1433    +           0 1152.4  23.0  -
Orbaceae                  -          LKAP-GUTHK2_E10_072_2017_1 -               37    1267       6    1235       3    1256    1539    +           0 1149.6  22.8  -
Pseudomonadaceae          -          LKAP-GUTHK2_E10_072_2017_1 -               17    1216       6    1206       3    1236    1491    +           0 1144.8  22.1  -
Methylococcaceae          -          LKAP-GUTHK2_E10_072_2017_1 -               40    1250      18    1234       4    1257    1481    +           0 1144.4  22.8  -
Hahellaceae               -          LKAP-GUTHK2_E10_072_2017_1 -               10    1215       6    1210       3    1236    1473    +           0 1139.0  22.4  -
Piscirickettsiaceae       -          LKAP-GUTHK2_E10_072_2017_1 -               13    1247       7    1237       4    1258    1466    +           0 1138.8  22.9  -
Alcanivoracaceae          -          LKAP-GUTHK2_E10_072_2017_1 -               30    1230       6    1206       3    1227    1504    +           0 1128.7  22.3  -
Succinivibrionaceae       -          LKAP-GUTHK2_E10_072_2017_1 -               13    1199       6    1215       3    1243    1473    +           0 1127.8  22.3  -
Halomonadaceae            -          LKAP-GUTHK2_E10_072_2017_1 -               10    1216       6    1212       3    1255    1466    +           0 1125.3  22.7  -
Halieaceae                -          LKAP-GUTHK2_E10_072_2017_1 -               18    1213       6    1207       3    1254    1484    +           0 1120.5  23.0  -
Saccharospirillaceae      -          LKAP-GUTHK2_E10_072_2017_1 -               12    1211       7    1212       3    1233    1468    +           0 1113.2  22.0  -
Thioalkalispiraceae       -          LKAP-GUTHK2_E10_072_2017_1 -               24    1280       8    1258       3    1261    1479    +           0 1109.0  22.7  -
Moraxellaceae             -          LKAP-GUTHK2_E10_072_2017_1 -                7    1203       6    1206       3    1227    1468    +           0 1108.9  22.7  -
Spongiibacteraceae        -          LKAP-GUTHK2_E10_072_2017_1 -               13    1248       6    1244       3    1260    1462    +           0 1102.7  22.8  -
Lysobacteraceae           -          LKAP-GUTHK2_E10_072_2017_1 -               12    1214       7    1206       3    1226    1484    +           0 1102.1  22.4  -
Litoricolaceae            -          LKAP-GUTHK2_E10_072_2017_1 -               18    1218       6    1207       3    1229    1474    +           0 1100.6  22.4  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_E10_072_2017_1 -               18    1255       7    1243       3    1261    1463    +           0 1100.0  23.0  -
