# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F12_086   -               12     935       6     924       1     924    1474    +           0 1126.4  26.7  -
Ferrimonadaceae           -          LKAP-GutHK_F12_086   -               11     935       5     924       1     924    1475    +           0 1029.6  26.6  -
Aeromonadaceae            -          LKAP-GutHK_F12_086   -               24     939       6     924       1     924    1496    +    1.3e-297  985.5  25.9  -
Yersiniaceae              -          LKAP-GutHK_F12_086   -               12     925       6     924       1     924    1473    +    3.4e-296  981.0  26.2  -
Alteromonadales           -          LKAP-GutHK_F12_086   -               27     926      17     924       2     924    1468    +      8e-296  979.5  25.4  -
Gammaproteobacteria       -          LKAP-GutHK_F12_086   -               27     924      17     924       2     924    1481    +    1.3e-295  979.0  25.9  -
Enterobacteriaceae        -          LKAP-GutHK_F12_086   -               26     925      16     924       2     924    1465    +    1.4e-295  979.1  26.0  -
Shewanellaceae            -          LKAP-GutHK_F12_086   -               26     927      16     924       2     924    1483    +    5.5e-295  977.1  25.9  -
Erwiniaceae               -          LKAP-GutHK_F12_086   -               22     920      17     924       2     924    1483    +    4.9e-294  974.0  26.0  -
Pectobacteriaceae         -          LKAP-GutHK_F12_086   -               23     922      16     924       2     924    1477    +    4.3e-293  970.7  26.1  -
Alteromonadaceae          -          LKAP-GutHK_F12_086   -               14     924       8     924       2     924    1468    +    8.5e-291  963.1  26.0  -
Pseudoalteromonadaceae    -          LKAP-GutHK_F12_086   -               12     921       6     924       1     924    1469    +    2.1e-290  961.8  25.0  -
Hafniaceae                -          LKAP-GutHK_F12_086   -               20     919      16     924       2     924    1459    +    2.2e-290  961.7  26.0  -
Morganellaceae            -          LKAP-GutHK_F12_086   -               16     928       7     924       1     924    1487    +    2.5e-288  955.2  26.2  -
Budviciaceae              -          LKAP-GutHK_F12_086   -               13     915      15     924       5     924    1483    +    2.9e-283  938.2  26.1  -
Oceanospirillaceae        -          LKAP-GutHK_F12_086   -               27     926      17     924       2     924    1467    +    7.4e-281  930.1  25.9  -
Idiomarinaceae            -          LKAP-GutHK_F12_086   -               13     926       7     924       1     924    1466    +    3.2e-280  927.9  25.6  -
Colwelliaceae             -          LKAP-GutHK_F12_086   -               27     926      17     924       2     924    1467    +    7.9e-279  923.6  25.9  -
Moritellaceae             -          LKAP-GutHK_F12_086   -               42     942      17     924       2     924    1501    +    7.3e-278  920.2  26.1  -
Chromatiaceae             -          LKAP-GutHK_F12_086   -               27     914      17     924       2     924    1455    +    9.7e-278  920.0  26.4  -
Oceanospirillales         -          LKAP-GutHK_F12_086   -               19     930       7     924       1     924    1489    +    3.5e-277  917.9  26.1  -
Cellvibrionaceae          -          LKAP-GutHK_F12_086   -               11     924       5     924       1     924    1472    +    5.6e-277  917.4  26.2  -
Psychromonadaceae         -          LKAP-GutHK_F12_086   -               27     925      17     924       2     924    1467    +    8.2e-277  916.9  25.6  -
Pseudomonadaceae          -          LKAP-GutHK_F12_086   -               20     929       7     924       1     924    1491    +    1.7e-276  915.8  26.1  -
Alcanivoracaceae          -          LKAP-GutHK_F12_086   -               33     944       7     924       1     924    1504    +    1.4e-274  909.3  26.2  -
Piscirickettsiaceae       -          LKAP-GutHK_F12_086   -               29     928      17     924       2     924    1466    +      1e-271  899.9  26.0  -
Thorselliaceae            -          LKAP-GutHK_F12_086   -               39     894      69     924      46     924    1419    +    1.3e-270  896.2  25.4  -
Methylococcaceae          -          LKAP-GutHK_F12_086   -               41     932      17     924       2     924    1481    +    2.3e-269  892.1  26.3  -
Halieaceae                -          LKAP-GutHK_F12_086   -               20     925       6     924       1     924    1484    +    2.6e-268  888.6  25.7  -
Hahellaceae               -          LKAP-GutHK_F12_086   -               12     923       6     924       1     924    1473    +      3e-267  885.2  26.0  -
Succinivibrionaceae       -          LKAP-GutHK_F12_086   -               29     902      16     924       2     924    1473    +    5.6e-265  877.6  25.6  -
Pasteurellaceae           -          LKAP-GutHK_F12_086   -               27     926      17     924       2     924    1422    +    4.8e-264  874.5  25.8  -
Lysobacteraceae           -          LKAP-GutHK_F12_086   -               24     927      15     924       2     924    1484    +    4.9e-264  874.5  26.4  -
Ectothiorhodospiraceae    -          LKAP-GutHK_F12_086   -               33     931      16     924       2     924    1463    +    6.8e-264  874.1  26.5  -
Moraxellaceae             -          LKAP-GutHK_F12_086   -               24     916      17     924       2     924    1468    +    2.3e-263  872.5  26.1  -
Spongiibacteraceae        -          LKAP-GutHK_F12_086   -               16     922       7     924       1     924    1462    +    2.5e-263  872.0  26.0  -
Thioalkalispiraceae       -          LKAP-GutHK_F12_086   -               40     943      18     924       2     924    1479    +    5.4e-263  871.0  25.8  -
Microbulbiferaceae        -          LKAP-GutHK_F12_086   -               13     918       7     924       1     924    1480    +    1.3e-262  869.9  25.3  -
Halomonadaceae            -          LKAP-GutHK_F12_086   -               13     924       7     924       1     924    1466    +    1.9e-262  869.2  26.2  -
Thermoleophilaceae        -          LKAP-GutHK_F12_086   -               20     926      17     924       3     924    1494    +    6.6e-262  867.4  25.4  -
Orbaceae                  -          LKAP-GutHK_F12_086   -               54     949      17     924       2     924    1539    +    1.1e-261  866.6  25.4  -
Celerinatantimonadaceae   -          LKAP-GutHK_F12_086   -                8     932       7     924       2     924    1433    +    3.3e-261  865.2  25.6  -
Litoricolaceae            -          LKAP-GutHK_F12_086   -               34     931      16     924       2     924    1474    +      1e-260  863.7  26.2  -
