# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_G09_067.seq -               27    1079       5    1054       2    1054    1402    +           0 1239.6  13.9  -
Hyphomonadaceae           -          LKAP-Gut2_G09_067.seq -               27    1076       5    1053       2    1054    1400    +           0 1118.5  13.9  -
Rhizobiaceae              -          LKAP-Gut2_G09_067.seq -               27    1069       5    1051       2    1054    1422    +           0 1097.3  13.9  -
Rhodobiaceae              -          LKAP-Gut2_G09_067.seq -               38    1082       6    1051       2    1054    1440    +           0 1094.3  13.9  -
Hyphomicrobiaceae         -          LKAP-Gut2_G09_067.seq -               27    1072       5    1051       2    1054    1427    +           0 1092.7  13.8  -
Phyllobacteriaceae        -          LKAP-Gut2_G09_067.seq -               27    1071       5    1051       2    1054    1424    +           0 1091.5  13.9  -
Methylocystaceae          -          LKAP-Gut2_G09_067.seq -               38    1078       5    1049       3    1054    1424    +           0 1089.4  13.9  -
Alphaproteobacteria       -          LKAP-Gut2_G09_067.seq -               27    1073       5    1052       2    1054    1409    +           0 1077.9  13.8  -
Rhizobiales               -          LKAP-Gut2_G09_067.seq -               37    1079       5    1049       2    1053    1438    +           0 1070.4  13.8  -
Rhodospirillaceae         -          LKAP-Gut2_G09_067.seq -               29    1081       5    1053       2    1054    1429    +           0 1065.9  13.9  -
Aurantimonadaceae         -          LKAP-Gut2_G09_067.seq -               44    1083       5    1049       2    1053    1442    +           0 1063.4  13.8  -
Brucellaceae              -          LKAP-Gut2_G09_067.seq -               33    1074       6    1051       3    1054    1411    +           0 1051.0  14.1  -
Xanthobacteraceae         -          LKAP-Gut2_G09_067.seq -               27    1069       5    1051       3    1054    1415    +           0 1048.4  14.1  -
Caulobacteraceae          -          LKAP-Gut2_G09_067.seq -               27    1068       5    1051       2    1054    1415    +           0 1044.2  13.8  -
Beijerinckiaceae          -          LKAP-Gut2_G09_067.seq -               40    1084       5    1050       2    1054    1421    +           0 1039.7  13.9  -
Sneathiellaceae           -          LKAP-Gut2_G09_067.seq -               33    1089       6    1052       3    1054    1427    +           0 1027.3  14.0  -
Bradyrhizobiaceae         -          LKAP-Gut2_G09_067.seq -               33    1073      10    1052       3    1054    1428    +           0 1026.1  13.8  -
Methylobacteriaceae       -          LKAP-Gut2_G09_067.seq -               27    1070       5    1051       2    1054    1426    +    5.8e-307 1017.1  13.8  -
Sphingomonadaceae         -          LKAP-Gut2_G09_067.seq -               34    1082       5    1053       2    1054    1434    +    8.1e-304 1006.9  13.7  -
Parvularculaceae          -          LKAP-Gut2_G09_067.seq -               47    1090       5    1050       3    1054    1428    +    8.3e-304 1006.9  13.8  -
Kordiimonadaceae          -          LKAP-Gut2_G09_067.seq -               28    1085       6    1053       2    1054    1421    +    1.2e-303 1006.3  13.8  -
Bartonellaceae            -          LKAP-Gut2_G09_067.seq -               28    1071       6    1049       2    1053    1410    +    3.7e-302 1001.2  13.5  -
Cohaesibacteraceae        -          LKAP-Gut2_G09_067.seq -               44    1088       2    1048       1    1052    1425    +    3.7e-299  991.3  13.4  -
Erythrobacteraceae        -          LKAP-Gut2_G09_067.seq -               28    1077       5    1054       2    1054    1433    +    4.4e-299  991.1  13.9  -
Chelatococcaceae          -          LKAP-Gut2_G09_067.seq -               38    1080       5    1048       2    1052    1439    +    2.2e-294  975.6  13.7  -
Acetobacteraceae          -          LKAP-Gut2_G09_067.seq -               32    1083       5    1053       2    1054    1438    +    5.5e-287  951.0  13.9  -
Eubacteriaceae            -          LKAP-Gut2_G09_067.seq -               73    1130      23    1052       4    1054    1485    +    5.9e-285  944.0  13.9  -
Clostridiales             -          LKAP-Gut2_G09_067.seq -               87    1125      29    1052       8    1054    1470    +    1.9e-284  942.3  13.9  -
Kiloniellaceae            -          LKAP-Gut2_G09_067.seq -               53    1102      11    1052       3    1054    1450    +    1.1e-283  939.7  13.8  -
Clostridiaceae            -          LKAP-Gut2_G09_067.seq -               41    1122       5    1052       2    1054    1485    +    1.2e-282  936.2  14.0  -
Anaplasmataceae           -          LKAP-Gut2_G09_067.seq -               91    1108      33    1054      13    1054    1441    +    9.6e-282  933.7  13.8  -
Gammaproteobacteria       -          LKAP-Gut2_G09_067.seq -               29    1128       7    1052       3    1054    1481    +    3.4e-278  921.4  13.9  -
Thiotrichaceae            -          LKAP-Gut2_G09_067.seq -               27    1085       5    1052       2    1054    1421    +    2.5e-275  912.0  13.9  -
Thiotrichales             -          LKAP-Gut2_G09_067.seq -               81    1148      24    1054       4    1054    1519    +      1e-274  909.8  13.7  -
Ectothiorhodospiraceae    -          LKAP-Gut2_G09_067.seq -               34    1133       5    1051       2    1054    1463    +    1.1e-274  910.0  13.9  -
Peptostreptococcaceae     -          LKAP-Gut2_G09_067.seq -               28    1105       6    1052       3    1054    1441    +      6e-274  907.4  14.0  -
Chromatiaceae             -          LKAP-Gut2_G09_067.seq -               27    1118       5    1052       2    1054    1455    +    7.4e-273  904.0  14.0  -
Oceanospirillaceae        -          LKAP-Gut2_G09_067.seq -               40    1130      17    1052       3    1054    1467    +    1.1e-271  899.9  14.0  -
Oceanospirillales         -          LKAP-Gut2_G09_067.seq -               34    1134       6    1052       3    1054    1489    +    1.2e-270  896.5  14.0  -
Peptococcaceae            -          LKAP-Gut2_G09_067.seq -               40    1121      10    1052       3    1054    1479    +    1.9e-270  895.8  13.9  -
Alteromonadaceae          -          LKAP-Gut2_G09_067.seq -               33    1127      10    1052       2    1054    1468    +      7e-270  894.0  14.0  -
Piscirickettsiaceae       -          LKAP-Gut2_G09_067.seq -               66    1130      25    1052       5    1054    1466    +    1.6e-269  892.8  14.0  -
