# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_B06_046_2018_2 -               28     977      20     966       7     966    1491    +           0 1208.7  18.5  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_B06_046_2018_2 -               20     962      20     965       7     966    1446    +           0 1079.1  18.6  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_B06_046_2018_2 -               27     970      19     955       6     964    1465    +      2e-294  977.9  19.0  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_B06_046_2018_2 -               21     976      15     963       6     966    1478    +    2.5e-293  974.2  18.7  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_B06_046_2018_2 -               28     977      20     963       6     966    1463    +    3.9e-293  973.5  18.7  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_B06_046_2018_2 -               35     982      20     963       8     966    1502    +      3e-290  964.1  18.6  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_B06_046_2018_2 -               23     970      19     963       6     965    1463    +    4.6e-290  963.6  18.8  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_B06_046_2018_2 -               28     968      20     955      10     966    1480    +    1.2e-286  952.1  18.6  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_B06_046_2018_2 -               27     978      19     963       6     966    1467    +    2.6e-285  947.5  19.1  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_B06_046_2018_2 -               27     976      19     963       6     965    1461    +    3.5e-284  943.9  18.9  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_B06_046_2018_2 -               38     999      12     964       4     966    1504    +    1.6e-282  938.4  18.6  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_B06_046_2018_2 -               40     985      20     965       7     966    1482    +    2.5e-282  937.8  18.7  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_B06_046_2018_2 -               29     978      11     953       5     963    1516    +    2.2e-281  934.6  18.9  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_B06_046_2018_2 -               28     961      20     949       8     966    1463    +    3.1e-281  934.1  18.7  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_B06_046_2018_2 -               28     969      20     962       9     965    1451    +    5.5e-281  933.4  18.9  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_B06_046_2018_2 -               28     968      20     955       7     965    1471    +    6.3e-281  933.1  18.8  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_B06_046_2018_2 -               28     970      20     962       8     965    1480    +      1e-280  932.7  19.0  -
