# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_G12_084   -               27     940      17     930       2     930    1474    +           0 1106.1  27.4  -
Ferrimonadaceae           -          LKAP-GutHK_G12_084   -               16     940       8     930       2     930    1475    +    9.1e-307 1015.9  27.8  -
Enterobacteriaceae        -          LKAP-GutHK_G12_084   -               27     930      17     930       2     930    1465    +    6.1e-303 1003.5  26.8  -
Pectobacteriaceae         -          LKAP-GutHK_G12_084   -               24     927      17     930       2     930    1477    +    2.5e-302 1001.4  26.8  -
Aeromonadaceae            -          LKAP-GutHK_G12_084   -               36     944      16     930       2     930    1496    +      1e-300  995.8  26.7  -
Erwiniaceae               -          LKAP-GutHK_G12_084   -               28     925      22     930       2     930    1483    +    1.8e-300  995.3  26.7  -
Yersiniaceae              -          LKAP-GutHK_G12_084   -               27     930      17     930       2     930    1473    +    5.3e-300  993.7  26.9  -
Alteromonadales           -          LKAP-GutHK_G12_084   -               72     931      71     930      49     930    1468    +    4.9e-296  980.2  25.0  -
Shewanellaceae            -          LKAP-GutHK_G12_084   -               27     932      17     930       2     930    1483    +    1.7e-295  978.8  26.6  -
Hafniaceae                -          LKAP-GutHK_G12_084   -               20     924      16     930       2     930    1459    +      9e-295  976.3  26.9  -
Pseudoalteromonadaceae    -          LKAP-GutHK_G12_084   -               27     926      17     930       2     930    1469    +    8.6e-294  973.0  26.1  -
Morganellaceae            -          LKAP-GutHK_G12_084   -               30     933      17     930       2     930    1487    +    4.2e-293  971.0  27.2  -
Budviciaceae              -          LKAP-GutHK_G12_084   -               17     920      17     930       3     930    1483    +    7.1e-293  970.1  26.5  -
Alteromonadaceae          -          LKAP-GutHK_G12_084   -               27     929      17     930       2     930    1468    +    1.9e-290  961.9  26.7  -
Gammaproteobacteria       -          LKAP-GutHK_G12_084   -               27     929      17     930       3     930    1481    +    3.5e-290  961.0  26.4  -
Colwelliaceae             -          LKAP-GutHK_G12_084   -               27     931      17     930       3     930    1467    +    2.1e-285  945.4  26.3  -
Idiomarinaceae            -          LKAP-GutHK_G12_084   -               26     931      16     930       2     930    1466    +    6.4e-283  936.9  26.6  -
Moritellaceae             -          LKAP-GutHK_G12_084   -               42     947      17     930       3     930    1501    +    1.9e-280  928.8  26.2  -
Psychromonadaceae         -          LKAP-GutHK_G12_084   -               70     930      69     930      46     930    1467    +    7.5e-277  917.0  25.1  -
Cellvibrionaceae          -          LKAP-GutHK_G12_084   -               27     929      17     930       3     930    1472    +    6.5e-276  913.8  26.7  -
Chromatiaceae             -          LKAP-GutHK_G12_084   -               27     919      17     930       3     930    1455    +    2.4e-275  912.0  26.6  -
Oceanospirillales         -          LKAP-GutHK_G12_084   -               33     935      17     930       2     930    1489    +      1e-273  906.4  26.9  -
Oceanospirillaceae        -          LKAP-GutHK_G12_084   -               27     931      17     930       2     930    1467    +    2.9e-273  905.0  26.5  -
Thorselliaceae            -          LKAP-GutHK_G12_084   -               39     899      69     930      49     930    1419    +      1e-272  903.2  25.2  -
Piscirickettsiaceae       -          LKAP-GutHK_G12_084   -               30     933      18     930       4     930    1466    +    1.1e-271  899.7  26.3  -
Pseudomonadaceae          -          LKAP-GutHK_G12_084   -               34     934      17     930       2     930    1491    +    1.2e-267  886.4  26.6  -
Orbaceae                  -          LKAP-GutHK_G12_084   -               93     954      69     930      48     930    1539    +    5.2e-267  884.3  25.1  -
Alcanivoracaceae          -          LKAP-GutHK_G12_084   -               47     949      17     930       2     930    1504    +    1.8e-265  879.1  26.8  -
Methylococcaceae          -          LKAP-GutHK_G12_084   -               41     937      17     930       6     930    1481    +    1.5e-264  876.2  26.6  -
Succinivibrionaceae       -          LKAP-GutHK_G12_084   -               31     907      18     930       5     930    1473    +    4.4e-263  871.3  26.3  -
Pasteurellaceae           -          LKAP-GutHK_G12_084   -               27     931      17     930       4     930    1422    +    5.7e-263  871.0  26.1  -
Celerinatantimonadaceae   -          LKAP-GutHK_G12_084   -               23     937      18     930       3     930    1433    +    1.5e-262  869.7  26.1  -
Hahellaceae               -          LKAP-GutHK_G12_084   -               20     928      12     930       2     930    1473    +    7.1e-262  867.4  27.0  -
Halothiobacillaceae       -          LKAP-GutHK_G12_084   -               44     948      17     930       6     930    1500    +    2.1e-259  859.2  26.6  -
Ectothiorhodospiraceae    -          LKAP-GutHK_G12_084   -               34     936      17     930       5     930    1463    +      4e-258  855.0  26.8  -
Moraxellaceae             -          LKAP-GutHK_G12_084   -               24     921      17     930       3     930    1468    +    9.7e-257  850.5  26.4  -
Litoricolaceae            -          LKAP-GutHK_G12_084   -               35     936      17     930       2     930    1474    +    1.7e-256  849.7  26.6  -
Halieaceae                -          LKAP-GutHK_G12_084   -               36     930      18     930       3     930    1484    +    3.9e-256  848.3  26.3  -
Halomonadaceae            -          LKAP-GutHK_G12_084   -               27     929      17     930       2     930    1466    +      4e-256  848.2  26.9  -
Lysobacteraceae           -          LKAP-GutHK_G12_084   -               27     932      16     930       2     930    1484    +      3e-255  845.4  27.3  -
Microbulbiferaceae        -          LKAP-GutHK_G12_084   -               27     923      17     930       2     930    1480    +    5.9e-255  844.6  26.3  -
Spongiibacteraceae        -          LKAP-GutHK_G12_084   -               29     927      16     930       2     930    1462    +    4.5e-254  841.3  26.4  -
Saccharospirillaceae      -          LKAP-GutHK_G12_084   -               30     923      18     930       2     930    1468    +    1.1e-253  840.1  26.3  -
Thioalkalispiraceae       -          LKAP-GutHK_G12_084   -               45     948      22     930       5     930    1479    +    9.3e-253  837.0  26.0  -
Thermoleophilaceae        -          LKAP-GutHK_G12_084   -               20     931      17     930       3     930    1494    +    1.7e-251  832.9  26.2  -
Chromobacteriaceae        -          LKAP-GutHK_G12_084   -               27     922      18     930       3     930    1460    +    6.3e-249  824.6  26.8  -
Kangiellaceae             -          LKAP-GutHK_G12_084   -               36     942      17     930       6     930    1479    +    9.9e-247  817.1  25.9  -
