# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          B1a2_reverse         -              404    1393    1085      80    1105      57    1483    -           0 1142.6   8.0  -
Gammaproteobacteria       -          B1a2_reverse         -              401    1391    1085      79    1105      56    1481    -           0 1038.3   8.0  -
Ferrimonadaceae           -          B1a2_reverse         -              412    1401    1085      80    1105      58    1475    -           0 1036.0   8.0  -
Alteromonadales           -          B1a2_reverse         -              402    1392    1085      80    1105      60    1468    -           0 1033.7   8.1  -
Vibrionaceae              -          B1a2_reverse         -              412    1402    1085      79    1105      57    1474    -           0 1033.5   7.8  -
Moritellaceae             -          B1a2_reverse         -              419    1408    1085      80    1111      60    1501    -           0 1032.4   8.0  -
Alteromonadaceae          -          B1a2_reverse         -              401    1389    1085      80    1104      60    1468    -           0 1030.1   8.0  -
Pseudoalteromonadaceae    -          B1a2_reverse         -              398    1387    1085      80    1105      60    1469    -           0 1025.9   8.0  -
Oceanospirillaceae        -          B1a2_reverse         -              403    1393    1085      79    1105      58    1467    -    6.3e-305 1010.2   7.9  -
Aeromonadaceae            -          B1a2_reverse         -              416    1405    1085      80    1105      59    1496    -    1.5e-304 1008.9   8.0  -
Colwelliaceae             -          B1a2_reverse         -              403    1392    1085      80    1105      59    1467    -    7.7e-304 1006.8   8.0  -
Oceanospirillales         -          B1a2_reverse         -              406    1397    1085      79    1105      59    1489    -    9.4e-300  993.0   8.1  -
Chromatiaceae             -          B1a2_reverse         -              390    1383    1085      77    1105      54    1455    -    3.9e-299  991.2   7.9  -
Pectobacteriaceae         -          B1a2_reverse         -              399    1388    1085      80    1105      59    1477    -    2.4e-298  988.4   7.9  -
Yersiniaceae              -          B1a2_reverse         -              402    1391    1085      80    1105      59    1473    -    3.8e-298  987.8   7.9  -
Morganellaceae            -          B1a2_reverse         -              405    1394    1085      80    1105      59    1487    -    6.5e-298  987.2   8.1  -
Hahellaceae               -          B1a2_reverse         -              400    1389    1085      80    1105      60    1473    -    7.7e-298  986.9   8.0  -
Cellvibrionaceae          -          B1a2_reverse         -              400    1390    1085      80    1105      60    1472    -    9.5e-298  986.5   8.0  -
Spongiibacteraceae        -          B1a2_reverse         -              399    1388    1085      80    1105      59    1462    -    3.1e-296  981.4   8.1  -
