# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcaligenaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               16     924      11     921       6     921    1467    +           0 1085.9  20.9  -
Neisseriaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               31     942      12     921       8     921    1477    +    2.1e-296  981.8  21.2  -
Sutterellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               17     925      12     921       8     921    1487    +    1.2e-293  972.6  21.3  -
Burkholderiaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               18     921      13     921       8     921    1482    +    2.6e-293  971.6  21.6  -
Oxalobacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               17     923      12     921       7     921    1459    +    5.8e-291  963.9  21.6  -
Chromobacteriaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               16     920      12     921       6     921    1460    +    9.3e-290  959.9  21.0  -
Rhodocyclaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               17     925      12     921       8     921    1484    +    6.2e-288  953.7  21.4  -
Burkholderiales           -          LKAP-TSAKG2_H07_049_2018_2 -               18     921      13     920       8     921    1463    +    1.3e-285  946.1  21.3  -
Methylophilaceae          -          LKAP-TSAKG2_H07_049_2018_2 -                5     912      17     921      13     921    1431    +    1.5e-282  936.0  21.4  -
Sulfuricellaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               18     926      12     921       9     921    1463    +    4.9e-278  921.0  21.6  -
Comamonadaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               17     920      12     920       8     921    1466    +    7.9e-278  920.0  21.1  -
Gammaproteobacteria       -          LKAP-TSAKG2_H07_049_2018_2 -               30     926      24     920      11     921    1481    +    1.8e-273  905.6  21.4  -
Thiobacilliaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               36     942      12     921       8     921    1517    +    3.3e-272  901.7  21.8  -
Nitrosomonadaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               17     924      12     921       8     921    1461    +    5.2e-268  887.9  21.9  -
Pseudomonadaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               35     931      22     920      12     921    1491    +    2.7e-266  881.9  21.6  -
Hydrogenophilaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               18     923      13     921       9     921    1461    +    4.2e-266  881.5  21.0  -
Zoogloeaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               24     930      12     921       9     921    1474    +    1.5e-265  879.5  21.3  -
Azonexaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               19     927      13     921       8     921    1474    +    3.5e-265  878.5  21.3  -
Oceanospirillaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               32     928      25     920      12     921    1467    +    2.2e-263  872.2  21.4  -
Alteromonadaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               32     926      25     920      12     921    1468    +    1.2e-260  863.2  21.4  -
Moraxellaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               28     918      25     920      11     921    1468    +    4.5e-260  861.5  21.5  -
Lysobacteraceae           -          LKAP-TSAKG2_H07_049_2018_2 -               30     929      23     920      11     921    1484    +    1.2e-258  856.7  21.6  -
Thioalkalispiraceae       -          LKAP-TSAKG2_H07_049_2018_2 -               42     945      24     920      11     921    1479    +    1.7e-258  856.0  21.5  -
Halothiobacillaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               34     945      12     920       9     921    1500    +    1.1e-256  850.2  21.4  -
Piscirickettsiaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               35     930      26     920      12     921    1466    +    3.6e-256  848.3  21.6  -
Chromatiaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               29     916      23     920      10     921    1455    +    5.7e-256  847.8  21.4  -
Cellvibrionaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               33     926      26     920      13     921    1472    +    6.8e-256  847.5  21.3  -
Oceanospirillales         -          LKAP-TSAKG2_H07_049_2018_2 -               39     932      26     920      14     921    1489    +      8e-256  847.1  21.7  -
Granulosicoccaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               28     928      22     920      10     921    1471    +    1.1e-255  847.0  21.4  -
Hahellaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               32     925      25     920      12     921    1473    +    7.9e-253  837.4  21.2  -
Shewanellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               33     929      26     920      12     921    1483    +    9.9e-252  833.7  21.6  -
Aeromonadaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               45     941      26     920      14     921    1496    +      1e-251  833.5  21.7  -
Methylococcaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               33     934      14     920      10     921    1481    +      7e-251  830.8  21.0  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_H07_049_2018_2 -               36     933      23     920      10     921    1463    +      4e-250  828.5  21.1  -
Kangiellaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               28     939      14     920      10     921    1479    +    7.4e-250  827.4  21.4  -
Alcanivoracaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               52     946      25     920      14     921    1504    +    1.4e-248  823.1  21.7  -
Rhodanobacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               30     929      23     920       9     921    1473    +    1.9e-247  819.6  21.3  -
Spongiibacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               35     924      25     920      11     921    1462    +    1.1e-245  813.5  21.2  -
Pseudoalteromonadaceae    -          LKAP-TSAKG2_H07_049_2018_2 -               31     923      25     920      13     921    1469    +      2e-244  809.4  20.8  -
Litoricolaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               37     933      23     920      11     921    1474    +    3.8e-244  808.7  21.3  -
Idiomarinaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               30     928      24     920      12     921    1466    +    5.3e-244  807.9  21.5  -
Ferrimonadaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               30     937      24     920      12     921    1475    +    5.4e-244  807.8  21.4  -
Halomonadaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               32     926      25     920      12     921    1466    +    8.5e-244  807.3  21.5  -
Vibrionaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               33     937      26     920      14     921    1474    +    9.3e-244  807.1  21.7  -
Alteromonadales           -          LKAP-TSAKG2_H07_049_2018_2 -               33     928      26     920      12     921    1468    +      2e-243  805.9  21.5  -
Thiotrichaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               17     883      12     920       7     921    1421    +    3.7e-243  805.2  21.1  -
Halieaceae                -          LKAP-TSAKG2_H07_049_2018_2 -               50     927      41     920      21     921    1484    +    9.6e-242  800.5  21.4  -
Morganellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               36     930      26     920      14     921    1487    +    3.5e-241  798.9  21.6  -
Colwelliaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               31     928      25     920      12     921    1467    +    4.9e-241  798.3  21.3  -
Cardiobacteriaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               36     931      22     920      10     921    1464    +    1.5e-240  796.9  21.3  -
Thermoleophilaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               22     928      23     920      13     921    1494    +    2.3e-240  796.0  21.3  -
Erwiniaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               28     922      26     920      12     921    1483    +    7.7e-240  794.3  21.6  -
Enterobacteriaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               33     927      26     920      12     921    1465    +    7.1e-239  791.2  21.5  -
Pectobacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               28     924      25     920      13     921    1477    +    1.4e-238  790.1  21.5  -
Yersiniaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               33     927      26     920      13     921    1473    +    1.5e-237  786.6  21.6  -
Acidiferrobacteraceae     -          LKAP-TSAKG2_H07_049_2018_2 -               63     918      65     920      43     921    1454    +    1.1e-236  784.0  21.1  -
Microbulbiferaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               43     920      48     920      26     921    1480    +    1.6e-236  783.5  21.4  -
Succinivibrionaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               34     904      25     920      13     921    1473    +    3.3e-236  782.2  22.2  -
Hafniaceae                -          LKAP-TSAKG2_H07_049_2018_2 -               26     921      25     920      11     921    1459    +    2.9e-235  779.0  21.6  -
Spirillaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               34     947      13     921      10     921    1447    +      6e-235  778.3  21.3  -
Coxiellaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               30     934      24     920      12     921    1475    +    1.2e-234  777.1  21.5  -
Wenzhouxiangellaceae      -          LKAP-TSAKG2_H07_049_2018_2 -               30     932      24     920       9     921    1472    +    4.1e-234  775.2  21.2  -
Moritellaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               45     944      24     920      12     921    1501    +    2.9e-233  772.4  21.3  -
Budviciaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               23     917      26     920      15     921    1483    +    3.5e-233  772.2  21.6  -
Rhodospirillaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               48     875      55     920      33     921    1429    +    1.6e-232  770.3  20.5  -
Pasteurellaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               33     928      26     920      12     921    1422    +    3.2e-232  769.0  21.3  -
Nevskiaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               67     921      65     920      45     921    1470    +    1.7e-231  766.9  21.0  -
Saccharospirillaceae      -          LKAP-TSAKG2_H07_049_2018_2 -               30     920      22     920      10     921    1468    +    1.4e-230  763.6  21.4  -
Arenicellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               64     921      64     920      35     921    1488    +    1.5e-230  763.6  20.8  -
Salinisphaeraceae         -          LKAP-TSAKG2_H07_049_2018_2 -               17     912      23     920      12     921    1429    +    1.4e-227  753.8  21.2  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               39     871      48     920      27     921    1427    +    1.9e-227  753.3  20.7  -
Legionellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               24     925      22     920       8     921    1446    +    2.7e-227  752.8  21.4  -
Celerinatantimonadaceae   -          LKAP-TSAKG2_H07_049_2018_2 -               28     934      26     920      13     921    1433    +    2.6e-226  749.5  21.5  -
Psychromonadaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               30     927      24     920      12     921    1467    +    2.1e-224  743.2  21.5  -
Thiotrichales             -          LKAP-TSAKG2_H07_049_2018_2 -               49     946      23     920      11     921    1519    +    2.2e-224  742.8  21.3  -
Acidithiobacillaceae      -          LKAP-TSAKG2_H07_049_2018_2 -               29     918      24     920      11     921    1457    +      3e-223  739.2  21.4  -
Orbaceae                  -          LKAP-TSAKG2_H07_049_2018_2 -               57     951      24     920      12     921    1539    +    4.6e-221  732.0  21.4  -
Acetobacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               50     877      56     920      35     921    1438    +    8.5e-221  731.5  21.7  -
Thermithiobacillaceae     -          LKAP-TSAKG2_H07_049_2018_2 -               16     906      25     920      12     921    1419    +    3.2e-220  729.3  21.4  -
Rhodobiaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               52     879      53     920      32     921    1440    +    9.6e-220  728.0  20.4  -
