# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_D11_089_2017_1 -               15     965      10     947       2     951    1474    +           0 1135.2  23.7  -
Alteromonadales           -          LKAP-GUTHK2_D11_089_2017_1 -               12     956       7     947       2     951    1468    +    2.7e-305 1011.0  23.8  -
Enterobacteriaceae        -          LKAP-GUTHK2_D11_089_2017_1 -               18     955      13     947       2     951    1465    +    6.8e-304 1006.7  23.8  -
Ferrimonadaceae           -          LKAP-GUTHK2_D11_089_2017_1 -               12     965       7     947       2     951    1475    +    9.7e-303 1002.6  23.7  -
Aeromonadaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               25     969       8     947       2     951    1496    +    1.3e-302 1002.2  23.6  -
Shewanellaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               25     957      17     947       2     951    1483    +    2.1e-301  998.4  23.4  -
Erwiniaceae               -          LKAP-GUTHK2_D11_089_2017_1 -               19     950      16     947       2     951    1483    +    6.1e-301  996.9  23.6  -
Gammaproteobacteria       -          LKAP-GUTHK2_D11_089_2017_1 -               13     954       8     947       2     951    1481    +    1.3e-298  989.0  23.5  -
Pectobacteriaceae         -          LKAP-GUTHK2_D11_089_2017_1 -               15     952      13     947       2     951    1477    +    2.4e-297  984.9  23.7  -
Yersiniaceae              -          LKAP-GUTHK2_D11_089_2017_1 -               12     955       7     947       2     951    1473    +    4.2e-297  984.1  23.8  -
Alteromonadaceae          -          LKAP-GUTHK2_D11_089_2017_1 -               11     954       6     947       2     951    1468    +    4.9e-297  983.8  24.1  -
Hafniaceae                -          LKAP-GUTHK2_D11_089_2017_1 -               12     949      10     947       2     951    1459    +    1.6e-296  982.1  23.9  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_D11_089_2017_1 -               25     951      17     947       2     951    1469    +    4.1e-296  980.7  22.7  -
Morganellaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               14     958       6     947       2     951    1487    +    2.3e-295  978.5  23.8  -
Colwelliaceae             -          LKAP-GUTHK2_D11_089_2017_1 -               10     956       5     947       2     951    1467    +    5.4e-288  954.0  23.8  -
Idiomarinaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               11     956       6     947       2     951    1466    +      2e-287  951.8  23.9  -
Oceanospirillaceae        -          LKAP-GUTHK2_D11_089_2017_1 -               11     956       6     947       2     951    1467    +    8.4e-287  949.9  23.7  -
Budviciaceae              -          LKAP-GUTHK2_D11_089_2017_1 -               16     945      18     947       5     951    1483    +    4.5e-286  947.6  23.2  -
Psychromonadaceae         -          LKAP-GUTHK2_D11_089_2017_1 -               10     955       5     947       2     951    1467    +    1.2e-285  946.2  23.8  -
Moritellaceae             -          LKAP-GUTHK2_D11_089_2017_1 -               25     972       5     947       2     951    1501    +    5.3e-283  937.3  23.9  -
Thorselliaceae            -          LKAP-GUTHK2_D11_089_2017_1 -                1     924      20     947      20     951    1419    +    1.7e-279  925.6  22.8  -
Oceanospirillales         -          LKAP-GUTHK2_D11_089_2017_1 -               17     960       6     947       2     951    1489    +    2.1e-278  922.0  24.0  -
Cellvibrionaceae          -          LKAP-GUTHK2_D11_089_2017_1 -               18     954      13     947       2     951    1472    +    2.4e-278  921.9  23.8  -
Chromatiaceae             -          LKAP-GUTHK2_D11_089_2017_1 -               25     944      17     947       2     951    1455    +    1.3e-277  919.6  24.4  -
Pseudomonadaceae          -          LKAP-GUTHK2_D11_089_2017_1 -               22     959      10     947       2     951    1491    +    2.1e-277  918.8  23.4  -
Celerinatantimonadaceae   -          LKAP-GUTHK2_D11_089_2017_1 -                6     962       6     947       2     951    1433    +    5.7e-277  917.5  23.8  -
Pasteurellaceae           -          LKAP-GUTHK2_D11_089_2017_1 -               10     956       5     947       2     951    1422    +    8.6e-276  913.5  23.6  -
Piscirickettsiaceae       -          LKAP-GUTHK2_D11_089_2017_1 -               13     958       6     947       2     951    1466    +    2.3e-275  912.0  23.9  -
Alcanivoracaceae          -          LKAP-GUTHK2_D11_089_2017_1 -               32     974       7     947       2     951    1504    +    1.6e-274  909.1  23.6  -
Succinivibrionaceae       -          LKAP-GUTHK2_D11_089_2017_1 -               14     932       6     947       2     951    1473    +    3.2e-273  904.9  23.2  -
Orbaceae                  -          LKAP-GUTHK2_D11_089_2017_1 -               37     979       5     947       2     951    1539    +    5.3e-273  904.2  23.9  -
Hahellaceae               -          LKAP-GUTHK2_D11_089_2017_1 -               11     953       6     947       2     951    1473    +    8.2e-273  903.7  23.9  -
Methylococcaceae          -          LKAP-GUTHK2_D11_089_2017_1 -               29     962      10     947       2     951    1481    +    9.2e-270  893.5  24.1  -
Halieaceae                -          LKAP-GUTHK2_D11_089_2017_1 -               20     955       7     947       2     951    1484    +    2.4e-268  888.7  24.3  -
Thioalkalispiraceae       -          LKAP-GUTHK2_D11_089_2017_1 -               34     973      16     947       2     951    1479    +    5.3e-266  881.0  23.3  -
Moraxellaceae             -          LKAP-GUTHK2_D11_089_2017_1 -                8     946       6     947       2     951    1468    +    5.5e-266  881.2  24.2  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_D11_089_2017_1 -               31     961      16     947       2     951    1463    +    3.7e-264  875.1  23.9  -
Halomonadaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               12     954       7     947       2     951    1466    +    8.2e-264  873.7  23.9  -
Lysobacteraceae           -          LKAP-GUTHK2_D11_089_2017_1 -               13     957       7     947       2     951    1484    +    1.1e-263  873.4  23.6  -
Spongiibacteraceae        -          LKAP-GUTHK2_D11_089_2017_1 -               14     952       6     947       2     951    1462    +    1.3e-263  872.9  23.9  -
Saccharospirillaceae      -          LKAP-GUTHK2_D11_089_2017_1 -               14     948       8     947       2     951    1468    +    4.7e-263  871.3  23.4  -
Thermoleophilaceae        -          LKAP-GUTHK2_D11_089_2017_1 -               15     956      16     947       3     951    1494    +    5.2e-263  871.1  23.5  -
Halothiobacillaceae       -          LKAP-GUTHK2_D11_089_2017_1 -               30     973       8     947       2     951    1500    +    1.8e-262  869.4  23.7  -
Litoricolaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               18     961       5     947       2     951    1474    +    2.2e-262  869.2  24.0  -
Microbulbiferaceae        -          LKAP-GUTHK2_D11_089_2017_1 -               12     948       7     947       2     951    1480    +    2.7e-261  865.6  24.0  -
Kangiellaceae             -          LKAP-GUTHK2_D11_089_2017_1 -               35     967      18     947       2     951    1479    +    3.3e-261  865.1  23.6  -
Chromobacteriaceae        -          LKAP-GUTHK2_D11_089_2017_1 -               19     947      15     947       2     951    1460    +      2e-253  839.5  24.0  -
Thiotrichaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               14     911       9     947       2     951    1421    +      1e-252  837.0  22.5  -
Cardiobacteriaceae        -          LKAP-GUTHK2_D11_089_2017_1 -               34     959      18     947       2     951    1464    +    1.7e-252  836.6  23.5  -
Granulosicoccaceae        -          LKAP-GUTHK2_D11_089_2017_1 -               26     956      18     947       2     951    1471    +    1.4e-250  830.0  23.8  -
Nevskiaceae               -          LKAP-GUTHK2_D11_089_2017_1 -               31     949      16     947       2     951    1470    +    1.3e-249  827.0  23.8  -
Legionellaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               22     953      18     947       2     951    1446    +    5.3e-249  824.8  23.3  -
Coxiellaceae              -          LKAP-GUTHK2_D11_089_2017_1 -               26     962      18     947       2     951    1475    +    5.8e-249  824.6  23.5  -
Rhodocyclaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               18     952      13     947       2     951    1484    +    2.6e-246  815.8  23.9  -
Rhodanobacteraceae        -          LKAP-GUTHK2_D11_089_2017_1 -               26     957      17     947       2     951    1473    +    8.8e-246  814.1  23.4  -
Rhodospirillaceae         -          LKAP-GUTHK2_D11_089_2017_1 -               19     903      12     947       2     951    1429    +    6.4e-245  811.4  22.7  -
Arenicellaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               27     949      19     947       3     951    1488    +    6.9e-245  811.2  23.2  -
Thiotrichales             -          LKAP-GUTHK2_D11_089_2017_1 -               47     974      19     947       3     951    1519    +    1.4e-243  806.5  22.7  -
Neisseriaceae             -          LKAP-GUTHK2_D11_089_2017_1 -               40     969      18     947       2     951    1477    +    5.9e-243  804.7  23.5  -
Alcaligenaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               26     951      18     947       2     951    1467    +    3.4e-240  795.7  23.3  -
Burkholderiaceae          -          LKAP-GUTHK2_D11_089_2017_1 -               25     948      17     947       2     951    1482    +    4.5e-240  795.2  23.5  -
Sutterellaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               17     952      12     947       2     951    1487    +    4.5e-238  788.4  23.6  -
Hydrogenophilaceae        -          LKAP-GUTHK2_D11_089_2017_1 -               24     950      17     947       2     951    1461    +    1.6e-237  786.8  23.7  -
Acidiferrobacteraceae     -          LKAP-GUTHK2_D11_089_2017_1 -               27     946      19     947       3     951    1454    +    1.7e-237  786.7  23.6  -
Sulfuricellaceae          -          LKAP-GUTHK2_D11_089_2017_1 -               27     953      18     947       2     951    1463    +    5.4e-237  785.0  23.3  -
Methylophilaceae          -          LKAP-GUTHK2_D11_089_2017_1 -                9     939      18     947      11     951    1431    +    7.4e-237  784.6  22.1  -
Acidithiobacillaceae      -          LKAP-GUTHK2_D11_089_2017_1 -               25     946      18     947       2     951    1457    +    7.2e-235  777.8  23.7  -
Salinisphaeraceae         -          LKAP-GUTHK2_D11_089_2017_1 -               14     940      18     947       5     951    1429    +    1.7e-234  776.7  23.5  -
Hyphomicrobiaceae         -          LKAP-GUTHK2_D11_089_2017_1 -               13     899       8     947       2     951    1427    +    3.4e-234  775.7  22.8  -
Burkholderiales           -          LKAP-GUTHK2_D11_089_2017_1 -               26     949      18     947       2     951    1463    +    3.6e-233  772.3  23.6  -
Oxalobacteraceae          -          LKAP-GUTHK2_D11_089_2017_1 -               25     950      17     947       2     951    1459    +    5.8e-233  771.7  23.3  -
Geobacteraceae            -          LKAP-GUTHK2_D11_089_2017_1 -               29     976      15     947       2     951    1487    +    1.3e-232  770.3  23.7  -
Francisellaceae           -          LKAP-GUTHK2_D11_089_2017_1 -               36     956      18     947       2     951    1508    +    5.8e-232  768.3  23.2  -
Thermithiobacillaceae     -          LKAP-GUTHK2_D11_089_2017_1 -               12     934      19     947      13     951    1419    +    6.8e-232  768.1  22.6  -
Methylothermaceae         -          LKAP-GUTHK2_D11_089_2017_1 -               32     976       6     947       2     951    1491    +    5.4e-231  765.0  24.4  -
Desulfobacteraceae        -          LKAP-GUTHK2_D11_089_2017_1 -               39     987      18     947       2     951    1516    +    8.6e-231  764.4  23.3  -
Clostridiales             -          LKAP-GUTHK2_D11_089_2017_1 -               32     948      17     947       2     951    1470    +    1.4e-230  763.7  22.4  -
Desulfobulbaceae          -          LKAP-GUTHK2_D11_089_2017_1 -               26     970      17     947       2     951    1483    +    2.7e-230  762.7  23.8  -
Deltaproteobacteria       -          LKAP-GUTHK2_D11_089_2017_1 -               37     987      15     947       2     951    1514    +    3.4e-230  762.5  23.8  -
Clostridiaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               36     944      16     947       2     951    1485    +    4.9e-230  761.7  23.3  -
Desulfovibrionaceae       -          LKAP-GUTHK2_D11_089_2017_1 -               41     977      18     947       2     951    1527    +    8.5e-230  761.1  23.7  -
Comamonadaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               25     948      17     947       2     951    1466    +    1.5e-229  760.1  23.8  -
Rhodobiaceae              -          LKAP-GUTHK2_D11_089_2017_1 -               21     907       6     947       2     951    1440    +      2e-229  760.1  22.6  -
Eubacteriaceae            -          LKAP-GUTHK2_D11_089_2017_1 -               40     955      18     947       2     951    1485    +    5.9e-229  758.3  22.9  -
Nitrosomonadaceae         -          LKAP-GUTHK2_D11_089_2017_1 -               24     951      17     947       2     951    1461    +    1.2e-228  757.5  23.2  -
Acetobacteraceae          -          LKAP-GUTHK2_D11_089_2017_1 -               31     905      18     947       2     951    1438    +    5.6e-228  755.3  23.1  -
Alphaproteobacteria       -          LKAP-GUTHK2_D11_089_2017_1 -               11     897       6     947       2     951    1409    +    5.9e-228  755.3  22.8  -
Syntrophaceae             -          LKAP-GUTHK2_D11_089_2017_1 -               39     986      16     947       2     951    1551    +    9.8e-228  754.2  23.6  -
Syntrophomonadaceae       -          LKAP-GUTHK2_D11_089_2017_1 -               39     981      16     947       2     951    1515    +    7.4e-227  751.2  24.0  -
