# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_F08_054_2018_2 -               18     911      14     905       8     905    1491    +           0 1101.2  18.2  -
Bacillales                -          LKAP-TSAKG2_F08_054_2018_2 -               25     924      14     905       9     905    1503    +           0 1031.5  18.3  -
Staphylococcaceae         -          LKAP-TSAKG2_F08_054_2018_2 -               20     911      14     905       7     905    1479    +           0 1022.8  17.9  -
Bacillaceae               -          LKAP-TSAKG2_F08_054_2018_2 -               16     917      13     905       5     905    1493    +    1.7e-307 1018.6  18.3  -
Listeriaceae              -          LKAP-TSAKG2_F08_054_2018_2 -                6     897      15     905      10     905    1448    +    1.9e-299  992.1  18.2  -
Carnobacteriaceae         -          LKAP-TSAKG2_F08_054_2018_2 -               17     914      13     905       6     905    1496    +    4.7e-297  984.0  18.1  -
Enterococcaceae           -          LKAP-TSAKG2_F08_054_2018_2 -               18     919      14     905       8     905    1498    +    5.3e-294  973.9  18.2  -
Sporolactobacillaceae     -          LKAP-TSAKG2_F08_054_2018_2 -               18     908      14     905       8     905    1503    +    1.3e-292  969.2  18.3  -
Aerococcaceae             -          LKAP-TSAKG2_F08_054_2018_2 -               18     914      14     905       8     905    1473    +    5.6e-292  967.2  18.2  -
Paenibacillaceae          -          LKAP-TSAKG2_F08_054_2018_2 -               19     916      14     905       7     905    1493    +    2.9e-290  961.5  18.0  -
Lactobacillaceae          -          LKAP-TSAKG2_F08_054_2018_2 -               21     942      14     905       8     905    1522    +    1.4e-287  952.6  18.2  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_F08_054_2018_2 -               26     913      14     905       9     905    1495    +    4.6e-280  927.9  18.2  -
Peptococcaceae            -          LKAP-TSAKG2_F08_054_2018_2 -               25     887      14     905       8     905    1479    +    2.8e-265  878.5  18.5  -
Clostridiaceae            -          LKAP-TSAKG2_F08_054_2018_2 -               32     890      14     905       8     905    1485    +    4.3e-264  874.6  18.0  -
Leuconostocaceae          -          LKAP-TSAKG2_F08_054_2018_2 -               14     915      14     905       8     905    1479    +      1e-261  866.9  18.3  -
Eubacteriaceae            -          LKAP-TSAKG2_F08_054_2018_2 -               32     901      14     905       9     905    1485    +    1.2e-261  866.5  18.8  -
Alicyclobacillaceae       -          LKAP-TSAKG2_F08_054_2018_2 -               38     917      14     905       9     905    1512    +    3.5e-259  858.7  18.6  -
Streptococcaceae          -          LKAP-TSAKG2_F08_054_2018_2 -               24     920      14     905       8     905    1497    +    4.2e-257  851.6  18.3  -
Clostridiales             -          LKAP-TSAKG2_F08_054_2018_2 -               26     894      15     905      10     905    1470    +    1.2e-256  849.9  18.6  -
Erysipelotrichaceae       -          LKAP-TSAKG2_F08_054_2018_2 -               23     895      14     905       8     905    1466    +    1.3e-253  840.1  18.7  -
Peptostreptococcaceae     -          LKAP-TSAKG2_F08_054_2018_2 -               18     875      14     905       9     905    1441    +    7.1e-250  827.4  18.8  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_F08_054_2018_2 -               24     898      14     905       9     905    1492    +    1.4e-246  816.4  18.6  -
Syntrophomonadaceae       -          LKAP-TSAKG2_F08_054_2018_2 -               35     927      14     905       9     905    1515    +    4.8e-246  814.7  18.1  -
Ruminococcaceae           -          LKAP-TSAKG2_F08_054_2018_2 -               20     892      16     905       9     905    1457    +    1.2e-244  810.2  18.5  -
Selenomonadaceae          -          LKAP-TSAKG2_F08_054_2018_2 -               41     939      18     905       9     905    1531    +    3.7e-241  798.6  18.3  -
Thermoanaerobacterales    -          LKAP-TSAKG2_F08_054_2018_2 -               27     900      15     905       8     905    1472    +    5.8e-238  788.1  18.8  -
Sporomusaceae             -          LKAP-TSAKG2_F08_054_2018_2 -               37     931      14     905       8     905    1535    +    1.5e-237  786.5  18.6  -
Mycoplasmataceae          -          LKAP-TSAKG2_F08_054_2018_2 -               12     883      13     905       8     905    1467    +    1.7e-237  786.8  19.2  -
Heliobacteriaceae         -          LKAP-TSAKG2_F08_054_2018_2 -               35     897      14     905       9     905    1500    +      2e-236  783.0  19.0  -
Veillonellaceae           -          LKAP-TSAKG2_F08_054_2018_2 -                2     900      19     905      18     905    1450    +    5.2e-235  778.1  18.8  -
Lachnospiraceae           -          LKAP-TSAKG2_F08_054_2018_2 -               19     891      15     905       9     905    1469    +    2.9e-234  775.8  18.4  -
Brevibacteriaceae         -          LKAP-TSAKG2_F08_054_2018_2 -               30     897      16     905       8     905    1487    +    4.4e-234  775.1  18.2  -
Deferribacteraceae        -          LKAP-TSAKG2_F08_054_2018_2 -               26     911      15     905      10     905    1513    +    9.1e-233  770.7  17.9  -
Spiroplasmataceae         -          LKAP-TSAKG2_F08_054_2018_2 -               41     908      14     905       9     905    1516    +    1.8e-232  770.2  18.9  -
Geobacteraceae            -          LKAP-TSAKG2_F08_054_2018_2 -               26     922      14     905       8     905    1487    +    3.4e-232  768.9  18.2  -
Desulfovibrionaceae       -          LKAP-TSAKG2_F08_054_2018_2 -               33     923      14     905       9     905    1527    +    3.8e-232  768.8  18.2  -
Thermoleophilaceae        -          LKAP-TSAKG2_F08_054_2018_2 -               11     902      14     905       8     905    1494    +    4.5e-232  768.5  18.8  -
Acidaminococcaceae        -          LKAP-TSAKG2_F08_054_2018_2 -               25     920      14     905       8     905    1504    +    1.9e-230  762.8  18.4  -
Halobacteroidaceae        -          LKAP-TSAKG2_F08_054_2018_2 -               26     902      14     905      10     905    1478    +    9.5e-230  760.7  17.9  -
Entomoplasmataceae        -          LKAP-TSAKG2_F08_054_2018_2 -               25     896      14     905       9     905    1497    +    1.3e-227  754.0  18.9  -
Desulfobacteraceae        -          LKAP-TSAKG2_F08_054_2018_2 -               33     933      16     905      10     905    1516    +    4.6e-226  748.6  18.3  -
Desulfuromonadaceae       -          LKAP-TSAKG2_F08_054_2018_2 -               35     932      14     905       8     905    1518    +    6.7e-226  748.1  18.1  -
Rhodospirillaceae         -          LKAP-TSAKG2_F08_054_2018_2 -               21     849      15     905       9     905    1429    +    8.8e-226  747.9  19.4  -
Natranaerobiaceae         -          LKAP-TSAKG2_F08_054_2018_2 -                5     875      21     905      16     905    1429    +    1.8e-225  746.6  18.4  -
Gammaproteobacteria       -          LKAP-TSAKG2_F08_054_2018_2 -               21     900      17     905       9     905    1481    +    6.7e-225  744.6  19.4  -
Acidobacteria             -          LKAP-TSAKG2_F08_054_2018_2 -               38     932      14     905       9     905    1505    +    2.5e-223  740.1  18.1  -
Syntrophaceae             -          LKAP-TSAKG2_F08_054_2018_2 -               35     932      14     905       9     905    1551    +    5.1e-223  738.5  18.0  -
Deltaproteobacteria       -          LKAP-TSAKG2_F08_054_2018_2 -               34     933      14     905       9     905    1514    +      1e-222  737.6  18.7  -
Bacteroidaceae            -          LKAP-TSAKG2_F08_054_2018_2 -               33     912      19     905      11     905    1480    +    1.5e-222  736.9  18.7  -
Spirochaetaceae           -          LKAP-TSAKG2_F08_054_2018_2 -               29     907      18     905      10     905    1486    +    8.9e-222  734.6  18.5  -
Acetobacteraceae          -          LKAP-TSAKG2_F08_054_2018_2 -               23     851      14     905       9     905    1438    +    6.1e-221  731.9  19.1  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_F08_054_2018_2 -               24     845      19     905       9     905    1427    +    6.1e-221  731.7  19.9  -
Peptoniphilaceae          -          LKAP-TSAKG2_F08_054_2018_2 -                2     862      21     905      20     905    1437    +    1.2e-220  731.0  19.7  -
Desulfohalobiaceae        -          LKAP-TSAKG2_F08_054_2018_2 -               24     927      14     905       9     905    1509    +    3.6e-220  729.1  17.9  -
Micrococcaceae            -          LKAP-TSAKG2_F08_054_2018_2 -               30     893      17     905       8     905    1476    +      2e-219  726.7  19.1  -
Streptomycetaceae         -          LKAP-TSAKG2_F08_054_2018_2 -               19     878      15     905       8     905    1479    +    2.7e-219  726.4  18.7  -
Rhodobiaceae              -          LKAP-TSAKG2_F08_054_2018_2 -               33     853      18     905       9     905    1440    +    3.1e-218  722.9  19.3  -
Acholeplasmataceae        -          LKAP-TSAKG2_F08_054_2018_2 -               10     879      14     904       9     905    1437    +    3.5e-218  722.4  18.6  -
Anaeroplasmataceae        -          LKAP-TSAKG2_F08_054_2018_2 -               45     896      14     904       9     905    1453    +    1.9e-217  720.2  18.6  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_F08_054_2018_2 -               34     901      14     905       9     905    1520    +      1e-216  717.7  18.9  -
Piscirickettsiaceae       -          LKAP-TSAKG2_F08_054_2018_2 -               21     904      15     905       9     905    1466    +    3.2e-216  715.9  19.2  -
Alphaproteobacteria       -          LKAP-TSAKG2_F08_054_2018_2 -               23     843      18     905      10     905    1409    +    3.5e-216  716.2  19.9  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_F08_054_2018_2 -               25     907      14     905       8     905    1463    +    4.1e-216  715.7  19.2  -
Symbiobacteriaceae        -          LKAP-TSAKG2_F08_054_2018_2 -               12     907      13     905       6     905    1468    +    7.7e-216  715.1  17.9  -
Hyphomonadaceae           -          LKAP-TSAKG2_F08_054_2018_2 -               24     843      19     905      10     905    1400    +    1.5e-215  714.1  19.4  -
Synergistaceae            -          LKAP-TSAKG2_F08_054_2018_2 -               22     874      18     905      10     905    1450    +      2e-215  713.4  19.9  -
Halanaerobiaceae          -          LKAP-TSAKG2_F08_054_2018_2 -               32     931      19     905      10     905    1503    +    2.9e-215  712.8  18.5  -
Desulfonatronaceae        -          LKAP-TSAKG2_F08_054_2018_2 -               18     911      14     905       8     905    1495    +    5.8e-215  711.8  18.8  -
Thermolithobacteraceae    -          LKAP-TSAKG2_F08_054_2018_2 -               38     946      14     905       9     905    1546    +    6.8e-215  711.4  18.2  -
Oceanospirillaceae        -          LKAP-TSAKG2_F08_054_2018_2 -               24     902      19     905       9     905    1467    +    2.4e-214  709.7  19.4  -
