# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          B1b3_1_forward       -               26     453       6     428       3     438    1504    +      2e-125  413.4   9.7  -
Aeromonadaceae                   -          B1b3_1_forward       -               18     449       6     428       3     442    1496    +    4.9e-124  408.7   9.5  -
Microbulbiferaceae               -          B1b3_1_forward       -                6     424       6     424       3     437    1478    +    5.9e-123  405.6   9.6  -
Unclassified_Alteromonadales     -          B1b3_1_forward       -                6     431       6     424       3     436    1467    +      4e-122  402.5   9.9  -
Unclassified_Oceanospirillales   -          B1b3_1_forward       -               10     431       5     425       1     439    1483    +    2.8e-121  399.7   9.4  -
Halieaceae                       -          B1b3_1_forward       -               14     432       6     425       3     433    1484    +    7.4e-120  395.1  10.0  -
Thermoleophilaceae               -          B1b3_1_forward       -                2     427       9     424       8     432    1486    +    2.7e-119  393.2  10.3  -
Litoricolaceae                   -          B1b3_1_forward       -               15     435       7     422       3     437    1474    +    7.7e-119  391.9   9.7  -
Thioalkalispiraceae              -          B1b3_1_forward       -               18     454       6     432       3     441    1478    +    2.9e-118  389.7   9.4  -
Spongiibacteraceae               -          B1b3_1_forward       -                9     429       6     425       3     437    1462    +    5.5e-118  388.8   9.8  -
Nevskiaceae                      -          B1b3_1_forward       -               15     420       6     418       3     432    1470    +    2.6e-116  383.7   9.3  -
Ferrimonadaceae                  -          B1b3_1_forward       -                6     443       6     426       3     439    1475    +    2.5e-115  379.9   9.7  -
Acidiferrobacteraceae            -          B1b3_1_forward       -                7     416       7     418       4     438    1456    +    8.1e-115  378.6   9.3  -
Idiomarinaceae                   -          B1b3_1_forward       -                6     431       6     424       3     434    1466    +    5.6e-114  375.5  10.0  -
Granulosicoccaceae               -          B1b3_1_forward       -                7     432       7     425       4     434    1471    +    2.3e-113  373.8   9.9  -
Moritellaceae                    -          B1b3_1_forward       -               21     452       6     428       3     441    1501    +    2.6e-113  373.4   9.5  -
