# target name                    accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Crocinitomicaceae                -          LKAP-Gut2_C07_059.seq -               33    1109      11    1079       2    1079    1465    +           0 1111.6  14.2  -
Cryomorphaceae                   -          LKAP-Gut2_C07_059.seq -               33    1109       6    1078       2    1079    1452    +           0 1068.3  14.1  -
Prolixibacteraceae               -          LKAP-Gut2_C07_059.seq -               29    1104       7    1079       2    1079    1444    +    1.4e-305 1011.4  13.7  -
Marinifilaceae                   -          LKAP-Gut2_C07_059.seq -               27    1110       6    1079       2    1079    1452    +    1.5e-298  988.1  14.2  -
Persicobacteraceae               -          LKAP-Gut2_C07_059.seq -               28    1103       7    1079       3    1079    1448    +    5.2e-296  979.9  14.0  -
Bernardetiaceae                  -          LKAP-Gut2_C07_059.seq -               27    1109       6    1079       2    1079    1484    +    1.7e-291  964.7  13.8  -
Unclassified_Bacteroidales       -          LKAP-Gut2_C07_059.seq -               49    1125       6    1078       1    1079    1485    +      2e-284  941.1  14.0  -
Unclassified_Cytophagales        -          LKAP-Gut2_C07_059.seq -               53    1103      36    1079      15    1079    1444    +    7.6e-279  922.9  13.5  -
Lewinellaceae                    -          LKAP-Gut2_C07_059.seq -               28    1102       7    1078       3    1079    1446    +    5.3e-277  916.9  13.7  -
Haliscomenobacteraceae           -          LKAP-Gut2_C07_059.seq -               47    1116       6    1071       2    1079    1484    +    6.9e-274  907.0  13.7  -
Saprospiraceae                   -          LKAP-Gut2_C07_059.seq -               38    1113       6    1076       2    1079    1430    +    5.6e-270  893.9  14.0  -
Odoribacteraceae                 -          LKAP-Gut2_C07_059.seq -               48    1126       7    1078       2    1079    1486    +    7.4e-267  883.0  14.3  -
Microscillaceae                  -          LKAP-Gut2_C07_059.seq -               56    1090      52    1079      32    1079    1461    +    1.5e-265  878.8  13.0  -
Balneolaceae                     -          LKAP-Gut2_C07_059.seq -               27    1107       6    1078       2    1079    1463    +    2.3e-259  858.3  13.9  -
Kangiellaceae                    -          LKAP-Gut2_C07_059.seq -               36    1119       6    1071       1    1079    1479    +    2.4e-239  791.8  13.5  -
Rubricoccaceae                   -          LKAP-Gut2_C07_059.seq -               75    1110      52    1078      29    1079    1451    +    9.8e-232  766.7  13.0  -
