# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Aeromonadaceae                   -          F0612_LKAP-FHGF1_B04_030 -               36     774       5     742       2     742    1496    +    7.4e-253  835.9  16.8  -
Unclassified_Alteromonadales     -          F0612_LKAP-FHGF1_B04_030 -               24     760       5     742       2     742    1467    +    1.1e-239  792.2  16.8  -
Ferrimonadaceae                  -          F0612_LKAP-FHGF1_B04_030 -               24     770       5     742       2     742    1475    +    2.6e-239  791.0  16.8  -
Idiomarinaceae                   -          F0612_LKAP-FHGF1_B04_030 -               24     760       5     742       2     742    1466    +    6.4e-229  756.6  16.7  -
Moritellaceae                    -          F0612_LKAP-FHGF1_B04_030 -               39     777       5     742       2     742    1501    +    4.4e-228  753.9  16.7  -
Unclassified_Oceanospirillales   -          F0612_LKAP-FHGF1_B04_030 -               29     759       5     742       2     742    1483    +    9.4e-222  732.8  16.8  -
Psychromonadaceae                -          F0612_LKAP-FHGF1_B04_030 -               24     760       5     742       2     742    1467    +    1.1e-221  732.9  16.7  -
Celerinatantimonadaceae          -          F0612_LKAP-FHGF1_B04_030 -               19     765       5     742       2     742    1433    +    2.3e-221  731.9  16.7  -
Colwelliaceae                    -          F0612_LKAP-FHGF1_B04_030 -               24     759       5     742       2     742    1465    +    5.8e-219  723.9  16.8  -
Budviciaceae                     -          F0612_LKAP-FHGF1_B04_030 -               14     750       5     742       2     742    1483    +    5.2e-218  720.6  16.7  -
Hafniaceae                       -          F0612_LKAP-FHGF1_B04_030 -               18     754       5     742       2     742    1459    +    2.5e-211  698.4  16.7  -
Alcanivoracaceae                 -          F0612_LKAP-FHGF1_B04_030 -               44     778       5     742       2     742    1504    +    1.7e-210  695.6  16.8  -
Thioalkalispiraceae              -          F0612_LKAP-FHGF1_B04_030 -               37     775       5     742       2     742    1478    +    3.9e-210  694.4  16.7  -
Litoricolaceae                   -          F0612_LKAP-FHGF1_B04_030 -               31     766       4     742       2     742    1474    +      2e-209  692.3  16.8  -
Spongiibacteraceae               -          F0612_LKAP-FHGF1_B04_030 -               26     757       4     742       2     742    1462    +    4.1e-209  691.0  16.9  -
Succinivibrionaceae              -          F0612_LKAP-FHGF1_B04_030 -               27     740       5     742       2     742    1474    +    3.1e-208  688.2  16.8  -
Halieaceae                       -          F0612_LKAP-FHGF1_B04_030 -               32     760       5     742       2     742    1484    +    8.3e-207  683.5  16.9  -
Thorselliaceae                   -          F0612_LKAP-FHGF1_B04_030 -                1     729       9     742       9     742    1419    +    1.3e-203  672.8  16.9  -
Microbulbiferaceae               -          F0612_LKAP-FHGF1_B04_030 -               24     753       5     742       2     742    1478    +    2.1e-203  672.4  16.8  -
Halothiobacillaceae              -          F0612_LKAP-FHGF1_B04_030 -               40     777       4     742       2     742    1501    +    2.3e-200  662.1  16.7  -
Kangiellaceae                    -          F0612_LKAP-FHGF1_B04_030 -               33     771       5     742       2     742    1479    +    7.5e-198  653.8  16.7  -
Orbaceae                         -          F0612_LKAP-FHGF1_B04_030 -               51     783       5     742       2     742    1538    +    2.2e-197  652.2  16.8  -
Granulosicoccaceae               -          F0612_LKAP-FHGF1_B04_030 -               24     760       5     742       2     742    1471    +    3.3e-195  645.2  16.7  -
