# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_A12_096   -               10     938       4     927       2     927    1474    +           0 1134.5  25.5  -
Ferrimonadaceae           -          LKAP-GutHK_A12_096   -               10     938       4     927       2     927    1475    +    3.4e-303 1004.1  25.7  -
Enterobacteriaceae        -          LKAP-GutHK_A12_096   -               10     928       4     927       2     927    1465    +    4.4e-298  987.4  25.2  -
Alteromonadales           -          LKAP-GutHK_A12_096   -               10     929       4     927       2     927    1468    +    8.2e-296  979.5  25.1  -
Erwiniaceae               -          LKAP-GutHK_A12_096   -               23     923      19     927       2     927    1483    +    1.4e-295  979.1  24.9  -
Yersiniaceae              -          LKAP-GutHK_A12_096   -               10     928       4     927       2     927    1473    +    1.1e-294  976.1  25.2  -
Gammaproteobacteria       -          LKAP-GutHK_A12_096   -               10     927       4     927       2     927    1481    +    1.2e-294  975.8  25.1  -
Aeromonadaceae            -          LKAP-GutHK_A12_096   -               22     942       4     927       2     927    1496    +      6e-294  973.4  25.0  -
Pectobacteriaceae         -          LKAP-GutHK_A12_096   -                7     925       4     927       2     927    1477    +    1.6e-292  968.8  25.2  -
Alteromonadaceae          -          LKAP-GutHK_A12_096   -               10     927       4     927       2     927    1468    +    4.1e-292  967.5  25.3  -
Hafniaceae                -          LKAP-GutHK_A12_096   -                4     922       4     927       2     927    1459    +    3.5e-291  964.4  25.2  -
Shewanellaceae            -          LKAP-GutHK_A12_096   -               10     930       4     927       2     927    1483    +      7e-291  963.4  25.1  -
Pseudoalteromonadaceae    -          LKAP-GutHK_A12_096   -               10     924       4     927       2     927    1469    +    1.7e-288  955.5  24.3  -
Morganellaceae            -          LKAP-GutHK_A12_096   -               13     931       4     927       2     927    1487    +    1.4e-287  952.7  25.5  -
Budviciaceae              -          LKAP-GutHK_A12_096   -                2     918       6     927       5     927    1483    +    2.6e-285  945.0  25.0  -
Colwelliaceae             -          LKAP-GutHK_A12_096   -               10     929       4     927       2     927    1467    +    7.7e-285  943.5  25.1  -
Oceanospirillaceae        -          LKAP-GutHK_A12_096   -               10     929       4     927       2     927    1467    +    6.6e-283  937.0  25.1  -
Moritellaceae             -          LKAP-GutHK_A12_096   -               25     945       4     927       2     927    1501    +    6.6e-282  933.6  25.1  -
Idiomarinaceae            -          LKAP-GutHK_A12_096   -               10     929       4     927       2     927    1466    +    1.3e-281  932.5  25.1  -
Psychromonadaceae         -          LKAP-GutHK_A12_096   -               10     928       4     927       2     927    1467    +    7.7e-280  926.9  25.0  -
Cellvibrionaceae          -          LKAP-GutHK_A12_096   -               10     927       4     927       2     927    1472    +    6.4e-278  920.5  25.4  -
Oceanospirillales         -          LKAP-GutHK_A12_096   -               16     933       4     927       2     927    1489    +    3.9e-277  917.7  25.5  -
Chromatiaceae             -          LKAP-GutHK_A12_096   -               11     917       5     927       2     927    1455    +    1.6e-276  915.9  25.5  -
Pseudomonadaceae          -          LKAP-GutHK_A12_096   -               17     932       4     927       2     927    1491    +      9e-276  913.3  25.3  -
Alcanivoracaceae          -          LKAP-GutHK_A12_096   -               30     947       4     927       2     927    1504    +    2.9e-272  901.6  25.1  -
Piscirickettsiaceae       -          LKAP-GutHK_A12_096   -               12     931       4     927       2     927    1466    +      2e-270  895.6  25.2  -
Thorselliaceae            -          LKAP-GutHK_A12_096   -               38     897      68     927      44     927    1419    +    7.5e-270  893.7  24.1  -
Hahellaceae               -          LKAP-GutHK_A12_096   -               10     926       4     927       2     927    1473    +    4.3e-268  888.0  25.3  -
Methylococcaceae          -          LKAP-GutHK_A12_096   -               25     935       5     927       2     927    1481    +    9.3e-268  886.8  25.4  -
Halieaceae                -          LKAP-GutHK_A12_096   -               18     928       4     927       2     927    1484    +    2.1e-266  882.3  25.6  -
Celerinatantimonadaceae   -          LKAP-GutHK_A12_096   -                5     935       4     927       2     927    1433    +    1.7e-265  879.4  25.2  -
Pasteurellaceae           -          LKAP-GutHK_A12_096   -               10     929       4     927       2     927    1422    +    2.3e-265  878.9  25.1  -
Moraxellaceae             -          LKAP-GutHK_A12_096   -                7     919       4     927       2     927    1468    +    6.1e-264  874.4  25.3  -
Orbaceae                  -          LKAP-GutHK_A12_096   -               37     952       4     927       2     927    1539    +    1.1e-263  873.3  25.1  -
Spongiibacteraceae        -          LKAP-GutHK_A12_096   -               13     925       4     927       2     927    1462    +      3e-262  868.4  25.0  -
Ectothiorhodospiraceae    -          LKAP-GutHK_A12_096   -               17     934       4     927       2     927    1463    +    3.7e-262  868.4  25.4  -
Succinivibrionaceae       -          LKAP-GutHK_A12_096   -               13     905       4     927       2     927    1473    +    4.5e-262  868.0  24.6  -
Litoricolaceae            -          LKAP-GutHK_A12_096   -               18     934       4     927       2     927    1474    +      2e-261  866.0  25.3  -
Thioalkalispiraceae       -          LKAP-GutHK_A12_096   -               24     946       6     927       2     927    1479    +    2.8e-260  862.0  25.0  -
Microbulbiferaceae        -          LKAP-GutHK_A12_096   -               10     921       4     927       2     927    1480    +    5.2e-260  861.3  25.4  -
Halomonadaceae            -          LKAP-GutHK_A12_096   -               10     927       4     927       2     927    1466    +    3.2e-259  858.4  25.3  -
Halothiobacillaceae       -          LKAP-GutHK_A12_096   -               27     946       4     927       2     927    1500    +    5.7e-259  857.7  25.2  -
Lysobacteraceae           -          LKAP-GutHK_A12_096   -               11     930       4     927       2     927    1484    +    1.3e-258  856.5  25.4  -
Thermoleophilaceae        -          LKAP-GutHK_A12_096   -               14     929      14     927       3     927    1494    +    5.3e-258  854.4  25.0  -
Saccharospirillaceae      -          LKAP-GutHK_A12_096   -               11     921       4     927       2     927    1468    +    1.3e-257  853.2  24.7  -
Kangiellaceae             -          LKAP-GutHK_A12_096   -               21     940       6     927       2     927    1479    +      2e-254  842.6  24.9  -
Chromobacteriaceae        -          LKAP-GutHK_A12_096   -               26     919      18     926       2     927    1460    +    5.7e-252  834.6  24.9  -
Thiotrichaceae            -          LKAP-GutHK_A12_096   -               26     884      17     927       2     927    1421    +    4.3e-249  824.9  23.4  -
Cardiobacteriaceae        -          LKAP-GutHK_A12_096   -               19     932       5     927       2     927    1464    +    2.8e-248  822.6  24.9  -
Nevskiaceae               -          LKAP-GutHK_A12_096   -               65     922      69     927      39     927    1470    +    5.9e-248  821.5  23.6  -
Arenicellaceae            -          LKAP-GutHK_A12_096   -               47     922      45     927      24     927    1488    +    6.5e-247  817.9  24.5  -
Rhodocyclaceae            -          LKAP-GutHK_A12_096   -               12     924       6     926       2     927    1484    +    2.6e-244  809.2  25.5  -
Legionellaceae            -          LKAP-GutHK_A12_096   -               23     926      18     927       2     927    1446    +    3.9e-244  808.7  24.8  -
Coxiellaceae              -          LKAP-GutHK_A12_096   -               11     935       5     927       2     927    1475    +      5e-244  808.2  25.4  -
Rhodospirillaceae         -          LKAP-GutHK_A12_096   -               13     876       5     927       2     927    1429    +    1.4e-243  806.9  23.2  -
Rhodanobacteraceae        -          LKAP-GutHK_A12_096   -               12     930       5     927       2     927    1473    +    3.3e-243  805.5  25.4  -
Granulosicoccaceae        -          LKAP-GutHK_A12_096   -               68     929      67     927      45     927    1471    +    3.9e-243  805.3  24.5  -
Thiotrichales             -          LKAP-GutHK_A12_096   -               47     947      18     927       3     927    1519    +    4.8e-241  798.0  24.4  -
Neisseriaceae             -          LKAP-GutHK_A12_096   -               26     941       6     926       2     927    1477    +    2.9e-240  795.8  24.9  -
Acidiferrobacteraceae     -          LKAP-GutHK_A12_096   -               59     919      67     927      46     927    1454    +    6.6e-239  791.3  24.1  -
Burkholderiaceae          -          LKAP-GutHK_A12_096   -               27     920      18     926       2     927    1482    +    3.1e-238  789.1  25.2  -
Alcaligenaceae            -          LKAP-GutHK_A12_096   -               28     923      19     926       3     927    1467    +      4e-238  788.7  24.6  -
Methylophilaceae          -          LKAP-GutHK_A12_096   -               11     911      19     926      13     927    1431    +      5e-235  778.5  24.1  -
Hydrogenophilaceae        -          LKAP-GutHK_A12_096   -               11     922       5     926       2     927    1461    +    1.4e-234  777.1  25.4  -
Sulfuricellaceae          -          LKAP-GutHK_A12_096   -               64     925      66     926      45     927    1463    +    1.5e-234  776.8  24.0  -
Salinisphaeraceae         -          LKAP-GutHK_A12_096   -               15     913      18     927       6     927    1429    +    1.7e-234  776.7  24.8  -
Sutterellaceae            -          LKAP-GutHK_A12_096   -               11     924       5     926       2     927    1487    +    3.4e-233  772.2  25.0  -
Hyphomicrobiaceae         -          LKAP-GutHK_A12_096   -               54     872      69     927      46     927    1427    +    4.5e-233  772.0  22.5  -
Oxalobacteraceae          -          LKAP-GutHK_A12_096   -               27     922      18     926       2     927    1459    +    2.4e-232  769.6  25.0  -
Acidithiobacillaceae      -          LKAP-GutHK_A12_096   -               11     919       6     927       2     927    1457    +      1e-231  767.3  25.2  -
Geobacteraceae            -          LKAP-GutHK_A12_096   -               35     949      18     927       2     927    1487    +    1.4e-231  766.9  24.7  -
Rhodobiaceae              -          LKAP-GutHK_A12_096   -               20     880       4     927       2     927    1440    +    2.1e-231  766.6  23.1  -
Thermithiobacillaceae     -          LKAP-GutHK_A12_096   -               12     907      18     927      11     927    1419    +    8.1e-231  764.5  24.6  -
Clostridiaceae            -          LKAP-GutHK_A12_096   -               41     917      18     927       2     927    1485    +    1.9e-230  763.1  24.0  -
Burkholderiales           -          LKAP-GutHK_A12_096   -               27     922      18     927       3     927    1463    +    2.7e-230  762.7  25.2  -
Eubacteriaceae            -          LKAP-GutHK_A12_096   -               41     928      18     927       3     927    1485    +    4.6e-230  761.9  24.6  -
Clostridiales             -          LKAP-GutHK_A12_096   -               34     921      18     927       3     927    1470    +    3.6e-229  758.9  23.8  -
Deltaproteobacteria       -          LKAP-GutHK_A12_096   -               43     960      18     927       2     927    1514    +    5.4e-229  758.5  24.6  -
Desulfobacteraceae        -          LKAP-GutHK_A12_096   -               40     960      18     927       3     927    1516    +    5.4e-229  758.4  24.5  -
Desulfovibrionaceae       -          LKAP-GutHK_A12_096   -               42     950      18     927       3     927    1527    +    5.9e-229  758.3  24.9  -
Desulfobulbaceae          -          LKAP-GutHK_A12_096   -               28     943      18     927       3     927    1483    +    5.1e-228  755.1  25.0  -
Desulfuromonadaceae       -          LKAP-GutHK_A12_096   -               44     959      18     927       3     927    1518    +    6.3e-227  751.6  24.9  -
Acetobacteraceae          -          LKAP-GutHK_A12_096   -               58     878      70     927      46     927    1438    +    9.4e-227  751.2  23.0  -
Francisellaceae           -          LKAP-GutHK_A12_096   -               43     929      23     927       3     927    1508    +    1.6e-226  750.3  24.3  -
Methylocystaceae          -          LKAP-GutHK_A12_096   -               21     882       4     927       2     927    1424    +    1.1e-225  747.7  23.4  -
Hyphomonadaceae           -          LKAP-GutHK_A12_096   -               10     870       4     927       2     927    1400    +    1.1e-225  747.7  22.7  -
Alphaproteobacteria       -          LKAP-GutHK_A12_096   -               10     870       4     927       2     927    1409    +    1.8e-225  747.0  23.2  -
Thiobacilliaceae          -          LKAP-GutHK_A12_096   -               80     941      66     926      44     927    1517    +      2e-225  746.6  24.3  -
Sphingomonadaceae         -          LKAP-GutHK_A12_096   -               44     878      56     927      36     927    1434    +    6.2e-225  745.3  22.1  -
Desulfohalobiaceae        -          LKAP-GutHK_A12_096   -               33     954      18     927       2     927    1509    +    1.5e-224  743.7  25.1  -
Syntrophaceae             -          LKAP-GutHK_A12_096   -               69     959      49     927      12     927    1551    +    1.6e-224  743.5  23.8  -
Sneathiellaceae           -          LKAP-GutHK_A12_096   -               15     885       4     927       2     927    1427    +      3e-224  742.7  23.2  -
Nitrosomonadaceae         -          LKAP-GutHK_A12_096   -               12     923       6     926       2     927    1461    +      3e-224  742.8  24.9  -
Comamonadaceae            -          LKAP-GutHK_A12_096   -               12     921       6     927       2     927    1466    +    3.9e-224  742.0  25.2  -
Syntrophomonadaceae       -          LKAP-GutHK_A12_096   -               44     954      18     927       3     927    1515    +    4.9e-224  741.8  25.0  -
Methylothermaceae         -          LKAP-GutHK_A12_096   -               31     949       4     927       2     927    1491    +    1.3e-223  740.5  25.4  -
Rhizobiales               -          LKAP-GutHK_A12_096   -               20     880       4     927       2     927    1438    +    2.5e-222  736.5  23.4  -
Azonexaceae               -          LKAP-GutHK_A12_096   -               28     926      18     926       3     927    1474    +    3.1e-222  736.1  24.9  -
Xanthobacteraceae         -          LKAP-GutHK_A12_096   -               52     868      71     927      51     927    1415    +    1.3e-221  734.1  22.3  -
Zoogloeaceae              -          LKAP-GutHK_A12_096   -               18     929       5     926       2     927    1474    +    1.9e-221  733.4  25.0  -
Bdellovibrionaceae        -          LKAP-GutHK_A12_096   -               23     897      18     927       3     927    1430    +    5.8e-221  731.8  23.6  -
Wenzhouxiangellaceae      -          LKAP-GutHK_A12_096   -               70     933      69     927      49     927    1472    +    5.9e-221  731.6  24.1  -
Erythrobacteraceae        -          LKAP-GutHK_A12_096   -               45     872      47     927       7     927    1433    +    7.1e-221  731.7  22.2  -
Rhodobacteraceae          -          LKAP-GutHK_A12_096   -               10     872       4     927       2     927    1402    +    8.3e-221  731.4  22.8  -
