# target name                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Crocinitomicaceae                -          LKAP.g-Gut1_G11_083.seq -               43     901      29     887       8     888    1465    +    4.4e-197  651.4   9.3  -
Cryomorphaceae                   -          LKAP.g-Gut1_G11_083.seq -               34     902      16     887       8     888    1452    +    5.2e-182  601.7   9.3  -
Prolixibacteraceae               -          LKAP.g-Gut1_G11_083.seq -               28     894      16     887       3     888    1444    +    8.8e-170  561.1   9.0  -
Marinifilaceae                   -          LKAP.g-Gut1_G11_083.seq -               28     900      16     887       5     888    1452    +      1e-169  560.9   9.2  -
Persicobacteraceae               -          LKAP.g-Gut1_G11_083.seq -               25     895      15     887       2     888    1448    +    1.8e-168  556.9   8.7  -
Bernardetiaceae                  -          LKAP.g-Gut1_G11_083.seq -               28     898      16     887       3     888    1484    +      1e-165  547.5   8.8  -
Haliscomenobacteraceae           -          LKAP.g-Gut1_G11_083.seq -               41     915      11     887       7     888    1484    +      2e-160  530.6   8.9  -
Unclassified_Bacteroidales       -          LKAP.g-Gut1_G11_083.seq -               50     917      16     886       7     888    1485    +    2.5e-159  526.2   9.3  -
Lewinellaceae                    -          LKAP.g-Gut1_G11_083.seq -               28     893      16     887       4     888    1446    +    7.4e-159  525.0   8.5  -
Saprospiraceae                   -          LKAP.g-Gut1_G11_083.seq -               69     906      51     887      31     888    1430    +    2.5e-158  523.6   8.6  -
Unclassified_Cytophagales        -          LKAP.g-Gut1_G11_083.seq -               29     894      17     887       2     888    1444    +    5.6e-155  512.1   8.9  -
Balneolaceae                     -          LKAP.g-Gut1_G11_083.seq -               29     899      17     887       2     888    1463    +    3.5e-148  489.5   8.4  -
Microscillaceae                  -          LKAP.g-Gut1_G11_083.seq -               57     881      62     887      42     888    1461    +    5.9e-145  478.8   8.6  -
Odoribacteraceae                 -          LKAP.g-Gut1_G11_083.seq -               50     917      18     887       4     888    1486    +    9.6e-141  464.7   8.8  -
Kangiellaceae                    -          LKAP.g-Gut1_G11_083.seq -               36     917      15     887       4     888    1479    +      5e-134  442.5   8.3  -
Rubricoccaceae                   -          LKAP.g-Gut1_G11_083.seq -               77     903      63     887      42     888    1451    +      1e-131  435.0   8.5  -
Desulfobulbaceae                 -          LKAP.g-Gut1_G11_083.seq -               68     918      61     887      40     888    1482    +    1.5e-130  431.0   8.3  -
Nautiliaceae                     -          LKAP.g-Gut1_G11_083.seq -               17     869       7     884       2     888    1428    +    1.1e-127  421.8   7.8  -
Unclassified_Oceanospirillales   -          LKAP.g-Gut1_G11_083.seq -               33     904      16     887       6     888    1483    +      4e-127  419.4   7.9  -
Halothiobacillaceae              -          LKAP.g-Gut1_G11_083.seq -               45     923      16     887       2     888    1501    +    4.1e-126  416.3   8.0  -
Unclassified_Alphaproteobacteria -          LKAP.g-Gut1_G11_083.seq -               55     849      58     887      37     888    1412    +    1.7e-124  411.3   7.3  -
Cardiobacteriaceae               -          LKAP.g-Gut1_G11_083.seq -               25     905       7     885       2     888    1462    +    2.3e-124  410.8   8.2  -
Salinibacteraceae                -          LKAP.g-Gut1_G11_083.seq -               99     925      63     887      43     888    1497    +    2.8e-124  410.4   8.3  -
Syntrophaceae                    -          LKAP.g-Gut1_G11_083.seq -               88     936      63     887      43     888    1556    +      6e-124  409.1   8.3  -
Litoricolaceae                   -          LKAP.g-Gut1_G11_083.seq -               36     911      16     887       6     888    1474    +    1.1e-123  408.4   8.4  -
Rhodothermaceae                  -          LKAP.g-Gut1_G11_083.seq -               61     894      55     886      35     888    1457    +    2.6e-123  407.1   8.8  -
Unclassified_Thiotrichales       -          LKAP.g-Gut1_G11_083.seq -               71     922      37     887      12     888    1517    +      7e-123  405.5   8.3  -
Thioalkalispiraceae              -          LKAP.g-Gut1_G11_083.seq -               41     922      16     887       3     888    1478    +      2e-122  404.0   7.6  -
Coxiellaceae                     -          LKAP.g-Gut1_G11_083.seq -               28     911      16     887       3     888    1473    +    4.3e-122  403.0   8.5  -
Bdellovibrionaceae               -          LKAP.g-Gut1_G11_083.seq -               60     874      60     887      39     888    1430    +    7.2e-122  402.3   8.4  -
Saccharospirillaceae             -          LKAP.g-Gut1_G11_083.seq -               29     898      16     887       4     888    1468    +    1.4e-121  401.3   7.5  -
Alcanivoracaceae                 -          LKAP.g-Gut1_G11_083.seq -               48     924      16     887       5     888    1504    +    5.5e-121  399.1   7.8  -
Unclassified_Alteromonadales     -          LKAP.g-Gut1_G11_083.seq -               28     905      16     887       4     888    1467    +    1.1e-120  398.2   8.3  -
Spongiibacteraceae               -          LKAP.g-Gut1_G11_083.seq -               60     902      50     887      27     888    1462    +    1.3e-120  397.9   8.0  -
Unclassified_Deltaproteobacteria -          LKAP.g-Gut1_G11_083.seq -               86     937      60     887      40     888    1518    +    1.9e-120  397.6   8.6  -
Nitrospiraceae                   -          LKAP.g-Gut1_G11_083.seq -               35     890      17     887       5     888    1480    +    2.3e-120  397.3   8.3  -
Sutterellaceae                   -          LKAP.g-Gut1_G11_083.seq -               55     900      43     885      22     888    1487    +    2.6e-120  396.9   8.1  -
Succinivibrionaceae              -          LKAP.g-Gut1_G11_083.seq -               31     882      16     887       4     888    1474    +    2.2e-119  393.9   7.7  -
Idiomarinaceae                   -          LKAP.g-Gut1_G11_083.seq -               27     906      15     887       4     888    1466    +    2.3e-119  393.8   8.1  -
Anaplasmataceae                  -          LKAP.g-Gut1_G11_083.seq -               40     873      17     884       7     888    1438    +    2.8e-119  394.0   7.8  -
Desulfohalobiaceae               -          LKAP.g-Gut1_G11_083.seq -               67     932      60     887      32     888    1510    +    2.9e-119  393.6   8.4  -
Arenicellaceae                   -          LKAP.g-Gut1_G11_083.seq -               66     899      60     887      40     888    1488    +    3.7e-119  393.3   7.8  -
Granulosicoccaceae               -          LKAP.g-Gut1_G11_083.seq -               28     906      16     887       3     888    1471    +    4.4e-119  393.1   7.9  -
Wenzhouxiangellaceae             -          LKAP.g-Gut1_G11_083.seq -               45     910      32     887      12     888    1472    +    8.6e-119  391.9   8.1  -
Halanaerobiaceae                 -          LKAP.g-Gut1_G11_083.seq -               99     938      63     887      43     888    1506    +    8.8e-119  391.9   8.9  -
Desulfuromonadaceae              -          LKAP.g-Gut1_G11_083.seq -               84     937      58     887      35     888    1519    +    1.3e-118  391.4   8.3  -
Deferribacteraceae               -          LKAP.g-Gut1_G11_083.seq -               72     915      60     887      37     888    1514    +    3.4e-118  390.0   8.7  -
Hyphomonadaceae                  -          LKAP.g-Gut1_G11_083.seq -               52     847      57     887      36     888    1399    +    4.4e-118  390.1   7.4  -
Chlorobiaceae                    -          LKAP.g-Gut1_G11_083.seq -               87     907      64     887      43     888    1457    +    6.4e-118  389.2   8.5  -
Francisellaceae                  -          LKAP.g-Gut1_G11_083.seq -               38     904      16     885       2     888    1509    +      2e-117  387.6   7.9  -
Unclassified_Rhizobiales         -          LKAP.g-Gut1_G11_083.seq -               53     857      48     887      27     888    1437    +      2e-117  387.7   7.3  -
Unclassified_Calditrichaeota     -          LKAP.g-Gut1_G11_083.seq -               27     922      10     887       2     888    1483    +    4.4e-117  386.6   8.4  -
Thermoleophilaceae               -          LKAP.g-Gut1_G11_083.seq -               41     903      39     887      19     888    1486    +    5.5e-117  386.0   7.9  -
Halieaceae                       -          LKAP.g-Gut1_G11_083.seq -               73     905      60     887      40     888    1484    +    6.5e-117  385.8   7.6  -
Sneathiellaceae                  -          LKAP.g-Gut1_G11_083.seq -               64     862      54     887      21     888    1427    +    1.1e-116  385.2   7.7  -
Acidiferrobacteraceae            -          LKAP.g-Gut1_G11_083.seq -               65     896      61     887      55     888    1456    +    1.4e-116  384.9   7.7  -
Celerinatantimonadaceae          -          LKAP.g-Gut1_G11_083.seq -               23     912      16     887       5     888    1433    +    1.6e-116  384.7   8.1  -
Colwelliaceae                    -          LKAP.g-Gut1_G11_083.seq -               28     904      16     887       4     888    1465    +    2.5e-116  384.0   8.3  -
Puniceicoccaceae                 -          LKAP.g-Gut1_G11_083.seq -               38     918      16     886       8     888    1485    +    2.7e-116  383.7   8.8  -
Leptospiraceae                   -          LKAP.g-Gut1_G11_083.seq -               54     877      57     887      36     888    1433    +    5.1e-116  382.9   8.3  -
Nevskiaceae                      -          LKAP.g-Gut1_G11_083.seq -               66     899      58     887      36     888    1470    +    1.8e-115  381.4   7.8  -
Cohaesibacteraceae               -          LKAP.g-Gut1_G11_083.seq -              160     867     161     887     141     888    1416    +    2.2e-115  381.0   7.6  -
Desulfomicrobiaceae              -          LKAP.g-Gut1_G11_083.seq -               77     920      61     887      40     888    1495    +    8.6e-115  378.8   8.2  -
Geobacteraceae                   -          LKAP.g-Gut1_G11_083.seq -               72     926      57     887      30     888    1485    +    9.7e-115  378.6   8.4  -
Psychromonadaceae                -          LKAP.g-Gut1_G11_083.seq -               28     905      16     887       4     888    1467    +    1.2e-114  378.4   8.3  -
Sulfuricellaceae                 -          LKAP.g-Gut1_G11_083.seq -               60     902      51     887      23     888    1462    +    1.4e-114  378.2   8.1  -
Salinisphaeraceae                -          LKAP.g-Gut1_G11_083.seq -               16     892      16     887       5     888    1432    +    1.7e-114  378.0   7.8  -
Zoogloeaceae                     -          LKAP.g-Gut1_G11_083.seq -               60     905      43     885      20     888    1474    +    2.1e-114  377.5   7.9  -
Aeromonadaceae                   -          LKAP.g-Gut1_G11_083.seq -               40     919      16     887       6     888    1496    +    2.8e-114  376.8   8.1  -
Moritellaceae                    -          LKAP.g-Gut1_G11_083.seq -               43     922      16     887       7     888    1501    +    4.3e-114  376.4   8.0  -
Aurantimonadaceae                -          LKAP.g-Gut1_G11_083.seq -               67     863      56     887      36     888    1444    +    6.5e-114  376.2   7.2  -
Hafniaceae                       -          LKAP.g-Gut1_G11_083.seq -               22     899      16     887       3     888    1459    +    1.9e-113  374.3   7.7  -
Thorselliaceae                   -          LKAP.g-Gut1_G11_083.seq -                2     874      17     887      16     888    1419    +    4.4e-113  373.1   7.9  -
Beijerinckiaceae                 -          LKAP.g-Gut1_G11_083.seq -              163     860     171     887     151     888    1421    +    5.3e-113  373.0   6.7  -
Acholeplasmataceae               -          LKAP.g-Gut1_G11_083.seq -               42     884      51     886      29     888    1440    +      2e-112  371.0   8.6  -
Ferrimonadaceae                  -          LKAP.g-Gut1_G11_083.seq -               63     915      40     887      18     888    1475    +    3.8e-112  369.8   7.9  -
Hydrogenophilaceae               -          LKAP.g-Gut1_G11_083.seq -               55     900      48     887      23     888    1462    +    1.1e-111  368.8   7.7  -
Budviciaceae                     -          LKAP.g-Gut1_G11_083.seq -               19     895      17     887       9     888    1483    +    1.8e-111  367.8   8.1  -
Methylophilaceae                 -          LKAP.g-Gut1_G11_083.seq -                8     886      16     887      10     888    1430    +    2.4e-111  367.4   8.1  -
Nitrosomonadaceae                -          LKAP.g-Gut1_G11_083.seq -               64     901      53     885      32     888    1463    +    3.1e-111  367.2   7.5  -
Microbulbiferaceae               -          LKAP.g-Gut1_G11_083.seq -               66     898      60     887      40     888    1478    +    3.2e-111  367.1   7.6  -
Erythrobacteraceae               -          LKAP.g-Gut1_G11_083.seq -               56     846      61     885      40     887    1433    +    5.4e-111  366.4   8.1  -
Chelatococcaceae                 -          LKAP.g-Gut1_G11_083.seq -              161     858     171     887     151     888    1439    +      2e-110  364.6   6.5  -
Desulfurellaceae                 -          LKAP.g-Gut1_G11_083.seq -               73     924      61     887      41     888    1537    +      1e-109  362.0   7.9  -
Acidithiobacillaceae             -          LKAP.g-Gut1_G11_083.seq -               57     896      53     887      32     888    1457    +    2.2e-109  360.8   7.4  -
Caulobacteraceae                 -          LKAP.g-Gut1_G11_083.seq -              150     847     171     887     151     888    1418    +      4e-109  360.2   6.8  -
Acidimicrobiaceae                -          LKAP.g-Gut1_G11_083.seq -               85     903      59     887      34     888    1463    +    4.9e-109  359.9   8.0  -
Oscillatoriales                  -          LKAP.g-Gut1_G11_083.seq -               58     851      63     887      43     888    1445    +    5.9e-109  359.7   7.7  -
Unclassified_Corynebacterineae   -          LKAP.g-Gut1_G11_083.seq -               63     882      58     887      38     888    1475    +      8e-109  359.2   7.7  -
Kordiimonadaceae                 -          LKAP.g-Gut1_G11_083.seq -              161     858     171     887     151     888    1423    +    1.5e-108  358.4   6.7  -
Bartonellaceae                   -          LKAP.g-Gut1_G11_083.seq -               44     848      47     887      26     888    1410    +    5.6e-108  356.4   7.5  -
Thiobacilliaceae                 -          LKAP.g-Gut1_G11_083.seq -               77     919      51     887      21     888    1517    +    1.3e-107  355.1   7.6  -
Cellulomonadaceae                -          LKAP.g-Gut1_G11_083.seq -               32     888      16     887       2     888    1461    +    1.5e-107  355.0   8.2  -
Methylothermaceae                -          LKAP.g-Gut1_G11_083.seq -               49     926      16     887       4     888    1491    +    2.8e-107  353.9   7.6  -
Dermacoccaceae                   -          LKAP.g-Gut1_G11_083.seq -               45     881      39     887      18     888    1454    +    3.6e-107  353.5   8.4  -
Azonexaceae                      -          LKAP.g-Gut1_G11_083.seq -               62     902      51     885      30     888    1474    +    9.3e-107  352.4   7.7  -
Brucellaceae                     -          LKAP.g-Gut1_G11_083.seq -               58     850      60     887      40     888    1412    +    9.6e-107  352.5   7.2  -
Orbaceae                         -          LKAP.g-Gut1_G11_083.seq -               57     928      18     887       6     888    1538    +    1.2e-106  351.7   8.2  -
Kineosporiaceae                  -          LKAP.g-Gut1_G11_083.seq -               62     888      51     887      28     888    1463    +    1.3e-106  351.9   8.0  -
Atopobacteriaceae                -          LKAP.g-Gut1_G11_083.seq -               74     885      63     887      43     888    1441    +    2.9e-106  350.8   8.0  -
Thermithiobacillaceae            -          LKAP.g-Gut1_G11_083.seq -               45     884      53     887      33     888    1419    +    3.4e-106  350.4   7.7  -
Unclassified_Acidobacteria       -          LKAP.g-Gut1_G11_083.seq -               85     936      59     887      39     888    1505    +    4.8e-106  350.3   8.1  -
Chrysiogenaceae                  -          LKAP.g-Gut1_G11_083.seq -               65     903      51     887      31     888    1513    +    9.9e-106  348.8   7.7  -
Glycomycetaceae                  -          LKAP.g-Gut1_G11_083.seq -               74     903      59     887      38     888    1497    +    1.4e-105  348.5   8.2  -
Aerococcaceae                    -          LKAP.g-Gut1_G11_083.seq -               18     915       8     884       2     888    1474    +      2e-105  347.8   9.0  -
Rickettsiaceae                   -          LKAP.g-Gut1_G11_083.seq -               28     858      16     885       4     888    1430    +    4.6e-105  346.7   8.0  -
Desulfarculaceae                 -          LKAP.g-Gut1_G11_083.seq -               83     932      64     887      44     888    1516    +      5e-105  346.5   8.1  -
