# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_B05_045_2018_2 -               25     990      22     989       9     990    1468    +           0 1157.8  19.4  -
Oceanospirillaceae        -          LKAP-TSAKG2_B05_045_2018_2 -               28     993      22     982       9     990    1467    +           0 1046.3  18.7  -
Gammaproteobacteria       -          LKAP-TSAKG2_B05_045_2018_2 -               28     994      22     985      10     990    1481    +           0 1043.6  18.8  -
Alteromonadaceae          -          LKAP-TSAKG2_B05_045_2018_2 -               28     991      22     982      10     990    1468    +           0 1038.6  18.6  -
Oceanospirillales         -          LKAP-TSAKG2_B05_045_2018_2 -               34     996      22     981      10     990    1489    +           0 1028.8  18.7  -
Hahellaceae               -          LKAP-TSAKG2_B05_045_2018_2 -               22     986      18     978       9     989    1473    +           0 1023.6  18.5  -
Halomonadaceae            -          LKAP-TSAKG2_B05_045_2018_2 -               28     992      22     983       9     990    1466    +           0 1022.4  18.7  -
Cellvibrionaceae          -          LKAP-TSAKG2_B05_045_2018_2 -               28     991      22     982      10     990    1472    +    3.8e-305 1010.8  18.5  -
Methylococcaceae          -          LKAP-TSAKG2_B05_045_2018_2 -               42    1006      22     989      10     990    1481    +      1e-304 1009.4  19.1  -
Kangiellaceae             -          LKAP-TSAKG2_B05_045_2018_2 -               37    1003      22     981      10     990    1479    +      1e-302 1002.8  18.6  -
Pseudomonadaceae          -          LKAP-TSAKG2_B05_045_2018_2 -               35     996      22     982      10     990    1491    +    1.6e-302 1002.1  18.3  -
Alcanivoracaceae          -          LKAP-TSAKG2_B05_045_2018_2 -               48    1010      22     981      10     989    1504    +    3.6e-302 1000.8  18.6  -
Piscirickettsiaceae       -          LKAP-TSAKG2_B05_045_2018_2 -               30     995      22     982      10     990    1466    +    8.8e-301  996.3  18.6  -
Chromatiaceae             -          LKAP-TSAKG2_B05_045_2018_2 -               28     988      22     989       9     990    1455    +    1.7e-300  995.5  19.2  -
