# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Sporolactobacillaceae            -          LKAP-TSAKG2_G01_003_2018_2 -               33     690      25     697      11     697    1503    +      4e-192  634.8  24.6  -
Listeriaceae                     -          LKAP-TSAKG2_G01_003_2018_2 -               57     679      77     697      56     697    1448    +    9.1e-185  610.6  22.9  -
Aerococcaceae                    -          LKAP-TSAKG2_G01_003_2018_2 -               72     695      75     696      52     697    1474    +    5.3e-180  594.6  23.1  -
Halanaerobiaceae                 -          LKAP-TSAKG2_G01_003_2018_2 -               54     713      38     693      20     697    1506    +    2.8e-156  515.9  25.1  -
Geobacteraceae                   -          LKAP-TSAKG2_G01_003_2018_2 -               68     701      71     694      48     697    1485    +    3.8e-151  498.9  23.3  -
Acidaminococcaceae               -          LKAP-TSAKG2_G01_003_2018_2 -               75     700      79     693      57     697    1506    +    1.6e-149  493.5  22.5  -
Desulfuromonadaceae              -          LKAP-TSAKG2_G01_003_2018_2 -               85     711      77     693      53     697    1519    +    2.4e-149  493.0  22.3  -
Rubrobacteraceae                 -          LKAP-TSAKG2_G01_003_2018_2 -               26     682      33     693      13     697    1494    +    1.3e-147  487.2  23.9  -
Deferribacteraceae               -          LKAP-TSAKG2_G01_003_2018_2 -               74     689      80     693      58     697    1514    +    3.1e-147  485.9  23.0  -
Unclassified_Deltaproteobacteria -          LKAP-TSAKG2_G01_003_2018_2 -               43     711      34     693      19     697    1518    +    1.9e-146  483.5  24.1  -
Symbiobacteriaceae               -          LKAP-TSAKG2_G01_003_2018_2 -               60     683      78     693      58     697    1487    +    2.4e-146  483.4  22.6  -
Heliobacteriaceae                -          LKAP-TSAKG2_G01_003_2018_2 -               84     677      75     693      51     697    1502    +    6.7e-146  481.7  21.2  -
Bdellovibrionaceae               -          LKAP-TSAKG2_G01_003_2018_2 -               42     648      51     693      31     696    1430    +      8e-144  474.7  21.4  -
Unclassified_Calditrichaeota     -          LKAP-TSAKG2_G01_003_2018_2 -               79     694      81     693      61     697    1483    +    6.3e-141  465.3  22.1  -
Natranaerobiaceae                -          LKAP-TSAKG2_G01_003_2018_2 -               61     653      76     693      54     697    1426    +    7.3e-141  464.9  21.0  -
Entomoplasmataceae               -          LKAP-TSAKG2_G01_003_2018_2 -               65     683      79     696      59     697    1498    +    1.4e-140  464.2  22.6  -
Desulfobulbaceae                 -          LKAP-TSAKG2_G01_003_2018_2 -               67     692      78     693      58     697    1482    +    1.7e-139  460.3  22.5  -
Anaeroplasmataceae               -          LKAP-TSAKG2_G01_003_2018_2 -               86     685      81     697      60     697    1453    +    3.9e-139  459.3  21.0  -
Kineosporiaceae                  -          LKAP-TSAKG2_G01_003_2018_2 -               64     661      71     693      30     697    1463    +    9.3e-139  458.1  22.3  -
Leptospiraceae                   -          LKAP-TSAKG2_G01_003_2018_2 -               55     654      76     694      55     697    1433    +    2.7e-138  456.4  21.7  -
Unclassified_Acidobacteria       -          LKAP-TSAKG2_G01_003_2018_2 -               85     712      77     695      56     697    1505    +    1.1e-137  454.8  23.2  -
Syntrophaceae                    -          LKAP-TSAKG2_G01_003_2018_2 -               44     711      34     694      19     697    1556    +    1.2e-137  454.1  24.0  -
Desulfohalobiaceae               -          LKAP-TSAKG2_G01_003_2018_2 -               72     707      78     693      57     697    1510    +    2.2e-137  453.3  22.4  -
Thermoleophilaceae               -          LKAP-TSAKG2_G01_003_2018_2 -               60     676      78     693      57     697    1486    +    2.9e-137  452.9  22.8  -
Hyphomonadaceae                  -          LKAP-TSAKG2_G01_003_2018_2 -               49     624      72     694      52     697    1399    +      2e-136  450.5  21.1  -
Halothiobacillaceae              -          LKAP-TSAKG2_G01_003_2018_2 -               88     699      76     695      55     697    1501    +    5.8e-136  448.6  22.7  -
Dermatophilaceae                 -          LKAP-TSAKG2_G01_003_2018_2 -               67     662      73     693      53     697    1481    +    1.8e-135  446.9  22.2  -
Desulfonatronaceae               -          LKAP-TSAKG2_G01_003_2018_2 -               68     693      78     693      58     697    1495    +    4.1e-135  445.8  22.4  -
Glycomycetaceae                  -          LKAP-TSAKG2_G01_003_2018_2 -               74     680      77     697      56     697    1497    +      7e-135  445.3  22.5  -
Caldicoprobacteraceae            -          LKAP-TSAKG2_G01_003_2018_2 -               80     688      65     693      45     697    1531    +    1.2e-134  444.2  22.4  -
Bogoriellaceae                   -          LKAP-TSAKG2_G01_003_2018_2 -               64     665      71     693      50     697    1472    +    3.4e-134  442.8  22.4  -
Acidimicrobiaceae                -          LKAP-TSAKG2_G01_003_2018_2 -               82     676      70     693      47     697    1463    +    3.9e-134  442.8  21.8  -
Unclassified_Alphaproteobacteria -          LKAP-TSAKG2_G01_003_2018_2 -               50     625      71     693      50     697    1412    +    1.2e-133  441.3  21.8  -
Cellulomonadaceae                -          LKAP-TSAKG2_G01_003_2018_2 -               63     661      70     693      49     697    1461    +    1.6e-133  440.7  22.5  -
Thermolithobacteraceae           -          LKAP-TSAKG2_G01_003_2018_2 -               95     724      78     693      58     697    1546    +    2.1e-133  439.9  22.2  -
Thermodesulfobacteriaceae        -          LKAP-TSAKG2_G01_003_2018_2 -               66     692      80     693      60     697    1498    +    2.7e-133  440.0  21.9  -
Erythrobacteraceae               -          LKAP-TSAKG2_G01_003_2018_2 -               40     623      49     693      29     697    1433    +    3.5e-133  439.6  20.5  -
Sanguibacteraceae                -          LKAP-TSAKG2_G01_003_2018_2 -               84     675      76     693      56     697    1483    +      4e-133  439.3  21.4  -
Dermacoccaceae                   -          LKAP-TSAKG2_G01_003_2018_2 -               60     654      74     693      53     697    1454    +    5.4e-133  438.7  21.9  -
Thermotogaceae                   -          LKAP-TSAKG2_G01_003_2018_2 -               69     700      54     693      32     696    1544    +    1.2e-132  437.7  23.1  -
Acholeplasmataceae               -          LKAP-TSAKG2_G01_003_2018_2 -               48     670      75     696      53     697    1440    +      2e-132  436.9  23.0  -
Iamiaceae                        -          LKAP-TSAKG2_G01_003_2018_2 -               71     662      75     693      53     697    1480    +    3.9e-132  436.3  22.2  -
Sporichthyaceae                  -          LKAP-TSAKG2_G01_003_2018_2 -               27     653      34     693      20     697    1472    +    4.1e-132  436.1  22.4  -
Chrysiogenaceae                  -          LKAP-TSAKG2_G01_003_2018_2 -               76     678      80     694      59     697    1513    +    1.1e-131  434.5  21.8  -
Nannocystaceae                   -          LKAP-TSAKG2_G01_003_2018_2 -               42     687      35     693      24     697    1487    +    1.6e-131  434.0  23.1  -
Desulfomicrobiaceae              -          LKAP-TSAKG2_G01_003_2018_2 -               37     697      34     693      19     697    1495    +    1.6e-131  433.9  23.5  -
Beutenbergiaceae                 -          LKAP-TSAKG2_G01_003_2018_2 -               64     659      75     693      54     697    1473    +    1.8e-131  433.8  22.9  -
Dermabacteraceae                 -          LKAP-TSAKG2_G01_003_2018_2 -               71     665      74     693      54     697    1470    +    2.1e-131  433.4  22.3  -
Caldilineaceae                   -          LKAP-TSAKG2_G01_003_2018_2 -               75     660      79     693      59     697    1434    +    2.4e-131  433.4  21.9  -
Kangiellaceae                    -          LKAP-TSAKG2_G01_003_2018_2 -               80     694      76     696      56     697    1479    +    3.7e-131  432.6  22.4  -
Patulibacteraceae                -          LKAP-TSAKG2_G01_003_2018_2 -               87     689      78     693      58     697    1494    +    4.2e-131  432.3  22.6  -
Demequinaceae                    -          LKAP-TSAKG2_G01_003_2018_2 -               65     659      74     693      53     697    1480    +      7e-131  431.8  21.9  -
Rhodothermaceae                  -          LKAP-TSAKG2_G01_003_2018_2 -               27     671      34     693      21     697    1457    +    1.3e-130  430.9  23.5  -
Jiangellaceae                    -          LKAP-TSAKG2_G01_003_2018_2 -               54     664      52     693      29     697    1501    +    1.6e-130  430.6  22.4  -
Unclassified_Micrococcales       -          LKAP-TSAKG2_G01_003_2018_2 -               63     656      74     693      54     697    1475    +    2.6e-130  430.0  21.7  -
Nitrospiraceae                   -          LKAP-TSAKG2_G01_003_2018_2 -               77     666      76     693      55     697    1480    +    2.7e-130  429.9  20.5  -
Unclassified_Oceanospirillales   -          LKAP-TSAKG2_G01_003_2018_2 -               44     681      41     695      20     697    1483    +    4.8e-130  428.8  23.5  -
Oscillatoriales                  -          LKAP-TSAKG2_G01_003_2018_2 -               49     625      72     693      52     697    1445    +      1e-129  428.2  21.1  -
Haliangiaceae                    -          LKAP-TSAKG2_G01_003_2018_2 -               85     709      79     693      59     697    1507    +    1.2e-129  427.8  22.7  -
Spongiibacteraceae               -          LKAP-TSAKG2_G01_003_2018_2 -               67     680      75     696      53     697    1462    +    1.9e-129  426.9  22.7  -
Chroococcales                    -          LKAP-TSAKG2_G01_003_2018_2 -               69     639      79     693      58     697    1444    +    2.9e-129  426.4  20.7  -
Frankiaceae                      -          LKAP-TSAKG2_G01_003_2018_2 -               77     667      77     693      56     697    1499    +    5.6e-129  425.7  21.7  -
Nakamurellaceae                  -          LKAP-TSAKG2_G01_003_2018_2 -               31     654      38     693      19     697    1462    +    1.2e-128  424.4  21.9  -
Holophagaceae                    -          LKAP-TSAKG2_G01_003_2018_2 -               76     699      81     697      61     697    1502    +    2.1e-128  423.8  22.5  -
Thioalkalispiraceae              -          LKAP-TSAKG2_G01_003_2018_2 -               87     698      77     696      56     697    1478    +      3e-128  422.9  22.5  -
Balneolaceae                     -          LKAP-TSAKG2_G01_003_2018_2 -               69     677      78     693      58     695    1463    +    4.9e-128  422.4  22.0  -
Halieaceae                       -          LKAP-TSAKG2_G01_003_2018_2 -               72     684      77     697      54     697    1484    +    5.7e-128  422.1  22.9  -
Cryptosporangiaceae              -          LKAP-TSAKG2_G01_003_2018_2 -               48     651      53     693      28     697    1470    +    6.1e-128  422.1  22.0  -
Unclassified_Streptosporangineae -          LKAP-TSAKG2_G01_003_2018_2 -               26     627      53     693      32     697    1443    +    6.2e-128  422.0  22.3  -
Parviterribacteraceae            -          LKAP-TSAKG2_G01_003_2018_2 -               67     669      78     693      58     697    1456    +    9.5e-128  421.5  22.8  -
Conexibacteraceae                -          LKAP-TSAKG2_G01_003_2018_2 -               88     704      79     693      59     697    1536    +      1e-127  421.1  22.5  -
Anaerolineaceae                  -          LKAP-TSAKG2_G01_003_2018_2 -               63     655      76     694      55     697    1428    +    1.1e-127  421.7  22.5  -
Unclassified_Frankiales          -          LKAP-TSAKG2_G01_003_2018_2 -               52     661      51     693      30     697    1425    +    1.2e-127  421.2  22.5  -
Coxiellaceae                     -          LKAP-TSAKG2_G01_003_2018_2 -               74     687      77     693      56     696    1473    +    1.5e-127  420.8  22.4  -
Nautiliaceae                     -          LKAP-TSAKG2_G01_003_2018_2 -               74     648      77     693      56     697    1428    +      2e-127  420.7  20.9  -
Saccharospirillaceae             -          LKAP-TSAKG2_G01_003_2018_2 -               70     673      76     693      56     696    1468    +    2.8e-127  419.8  22.3  -
Dehalococcoidaceae               -          LKAP-TSAKG2_G01_003_2018_2 -               60     645      79     693      59     697    1437    +    4.3e-127  419.7  21.2  -
