# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D11_089   -               15     878      11     877       3     882    1474    +    4.8e-306 1013.5  23.9  -
Ferrimonadaceae           -          LKAP-GutHK_D11_089   -               13     877       9     876       3     882    1475    +    2.4e-265  878.6  23.7  -
Enterobacteriaceae        -          LKAP-GutHK_D11_089   -               22     867      15     876       2     882    1465    +    3.3e-260  861.8  23.1  -
Aeromonadaceae            -          LKAP-GutHK_D11_089   -               26     881      10     876       3     882    1496    +    3.7e-260  861.3  23.0  -
Alteromonadales           -          LKAP-GutHK_D11_089   -               23     868      16     876       3     882    1468    +    4.2e-259  857.8  23.1  -
Gammaproteobacteria       -          LKAP-GutHK_D11_089   -               23     867      16     877       3     882    1481    +      8e-259  857.0  23.0  -
Shewanellaceae            -          LKAP-GutHK_D11_089   -               22     869      15     876       2     882    1483    +    1.8e-258  856.0  22.6  -
Erwiniaceae               -          LKAP-GutHK_D11_089   -               18     862      16     876       3     882    1483    +    8.8e-258  853.7  22.9  -
Yersiniaceae              -          LKAP-GutHK_D11_089   -               15     867      11     876       3     882    1473    +    6.3e-257  850.8  23.0  -
Alteromonadaceae          -          LKAP-GutHK_D11_089   -               15     866      11     876       3     882    1468    +    1.9e-256  849.2  23.0  -
Pseudoalteromonadaceae    -          LKAP-GutHK_D11_089   -               15     863      11     876       3     882    1469    +    2.7e-256  848.7  22.0  -
Pectobacteriaceae         -          LKAP-GutHK_D11_089   -               20     864      16     876       3     882    1477    +      3e-255  845.2  23.1  -
Hafniaceae                -          LKAP-GutHK_D11_089   -               16     861      15     876       3     882    1459    +    4.6e-251  831.3  23.0  -
Morganellaceae            -          LKAP-GutHK_D11_089   -               26     870      16     876       3     882    1487    +    4.2e-249  825.1  23.3  -
Colwelliaceae             -          LKAP-GutHK_D11_089   -               14     868      10     876       3     882    1467    +    7.1e-248  820.9  22.9  -
Idiomarinaceae            -          LKAP-GutHK_D11_089   -               15     868      11     876       2     882    1466    +    8.6e-248  820.4  22.6  -
Oceanospirillaceae        -          LKAP-GutHK_D11_089   -               23     868      16     876       3     882    1467    +    9.2e-248  820.4  23.0  -
Budviciaceae              -          LKAP-GutHK_D11_089   -               13     857      16     876       7     882    1483    +    1.9e-247  819.4  22.7  -
Oceanospirillales         -          LKAP-GutHK_D11_089   -               20     872      10     876       3     882    1489    +    1.9e-245  812.6  23.3  -
Moritellaceae             -          LKAP-GutHK_D11_089   -               38     884      16     876       3     882    1501    +    1.1e-244  810.1  22.6  -
Chromatiaceae             -          LKAP-GutHK_D11_089   -               23     856      16     876       3     882    1455    +    8.1e-244  807.5  23.3  -
Cellvibrionaceae          -          LKAP-GutHK_D11_089   -               15     867      11     877       3     882    1472    +    3.2e-243  805.4  23.2  -
Pseudomonadaceae          -          LKAP-GutHK_D11_089   -               21     871      10     876       3     882    1491    +    1.1e-242  803.6  23.1  -
Psychromonadaceae         -          LKAP-GutHK_D11_089   -               15     867      11     876       3     882    1467    +    8.9e-242  800.7  23.0  -
Thorselliaceae            -          LKAP-GutHK_D11_089   -               38     836      70     876      46     882    1419    +    2.8e-239  792.3  21.9  -
Alcanivoracaceae          -          LKAP-GutHK_D11_089   -               43     886      16     876       3     882    1504    +    6.8e-239  790.9  23.0  -
Piscirickettsiaceae       -          LKAP-GutHK_D11_089   -               26     871      17     877       3     882    1466    +    5.1e-238  788.1  22.8  -
Halieaceae                -          LKAP-GutHK_D11_089   -               22     867      10     876       3     882    1484    +    3.7e-235  778.7  23.7  -
Methylococcaceae          -          LKAP-GutHK_D11_089   -               38     874      17     876       4     882    1481    +    8.8e-235  777.4  22.7  -
Hahellaceae               -          LKAP-GutHK_D11_089   -               14     865      10     876       3     882    1473    +    8.7e-233  770.9  23.3  -
Celerinatantimonadaceae   -          LKAP-GutHK_D11_089   -                9     875      10     877       4     882    1433    +    3.4e-231  765.6  22.9  -
Pasteurellaceae           -          LKAP-GutHK_D11_089   -               15     868      11     876       3     882    1422    +    3.6e-231  765.5  23.3  -
Microbulbiferaceae        -          LKAP-GutHK_D11_089   -               15     860      11     876       3     882    1480    +    6.6e-231  764.8  23.2  -
Moraxellaceae             -          LKAP-GutHK_D11_089   -               20     858      16     876       3     882    1468    +    1.2e-230  763.9  23.1  -
Ectothiorhodospiraceae    -          LKAP-GutHK_D11_089   -               30     873      16     876       3     882    1463    +    1.9e-230  763.2  23.0  -
Lysobacteraceae           -          LKAP-GutHK_D11_089   -               24     870      16     877       3     882    1484    +      2e-230  763.0  23.2  -
Orbaceae                  -          LKAP-GutHK_D11_089   -               41     891      10     876       3     882    1539    +    3.2e-230  762.3  23.0  -
Halothiobacillaceae       -          LKAP-GutHK_D11_089   -               41     885      17     876       3     882    1500    +    3.4e-230  762.3  22.7  -
Thioalkalispiraceae       -          LKAP-GutHK_D11_089   -               36     885      17     876       3     882    1479    +    5.2e-230  761.6  22.4  -
Halomonadaceae            -          LKAP-GutHK_D11_089   -               16     866      12     876       2     882    1466    +    1.4e-228  756.8  23.2  -
Spongiibacteraceae        -          LKAP-GutHK_D11_089   -               18     864      11     876       3     882    1462    +    3.2e-228  755.6  22.9  -
Thermoleophilaceae        -          LKAP-GutHK_D11_089   -               17     868      17     876       4     882    1494    +    1.5e-227  753.5  22.7  -
Succinivibrionaceae       -          LKAP-GutHK_D11_089   -               27     844      17     876       3     882    1473    +    4.8e-227  751.8  22.9  -
Litoricolaceae            -          LKAP-GutHK_D11_089   -               23     874      11     877       3     882    1474    +      7e-226  748.1  23.2  -
Saccharospirillaceae      -          LKAP-GutHK_D11_089   -               24     860      16     876       3     882    1468    +    8.8e-225  744.3  23.0  -
Kangiellaceae             -          LKAP-GutHK_D11_089   -               33     879      17     876       4     882    1479    +    7.4e-222  734.6  22.2  -
Cardiobacteriaceae        -          LKAP-GutHK_D11_089   -               32     871      17     876       3     882    1464    +    1.9e-221  733.6  23.0  -
Chromobacteriaceae        -          LKAP-GutHK_D11_089   -               21     860      15     877       2     882    1460    +      8e-221  731.3  23.3  -
Nevskiaceae               -          LKAP-GutHK_D11_089   -               33     861      17     876       4     882    1470    +    6.8e-219  725.1  23.1  -
Rhodocyclaceae            -          LKAP-GutHK_D11_089   -               23     864      16     876       3     882    1484    +    8.8e-218  721.1  23.2  -
Thiotrichaceae            -          LKAP-GutHK_D11_089   -               24     823      17     876       3     882    1421    +    2.3e-217  719.7  21.8  -
Rhodanobacteraceae        -          LKAP-GutHK_D11_089   -               24     870      16     877       3     882    1473    +    1.1e-216  717.5  22.9  -
Granulosicoccaceae        -          LKAP-GutHK_D11_089   -               24     866      17     874       4     880    1471    +    4.8e-216  715.5  22.3  -
Coxiellaceae              -          LKAP-GutHK_D11_089   -               24     874      17     876       3     882    1475    +    1.3e-214  710.7  22.9  -
Arenicellaceae            -          LKAP-GutHK_D11_089   -               24     862      17     877       4     882    1488    +    1.7e-214  710.3  22.7  -
