# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planococcus                       -          LKAP-GUTHK2_C02_012_2017_1 -               25    1051       9    1019       2    1034    1492    +           0 1110.3  13.1  -
Planococcaceae_Planomicrobium                    -          LKAP-GUTHK2_C02_012_2017_1 -               15    1041       9    1019       2    1035    1485    +           0 1091.3  13.1  -
Planococcaceae_Sporosarcina                      -          LKAP-GUTHK2_C02_012_2017_1 -               15    1041       9    1019       2    1034    1504    +           0 1032.2  13.0  -
Planococcaceae_Chryseomicrobium                  -          LKAP-GUTHK2_C02_012_2017_1 -               15    1043       9    1019       2    1036    1483    +    2.1e-302 1004.4  13.2  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-GUTHK2_C02_012_2017_1 -               15    1043       9    1019       2    1034    1507    +    4.5e-302 1003.3  13.0  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_C02_012_2017_1 -               15    1045       9    1019       2    1032    1476    +    7.6e-300  995.9  13.1  -
Bacillaceae_Psychrobacillus                      -          LKAP-GUTHK2_C02_012_2017_1 -               22    1051       9    1019       2    1035    1503    +    7.8e-299  992.5  13.0  -
Planococcaceae_Bhargavaea                        -          LKAP-GUTHK2_C02_012_2017_1 -               34    1003       8     969       2     992    1544    +    1.8e-296  984.8  12.6  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_C02_012_2017_1 -               14    1042       8    1019       2    1035    1476    +    2.4e-296  984.4  13.2  -
Planococcaceae_Paenisporosarcina                 -          LKAP-GUTHK2_C02_012_2017_1 -                6    1036       9    1019       4    1036    1481    +    2.9e-296  984.1  12.9  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_C02_012_2017_1 -               16    1045       9    1018       2    1032    1495    +    2.1e-291  968.1  13.1  -
Bacillaceae_Viridibacillus                       -          LKAP-GUTHK2_C02_012_2017_1 -               15    1042       9    1018       2    1033    1505    +    8.2e-290  962.6  13.0  -
Bacillales_Rummeliibacillus                      -          LKAP-GUTHK2_C02_012_2017_1 -               15    1038       9    1018       2    1034    1473    +    2.3e-289  961.2  13.0  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_C02_012_2017_1 -               14    1055       8    1019       2    1031    1508    +    1.9e-287  955.0  13.2  -
Planococcaceae_Kurthia                           -          LKAP-GUTHK2_C02_012_2017_1 -               15    1043       9    1019       2    1034    1479    +    1.2e-286  952.1  13.2  -
