# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          LKAP-GUTHK2_E06_040_2017_1 -               22    1169      18    1167       4    1182    1467    +           0 1203.1  23.0  -
Ferrimonadaceae                  -          LKAP-GUTHK2_E06_040_2017_1 -               17    1179      10    1167       4    1182    1475    +           0 1194.6  23.2  -
Hafniaceae                       -          LKAP-GUTHK2_E06_040_2017_1 -               13    1163      12    1167       4    1183    1459    +           0 1182.6  23.0  -
Aeromonadaceae                   -          LKAP-GUTHK2_E06_040_2017_1 -               30    1183      14    1167       4    1183    1496    +           0 1169.7  23.0  -
Budviciaceae                     -          LKAP-GUTHK2_E06_040_2017_1 -                8    1159      14    1167       7    1183    1483    +           0 1147.5  22.8  -
Idiomarinaceae                   -          LKAP-GUTHK2_E06_040_2017_1 -               20    1170      16    1167       4    1182    1466    +           0 1139.0  23.1  -
Colwelliaceae                    -          LKAP-GUTHK2_E06_040_2017_1 -               27    1168      21    1167       5    1183    1465    +           0 1139.1  22.8  -
Psychromonadaceae                -          LKAP-GUTHK2_E06_040_2017_1 -               27    1169      21    1167       5    1183    1467    +           0 1137.4  22.7  -
Moritellaceae                    -          LKAP-GUTHK2_E06_040_2017_1 -               42    1186      21    1167       5    1183    1501    +           0 1130.1  22.8  -
Thorselliaceae                   -          LKAP-GUTHK2_E06_040_2017_1 -                6    1137      26    1167      22    1183    1419    +           0 1117.3  22.5  -
Unclassified_Oceanospirillales   -          LKAP-GUTHK2_E06_040_2017_1 -               25    1168      16    1167       4    1182    1483    +           0 1107.7  23.4  -
Orbaceae                         -          LKAP-GUTHK2_E06_040_2017_1 -               54    1191      21    1167       5    1182    1538    +           0 1102.1  23.1  -
Celerinatantimonadaceae          -          LKAP-GUTHK2_E06_040_2017_1 -               16    1181      17    1173       6    1183    1433    +           0 1083.8  22.8  -
Alcanivoracaceae                 -          LKAP-GUTHK2_E06_040_2017_1 -               37    1187      13    1167       4    1183    1504    +           0 1081.3  23.1  -
Halieaceae                       -          LKAP-GUTHK2_E06_040_2017_1 -               27    1169      15    1167       5    1183    1484    +           0 1063.1  23.5  -
Thioalkalispiraceae              -          LKAP-GUTHK2_E06_040_2017_1 -               40    1185      21    1167       3    1182    1478    +           0 1060.8  23.1  -
Succinivibrionaceae              -          LKAP-GUTHK2_E06_040_2017_1 -               30    1146      21    1167       5    1182    1474    +           0 1055.6  22.6  -
Saccharospirillaceae             -          LKAP-GUTHK2_E06_040_2017_1 -               23    1162      18    1167       4    1182    1468    +           0 1051.0  23.5  -
Litoricolaceae                   -          LKAP-GUTHK2_E06_040_2017_1 -               35    1174      21    1167       5    1182    1474    +           0 1047.2  23.0  -
Halothiobacillaceae              -          LKAP-GUTHK2_E06_040_2017_1 -               44    1186      21    1167       5    1183    1501    +           0 1046.0  22.5  -
Kangiellaceae                    -          LKAP-GUTHK2_E06_040_2017_1 -               36    1179      21    1167       5    1182    1479    +           0 1041.1  22.6  -
Spongiibacteraceae               -          LKAP-GUTHK2_E06_040_2017_1 -               30    1166      21    1167       4    1182    1462    +           0 1037.6  23.3  -
Microbulbiferaceae               -          LKAP-GUTHK2_E06_040_2017_1 -               18    1162      14    1167       4    1183    1478    +           0 1036.8  23.3  -
Thermoleophilaceae               -          LKAP-GUTHK2_E06_040_2017_1 -               15    1174      18    1166       6    1182    1486    +    4.3e-308 1019.8  23.3  -
Cardiobacteriaceae               -          LKAP-GUTHK2_E06_040_2017_1 -               35    1170      21    1167       5    1183    1462    +    1.3e-303 1005.3  22.8  -
Coxiellaceae                     -          LKAP-GUTHK2_E06_040_2017_1 -               27    1188      21    1181       5    1183    1473    +    1.3e-303 1005.0  22.7  -
Nevskiaceae                      -          LKAP-GUTHK2_E06_040_2017_1 -               36    1161      21    1167       4    1182    1470    +    6.2e-301  996.5  23.3  -
Granulosicoccaceae               -          LKAP-GUTHK2_E06_040_2017_1 -               27    1170      21    1167       5    1183    1471    +    6.7e-299  989.5  23.0  -
Unclassified_Thiotrichales       -          LKAP-GUTHK2_E06_040_2017_1 -               66    1184      42    1167      20    1182    1517    +    6.4e-297  982.8  22.0  -
Arenicellaceae                   -          LKAP-GUTHK2_E06_040_2017_1 -               34    1162      27    1167       7    1183    1488    +    2.6e-295  977.6  22.5  -
Acidiferrobacteraceae            -          LKAP-GUTHK2_E06_040_2017_1 -               64    1174      67    1182      57    1183    1456    +    3.9e-288  953.8  22.4  -
Salinisphaeraceae                -          LKAP-GUTHK2_E06_040_2017_1 -                8    1154      13    1167       7    1183    1432    +      9e-288  952.6  22.7  -
Hydrogenophilaceae               -          LKAP-GUTHK2_E06_040_2017_1 -               27    1179      21    1182       4    1183    1462    +    5.4e-285  943.6  22.8  -
Acidithiobacillaceae             -          LKAP-GUTHK2_E06_040_2017_1 -               26    1176      21    1183       4    1183    1457    +    3.5e-284  940.6  22.6  -
Geobacteraceae                   -          LKAP-GUTHK2_E06_040_2017_1 -               35    1204      21    1182       4    1183    1485    +    3.9e-281  930.5  22.4  -
Unclassified_Deltaproteobacteria -          LKAP-GUTHK2_E06_040_2017_1 -               43    1218      21    1182       4    1183    1518    +    4.1e-281  930.6  22.8  -
Desulfobulbaceae                 -          LKAP-GUTHK2_E06_040_2017_1 -               27    1200      21    1183       6    1183    1482    +    1.4e-280  928.7  22.2  -
Sulfuricellaceae                 -          LKAP-GUTHK2_E06_040_2017_1 -               10    1180      10    1182       4    1183    1462    +    1.2e-279  925.7  22.2  -
Sutterellaceae                   -          LKAP-GUTHK2_E06_040_2017_1 -               27    1175      21    1182       4    1183    1487    +    3.9e-279  923.8  22.6  -
Francisellaceae                  -          LKAP-GUTHK2_E06_040_2017_1 -               38    1168      22    1167       6    1183    1509    +    9.2e-279  922.7  22.3  -
Thermithiobacillaceae            -          LKAP-GUTHK2_E06_040_2017_1 -               12    1165      21    1183      15    1183    1419    +    2.8e-277  917.8  21.9  -
Methylophilaceae                 -          LKAP-GUTHK2_E06_040_2017_1 -                8    1165      22    1182      16    1183    1430    +      3e-276  914.3  21.2  -
Syntrophaceae                    -          LKAP-GUTHK2_E06_040_2017_1 -               62    1214      46    1182      25    1183    1556    +    8.5e-276  912.9  21.7  -
Nitrosomonadaceae                -          LKAP-GUTHK2_E06_040_2017_1 -               27    1181      21    1182       5    1183    1463    +    1.1e-275  912.7  21.7  -
Methylothermaceae                -          LKAP-GUTHK2_E06_040_2017_1 -               38    1205      14    1182       3    1183    1491    +    1.3e-275  912.2  23.1  -
Desulfohalobiaceae               -          LKAP-GUTHK2_E06_040_2017_1 -               31    1198      21    1167       4    1182    1510    +    2.8e-275  911.1  23.5  -
Wenzhouxiangellaceae             -          LKAP-GUTHK2_E06_040_2017_1 -               27    1173      21    1167       4    1183    1472    +      9e-274  906.0  22.4  -
Desulfuromonadaceae              -          LKAP-GUTHK2_E06_040_2017_1 -               45    1216      21    1182       4    1183    1519    +    3.2e-272  901.0  22.4  -
Unclassified_Alphaproteobacteria -          LKAP-GUTHK2_E06_040_2017_1 -               27    1128      21    1182       5    1183    1412    +    8.5e-272  899.9  21.5  -
Azonexaceae                      -          LKAP-GUTHK2_E06_040_2017_1 -               28    1182      21    1182       4    1183    1474    +    1.9e-271  898.6  22.1  -
Thiobacilliaceae                 -          LKAP-GUTHK2_E06_040_2017_1 -               28    1192       9    1182       3    1183    1517    +    6.9e-271  896.7  23.0  -
Zoogloeaceae                     -          LKAP-GUTHK2_E06_040_2017_1 -               34    1185      21    1182       5    1183    1474    +    3.8e-269  890.8  22.2  -
Hyphomonadaceae                  -          LKAP-GUTHK2_E06_040_2017_1 -               27    1129      21    1182       4    1183    1399    +    1.2e-267  886.1  20.9  -
Bdellovibrionaceae               -          LKAP-GUTHK2_E06_040_2017_1 -               23    1136      21    1167       6    1182    1430    +    7.8e-266  879.9  22.3  -
