# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_B12_094.seq -               27     915      10     897       3     897    1474    +           0 1090.6  24.0  -
Ferrimonadaceae           -          LKAP.g-Gut1_B12_094.seq -               27     914      10     896       2     897    1475    +    6.9e-287  950.0  23.9  -
Enterobacteriaceae        -          LKAP.g-Gut1_B12_094.seq -               28     904      11     896       3     897    1465    +      2e-281  932.2  23.6  -
Aeromonadaceae            -          LKAP.g-Gut1_B12_094.seq -               40     918      11     896       4     897    1496    +      2e-281  931.8  23.4  -
Alteromonadales           -          LKAP.g-Gut1_B12_094.seq -               71     905      62     896      41     897    1468    +    4.4e-281  930.7  23.1  -
Gammaproteobacteria       -          LKAP.g-Gut1_B12_094.seq -               27     903      10     896       2     897    1481    +    9.6e-280  926.3  23.6  -
Erwiniaceae               -          LKAP.g-Gut1_B12_094.seq -               62     899      58     896      37     897    1483    +    5.2e-279  924.1  23.4  -
Yersiniaceae              -          LKAP.g-Gut1_B12_094.seq -               27     904      10     896       3     897    1473    +    1.9e-278  922.2  23.6  -
Alteromonadaceae          -          LKAP.g-Gut1_B12_094.seq -               27     903      10     896       2     897    1468    +      9e-278  919.9  23.5  -
Shewanellaceae            -          LKAP.g-Gut1_B12_094.seq -               27     906      10     896       2     897    1483    +    2.4e-277  918.5  23.5  -
Pectobacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               24     901      10     896       3     897    1477    +    5.8e-277  917.2  23.6  -
Pseudoalteromonadaceae    -          LKAP.g-Gut1_B12_094.seq -               27     900      10     896       3     897    1469    +    7.3e-274  906.9  22.8  -
Hafniaceae                -          LKAP.g-Gut1_B12_094.seq -               21     898      10     896       2     897    1459    +    4.8e-273  904.2  23.6  -
Morganellaceae            -          LKAP.g-Gut1_B12_094.seq -               30     907      10     896       3     897    1487    +    1.4e-272  902.9  23.8  -
Idiomarinaceae            -          LKAP.g-Gut1_B12_094.seq -               27     905      10     896       2     897    1466    +    1.9e-268  888.9  23.2  -
