# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_D09_073_2018_2 -               33     960      23     946      14     948    1491    +           0 1167.1  18.3  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_D09_073_2018_2 -               25     946      23     946      13     948    1446    +           0 1043.2  18.4  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_D09_073_2018_2 -               33     962      23     944      10     948    1465    +    1.4e-285  948.5  18.6  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_D09_073_2018_2 -               29     962      19     946      11     948    1478    +    1.3e-284  945.3  18.5  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_D09_073_2018_2 -               32     958      22     941      10     947    1463    +    3.5e-284  943.9  18.6  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_D09_073_2018_2 -               40     968      23     946      13     948    1502    +    6.1e-281  933.2  18.4  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_D09_073_2018_2 -               28     956      22     946      11     948    1463    +    7.6e-281  933.0  18.3  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_D09_073_2018_2 -               33     957      23     941      14     947    1480    +    3.2e-278  924.2  18.5  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_D09_073_2018_2 -               31     963      21     945      11     948    1467    +    6.4e-277  919.6  18.8  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_D09_073_2018_2 -               29     962      20     946      10     948    1461    +    1.1e-275  915.8  18.5  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_D09_073_2018_2 -               47     984      18     946       6     948    1504    +      1e-273  909.2  18.3  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_D09_073_2018_2 -               33     961      23     945      15     948    1463    +    7.4e-273  906.3  18.5  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_D09_073_2018_2 -               42     969      21     941      10     947    1516    +    7.5e-273  906.3  18.6  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_D09_073_2018_2 -               29     956      20     940      12     947    1471    +      1e-272  905.8  18.5  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_D09_073_2018_2 -               32     966      18     946      11     948    1461    +    2.5e-272  904.5  18.4  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_D09_073_2018_2 -               33     955      23     945      14     948    1451    +    3.3e-272  904.3  18.6  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_D09_073_2018_2 -               45     969      23     946      15     948    1482    +    5.1e-272  903.6  18.7  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_D09_073_2018_2 -               31     957      22     946      13     948    1480    +    9.9e-272  902.8  18.6  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_D09_073_2018_2 -               50     983      20     946      10     948    1505    +    1.3e-270  898.7  18.6  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_D09_073_2018_2 -               53     985      23     946      13     948    1524    +    1.2e-269  895.8  18.4  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_D09_073_2018_2 -               27     956      16     945       7     948    1459    +    1.6e-269  895.4  18.7  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_D09_073_2018_2 -               43     965      23     945      15     948    1512    +    2.1e-269  894.9  18.7  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_D09_073_2018_2 -               33     963      23     945      15     948    1484    +    2.2e-269  894.8  18.5  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_D09_073_2018_2 -               60     988      23     946      15     948    1539    +    4.6e-269  893.8  18.5  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_D09_073_2018_2 -               41     975      23     946      15     948    1478    +    1.2e-268  892.4  18.4  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_D09_073_2018_2 -               54     978      23     941      15     947    1495    +    4.7e-268  890.4  18.6  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_D09_073_2018_2 -               33     962      23     946      14     948    1463    +    5.4e-268  890.2  18.4  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_D09_073_2018_2 -               53     971      23     941      14     947    1467    +    3.8e-266  884.0  18.6  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_D09_073_2018_2 -               33     962      23     945      14     948    1462    +    4.9e-266  883.9  18.5  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_D09_073_2018_2 -               39     967      20     945       6     948    1477    +    8.1e-266  883.0  18.6  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_D09_073_2018_2 -               22     947      19     938      13     946    1445    +    8.8e-266  882.7  18.7  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_D09_073_2018_2 -               32     963      22     940       9     947    1472    +    1.2e-265  882.4  18.6  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_D09_073_2018_2 -               52     969      23     941      15     947    1475    +    1.2e-265  882.4  18.6  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_D09_073_2018_2 -               53     971      23     941      15     947    1500    +    1.4e-264  878.8  18.7  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-TSAKG2_D09_073_2018_2 -               33     960      23     941      15     947    1471    +    5.3e-264  877.1  18.6  -
