# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Oceanospirillales   -          LKAP-TSA1KG_G08_052_2018_1 -               33     765      19     758       2     762    1483    +    1.6e-152  503.4  19.8  -
Granulosicoccaceae               -          LKAP-TSA1KG_G08_052_2018_1 -               19     766      12     758       2     762    1471    +    5.5e-151  498.6  19.7  -
Halothiobacillaceae              -          LKAP-TSA1KG_G08_052_2018_1 -               45     783      19     758       2     762    1501    +    2.9e-150  496.1  19.3  -
Nevskiaceae                      -          LKAP-TSA1KG_G08_052_2018_1 -               27     757      11     753       2     762    1470    +    1.1e-149  494.5  18.0  -
Coxiellaceae                     -          LKAP-TSA1KG_G08_052_2018_1 -               28     770      19     753       2     762    1473    +    6.7e-149  491.6  19.3  -
Alcanivoracaceae                 -          LKAP-TSA1KG_G08_052_2018_1 -               47     784      17     758       1     762    1504    +    1.6e-148  490.2  19.2  -
Kangiellaceae                    -          LKAP-TSA1KG_G08_052_2018_1 -               37     777      19     758       2     762    1479    +    2.9e-148  489.4  19.0  -
Thioalkalispiraceae              -          LKAP-TSA1KG_G08_052_2018_1 -               41     781      19     758       1     762    1478    +    6.7e-146  481.5  19.4  -
Thermoleophilaceae               -          LKAP-TSA1KG_G08_052_2018_1 -               11     762      11     758       2     762    1486    +    4.8e-145  478.8  19.7  -
Saccharospirillaceae             -          LKAP-TSA1KG_G08_052_2018_1 -               34     759      23     758       3     762    1468    +    7.3e-145  478.2  19.7  -
Unclassified_Thiotrichales       -          LKAP-TSA1KG_G08_052_2018_1 -               67     780      40     758      15     762    1517    +    7.4e-144  474.8  18.4  -
Unclassified_Alteromonadales     -          LKAP-TSA1KG_G08_052_2018_1 -               29     766      20     758       1     762    1467    +    4.4e-143  472.1  19.0  -
Cardiobacteriaceae               -          LKAP-TSA1KG_G08_052_2018_1 -               36     769      19     758       2     762    1462    +    1.2e-142  471.2  18.1  -
Halieaceae                       -          LKAP-TSA1KG_G08_052_2018_1 -               37     766      20     758       3     762    1484    +    3.4e-142  469.3  19.6  -
Idiomarinaceae                   -          LKAP-TSA1KG_G08_052_2018_1 -               28     766      19     758       1     762    1466    +    4.2e-141  465.6  19.1  -
Spongiibacteraceae               -          LKAP-TSA1KG_G08_052_2018_1 -               36     763      23     758       3     762    1462    +    5.8e-141  465.2  19.0  -
Litoricolaceae                   -          LKAP-TSA1KG_G08_052_2018_1 -               36     772      19     758       2     762    1474    +    4.2e-140  462.6  19.1  -
Microbulbiferaceae               -          LKAP-TSA1KG_G08_052_2018_1 -               32     759      22     758       2     762    1478    +    3.6e-139  459.5  18.7  -
Aeromonadaceae                   -          LKAP-TSA1KG_G08_052_2018_1 -               41     780      20     758       2     762    1496    +    3.8e-139  459.0  19.7  -
Acidiferrobacteraceae            -          LKAP-TSA1KG_G08_052_2018_1 -               65     756      64     758      52     762    1456    +    8.1e-138  455.0  18.2  -
Ferrimonadaceae                  -          LKAP-TSA1KG_G08_052_2018_1 -               20     776      10     758       1     762    1475    +    2.3e-137  453.2  19.9  -
Salinisphaeraceae                -          LKAP-TSA1KG_G08_052_2018_1 -               11     753      13     758       3     762    1432    +    3.2e-137  453.0  17.8  -
Succinivibrionaceae              -          LKAP-TSA1KG_G08_052_2018_1 -               31     746      19     758       2     762    1474    +    1.1e-136  451.1  20.1  -
Hafniaceae                       -          LKAP-TSA1KG_G08_052_2018_1 -               13     760       9     758       1     762    1459    +    4.3e-136  449.1  19.8  -
Wenzhouxiangellaceae             -          LKAP-TSA1KG_G08_052_2018_1 -               54     769      44     758      24     762    1472    +    5.7e-136  448.6  17.0  -
Budviciaceae                     -          LKAP-TSA1KG_G08_052_2018_1 -               18     756      19     758       4     762    1483    +    9.9e-136  447.9  19.2  -
Arenicellaceae                   -          LKAP-TSA1KG_G08_052_2018_1 -               49     761      47     758      22     762    1488    +    9.7e-134  441.5  18.7  -
Sulfuricellaceae                 -          LKAP-TSA1KG_G08_052_2018_1 -               31     762      22     758       4     762    1462    +    6.4e-133  438.7  17.9  -
