# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Idiomarinaceae                   -          A0518_LKAP-FHGF1_E07_055 -               23     636       6     619       2     621    1466    +      5e-198  653.9  13.3  -
Unclassified_Alteromonadales     -          A0518_LKAP-FHGF1_E07_055 -               24     636       7     619       2     621    1467    +    7.1e-197  650.1  13.3  -
Hafniaceae                       -          A0518_LKAP-FHGF1_E07_055 -               18     630       7     619       2     621    1459    +    5.4e-191  630.7  13.4  -
Aeromonadaceae                   -          A0518_LKAP-FHGF1_E07_055 -               36     650       7     619       2     621    1496    +    4.3e-189  624.3  13.3  -
Colwelliaceae                    -          A0518_LKAP-FHGF1_E07_055 -               24     635       7     619       2     621    1465    +    2.2e-187  619.0  13.3  -
Ferrimonadaceae                  -          A0518_LKAP-FHGF1_E07_055 -               23     646       6     619       1     621    1475    +    1.2e-186  616.2  13.4  -
Psychromonadaceae                -          A0518_LKAP-FHGF1_E07_055 -               24     636       7     619       2     621    1467    +      1e-185  613.4  13.3  -
Budviciaceae                     -          A0518_LKAP-FHGF1_E07_055 -               14     626       7     619       2     621    1483    +    1.7e-185  612.6  13.4  -
Moritellaceae                    -          A0518_LKAP-FHGF1_E07_055 -               39     650       7     616       3     620    1501    +    5.4e-184  607.5  13.4  -
Unclassified_Oceanospirillales   -          A0518_LKAP-FHGF1_E07_055 -               29     635       7     619       1     621    1483    +    1.6e-182  602.6  13.1  -
Halothiobacillaceae              -          A0518_LKAP-FHGF1_E07_055 -               40     652       6     618       3     621    1501    +    4.7e-180  594.5  13.4  -
Thorselliaceae                   -          A0518_LKAP-FHGF1_E07_055 -                1     605      11     619      11     621    1419    +    2.6e-179  592.1  13.8  -
Alcanivoracaceae                 -          A0518_LKAP-FHGF1_E07_055 -               44     654       7     619       2     621    1504    +    1.5e-173  572.8  13.3  -
Microbulbiferaceae               -          A0518_LKAP-FHGF1_E07_055 -               24     625       7     615       2     619    1478    +    1.9e-173  572.9  13.2  -
Thioalkalispiraceae              -          A0518_LKAP-FHGF1_E07_055 -               37     651       7     619       2     621    1478    +    2.1e-173  572.4  13.3  -
Succinivibrionaceae              -          A0518_LKAP-FHGF1_E07_055 -               27     616       7     619       2     621    1474    +    7.1e-173  570.7  14.0  -
Celerinatantimonadaceae          -          A0518_LKAP-FHGF1_E07_055 -               19     641       7     619       2     621    1433    +    1.6e-172  569.7  13.3  -
Cardiobacteriaceae               -          A0518_LKAP-FHGF1_E07_055 -               32     634       7     614       3     620    1462    +    9.8e-170  560.7  13.7  -
