# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_A02_016.seq -               27    1054       6    1029       2    1029    1402    +           0 1239.0  13.8  -
Hyphomonadaceae           -          LKAP-Gut2_A02_016.seq -               27    1051       6    1029       3    1029    1400    +           0 1114.6  13.6  -
Rhizobiaceae              -          LKAP-Gut2_A02_016.seq -               27    1048       6    1029       3    1029    1422    +           0 1097.6  13.8  -
Rhodobiaceae              -          LKAP-Gut2_A02_016.seq -               38    1061       7    1029       3    1029    1440    +           0 1094.0  13.8  -
Hyphomicrobiaceae         -          LKAP-Gut2_A02_016.seq -               27    1050       6    1028       3    1029    1427    +           0 1092.5  13.6  -
Methylocystaceae          -          LKAP-Gut2_A02_016.seq -               38    1059       6    1029       3    1029    1424    +           0 1092.5  13.7  -
Phyllobacteriaceae        -          LKAP-Gut2_A02_016.seq -               27    1049       6    1028       2    1029    1424    +           0 1091.2  13.7  -
Alphaproteobacteria       -          LKAP-Gut2_A02_016.seq -               27    1051       6    1029       2    1029    1409    +           0 1075.2  13.6  -
Rhizobiales               -          LKAP-Gut2_A02_016.seq -               37    1060       6    1029       3    1029    1438    +           0 1072.2  13.7  -
Rhodospirillaceae         -          LKAP-Gut2_A02_016.seq -               29    1057       6    1029       2    1029    1429    +           0 1064.8  13.6  -
Aurantimonadaceae         -          LKAP-Gut2_A02_016.seq -               44    1064       6    1029       3    1029    1442    +           0 1064.7  13.7  -
Brucellaceae              -          LKAP-Gut2_A02_016.seq -               33    1053       7    1029       3    1029    1411    +           0 1050.7  13.9  -
Xanthobacteraceae         -          LKAP-Gut2_A02_016.seq -               27    1048       6    1029       3    1029    1415    +           0 1050.4  13.9  -
Caulobacteraceae          -          LKAP-Gut2_A02_016.seq -               27    1046       6    1028       3    1029    1415    +           0 1045.7  13.6  -
Beijerinckiaceae          -          LKAP-Gut2_A02_016.seq -               40    1063       6    1028       3    1029    1421    +           0 1041.5  13.7  -
Bradyrhizobiaceae         -          LKAP-Gut2_A02_016.seq -               33    1049      11    1027       3    1029    1428    +           0 1027.9  13.6  -
Sneathiellaceae           -          LKAP-Gut2_A02_016.seq -               33    1066       7    1029       3    1029    1427    +           0 1023.9  13.7  -
Methylobacteriaceae       -          LKAP-Gut2_A02_016.seq -               27    1047       6    1027       2    1029    1426    +    1.5e-307 1019.0  13.6  -
Parvularculaceae          -          LKAP-Gut2_A02_016.seq -               47    1070       6    1029       3    1029    1428    +    1.3e-304 1009.6  13.7  -
Kordiimonadaceae          -          LKAP-Gut2_A02_016.seq -               28    1060       7    1027       3    1029    1421    +    1.2e-303 1006.2  13.5  -
Sphingomonadaceae         -          LKAP-Gut2_A02_016.seq -               34    1058       6    1028       2    1029    1434    +    3.4e-303 1004.8  13.4  -
Bartonellaceae            -          LKAP-Gut2_A02_016.seq -               28    1052       7    1029       3    1029    1410    +    9.4e-303 1003.1  13.5  -
Cohaesibacteraceae        -          LKAP-Gut2_A02_016.seq -               44    1069       3    1028       1    1029    1425    +    3.6e-300  994.6  13.4  -
Erythrobacteraceae        -          LKAP-Gut2_A02_016.seq -               28    1051       6    1027       3    1029    1433    +    3.1e-299  991.6  13.7  -
Chelatococcaceae          -          LKAP-Gut2_A02_016.seq -               38    1060       6    1027       3    1029    1439    +    4.5e-296  981.1  13.6  -
