# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               27    1030      18    1003       4    1014    1474    +           0 1069.9  18.3  -
Alteromonadales           -          LKAP-GUTHK2_G01_003_2017_1 -               27    1013      18     994       4    1013    1468    +    5.2e-286  947.2  18.4  -
Shewanellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27    1022      18    1003       4    1014    1483    +    2.2e-284  942.1  18.0  -
Ferrimonadaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               22    1023      15     995       3    1013    1475    +    1.9e-283  938.8  18.4  -
Enterobacteriaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               27    1013      18     995       4    1013    1465    +    1.5e-282  936.1  18.2  -
Aeromonadaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               39    1018      18     986       5    1007    1496    +    1.6e-279  925.7  18.4  -
Erwiniaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               22    1007      18     994       4    1013    1483    +    2.1e-279  925.6  18.2  -
Gammaproteobacteria       -          LKAP-GUTHK2_G01_003_2017_1 -               27    1007      18     990       5    1011    1481    +    1.8e-278  922.3  18.4  -
Hafniaceae                -          LKAP-GUTHK2_G01_003_2017_1 -               20    1009      17     997       3    1014    1459    +    1.2e-277  919.6  18.0  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_G01_003_2017_1 -               27    1016      18    1003       4    1014    1469    +    4.5e-277  917.8  17.2  -
Pectobacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               24    1012      18     997       4    1014    1477    +    5.3e-277  917.5  18.0  -
Alteromonadaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27    1010      18     993       5    1011    1468    +    7.6e-277  917.0  18.4  -
Yersiniaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               27    1013      18     995       5    1013    1473    +    1.1e-276  916.5  18.2  -
Morganellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               30    1017      18     996       5    1013    1487    +    7.8e-275  910.6  18.2  -
Oceanospirillaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               27    1013      18     994       5    1012    1467    +    7.7e-270  893.8  18.3  -
Idiomarinaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               25    1015      16     996       2    1013    1466    +      5e-268  887.6  18.5  -
Colwelliaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               27    1005      18     986       6    1006    1467    +    4.8e-267  884.7  18.4  -
Psychromonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               27    1020      18    1003       5    1014    1467    +    6.4e-267  884.2  18.1  -
Moritellaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               42    1027      18     992       6    1012    1501    +    4.9e-266  881.1  18.2  -
Budviciaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               17    1005      18     997       7    1014    1483    +    6.7e-266  880.8  18.0  -
Oceanospirillales         -          LKAP-GUTHK2_G01_003_2017_1 -               33    1008      18     985       5    1004    1489    +    1.8e-262  869.2  18.7  -
Chromatiaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               27     994      18     987       5    1008    1455    +    4.4e-261  864.9  18.9  -
Thorselliaceae            -          LKAP-GUTHK2_G01_003_2017_1 -                6     984      23     997      19    1014    1419    +    8.6e-261  863.8  18.2  -
Cellvibrionaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27    1001      18     984       5    1005    1472    +    2.4e-260  862.4  18.5  -
Pseudomonadaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               34    1015      18     993       5    1013    1491    +    6.4e-260  860.9  18.2  -
Pasteurellaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27    1014      18     995       6    1013    1422    +    4.9e-259  858.1  17.9  -
Celerinatantimonadaceae   -          LKAP-GUTHK2_G01_003_2017_1 -               22     996      18     980       6    1000    1433    +    3.1e-257  852.2  18.8  -
