# target name                            accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                    ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planomicrobium            -          LKAP-TSAKG2_D02_010_2018_2 -               26     105      21      96       1      98    1485    +     4.2e-07   22.5   6.7  -
Planococcaceae_Planococcus               -          LKAP-TSAKG2_D02_010_2018_2 -               24     114       9      95       1      98    1492    +     5.4e-07   22.0   7.2  -
Planococcaceae_Sporosarcina              -          LKAP-TSAKG2_D02_010_2018_2 -               26     103      21      95       1      98    1504    +     1.9e-06   20.1   6.6  -
Bacillales_Rummeliibacillus              -          LKAP-TSAKG2_D02_010_2018_2 -               16     104      11      96       1      98    1473    +     8.5e-06   18.0   6.9  -
Planococcaceae_Bhargavaea                -          LKAP-TSAKG2_D02_010_2018_2 -               48     124      23      96       2      98    1544    +     1.2e-05   17.4   6.3  -
Bacillaceae_Aeribacillus                 -          LKAP-TSAKG2_D02_010_2018_2 -               19     106       9      94       1      98    1516    +     0.00012   15.1   7.3  -
Planococcaceae_Filibacter                -          LKAP-TSAKG2_D02_010_2018_2 -               24     111       9      94       1      98    1517    +     0.00013   14.9   7.3  -
Bacillaceae_Fictibacillus                -          LKAP-TSAKG2_D02_010_2018_2 -               10      85      24      96      16      98    1439    +     0.00014   13.9   3.7  -
Bacillaceae_Viridibacillus               -          LKAP-TSAKG2_D02_010_2018_2 -               24     102      19      93       1      98    1505    +     0.00021   13.1   6.7  -
Paenibacillaceae_Cohnella                -          LKAP-TSAKG2_D02_010_2018_2 -               20     111      11      95       1      98    1482    +      0.0004   12.6   6.9  -
Bacillaceae_Saccharococcus               -          LKAP-TSAKG2_D02_010_2018_2 -               34     120       9      94       1      98    1538    +     0.00084   12.2   7.3  -
Bacillales_Geomicrobium                  -          LKAP-TSAKG2_D02_010_2018_2 -               39     115      23      95       3      98    1537    +     0.00097   11.2   6.2  -
Thermoanaerobacteraceae_Caldanaerobius   -          LKAP-TSAKG2_D02_010_2018_2 -               40     118      21      96       1      98    1448    +       0.002   10.3   6.8  -
Bacillaceae_Anaerobacillus               -          LKAP-TSAKG2_D02_010_2018_2 -               47     124      23      96       3      98    1512    +      0.0051    8.6   6.2  -
Paenibacillaceae_Ammoniphilus            -          LKAP-TSAKG2_D02_010_2018_2 -               23     106      16      96       1      98    1497    +       0.013    7.5   6.8  -
Bacillales_Chungangia                    -          LKAP-TSAKG2_D02_010_2018_2 -               22     109       9      94       1      98    1440    +        0.04    6.7   7.2  -
Microbacteriaceae_Lysinimonas            -          LKAP-TSAKG2_D02_010_2018_2 -               86     161      25      97       5      98    1484    +       0.059    5.3   4.5  -
Peptostreptococcaceae_Tepidibacter       -          LKAP-TSAKG2_D02_010_2018_2 -               14      82      24      90      11      98    1412    +       0.061    5.4   4.3  -
Bacillaceae_Fermentibacillus             -          LKAP-TSAKG2_D02_010_2018_2 -               33     120       9      94       1      98    1530    +       0.063    5.9   7.2  -
Bacillaceae_Falsibacillus                -          LKAP-TSAKG2_D02_010_2018_2 -                2      74      24      94      23      98    1413    +       0.064    6.1   3.7  -
Microbacteriaceae_Agrococcus             -          LKAP-TSAKG2_D02_010_2018_2 -               61     107      44      89      24      98    1468    +       0.071    5.1   2.7  -
Microbacteriaceae_Agromyces              -          LKAP-TSAKG2_D02_010_2018_2 -               18      94      14      88       1      98    1477    +        0.09    4.5   6.9  -
Moraxellaceae_Alkanindiges               -          LKAP-TSAKG2_D02_010_2018_2 -               16      70      24      79      14      95    1396    +        0.11    4.5   4.5  -
Rickettsiaceae_Rickettsia                -          LKAP-TSAKG2_D02_010_2018_2 -               39     114      24      97       9      98    1440    +        0.16    4.0   4.4  -
Thermoactinomycetaceae_Marininema        -          LKAP-TSAKG2_D02_010_2018_2 -               46     124      22      97       2      98    1553    +        0.17    3.6   6.1  -
Paenibacillaceae_Oxalophagus             -          LKAP-TSAKG2_D02_010_2018_2 -               16     103       9      94       1      98    1497    +        0.19    4.6   7.2  -
Sporolactobacillaceae_Sporolactobacillus -          LKAP-TSAKG2_D02_010_2018_2 -               15     103      10      95       1      98    1503    +         0.2    3.4   6.9  -
Gammaproteobacteria_Arsukibacterium      -          LKAP-TSAKG2_D02_010_2018_2 -               42     115      24      97       4      98    1479    +        0.22    4.2   4.8  -
Pseudomonadaceae_Pseudomonas             -          LKAP-TSAKG2_D02_010_2018_2 -               36      93      24      79       4      96    1502    +        0.22    3.3   5.2  -
Microbacteriaceae_Cryobacterium          -          LKAP-TSAKG2_D02_010_2018_2 -               40     114      24      97       3      98    1457    +        0.24    3.3   5.6  -
Microbacteriaceae_Naasia                 -          LKAP-TSAKG2_D02_010_2018_2 -               37     108      23      93       3      98    1463    +         0.3    3.9   6.0  -
Microbacteriaceae_Labedella              -          LKAP-TSAKG2_D02_010_2018_2 -               80     124      45      88      25      98    1542    +        0.37    2.5   2.3  -
Microbacteriaceae_Microbacterium         -          LKAP-TSAKG2_D02_010_2018_2 -               29     105      24      97       3      98    1457    +        0.39    2.6   5.7  -
Microbacteriaceae_Salinibacterium        -          LKAP-TSAKG2_D02_010_2018_2 -               47      92      44      88      24      98    1444    +        0.49    2.2   2.5  -
Demequinaceae_Demequina                  -          LKAP-TSAKG2_D02_010_2018_2 -               29      95      24      88       4      98    1446    +        0.56    2.1   5.6  -
Micrococcaceae_Nesterenkonia             -          LKAP-TSAKG2_D02_010_2018_2 -               49     117      24      90       4      98    1488    +        0.59    1.9   4.9  -
Dermacoccaceae_Luteipulveratus           -          LKAP-TSAKG2_D02_010_2018_2 -               63     107      45      88      25      98    1491    +        0.62    1.7   2.2  -
Sanguibacteraceae_Sanguibacter           -          LKAP-TSAKG2_D02_010_2018_2 -               45     111      24      88       4      98    1476    +        0.66    1.8   5.6  -
Microbacteriaceae_Leifsonia              -          LKAP-TSAKG2_D02_010_2018_2 -               41     107      25      89       4      98    1477    +        0.67    1.7   5.0  -
Microbacteriaceae_Subtercola             -          LKAP-TSAKG2_D02_010_2018_2 -               19      84      24      88       5      98    1470    +        0.68    1.6   5.1  -
Campylobacteraceae_Sulfurospirillum      -          LKAP-TSAKG2_D02_010_2018_2 -               29      83      24      79       3      97    1431    +        0.69    1.9   6.5  -
Dermacoccaceae_Flexivirga                -          LKAP-TSAKG2_D02_010_2018_2 -               50      95      44      88      24      98    1448    +         0.9    1.2   2.7  -
Microbacteriaceae_Mycetocola             -          LKAP-TSAKG2_D02_010_2018_2 -               49      95      43      88      23      98    1438    +         0.9    1.3   3.0  -
Microbacteriaceae_Rudaibacter            -          LKAP-TSAKG2_D02_010_2018_2 -               38     104      25      89       4      98    1466    +        0.91    2.3   5.3  -
Thermoanaerobacteraceae_Thermanaeromonas -          LKAP-TSAKG2_D02_010_2018_2 -               42     112      24      80       4      95    1506    +        0.91    1.3   6.0  -
Rhodobacteraceae_Defluviimonas           -          LKAP-TSAKG2_D02_010_2018_2 -               29      83      24      90       4      98    1389    +        0.97    1.5   3.6  -
Ruminococcaceae_Ruminococcus             -          LKAP-TSAKG2_D02_010_2018_2 -               19     101      26      92       8      98    1394    +           1    1.2   4.4  -
Microbacteriaceae_Microcella             -          LKAP-TSAKG2_D02_010_2018_2 -               64     109      44      88      24      98    1505    +           1    1.2   2.7  -
Thorselliaceae_Thorsellia                -          LKAP-TSAKG2_D02_010_2018_2 -               10      66      24      79      16      98    1421    +         1.1    1.0   4.0  -
Lachnospiraceae_Cellulosilyticum         -          LKAP-TSAKG2_D02_010_2018_2 -               89     155      26      90       6      98    1547    +         1.1    0.8   4.5  -
Microbacteriaceae_Pseudoclavibacter      -          LKAP-TSAKG2_D02_010_2018_2 -               49      98      43      91      23      98    1453    +         1.2    0.9   2.8  -
Microbacteriaceae_Rhodoglobus            -          LKAP-TSAKG2_D02_010_2018_2 -               79     124      44      88      24      98    1515    +         1.3    0.8   2.7  -
Microbacteriaceae_Huakuichenia           -          LKAP-TSAKG2_D02_010_2018_2 -               50     120      25      93       4      98    1482    +         1.4    1.7   5.3  -
Dermacoccaceae_Barrientosiimonas         -          LKAP-TSAKG2_D02_010_2018_2 -               54     100      43      88       5      98    1443    +         1.4    0.5   5.0  -
Cellulomonadaceae_Tropheryma             -          LKAP-TSAKG2_D02_010_2018_2 -               47     119      23      93       3      98    1484    +         1.5    1.6   6.0  -
Microbacteriaceae_Diaminobutyricimonas   -          LKAP-TSAKG2_D02_010_2018_2 -               38     109      25      93       4      98    1464    +         1.6    1.5   5.3  -
Rhodobacteraceae_Paracoccus              -          LKAP-TSAKG2_D02_010_2018_2 -               33      93      25      97       5      98    1403    +         1.7    0.8   2.8  -
Paenibacillaceae_Gorillibacterium        -          LKAP-TSAKG2_D02_010_2018_2 -               34     118       9      94       1      98    1529    +         1.7    1.3   6.6  -
Cellulomonadaceae_Actinotalea            -          LKAP-TSAKG2_D02_010_2018_2 -               41     112      24      92       4      98    1476    +         1.8    0.6   5.4  -
Hyphomonadaceae_Algimonas                -          LKAP-TSAKG2_D02_010_2018_2 -                1      74      24      97      24      98    1351    +           2    0.6   3.3  -
Moraxellaceae_Moraxella                  -          LKAP-TSAKG2_D02_010_2018_2 -               21      76      24      79       4      97    1446    +         2.2    0.1   5.2  -
Chromobacteriaceae_Chitinilyticum        -          LKAP-TSAKG2_D02_010_2018_2 -               18      73      23      79       5      88    1455    +         2.3    0.2   6.3  -
Microbacteriaceae_Diaminobutyricibacter  -          LKAP-TSAKG2_D02_010_2018_2 -               39     105      25      89       4      98    1466    +         2.4    0.8   5.4  -
Chromobacteriaceae_Jeongeupia            -          LKAP-TSAKG2_D02_010_2018_2 -               27      83      22      79       2      93    1490    +         2.4    0.2   6.7  -
Rhodobacteraceae_Palleronia              -          LKAP-TSAKG2_D02_010_2018_2 -               23      62      51      89      30      96    1367    +         2.6    0.2   2.0  -
Trueperaceae_Truepera                    -          LKAP-TSAKG2_D02_010_2018_2 -               19      86      24      89       6      97    1461    +         3.2    0.3   5.1  -
Microbacteriaceae_Klugiella              -          LKAP-TSAKG2_D02_010_2018_2 -               52     119      24      89       4      98    1501    +         3.4    0.3   5.5  -
Dermabacteraceae_Brachybacterium         -          LKAP-TSAKG2_D02_010_2018_2 -               36     103      24      89       4      98    1476    +         3.4   -0.8   5.6  -
Microbacteriaceae_Rhodoluna              -          LKAP-TSAKG2_D02_010_2018_2 -               38      88      44      92      23      98    1423    +         3.7    0.4   2.9  -
Rhodobacteraceae_Pseudooceanicola        -          LKAP-TSAKG2_D02_010_2018_2 -               49     103      24      90       5      98    1429    +         3.8   -0.6   2.9  -
Clostridiales_Sulfobacillus              -          LKAP-TSAKG2_D02_010_2018_2 -               49      89      24      79       4      93    1472    +         3.8   -0.5   4.4  -
Microbacteriaceae_Pontimonas             -          LKAP-TSAKG2_D02_010_2018_2 -               32     105      24      93       4      98    1439    +         4.1    0.3   5.8  -
Chromatiaceae_Rheinheimera               -          LKAP-TSAKG2_D02_010_2018_2 -               36      97      24      97       4      98    1472    +         4.3   -0.9   3.0  -
Microbacteriaceae_Aurantimicrobium       -          LKAP-TSAKG2_D02_010_2018_2 -               30      96      25      89       4      98    1473    +         4.6   -0.1   5.3  -
Rhodobacteraceae_Rhodobacter             -          LKAP-TSAKG2_D02_010_2018_2 -               29      82      24      89       4      98    1389    +           5   -0.8   3.6  -
Microbacteriaceae_Zimmermannella         -          LKAP-TSAKG2_D02_010_2018_2 -               69     119      43      92       5      97    1484    +           6   -1.3   4.7  -
Intrasporangiaceae_Intrasporangium       -          LKAP-TSAKG2_D02_010_2018_2 -               19      87      24      90       5      98    1435    +         6.6   -1.5   5.5  -
Cardiobacteriaceae_Cardiobacterium       -          LKAP-TSAKG2_D02_010_2018_2 -               15      82      24      89      12      98    1493    +         7.2   -1.6   4.5  -
Thermoanaerobacteraceae_Caldanaerobacter -          LKAP-TSAKG2_D02_010_2018_2 -               36     107      24      89       4      98    1449    +           8   -1.7   5.6  -
Microbacteriaceae_Clavibacter            -          LKAP-TSAKG2_D02_010_2018_2 -               29      95      24      88       4      98    1496    +         8.3   -2.0   5.6  -
Microbacteriaceae_Schumannella           -          LKAP-TSAKG2_D02_010_2018_2 -               42     108      25      89       4      98    1466    +         8.4   -0.9   5.3  -
Microbacteriaceae_Allohumibacter         -          LKAP-TSAKG2_D02_010_2018_2 -               38     110      24      93       4      98    1450    +          10   -1.2   5.6  -
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      /home/ubuntu/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_D02_010_2018_2.fa
# Target file:     /home/ubuntu/Github/Database/Genera_DB
# Option settings: nhmmscan --tblout /home/ubuntu/Github/Project_Mendel/Data/Genera_Search_Data/MSA_Scans_From_nhmmerscan/LKAP-TSAKG2_D02_010_2018_2.txt --noali /home/ubuntu/Github/Database/Genera_DB /home/ubuntu/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_D02_010_2018_2.fa 
# Current dir:     /home/ubuntu/Github/Project_Mendel/source_code/Genera_Search
# Date:            Thu Jul 16 21:14:13 2020
# [ok]
