# target name                    accession  query name                accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------      -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          C0401b_LKAP-FHGF1_E01_007 -               23     557       9     543       1     543    1467    +    4.7e-172  567.7  15.5  -
Idiomarinaceae                   -          C0401b_LKAP-FHGF1_E01_007 -               23     556       9     542       1     543    1466    +    1.2e-171  566.3  15.5  -
Hafniaceae                       -          C0401b_LKAP-FHGF1_E01_007 -               18     551      10     543       1     543    1459    +    1.5e-169  559.5  15.5  -
Aeromonadaceae                   -          C0401b_LKAP-FHGF1_E01_007 -               27     571       4     543       1     543    1496    +    1.5e-165  546.1  15.5  -
Ferrimonadaceae                  -          C0401b_LKAP-FHGF1_E01_007 -               23     567       9     543       1     543    1475    +    4.4e-165  544.5  15.6  -
Budviciaceae                     -          C0401b_LKAP-FHGF1_E01_007 -                3     547       2     543       1     543    1483    +    1.2e-162  536.7  15.7  -
Colwelliaceae                    -          C0401b_LKAP-FHGF1_E01_007 -               14     553       3     540       1     543    1465    +    2.4e-161  532.5  15.6  -
Moritellaceae                    -          C0401b_LKAP-FHGF1_E01_007 -               35     574       8     543       1     543    1501    +    4.3e-161  531.4  15.4  -
Psychromonadaceae                -          C0401b_LKAP-FHGF1_E01_007 -               15     555       4     541       1     543    1467    +    5.4e-161  531.3  15.5  -
Thorselliaceae                   -          C0401b_LKAP-FHGF1_E01_007 -                1     526      14     543      14     543    1419    +    5.4e-159  524.5  15.3  -
Unclassified_Oceanospirillales   -          C0401b_LKAP-FHGF1_E01_007 -               19     555       3     542       1     543    1483    +    1.2e-158  523.3  15.3  -
Halothiobacillaceae              -          C0401b_LKAP-FHGF1_E01_007 -               41     573      10     542       1     543    1501    +    4.3e-158  521.6  15.3  -
Microbulbiferaceae               -          C0401b_LKAP-FHGF1_E01_007 -               14     548       3     541       1     543    1478    +    3.7e-156  515.4  15.0  -
Succinivibrionaceae              -          C0401b_LKAP-FHGF1_E01_007 -               16     537       2     543       1     543    1474    +    1.3e-153  506.7  15.8  -
Alcanivoracaceae                 -          C0401b_LKAP-FHGF1_E01_007 -               36     572       5     540       1     543    1504    +    8.8e-153  503.8  15.5  -
Thioalkalispiraceae              -          C0401b_LKAP-FHGF1_E01_007 -               37     569      10     540       1     543    1478    +    7.9e-151  497.4  15.2  -
Halieaceae                       -          C0401b_LKAP-FHGF1_E01_007 -               21     554       2     540       1     543    1484    +    2.9e-150  495.6  15.3  -
Litoricolaceae                   -          C0401b_LKAP-FHGF1_E01_007 -               23     562       4     542       1     543    1474    +    8.6e-149  490.9  15.5  -
Celerinatantimonadaceae          -          C0401b_LKAP-FHGF1_E01_007 -                8     562       2     543       1     543    1433    +      1e-148  490.7  15.7  -
Spongiibacteraceae               -          C0401b_LKAP-FHGF1_E01_007 -               26     551       9     540       1     543    1462    +      1e-146  483.7  15.4  -
Granulosicoccaceae               -          C0401b_LKAP-FHGF1_E01_007 -               24     554      10     540       1     543    1471    +    1.1e-146  483.9  15.3  -
