# target name                    accession  query name                accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------      -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          C0704b_LKAP-FHGF1_C03_027 -               24     808       5     788       2     789    1475    +    1.5e-256  848.3  22.9  -
Idiomarinaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               24     799       5     789       2     789    1466    +      1e-253  838.9  22.1  -
Aeromonadaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               36     812       5     788       2     789    1496    +    3.7e-253  837.0  22.4  -
Unclassified_Alteromonadales     -          C0704b_LKAP-FHGF1_C03_027 -               24     799       5     789       2     789    1467    +    4.6e-251  830.1  22.1  -
Hafniaceae                       -          C0704b_LKAP-FHGF1_C03_027 -               19     792       6     788       2     789    1459    +    1.9e-245  811.5  22.6  -
Budviciaceae                     -          C0704b_LKAP-FHGF1_C03_027 -               14     788       5     788       2     789    1483    +    1.1e-244  809.1  22.4  -
Colwelliaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               24     798       5     789       2     789    1465    +    7.7e-242  799.8  22.4  -
Unclassified_Oceanospirillales   -          C0704b_LKAP-FHGF1_C03_027 -               29     798       5     789       2     789    1483    +    6.9e-238  786.4  22.7  -
Moritellaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               39     816       5     789       2     789    1501    +    1.3e-237  785.6  22.3  -
Psychromonadaceae                -          C0704b_LKAP-FHGF1_C03_027 -               24     798       5     788       2     789    1467    +    7.4e-236  779.9  21.8  -
Celerinatantimonadaceae          -          C0704b_LKAP-FHGF1_C03_027 -               19     804       5     789       2     789    1433    +    1.4e-231  765.8  22.0  -
Alcanivoracaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               44     817       5     789       2     789    1504    +    7.5e-231  763.1  22.9  -
Succinivibrionaceae              -          C0704b_LKAP-FHGF1_C03_027 -               27     778       5     788       3     789    1474    +    1.4e-226  749.1  21.9  -
Halothiobacillaceae              -          C0704b_LKAP-FHGF1_C03_027 -               40     816       4     789       2     789    1501    +    7.4e-225  743.4  22.6  -
Orbaceae                         -          C0704b_LKAP-FHGF1_C03_027 -               51     820       5     787       2     789    1538    +    9.4e-225  743.0  21.9  -
Thorselliaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               39     766      60     787      37     789    1419    +    2.8e-224  741.5  22.2  -
Thioalkalispiraceae              -          C0704b_LKAP-FHGF1_C03_027 -               37     814       5     789       2     789    1478    +    1.6e-222  735.6  22.7  -
Halieaceae                       -          C0704b_LKAP-FHGF1_C03_027 -               32     799       5     789       2     789    1484    +    5.9e-221  730.5  22.2  -
Spongiibacteraceae               -          C0704b_LKAP-FHGF1_C03_027 -               27     796       5     789       2     789    1462    +    6.8e-221  730.1  22.4  -
Microbulbiferaceae               -          C0704b_LKAP-FHGF1_C03_027 -               24     792       5     789       2     789    1478    +    2.9e-220  728.4  21.7  -
Litoricolaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               31     805       4     789       2     789    1474    +      2e-218  722.3  22.5  -
Saccharospirillaceae             -          C0704b_LKAP-FHGF1_C03_027 -               64     792      55     789      31     789    1468    +    2.9e-218  721.5  22.3  -
Cardiobacteriaceae               -          C0704b_LKAP-FHGF1_C03_027 -               32     802       5     789       2     789    1462    +      1e-216  716.7  22.9  -
Kangiellaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               33     809       5     788       2     789    1479    +      2e-216  715.4  22.0  -
Thermoleophilaceae               -          C0704b_LKAP-FHGF1_C03_027 -               17     795       5     789       3     789    1486    +    2.8e-215  711.6  21.8  -
Granulosicoccaceae               -          C0704b_LKAP-FHGF1_C03_027 -               24     799       5     789       2     789    1471    +    8.3e-214  706.9  22.1  -
Hydrogenophilaceae               -          C0704b_LKAP-FHGF1_C03_027 -               23     793       4     789       2     789    1462    +    2.6e-213  705.4  23.3  -
Coxiellaceae                     -          C0704b_LKAP-FHGF1_C03_027 -               24     801       5     784       2     789    1473    +    9.2e-211  696.7  22.8  -
Nevskiaceae                      -          C0704b_LKAP-FHGF1_C03_027 -               33     788       5     784       3     788    1470    +    1.9e-209  692.7  22.7  -
Sulfuricellaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               23     795       4     789       2     789    1462    +    8.3e-206  680.4  23.3  -
Salinisphaeraceae                -          C0704b_LKAP-FHGF1_C03_027 -               13     781       6     784       2     789    1432    +      1e-204  676.8  23.2  -
Azonexaceae                      -          C0704b_LKAP-FHGF1_C03_027 -               24     797       4     789       2     789    1474    +    6.1e-204  674.3  23.6  -
Methylophilaceae                 -          C0704b_LKAP-FHGF1_C03_027 -                5     779       6     789       3     789    1430    +    1.9e-203  672.5  22.1  -
Unclassified_Thiotrichales       -          C0704b_LKAP-FHGF1_C03_027 -               47     810       7     786       3     789    1517    +    2.9e-203  671.8  21.6  -
Thiobacilliaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               42     812       4     789       2     789    1517    +    9.1e-202  667.0  22.6  -
Arenicellaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               65     794      62     789      26     789    1488    +    1.6e-201  666.2  21.4  -
Sutterellaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               23     797       4     789       2     789    1487    +    1.6e-200  662.6  23.1  -
Nitrosomonadaceae                -          C0704b_LKAP-FHGF1_C03_027 -               23     796       4     789       2     789    1463    +    2.5e-200  662.3  23.5  -
Acidiferrobacteraceae            -          C0704b_LKAP-FHGF1_C03_027 -               64     788      63     788      43     789    1456    +    4.9e-200  661.3  22.0  -
Unclassified_Deltaproteobacteria -          C0704b_LKAP-FHGF1_C03_027 -               40     825       5     784       2     789    1518    +    8.8e-196  647.2  22.0  -
Thermithiobacillaceae            -          C0704b_LKAP-FHGF1_C03_027 -                9     777       5     788       2     789    1419    +    6.7e-195  644.2  22.8  -
Zoogloeaceae                     -          C0704b_LKAP-FHGF1_C03_027 -               30     800       4     789       2     789    1474    +    4.8e-194  641.3  23.2  -
Geobacteraceae                   -          C0704b_LKAP-FHGF1_C03_027 -               32     818       5     788       2     789    1485    +    4.7e-193  638.0  22.7  -
Francisellaceae                  -          C0704b_LKAP-FHGF1_C03_027 -               34     796       5     788       2     789    1509    +    3.1e-192  635.4  22.4  -
Unclassified_Alphaproteobacteria -          C0704b_LKAP-FHGF1_C03_027 -               24     740       5     785       2     789    1412    +    5.4e-191  631.6  21.0  -
Desulfuromonadaceae              -          C0704b_LKAP-FHGF1_C03_027 -               42     829       5     788       2     789    1519    +    7.5e-191  630.7  22.2  -
Acidithiobacillaceae             -          C0704b_LKAP-FHGF1_C03_027 -               23     789       5     788       2     789    1457    +      2e-190  629.2  22.9  -
Hyphomonadaceae                  -          C0704b_LKAP-FHGF1_C03_027 -               24     738       5     785       2     788    1399    +    6.2e-189  624.7  21.2  -
Sneathiellaceae                  -          C0704b_LKAP-FHGF1_C03_027 -               29     755       5     787       2     789    1427    +    6.8e-189  624.4  20.9  -
Desulfobulbaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               24     811       5     789       2     789    1482    +      1e-188  623.7  21.8  -
Desulfohalobiaceae               -          C0704b_LKAP-FHGF1_C03_027 -               28     824       5     787       2     789    1510    +    1.1e-188  623.5  22.2  -
Syntrophaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               84     828      62     788      19     789    1556    +    1.8e-188  622.9  21.8  -
Methylothermaceae                -          C0704b_LKAP-FHGF1_C03_027 -               45     818       5     788       2     789    1491    +      2e-188  622.7  22.4  -
Wenzhouxiangellaceae             -          C0704b_LKAP-FHGF1_C03_027 -               64     802      54     789      33     789    1472    +    5.8e-187  617.7  21.5  -
Unclassified_Rhizobiales         -          C0704b_LKAP-FHGF1_C03_027 -               22     749      19     786       3     789    1437    +      8e-187  617.6  20.9  -
Erythrobacteraceae               -          C0704b_LKAP-FHGF1_C03_027 -               52     738      60     785      38     789    1433    +    1.2e-185  613.7  20.1  -
Bdellovibrionaceae               -          C0704b_LKAP-FHGF1_C03_027 -               20     766       5     788       3     789    1430    +      7e-185  611.0  20.9  -
Brucellaceae                     -          C0704b_LKAP-FHGF1_C03_027 -               29     740       5     784       2     787    1412    +    3.8e-181  598.9  21.1  -
Kordiimonadaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               24     750       5     786       2     789    1423    +    2.1e-180  596.4  20.4  -
Anaplasmataceae                  -          C0704b_LKAP-FHGF1_C03_027 -               35     769       5     784       2     788    1438    +    1.2e-178  590.6  20.9  -
Nautiliaceae                     -          C0704b_LKAP-FHGF1_C03_027 -               24     766       5     788       2     789    1428    +    1.8e-178  590.0  22.0  -
Spirillaceae                     -          C0704b_LKAP-FHGF1_C03_027 -               39     818       4     789       2     789    1447    +    5.3e-178  588.4  22.3  -
Kiloniellaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               43     770       5     788       2     789    1450    +    2.9e-177  585.6  20.4  -
Unclassified_Acidobacteria       -          C0704b_LKAP-FHGF1_C03_027 -               44     827       5     787       3     789    1505    +    3.8e-177  585.8  22.8  -
Deferribacteraceae               -          C0704b_LKAP-FHGF1_C03_027 -               31     803       5     784       3     788    1514    +    4.6e-177  584.9  22.2  -
Aurantimonadaceae                -          C0704b_LKAP-FHGF1_C03_027 -               29     753      19     784       4     788    1444    +    1.5e-176  583.6  20.8  -
Beijerinckiaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               67     750      62     784      40     788    1421    +    2.8e-176  582.5  20.3  -
Desulfarculaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               51     825      28     789       6     789    1516    +    1.2e-175  580.4  21.1  -
Caulobacteraceae                 -          C0704b_LKAP-FHGF1_C03_027 -               24     739       5     786       3     789    1418    +    1.5e-175  580.2  20.3  -
Haliangiaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               40     824       5     785       2     789    1507    +    3.1e-174  575.8  22.7  -
Holophagaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               76     810      66     785      46     789    1502    +    2.6e-173  572.8  22.0  -
Heliobacteriaceae                -          C0704b_LKAP-FHGF1_C03_027 -               41     792       5     785       2     789    1502    +    6.3e-173  571.4  21.9  -
Desulfomicrobiaceae              -          C0704b_LKAP-FHGF1_C03_027 -               34     815       5     788       3     789    1495    +    1.6e-172  570.0  21.4  -
Halobacteriovoracaceae           -          C0704b_LKAP-FHGF1_C03_027 -               24     809       5     787       3     789    1480    +    3.7e-172  568.7  21.6  -
Parvularculaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               44     757       5     784       2     787    1429    +    5.6e-172  568.6  20.5  -
Bartonellaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               16     738      23     784       5     787    1410    +    2.8e-170  562.7  21.6  -
Bacteriovoracaceae               -          C0704b_LKAP-FHGF1_C03_027 -               65     805      64     788      44     789    1473    +    3.7e-170  562.1  21.5  -
Leptospiraceae                   -          C0704b_LKAP-FHGF1_C03_027 -               55     772      61     789      40     789    1433    +    8.5e-170  561.0  21.4  -
Chelatococcaceae                 -          C0704b_LKAP-FHGF1_C03_027 -               36     749       6     785       3     789    1439    +    1.1e-169  560.9  20.5  -
Rhodothermaceae                  -          C0704b_LKAP-FHGF1_C03_027 -               24     786       5     785       2     789    1457    +    2.4e-169  559.5  22.3  -
Rubrobacteraceae                 -          C0704b_LKAP-FHGF1_C03_027 -               26     798       7     786       2     789    1494    +    4.2e-169  558.7  22.2  -
Rickettsiaceae                   -          C0704b_LKAP-FHGF1_C03_027 -               24     751       5     784       2     788    1430    +    1.2e-168  557.3  20.3  -
Cohaesibacteraceae               -          C0704b_LKAP-FHGF1_C03_027 -               61     758      35     785      15     789    1416    +    3.6e-167  552.4  20.2  -
Patulibacteraceae                -          C0704b_LKAP-FHGF1_C03_027 -               44     807       5     788       3     789    1494    +    1.4e-166  550.1  22.2  -
Nitrospiraceae                   -          C0704b_LKAP-FHGF1_C03_027 -               30     781       5     785       3     789    1480    +    2.2e-166  549.7  22.3  -
Desulfonatronaceae               -          C0704b_LKAP-FHGF1_C03_027 -               24     807       5     784       2     789    1495    +    2.2e-165  546.3  22.3  -
Myxococcaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               38     817       5     784       2     789    1517    +    7.3e-165  544.5  21.5  -
Sporolactobacillaceae            -          C0704b_LKAP-FHGF1_C03_027 -               25     801       6     785       3     789    1503    +    5.8e-164  541.6  22.4  -
Polyangiaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               43     822       5     784       2     788    1550    +    6.1e-164  541.6  22.7  -
Thermolithobacteraceae           -          C0704b_LKAP-FHGF1_C03_027 -               44     842       5     788       2     789    1546    +    6.6e-164  541.2  23.2  -
Aerococcaceae                    -          C0704b_LKAP-FHGF1_C03_027 -               25     806       6     784       3     788    1474    +    7.9e-164  541.2  22.2  -
Cystobacteraceae                 -          C0704b_LKAP-FHGF1_C03_027 -               24     801       5     784       3     789    1491    +    1.1e-163  540.6  21.3  -
Nakamurellaceae                  -          C0704b_LKAP-FHGF1_C03_027 -               24     768       5     784       2     786    1462    +    1.5e-163  540.3  22.4  -
Kineosporiaceae                  -          C0704b_LKAP-FHGF1_C03_027 -               32     775       5     784       2     786    1463    +    1.3e-162  537.3  22.9  -
Unclassified_Calditrichaeota     -          C0704b_LKAP-FHGF1_C03_027 -               79     808      66     784      41     789    1483    +    9.2e-162  534.6  22.1  -
Acidimicrobiaceae                -          C0704b_LKAP-FHGF1_C03_027 -               44     790       5     784       2     788    1463    +    9.4e-162  534.5  22.5  -
