# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_H02_002   -               11     991       6     985       2     989    1474    +           0 1180.6  24.8  -
Ferrimonadaceae           -          LKAP-GutHK_H02_002   -               11     990       6     984       2     989    1475    +           0 1080.5  25.2  -
Enterobacteriaceae        -          LKAP-GutHK_H02_002   -               12     981       7     985       2     988    1465    +           0 1073.2  23.9  -
Pectobacteriaceae         -          LKAP-GutHK_H02_002   -                9     978       7     985       2     989    1477    +           0 1071.9  23.9  -
Yersiniaceae              -          LKAP-GutHK_H02_002   -               11     980       6     984       2     988    1473    +           0 1065.3  23.8  -
Erwiniaceae               -          LKAP-GutHK_H02_002   -                8     976       8     985       3     988    1483    +           0 1061.6  23.8  -
Aeromonadaceae            -          LKAP-GutHK_H02_002   -               23     995       6     985       2     989    1496    +           0 1055.5  23.4  -
Shewanellaceae            -          LKAP-GutHK_H02_002   -               12     983       7     985       2     988    1483    +           0 1051.3  23.8  -
Alteromonadales           -          LKAP-GutHK_H02_002   -               12     981       7     984       2     987    1468    +           0 1047.2  23.5  -
Hafniaceae                -          LKAP-GutHK_H02_002   -                6     975       7     985       3     990    1459    +           0 1043.8  23.6  -
Budviciaceae              -          LKAP-GutHK_H02_002   -                2     970       7     984       6     988    1483    +           0 1042.9  23.2  -
Morganellaceae            -          LKAP-GutHK_H02_002   -               14     984       6     985       2     989    1487    +           0 1042.6  24.1  -
Pseudoalteromonadaceae    -          LKAP-GutHK_H02_002   -               12     976       7     984       2     987    1469    +           0 1041.5  23.5  -
Gammaproteobacteria       -          LKAP-GutHK_H02_002   -               13     980       8     985       3     988    1481    +           0 1032.4  23.7  -
Alteromonadaceae          -          LKAP-GutHK_H02_002   -               11     979       6     984       3     988    1468    +           0 1029.9  23.8  -
Colwelliaceae             -          LKAP-GutHK_H02_002   -               11     981       6     984       3     988    1467    +    8.3e-305 1009.8  23.8  -
Idiomarinaceae            -          LKAP-GutHK_H02_002   -               11     981       6     984       2     987    1466    +    1.3e-301  998.9  23.8  -
Moritellaceae             -          LKAP-GutHK_H02_002   -               27     997       7     984       2     988    1501    +    1.4e-301  998.9  23.5  -
Psychromonadaceae         -          LKAP-GutHK_H02_002   -               11     978       6     982       3     988    1467    +    1.8e-296  982.2  23.1  -
Chromatiaceae             -          LKAP-GutHK_H02_002   -               22     970      14     985       3     989    1455    +    1.3e-295  979.3  23.9  -
Cellvibrionaceae          -          LKAP-GutHK_H02_002   -               11     979       6     984       2     987    1472    +    4.5e-295  977.5  24.3  -
Oceanospirillales         -          LKAP-GutHK_H02_002   -               17     985       6     984       2     988    1489    +    6.2e-295  976.8  24.3  -
Oceanospirillaceae        -          LKAP-GutHK_H02_002   -               12     982       7     985       3     988    1467    +    7.8e-295  976.6  23.7  -
Thorselliaceae            -          LKAP-GutHK_H02_002   -                1     949      20     984      20     990    1419    +    1.7e-291  965.5  23.1  -
Piscirickettsiaceae       -          LKAP-GutHK_H02_002   -               14     983       7     984       2     988    1466    +    2.1e-291  965.2  23.9  -
Orbaceae                  -          LKAP-GutHK_H02_002   -               38    1002       6     982       3     987    1539    +    2.2e-286  948.6  23.6  -
Pseudomonadaceae          -          LKAP-GutHK_H02_002   -               18     984       6     984       2     987    1491    +    1.8e-285  945.5  23.2  -
Pasteurellaceae           -          LKAP-GutHK_H02_002   -               11     982       6     985       3     988    1422    +    7.9e-285  943.5  23.6  -
Methylococcaceae          -          LKAP-GutHK_H02_002   -               37     986      15     983       3     989    1481    +    8.3e-285  943.4  24.0  -
Alcanivoracaceae          -          LKAP-GutHK_H02_002   -               31     998       6     983       2     987    1504    +    8.4e-284  940.0  23.6  -
Celerinatantimonadaceae   -          LKAP-GutHK_H02_002   -                6     987       6     984       3     987    1433    +    2.4e-281  932.0  23.4  -
Succinivibrionaceae       -          LKAP-GutHK_H02_002   -               14     954       6     981       3     988    1473    +    1.1e-279  926.4  23.9  -
Hahellaceae               -          LKAP-GutHK_H02_002   -               11     978       6     984       2     987    1473    +    1.2e-279  926.4  24.0  -
Halothiobacillaceae       -          LKAP-GutHK_H02_002   -               30     997       8     983       3     988    1500    +    3.8e-279  924.7  24.0  -
Ectothiorhodospiraceae    -          LKAP-GutHK_H02_002   -               20     984       8     982       3     988    1463    +    3.6e-278  921.6  24.1  -
Halomonadaceae            -          LKAP-GutHK_H02_002   -               11     980       6     985       2     989    1466    +    5.8e-277  917.3  24.1  -
Litoricolaceae            -          LKAP-GutHK_H02_002   -               19     985       6     983       3     988    1474    +    7.8e-277  917.1  23.7  -
Halieaceae                -          LKAP-GutHK_H02_002   -               19     980       6     984       3     988    1484    +    8.3e-275  910.2  24.0  -
Moraxellaceae             -          LKAP-GutHK_H02_002   -                8     971       6     984       2     988    1468    +    1.5e-274  909.6  24.1  -
Lysobacteraceae           -          LKAP-GutHK_H02_002   -               13     982       7     984       2     988    1484    +    3.7e-274  908.2  24.2  -
Thioalkalispiraceae       -          LKAP-GutHK_H02_002   -               35     998      15     984       2     987    1479    +    2.3e-273  905.4  23.5  -
