# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_A08_064   -               10     993       7     986       3     987    1474    +           0 1211.4  23.5  -
Ferrimonadaceae           -          LKAP-GutHK_A08_064   -               10     993       7     986       3     987    1475    +           0 1070.8  23.5  -
Enterobacteriaceae        -          LKAP-GutHK_A08_064   -               10     983       7     986       3     987    1465    +           0 1050.6  23.2  -
Alteromonadales           -          LKAP-GutHK_A08_064   -               11     984       8     986       3     987    1468    +           0 1050.2  23.0  -
Gammaproteobacteria       -          LKAP-GutHK_A08_064   -               10     982       7     986       3     987    1481    +           0 1045.5  23.0  -
Yersiniaceae              -          LKAP-GutHK_A08_064   -               10     983       7     986       3     987    1473    +           0 1042.9  23.2  -
Erwiniaceae               -          LKAP-GutHK_A08_064   -               23     977      22     985       3     987    1483    +           0 1041.5  22.8  -
Alteromonadaceae          -          LKAP-GutHK_A08_064   -               10     982       7     986       3     987    1468    +           0 1040.8  23.2  -
Shewanellaceae            -          LKAP-GutHK_A08_064   -               11     985       8     986       3     987    1483    +           0 1039.8  23.0  -
Aeromonadaceae            -          LKAP-GutHK_A08_064   -               22     996       7     985       3     987    1496    +           0 1039.2  23.1  -
Pectobacteriaceae         -          LKAP-GutHK_A08_064   -                8     979       8     985       3     987    1477    +           0 1036.7  23.3  -
Pseudoalteromonadaceae    -          LKAP-GutHK_A08_064   -               10     979       7     986       3     987    1469    +           0 1026.9  22.3  -
Hafniaceae                -          LKAP-GutHK_A08_064   -                4     976       7     985       4     987    1459    +           0 1022.1  23.4  -
Morganellaceae            -          LKAP-GutHK_A08_064   -               13     985       7     985       3     987    1487    +    4.5e-308 1020.7  23.5  -
Budviciaceae              -          LKAP-GutHK_A08_064   -                5     971      12     984       8     987    1483    +    1.8e-304 1008.6  22.6  -
Oceanospirillaceae        -          LKAP-GutHK_A08_064   -               10     983       7     985       3     987    1467    +    6.2e-304 1006.7  23.2  -
Colwelliaceae             -          LKAP-GutHK_A08_064   -               10     984       7     986       3     987    1467    +    9.2e-303 1003.0  23.2  -
Idiomarinaceae            -          LKAP-GutHK_A08_064   -               10     984       7     986       3     987    1466    +      7e-302  999.8  23.1  -
Moritellaceae             -          LKAP-GutHK_A08_064   -               25     999       7     985       3     987    1501    +    6.4e-299  990.1  23.1  -
Oceanospirillales         -          LKAP-GutHK_A08_064   -               16     988       7     986       2     987    1489    +    4.2e-298  987.3  23.6  -
Cellvibrionaceae          -          LKAP-GutHK_A08_064   -               10     982       7     986       3     987    1472    +    3.9e-297  984.3  23.2  -
Thorselliaceae            -          LKAP-GutHK_A08_064   -               38     950      71     984      47     986    1419    +    1.3e-295  979.2  21.5  -
Chromatiaceae             -          LKAP-GutHK_A08_064   -               12     971       9     985       3     987    1455    +    1.7e-295  979.0  23.5  -
Psychromonadaceae         -          LKAP-GutHK_A08_064   -               10     979       7     982       3     986    1467    +    2.3e-295  978.5  23.6  -
Pseudomonadaceae          -          LKAP-GutHK_A08_064   -               17     988       7     987       3     987    1491    +    5.3e-295  977.2  23.2  -
Alcanivoracaceae          -          LKAP-GutHK_A08_064   -               30    1002       7     986       3     987    1504    +    1.6e-291  965.6  23.1  -
Piscirickettsiaceae       -          LKAP-GutHK_A08_064   -               12     986       7     986       3     987    1466    +    2.4e-291  965.0  23.2  -
